seq,t_us,rr_raw_ms,nn_ms,valid,corrected,metric_eligible,status,reason,hr_bpm,score,rescued,flags
49511,572295612,438.0,438.0,1,0,1,accepted,,168.5,0.871,0,9
49543,572667890,372.0,372.0,1,0,1,accepted,,161.3,0.658,0,9
49582,573096025,428.0,428.0,1,0,1,accepted,,161.3,0.827,0,9
49615,573476461,380.0,380.0,1,0,1,accepted,,161.3,0.629,0,9
49653,573897003,420.0,420.0,1,0,1,accepted,,161.3,0.798,0,9
49686,574278025,381.0,381.0,1,0,1,accepted,,157.9,0.595,0,9
49721,574733036,455.0,455.0,1,0,1,accepted,,157.5,0.771,0,9
49753,575106230,373.0,373.0,1,0,1,accepted,,157.5,0.561,0,9
49787,575494856,388.0,388.0,1,0,1,accepted,,154.6,0.702,0,9
49821,575883668,388.0,388.0,1,0,1,accepted,,154.6,0.596,0,9
49851,576240320,356.0,356.0,1,0,1,accepted,,154.6,0.676,0,9
49880,576589014,348.0,348.0,1,0,1,accepted,,157.5,0.582,0,9
49910,576887336,298.0,0.0,0,0,0,hard_outlier,RR 过短,157.5,0.645,0,13
49942,577259286,371.0,371.0,1,0,1,accepted,,160.9,0.651,0,9
49966,577567348,308.0,308.0,1,0,1,accepted,,161.7,0.637,0,9
49998,577940059,372.0,372.0,1,0,1,accepted,,161.7,0.633,0,9
50048,578515252,575.0,0.0,0,0,0,local_outlier,局部 RR 异常,161.7,0.644,0,9
50068,578733629,218.0,0.0,0,0,0,hard_outlier,RR 过短,161.7,0.603,1,29
50096,579074758,341.0,341.0,1,0,1,accepted,,168.5,0.743,0,9
50120,579383304,308.0,308.0,1,0,1,accepted,,172.4,0.794,0,9
50151,579748262,364.0,364.0,1,0,1,accepted,,172.4,0.806,0,9
50176,580006624,258.0,0.0,0,0,0,hard_outlier,RR 过短,176.0,0.72,0,13
50203,580338963,332.0,332.0,1,0,1,accepted,,176.0,0.73,0,9
50233,580695523,356.0,356.0,1,0,1,accepted,,176.0,0.82,0,9
50265,581068342,372.0,372.0,1,0,1,accepted,,168.5,0.744,0,9
50292,581342924,274.0,0.0,0,0,0,hard_outlier,RR 过短,176.0,0.649,0,13
50322,581699517,356.0,356.0,1,0,1,accepted,,176.0,0.678,0,9
50350,582040839,341.0,341.0,1,0,1,accepted,,176.0,0.746,0,9
50382,582413291,372.0,372.0,1,0,1,accepted,,168.5,0.706,0,9
50407,582730672,317.0,317.0,1,0,1,accepted,,176.0,0.702,0,9
50450,583191974,461.0,461.0,1,0,1,accepted,,168.5,0.642,0,9
50499,583759619,567.0,0.0,0,0,0,local_outlier,局部 RR 异常,168.5,0.719,0,9
50533,584149326,389.0,389.0,1,0,1,accepted,,161.3,0.825,0,9
50564,584513924,364.0,364.0,1,0,1,accepted,,164.8,0.64,0,9
50598,584902494,388.0,388.0,1,0,1,accepted,,161.3,0.776,0,9
50630,585275050,372.0,372.0,1,0,1,accepted,,161.3,0.629,0,9
