t_us,nn_ms,corrected,metric_eligible,source
572295612,438.0,0,1,raw
572667890,372.0,0,1,raw
573096025,428.0,0,1,raw
573476461,380.0,0,1,raw
573897003,420.0,0,1,raw
574278025,381.0,0,1,raw
574733036,455.0,0,1,raw
575106230,373.0,0,1,raw
575494856,388.0,0,1,raw
575883668,388.0,0,1,raw
576240320,356.0,0,1,raw
576589014,348.0,0,1,raw
577259286,371.0,0,1,raw
577567348,308.0,0,1,raw
577940059,372.0,0,1,raw
579074758,341.0,0,1,raw
579383304,308.0,0,1,raw
579748262,364.0,0,1,raw
580338963,332.0,0,1,raw
580695523,356.0,0,1,raw
581068342,372.0,0,1,raw
581699517,356.0,0,1,raw
582040839,341.0,0,1,raw
582413291,372.0,0,1,raw
582730672,317.0,0,1,raw
583191974,461.0,0,1,raw
584149326,389.0,0,1,raw
584513924,364.0,0,1,raw
584902494,388.0,0,1,raw
585275050,372.0,0,1,raw
585639203,364.0,0,1,raw
586003528,364.0,0,1,raw
586367572,364.0,0,1,raw
586707834,340.0,0,1,raw
587096092,388.0,0,1,raw
587452360,356.0,0,1,raw
587816398,364.0,0,1,raw
588212867,396.0,0,1,raw
589096605,317.0,0,1,raw
589493686,397.0,0,1,raw
589786113,291.5,1,0,missed_beat_split
590077613,291.5,1,0,missed_beat_split
590403539,325.0,0,1,raw
590767980,364.0,0,1,raw
591415731,372.0,0,1,raw
592056930,348.0,0,1,raw
592720523,364.0,0,1,raw
593077607,357.0,0,1,raw
593442108,364.0,0,1,raw
593799584,357.0,0,1,raw
594147991,348.0,0,1,raw
594512975,364.0,0,1,raw
594885548,372.0,0,1,raw
595181539,295.0,1,0,missed_beat_split
595476539,295.0,1,0,missed_beat_split
595833530,356.0,0,1,raw
596198241,364.0,0,1,raw
596523058,324.0,0,1,raw
596829856,306.0,0,1,raw
597186579,356.0,0,1,raw
597551821,365.0,0,1,raw
598320868,476.0,0,1,raw
599521890,356.0,0,1,raw
600113658,317.0,0,1,raw
600438456,324.0,0,1,raw
600810873,372.0,0,1,raw
601418553,348.0,0,1,raw
601743559,325.0,0,1,raw
602398991,365.0,0,1,raw
602747720,348.0,0,1,raw
603104968,357.0,0,1,raw
603445196,340.0,0,1,raw
603801952,356.0,0,1,raw
604539751,439.0,0,1,raw
604846218,306.0,0,1,raw
605285180,438.0,0,1,raw
606046472,463.0,0,1,raw
606402948,356.0,0,1,raw
606807200,404.0,0,1,raw
607163545,356.0,0,1,raw
607535753,372.0,0,1,raw
607908186,372.0,0,1,raw
608272595,364.0,0,1,raw
608636853,364.0,0,1,raw
609009146,372.0,0,1,raw
609381405,372.0,0,1,raw
609687488,306.0,0,1,raw
610059793,372.0,0,1,raw
610416116,356.0,0,1,raw
610788525,372.0,0,1,raw
611136590,348.0,0,1,raw
611476974,340.0,0,1,raw
611865283,388.0,0,1,raw
612237753,372.0,0,1,raw
612602093,364.0,0,1,raw
612966669,364.0,0,1,raw
613299236,332.0,0,1,raw
613662677,363.0,0,1,raw
613968997,306.0,0,1,raw
614317533,348.0,0,1,raw
614666196,348.0,0,1,raw
615022980,356.0,0,1,raw
615379286,356.0,0,1,raw
615744087,364.0,0,1,raw
616391269,372.0,0,1,raw
616755896,364.0,0,1,raw
617128946,373.0,0,1,raw
617485820,356.0,0,1,raw
617834528,348.0,0,1,raw
618215449,380.0,0,1,raw
618579935,364.0,0,1,raw
618944349,364.0,0,1,raw
619300708,356.0,0,1,raw
619633064,332.0,0,1,raw
619997899,364.0,0,1,raw
620304314,306.0,0,1,raw
620652635,348.0,0,1,raw
621017478,364.0,0,1,raw
621365913,348.0,0,1,raw
621754809,388.0,0,1,raw
622127110,372.0,0,1,raw
622499660,372.0,0,1,raw
622863804,364.0,0,1,raw
623236093,372.0,0,1,raw
623600461,364.0,0,1,raw
623956528,356.0,0,1,raw
624320449,363.0,0,1,raw
624684703,364.0,0,1,raw
625080901,396.0,0,1,raw
625397375,316.0,0,1,raw
625703393,306.0,0,1,raw
626043747,340.0,0,1,raw
626392680,348.0,0,1,raw
626741132,348.0,0,1,raw
627098224,357.0,0,1,raw
627753592,372.0,0,1,raw
628126641,373.0,0,1,raw
628499304,372.0,0,1,raw
628847572,348.0,0,1,raw
629179997,332.0,0,1,raw
629569036,389.0,0,1,raw
629933445,364.0,0,1,raw
630298140,364.0,0,1,raw
630670584,372.0,0,1,raw
631034938,364.0,0,1,raw
631407528,372.0,0,1,raw
631764338,356.0,0,1,raw
632136624,372.0,0,1,raw
632492952,356.0,0,1,raw
632857489,364.0,0,1,raw
633230008,372.0,0,1,raw
633634179,404.0,0,1,raw
633966511,332.0,0,1,raw
634338664,372.0,0,1,raw
634644716,306.0,0,1,raw
635009341,364.0,0,1,raw
635365519,356.0,0,1,raw
635746270,380.0,0,1,raw
636094511,348.0,0,1,raw
