seq,t_us,rr_raw_ms,nn_ms,valid,corrected,metric_eligible,status,reason,hr_bpm,score,rescued,source_t_us,timing_shift_ms,timing_quality,timing_uncertainty_ms,timing_recovered,refined,correction_method,waveform_score,reference_rr_ms,matched_firmware_t_us,inserted_by_smoother,low_prominence_rescue,detector_support_count,detector_names,detector_consensus,detector_time_spread_ms,single_detector,sequence_rescued,firmware_unmatched,local_clipped,artifact_class,artifact_confidence,artifact_reference_rr_ms,artifact_evidence,flags
8523470,68188317920,752.0,752.0,1,0,1,accepted,,82.41758241758242,1.0,0,68188317920,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,728.0,68188317920,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.9981283422459892,748.0,ref=748.0ms scale=35.0ms anchors=0+8 cv=0.008 side_diff=0.000 stable=1,73
8523565,68189077917,759.997,759.997,1,0,1,accepted,,82.41758241758242,1.0,0,68189077917,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,728.0,68189077917,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.992475971199041,744.003,ref=744.0ms scale=35.0ms anchors=1+8 cv=0.016 side_diff=0.011 stable=1,73
8523659,68189829917,752.0,752.0,1,0,1,accepted,,82.41758241758242,1.0,0,68189829917,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,728.0,68189829917,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.9962372723710906,744.0015000000001,ref=744.0ms scale=35.0ms anchors=2+8 cv=0.016 side_diff=0.021 stable=1,73
8523752,68190573917,744.0,744.0,1,0,1,accepted,,81.52218218577275,1.0,0,68190565920,7.997,1.0,5.0,0,1,interval_core_consensus,1.0,728.0,68190565920,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.999998588715368,744.003,ref=744.0ms scale=35.0ms anchors=3+8 cv=0.016 side_diff=0.055 stable=1,73
8523845,68191317920,744.003,744.003,1,0,1,accepted,,80.64516129032258,1.0,0,68191317920,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,728.0,68191317920,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.998107402484995,740.0015000000001,ref=740.0ms scale=35.0ms anchors=4+8 cv=0.032 side_diff=0.095 stable=1,73
8523939,68192069917,751.997,751.997,1,0,1,accepted,,80.64483610953181,1.0,0,68192069917,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,720.001,68192069917,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.9923941886106442,736.003,ref=736.0ms scale=35.6ms anchors=5+8 cv=0.048 side_diff=0.106 stable=1,73
8524031,68192805920,736.003,736.003,1,0,1,accepted,,80.64483610953181,1.0,0,68192805920,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,728.0,68192805920,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.9980859972677596,732.0,ref=732.0ms scale=35.6ms anchors=6+8 cv=0.049 side_diff=0.106 stable=1,73
8524125,68193557921,752.001,752.001,1,0,1,accepted,,79.78755234395882,1.0,0,68193549920,8.001,1.0,5.0,0,1,interval_core_consensus,1.0,724.0,68193549920,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.9844439583333333,720.0,ref=720.0ms scale=47.4ms anchors=7+8 cv=0.066 side_diff=0.106 stable=1,73
8524210,68194237920,679.999,679.999,1,0,1,accepted,,79.78755234395882,1.0,0,68194237920,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,720.0,68194237920,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.9769219225509838,728.0015000000001,ref=728.0ms scale=35.6ms anchors=8+8 cv=0.049 side_diff=0.101 stable=1,73
8524296,68194925917,687.997,687.997,1,0,1,accepted,,80.64483610953181,1.0,0,68194925917,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,720.0,68194925917,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.984442986111111,720.0,ref=720.0ms scale=47.4ms anchors=8+8 cv=0.066 side_diff=0.107 stable=1,73
8524380,68195597917,672.0,672.0,1,0,1,accepted,,80.64516129032258,1.0,0,68195597917,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,716.002,68195597917,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.9803373106301339,711.9995,ref=712.0ms scale=47.4ms anchors=8+8 cv=0.067 side_diff=0.090 stable=1,73
8524460,68196237916,639.999,639.999,1,0,1,accepted,,81.52140684209166,1.0,1,68196525921,-288.005,1.0,5.0,0,1,interval_core_consensus,1.0,720.0,68196525921,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.9681815470039397,703.9995,ref=704.0ms scale=47.4ms anchors=8+8 cv=0.067 side_diff=0.061 stable=1,185
8524542,68196893916,656.0,656.0,1,0,1,accepted,,87.20968260036018,1.0,1,0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,720.0,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,accepted,0.9798852944578265,695.9995,ref=696.0ms scale=35.6ms anchors=8+8 cv=0.051 side_diff=0.023 stable=1,17
8524624,68197549920,656.004,656.004,1,0,1,accepted,,88.23542387562334,1.0,0,68197317920,232.0,1.0,5.0,0,1,interval_core_consensus,1.0,720.0,68197317920,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.9798873059535245,695.9995,ref=696.0ms scale=35.6ms anchors=8+8 cv=0.051 side_diff=0.029 stable=1,169
8524714,68198269920,720.0,720.0,1,0,1,accepted,,88.23542387562334,1.0,1,0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,720.0,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,accepted,0.9837201316572637,687.9984999999999,ref=688.0ms scale=35.6ms anchors=8+8 cv=0.052 side_diff=0.041 stable=1,17
8524800,68198957920,688.0,688.0,1,0,1,accepted,,88.23542387562334,1.0,0,68198957920,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,728.0015000000001,68198957920,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.9959780056839243,695.998,ref=696.0ms scale=35.6ms anchors=8+8 cv=0.051 side_diff=0.052 stable=1,169
8524890,68199677920,720.0,720.0,1,0,1,accepted,,88.23542387562334,1.0,0,68199669920,8.0,1.0,5.0,0,1,interval_core_consensus,1.0,720.0,68199669920,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.9837201316572637,687.9984999999999,ref=688.0ms scale=35.6ms anchors=8+8 cv=0.052 side_diff=0.074 stable=1,169
8524974,68200349921,672.001,672.001,1,0,1,accepted,,89.28558142026574,1.0,0,68200349921,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,720.0,68200349921,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.9840916435309968,703.9995,ref=704.0ms scale=59.3ms anchors=8+8 cv=0.084 side_diff=0.101 stable=1,169
8525062,68201053920,703.999,703.999,1,0,1,accepted,,89.28558142026574,1.0,0,68201053920,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,720.0,68201053920,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.9960669241573035,712.0,ref=712.0ms scale=59.3ms anchors=8+8 cv=0.083 side_diff=0.118 stable=1,73
8525150,68201757920,704.0,704.0,1,0,1,accepted,,87.20930232558139,1.0,0,68201757920,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,672.001,68201757920,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.9922222222222221,720.0,ref=720.0ms scale=59.3ms anchors=8+8 cv=0.082 side_diff=0.106 stable=1,73
8525235,68202437920,680.0,680.0,1,0,1,accepted,,87.20930232558139,1.0,0,68202437920,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,688.0,68202437920,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,accepted,0.9805555555555556,720.0,ref=720.0ms scale=47.4ms anchors=8+8 cv=0.066 side_diff=0.083 stable=1,73
