seq,t_us,rr_ms,hr_bpm,score,flags
8510374,68083549918,751.0,79.8,0.867,73
8510470,68084317916,767.0,78.9,0.861,73
8510565,68085077916,760.0,78.9,0.884,73
8510658,68085821917,744.0,79.8,0.861,73
8510760,68086637917,816.0,79.8,0.846,73
8510858,68087421918,784.0,78.9,0.852,73
8510950,68088157916,735.0,79.8,0.91,73
8511037,68088853920,696.0,79.8,0.796,73
8511122,68089533916,679.0,79.8,0.906,169
8511213,68090261920,728.0,79.8,0.77,169
8511300,68090957917,695.0,79.8,0.804,169
8511384,68091629918,672.0,79.8,0.749,169
8511518,68092701921,1072.0,79.8,0.473,185
8511634,68093629920,927.0,79.8,0.819,169
8511712,68094253920,624.0,78.9,0.8,73
8511799,68094949916,695.0,78.9,0.883,73
8511882,68095613920,664.0,80.6,0.839,73
8511962,68096253920,640.0,81.5,0.801,73
8512065,68097077921,824.0,81.5,0.551,169
8512197,68098133917,1055.0,81.5,0.753,169
8512279,68098789918,656.0,81.5,0.781,169
8512362,68099453920,664.0,81.5,0.791,169
8512442,68100093917,639.0,81.5,0.819,169
8512526,68100765920,672.0,81.5,0.856,169
8512613,68101461921,696.0,81.5,0.905,73
8512693,68102101920,639.0,86.2,0.827,73
8512775,68102757918,655.0,86.2,0.854,73
8512859,68103429917,671.0,89.3,0.854,73
8512947,68104133918,704.0,89.3,0.881,73
8513043,68104901920,768.0,89.3,0.883,73
8513140,68105677920,776.0,89.3,0.842,73
8513239,68106469921,792.0,85.2,0.804,73
8513332,68107213916,743.0,80.6,0.814,73
8513430,68107997920,784.0,80.6,0.817,73
8513526,68108765916,767.0,78.1,0.806,73
8513616,68109485920,720.0,78.1,0.815,73
8513708,68110221920,736.0,78.1,0.814,73
8513796,68110925921,704.0,78.1,0.838,73
8513886,68111645920,719.0,80.6,0.867,73
8513980,68112397918,751.0,80.6,0.893,73
8514068,68113101917,703.0,81.5,0.895,73
8514162,68113853920,752.0,81.5,0.872,73
8514256,68114605920,752.0,81.5,0.863,73
8514348,68115341921,736.0,81.5,0.869,73
8514436,68116045917,703.0,81.5,0.863,73
8514532,68116813920,768.0,81.5,0.843,73
8514623,68117541916,727.0,81.5,0.806,73
8514711,68118245917,704.0,81.5,0.813,73
8514802,68118973921,728.0,82.4,0.881,73
8514897,68119733920,759.0,81.5,0.899,73
8514988,68120461920,728.0,82.4,0.874,73
8515084,68121229921,768.0,82.4,0.864,73
8515180,68121997920,767.0,82.4,0.857,73
8515274,68122749918,751.0,79.8,0.844,73
8515366,68123485920,736.0,81.5,0.893,73
8515466,68124285920,800.0,79.8,0.854,73
8515565,68125077923,792.0,78.9,0.839,73
8515659,68125829921,751.0,78.9,0.782,73
8515754,68126589918,759.0,78.9,0.863,73
8515852,68127373920,784.0,78.1,0.816,73
8515946,68128125918,751.0,78.9,0.868,73
8516044,68128909916,783.0,78.9,0.825,73
8516144,68129709917,800.0,76.5,0.858,73
8516245,68130517920,808.0,76.5,0.829,73
8516345,68131317918,799.0,76.5,0.858,73
8516453,68132181920,864.0,76.5,0.832,73
8516562,68133053921,872.0,75.0,0.813,73
8516665,68133877916,823.0,75.0,0.802,73
8516772,68134733920,856.0,74.3,0.805,73
8516874,68135549920,816.0,73.5,0.796,73
8516968,68136301920,752.0,73.5,0.796,73
8517059,68137029917,727.0,73.5,0.838,73
8517146,68137725917,696.0,73.5,0.895,73
8517229,68138389920,664.0,73.5,0.859,73
8517348,68139341921,952.0,73.5,0.516,169
8517481,68140405921,1064.0,73.5,0.777,169
8517569,68141109920,703.0,73.5,0.842,169
8517659,68141829918,719.0,73.5,0.883,169
8517755,68142597919,768.0,73.5,0.896,169
8517855,68143397920,800.0,73.5,0.862,73
8517948,68144141919,743.0,79.8,0.863,73
8518041,68144885919,744.0,80.6,0.842,73
8518141,68145685920,800.0,80.6,0.882,73
8518241,68146485920,800.0,80.6,0.851,73
8518337,68147253920,768.0,80.6,0.844,73
8518433,68148021918,767.0,78.1,0.881,73
8518530,68148797920,776.0,78.1,0.881,73
8518627,68149573921,776.0,77.3,0.834,73
8518725,68150357916,783.0,77.3,0.873,73
8518818,68151101917,744.0,77.3,0.846,73
8518902,68151773918,672.0,77.3,0.819,73
8518988,68152461920,688.0,78.1,0.84,73
8519076,68153165920,704.0,78.1,0.855,73
8519167,68153893920,728.0,80.6,0.831,73
8519294,68154909917,1015.0,80.6,0.436,185
8519422,68155933918,1024.0,80.6,0.802,169
8519514,68156669920,736.0,80.6,0.809,169
8519609,68157429920,760.0,80.6,0.785,169
8519643,68157701920,272.0,80.6,0.528,173
8519741,68158485920,784.0,80.6,0.503,169
8519830,68159197920,712.0,80.6,0.494,185
8519925,68159957920,760.0,80.6,0.512,169
8520003,68160581921,624.0,80.6,0.572,169
8520113,68161461920,879.0,80.6,0.451,185
8520205,68162197920,736.0,80.6,0.486,185
8520291,68162885921,688.0,80.6,0.542,169
8520405,68163797917,911.0,80.6,0.502,169
8520521,68164725920,928.0,80.6,0.8,169
8520602,68165373920,648.0,80.6,0.845,169
8520688,68166061921,688.0,80.6,0.816,169
8520763,68166661920,599.0,80.6,0.811,169
8520844,68167309920,648.0,80.6,0.863,169
8520931,68168005916,695.0,80.6,0.889,169
8521056,68169005917,1000.0,80.6,0.733,169
8521153,68169781916,775.0,80.6,0.43,185
8521251,68170565920,784.0,80.6,0.435,185
8521365,68171477918,911.0,80.6,0.644,185
8521405,68171797920,320.0,80.6,0.577,169
8521490,68172477921,680.0,80.6,0.526,169
8521625,68173557918,1079.0,80.6,0.819,169
8521707,68174213921,656.0,80.6,0.831,169
8521790,68174877917,663.0,80.6,0.738,169
8521876,68175565918,688.0,80.6,0.82,169
8521958,68176221920,656.0,80.6,0.832,169
8522038,68176861918,639.0,80.6,0.824,169
8522118,68177501917,639.0,80.6,0.81,169
8522227,68178373920,872.0,80.6,0.632,169
8522371,68179525916,1151.0,80.6,0.796,169
8522647,68181733921,0.0,0.0,0.76,75
8522741,68182485920,751.0,79.8,0.834,73
8522835,68183237920,752.0,79.8,0.784,73
8522925,68183957920,720.0,79.8,0.725,73
8523013,68184661920,704.0,81.5,0.866,73
8523104,68185389920,728.0,82.4,0.893,73
8523195,68186117920,728.0,82.4,0.829,73
8523286,68186845920,728.0,82.4,0.873,73
8523376,68187565920,720.0,82.4,0.857,73
8523470,68188317920,752.0,82.4,0.88,73
8523565,68189077917,759.0,82.4,0.866,73
8523659,68189829917,752.0,82.4,0.807,73
8523751,68190565920,736.0,82.4,0.867,73
8523845,68191317920,752.0,81.5,0.863,73
8523939,68192069917,751.0,79.8,0.906,73
8524031,68192805920,736.0,79.8,0.857,73
8524124,68193549920,744.0,79.8,0.787,73
8524210,68194237920,688.0,79.8,0.789,73
8524296,68194925917,687.0,80.6,0.78,73
8524380,68195597917,672.0,81.5,0.858,73
8524496,68196525921,928.0,81.5,0.491,185
8524595,68197317920,791.0,81.5,0.529,169
8524657,68197813917,495.0,81.5,0.452,185
8524800,68198957920,1144.0,81.5,0.754,169
8524889,68199669920,712.0,81.5,0.705,169
8524974,68200349921,680.0,81.5,0.795,169
8525062,68201053920,703.0,81.5,0.769,73
8525150,68201757920,704.0,85.2,0.893,73
8525235,68202437920,680.0,87.2,0.879,73
8525329,68203189917,751.0,87.2,0.883,73
8525423,68203941917,752.0,87.2,0.856,73
8525521,68204725917,784.0,87.2,0.811,73
8525622,68205533921,808.0,85.2,0.827,73
8525719,68206309921,776.0,85.2,0.795,169
8525814,68207069920,759.0,85.2,0.8,169
8525849,68207349916,279.0,85.2,0.521,173
8525992,68208493921,1144.0,85.2,0.811,169
8526076,68209165921,672.0,85.2,0.791,169
8526159,68209829917,663.0,85.2,0.828,169
8526238,68210461920,632.0,85.2,0.842,73
8526314,68211069921,608.0,85.2,0.83,73
8526391,68211685920,615.0,85.2,0.831,73
8526471,68212325917,639.0,85.2,0.818,73
8526586,68213245916,919.0,85.2,0.515,169
8526656,68213805916,560.0,85.2,0.535,169
8526782,68214813917,1008.0,85.2,0.814,169
8526861,68215445917,632.0,85.2,0.822,169
8526938,68216061921,616.0,85.2,0.832,169
8527015,68216677920,615.0,85.2,0.859,169
8527088,68217261916,583.0,85.1,0.817,73
8527163,68217861920,600.0,85.2,0.855,73
8527236,68218445920,584.0,93.8,0.825,73
8527346,68219325920,880.0,93.8,0.477,185
8527453,68220181917,855.0,93.8,0.711,169
8527492,68220493920,312.0,93.8,0.531,169
8527604,68221389917,895.0,93.8,0.76,169
8527644,68221709920,320.0,93.8,0.502,169
8527761,68222645920,936.0,93.8,0.81,169
8527846,68223325919,679.0,93.8,0.798,169
8527879,68223589916,263.0,93.8,0.48,189
8527971,68224325920,736.0,93.8,0.484,185
8528025,68224757918,431.0,93.8,0.845,169
8528120,68225517920,760.0,93.8,0.9,73
8528218,68226301920,784.0,93.8,0.86,73
8528315,68227077920,776.0,93.8,0.81,73
8528351,68227365920,288.0,93.8,0.447,189
8528446,68228125916,759.0,93.8,0.506,169
8528541,68228885916,760.0,93.8,0.493,185
8528596,68229325920,440.0,93.8,0.832,169
8528687,68230053920,728.0,93.8,0.842,169
8528773,68230741921,688.0,93.8,0.858,169
8528864,68231469920,727.0,93.8,0.892,73
8528957,68232213920,744.0,93.3,0.857,73
8529055,68232997920,784.0,85.1,0.81,73
8529148,68233741920,744.0,80.6,0.808,73
8529237,68234453920,712.0,80.6,0.844,73
8529329,68235189920,736.0,80.6,0.857,73
8529416,68235885920,696.0,80.6,0.84,73
8529501,68236565917,679.0,81.5,0.869,73
8529590,68237277920,712.0,84.3,0.898,73
8529680,68237997917,719.0,83.3,0.887,73
8529770,68238717920,720.0,83.3,0.852,73
8529856,68239405920,688.0,84.3,0.839,73
8529935,68240037920,632.0,84.3,0.844,73
8530014,68240669921,632.0,86.2,0.826,73
8530128,68241581918,911.0,86.2,0.496,185
8530211,68242245920,664.0,86.2,0.515,169
8530298,68242941918,695.0,86.2,0.524,169
8530389,68243669917,727.0,86.2,0.64,169
8530473,68244341920,672.0,86.2,0.594,169
8530553,68244981917,639.0,86.2,0.519,169
8530631,68245605920,624.0,86.2,0.546,169
8530766,68246685917,1079.0,86.2,0.774,185
8530800,68246957921,272.0,86.2,0.496,189
8530885,68247637920,679.0,86.2,0.487,185
8530975,68248357920,720.0,86.2,0.489,185
8531062,68249053920,696.0,86.2,0.506,169
8531138,68249661918,607.0,86.2,0.502,169
8531228,68250381916,719.0,86.2,0.506,169
8531312,68251053920,672.0,86.2,0.53,169
8531403,68251781920,728.0,86.2,0.513,169
8531509,68252629921,848.0,86.2,0.461,185
8531573,68253141920,511.0,86.2,0.503,169
8531653,68253781920,640.0,86.2,0.52,169
8531735,68254437920,656.0,86.2,0.518,169
8531871,68255525918,1087.0,86.2,0.715,169
8531958,68256221917,695.0,86.2,0.815,169
8532013,68256661916,439.0,86.2,0.504,169
8532094,68257309920,648.0,86.2,0.518,169
8532209,68258229917,919.0,86.2,0.78,169
8532291,68258885917,656.0,86.2,0.807,169
8532374,68259549920,664.0,86.2,0.82,169
8532456,68260205920,656.0,86.2,0.82,169
8532537,68260853920,648.0,86.2,0.767,169
8532624,68261549921,696.0,86.2,0.77,169
8532705,68262197918,647.0,86.2,0.867,169
8532788,68262861920,664.0,86.2,0.908,169
8532865,68263477920,616.0,86.2,0.773,169
8532942,68264093917,615.0,86.2,0.847,169
8533023,68264741917,648.0,86.2,0.798,169
8533103,68265381916,639.0,86.2,0.804,169
8533184,68266029917,648.0,86.2,0.861,169
8533266,68266685918,656.0,86.2,0.797,169
8533353,68267381920,696.0,86.2,0.865,169
8533443,68268101916,719.0,86.2,0.846,169
8533537,68268853918,752.0,86.2,0.886,169
8533633,68269621918,768.0,86.2,0.854,169
8533725,68270357916,735.0,86.2,0.874,169
8533817,68271093917,736.0,86.2,0.85,169
8533914,68271869921,776.0,86.2,0.829,169
8534005,68272597921,728.0,86.2,0.786,169
8534093,68273301917,703.0,86.2,0.802,169
8534126,68273565920,264.0,86.2,0.504,173
8534269,68274709917,1143.0,86.2,0.735,169
8534353,68275381920,672.0,86.2,0.795,169
8534437,68276053917,671.0,86.2,0.804,169
8534500,68276557919,504.0,86.2,0.512,169
8534605,68277397918,839.0,86.2,0.779,169
8534684,68278029920,632.0,86.2,0.852,169
8534765,68278677920,648.0,86.2,0.854,169
8534845,68279317917,639.0,86.2,0.833,169
8534929,68279989920,672.0,86.2,0.82,169
8535017,68280693916,703.0,86.2,0.791,169
8535103,68281381916,688.0,86.2,0.836,169
8535188,68282061920,680.0,86.2,0.87,169
8535275,68282757920,696.0,86.2,0.849,169
8535362,68283453917,695.0,86.2,0.849,169
8535439,68284069921,616.0,86.2,0.884,169
8535525,68284757919,687.0,86.2,0.661,169
8535603,68285381916,623.0,86.2,0.909,169
8535688,68286061920,680.0,86.2,0.817,169
8535769,68286709919,647.0,86.2,0.83,169
8535852,68287373920,664.0,86.2,0.788,169
8535935,68288037921,664.0,86.2,0.883,169
8536019,68288709920,671.0,86.2,0.864,169
8536102,68289373920,664.0,86.2,0.843,169
8536180,68289997920,624.0,86.2,0.836,169
8536264,68290669920,672.0,86.2,0.873,169
8536346,68291325920,656.0,86.2,0.823,169
8536473,68292341920,1016.0,86.2,0.46,185
8536540,68292877921,536.0,86.2,0.51,169
8536601,68293365920,487.0,86.2,0.796,169
8536686,68294045917,679.0,86.2,0.587,185
8536812,68295053920,1008.0,86.2,0.482,185
8536908,68295821918,767.0,86.2,0.743,169
8536989,68296469917,647.0,86.2,0.554,169
8537086,68297245920,776.0,86.2,0.727,169
8537161,68297845920,600.0,86.2,0.745,169
8537236,68298445920,600.0,86.2,0.826,169
8537316,68299085917,639.0,86.2,0.879,169
8537431,68300005920,920.0,86.2,0.746,169
8537489,68300469921,464.0,86.2,0.709,169
8537571,68301125920,655.0,86.2,0.798,169
8537656,68301805920,680.0,86.2,0.858,169
