seq,source_t_us,t_us,rr_ms,hr_bpm,score,timing_shift_ms,timing_quality,timing_uncertainty_ms,timing_recovered,refined,correction_method,waveform_score,reference_rr_ms,matched_firmware_t_us,inserted_by_smoother,low_prominence_rescue,detector_support_count,detector_names,detector_consensus,detector_time_spread_ms,single_detector,sequence_rescued,firmware_unmatched,local_clipped,flags
8523470,68188317920,68188317920,752.0,82.41758241758242,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,728.0,68188317920,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
8523565,68189077917,68189077917,759.997,82.41758241758242,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,728.0,68189077917,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
8523659,68189829917,68189829917,752.0,82.41758241758242,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,728.0,68189829917,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
8523752,68190565920,68190573917,744.0,81.52218218577275,1.0,7.997,1.0,5.0,0,1,interval_core_consensus,1.0,728.0,68190565920,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
8523845,68191317920,68191317920,744.003,80.64516129032258,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,728.0,68191317920,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
8523939,68192069917,68192069917,751.997,80.64483610953181,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,720.001,68192069917,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
8524031,68192805920,68192805920,736.003,80.64483610953181,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,728.0,68192805920,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
8524125,68193549920,68193557921,752.001,79.78755234395882,1.0,8.001,1.0,5.0,0,1,interval_core_consensus,1.0,724.0,68193549920,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
8524210,68194237920,68194237920,679.999,79.78755234395882,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,720.0,68194237920,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
8524296,68194925917,68194925917,687.997,80.64483610953181,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,720.0,68194925917,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
