t_us,nn_ms,corrected,metric_eligible,source
68188317920,752.0,0,1,raw
68189077917,759.997,0,1,raw
68189829917,752.0,0,1,raw
68190573917,744.0,0,1,raw
68191317920,744.003,0,1,raw
68192069917,751.997,0,1,raw
68192805920,736.003,0,1,raw
68193557921,752.001,0,1,raw
68194237920,679.999,0,1,raw
68194925917,687.997,0,1,raw
68195597917,672.0,0,1,raw
68196237916,639.999,0,1,raw
68196893916,656.0,0,1,raw
68197549920,656.004,0,1,raw
68198269920,720.0,0,1,raw
68198957920,688.0,0,1,raw
68199677920,720.0,0,1,raw
68200349921,672.001,0,1,raw
68201053920,703.999,0,1,raw
68201757920,704.0,0,1,raw
68202437920,680.0,0,1,raw
68203189917,751.997,0,1,raw
68203941917,752.0,0,1,raw
68204725917,784.0,0,1,raw
68205541920,816.003,0,1,raw
68206309921,768.001,0,1,raw
68207069920,759.999,0,1,raw
68207797918,727.998,0,1,raw
68208493921,696.003,0,1,raw
68209165921,672.0,0,1,raw
68209829917,663.996,0,1,raw
68210469917,640.0,0,1,raw
68211069921,600.004,0,1,raw
68211685920,615.999,0,1,raw
68212325917,639.997,0,1,raw
68212949916,623.999,0,1,raw
68213565921,616.005,0,1,raw
68214181920,615.999,0,1,raw
68214813917,631.997,0,1,raw
68215445917,632.0,0,1,raw
68216069920,624.003,0,1,raw
68216677920,608.0,0,1,raw
68217261916,583.996,0,1,raw
68217869920,608.004,0,1,raw
68218445920,576.0,0,1,raw
68219037921,592.001,0,1,raw
68219621920,583.999,0,1,raw
68220181917,559.997,0,1,raw
68220781916,599.999,0,1,raw
68221389917,608.001,0,1,raw
68222021917,632.0,0,1,raw
68222645920,624.003,0,1,raw
68223325919,679.999,0,1,raw
68224045917,719.998,0,1,raw
68224757918,712.001,0,1,raw
68225525920,768.002,0,1,raw
68226301920,776.0,0,1,raw
68227077920,776.0,0,1,raw
68227845920,768.0,0,1,raw
68228597920,752.0,0,1,raw
68229325920,728.0,0,1,raw
68230053920,728.0,0,1,raw
68230741921,688.001,0,1,raw
68231477919,735.998,0,1,raw
68232213920,736.001,0,1,raw
68232997920,784.0,0,1,raw
68233749920,752.0,0,1,raw
68234453920,704.0,0,1,raw
68235189920,736.0,0,1,raw
68235885920,696.0,0,1,raw
68236565917,679.997,0,1,raw
68237277920,712.003,0,1,raw
68237997917,719.997,0,1,raw
68238717920,720.003,0,1,raw
68239405920,688.0,0,1,raw
68240037920,632.0,0,1,raw
68240669921,632.001,0,1,raw
68241317920,647.999,0,1,raw
68241989920,672.0,0,1,raw
68242685918,695.998,0,1,raw
68243349920,664.002,0,1,raw
68244029920,680.0,0,1,raw
68244701921,672.001,0,1,raw
68245333921,632.0,0,1,raw
68246013921,680.0,0,1,raw
68246693920,679.999,0,1,raw
68247373916,679.996,0,1,raw
68248077921,704.005,0,1,raw
68248749920,671.999,0,1,raw
68249429918,679.998,0,1,raw
68250101920,672.002,0,1,raw
68250797920,696.0,0,1,raw
68251485921,688.001,0,1,raw
68252189916,703.995,0,1,raw
68252869919,680.003,0,1,raw
68253509917,639.998,0,1,raw
68254189920,680.003,0,1,raw
68254869920,680.0,0,1,raw
68255533920,664.0,0,1,raw
68256221917,687.997,0,1,raw
68256893918,672.001,0,1,raw
68257581917,687.999,0,1,raw
68258237916,655.999,0,1,raw
68258885917,648.001,0,1,raw
68259549920,664.003,0,1,raw
68260213916,663.996,0,1,raw
68260853920,640.004,0,1,raw
68261549921,696.001,0,1,raw
68262197918,647.997,0,1,raw
68262861920,664.002,0,1,raw
68263485920,624.0,0,1,raw
68264093917,607.997,0,1,raw
68264741917,648.0,0,1,raw
68265381916,639.999,0,1,raw
68266029917,648.001,0,1,raw
68266685918,656.001,0,1,raw
68267381920,696.002,0,1,raw
68268101916,719.996,0,1,raw
68268853918,752.002,0,1,raw
68269621918,768.0,0,1,raw
68270357916,735.998,0,1,raw
68271093917,736.001,0,1,raw
68271869921,776.004,0,1,raw
68272605917,735.996,0,1,raw
68273301917,696.0,0,1,raw
68274005920,704.003,0,1,raw
68274709917,703.997,0,1,raw
68275381920,672.003,0,1,raw
68276053917,671.997,0,1,raw
68276733916,679.999,0,1,raw
68277397918,664.002,0,1,raw
68278029920,632.002,0,1,raw
68278677920,648.0,0,1,raw
68279317917,639.997,0,1,raw
68279989920,672.003,0,1,raw
68280693916,703.996,0,1,raw
68281381916,688.0,0,1,raw
68282061920,680.004,0,1,raw
68282757920,696.0,0,1,raw
68283453917,695.997,0,1,raw
68284077917,624.0,0,1,raw
68284757919,680.002,0,1,raw
68285381916,623.997,0,1,raw
68286061920,680.004,0,1,raw
68286709919,647.999,0,1,raw
68287373920,664.001,0,1,raw
68288045917,671.997,0,1,raw
68288717919,672.002,0,1,raw
68289381921,664.002,0,1,raw
68289997920,615.999,0,1,raw
68290669920,672.0,0,1,raw
68291333920,664.0,0,1,raw
68291981921,648.001,0,1,raw
68292669919,687.998,0,1,raw
68293365920,696.001,0,1,raw
68294037921,672.001,0,1,raw
68294725920,687.999,0,1,raw
68295389920,664.0,0,1,raw
68295989917,599.997,0,1,raw
68296685921,696.004,0,1,raw
68297253920,567.999,0,1,raw
68297845920,592.0,0,1,raw
68298445920,600.0,0,1,raw
68299085917,639.997,0,1,raw
68300013920,696.0015000000001,1,0,long_short_pair
68300477920,696.0015000000001,1,0,long_short_pair
68301125920,648.0,0,1,raw
68301805920,680.0,0,1,raw
68302525920,720.0,0,1,raw
68303269921,744.001,0,1,raw
68303989920,719.999,0,1,raw
68304717916,727.996,0,1,raw
68305357918,640.002,0,1,raw
68306013920,656.002,0,1,raw
68306717920,704.0,0,1,raw
68307445920,728.0,0,1,raw
68308133920,688.0,0,1,raw
68308789918,655.998,0,1,raw
68309485920,696.002,0,1,raw
68310197920,712.0,0,1,raw
68310941920,744.0,0,1,raw
68311621920,680.0,0,1,raw
68312325921,704.001,0,1,raw
