t_us,baseline_version,baseline_ready,reference_window_count,reference_start_t_us,reference_end_t_us,span_seconds,included_window_t_us,source,reason,median_hr_bpm,scale_hr_bpm,delta_median_hr_bpm,count_hr_bpm,median_rmssd_ms,scale_rmssd_ms,delta_median_rmssd_ms,count_rmssd_ms,median_total_power_ms2,scale_total_power_ms2,delta_median_total_power_ms2,count_total_power_ms2,median_vlf_ms2,scale_vlf_ms2,delta_median_vlf_ms2,count_vlf_ms2,median_lf_ms2,scale_lf_ms2,delta_median_lf_ms2,count_lf_ms2,median_hf_ms2,scale_hf_ms2,delta_median_hf_ms2,count_hf_ms2,median_lf_nu,scale_lf_nu,delta_median_lf_nu,count_lf_nu,median_hf_nu,scale_hf_nu,delta_median_hf_nu,count_hf_nu,median_lf_hf,scale_lf_hf,delta_median_lf_hf,count_lf_hf,median_median_frequency_hz,scale_median_frequency_hz,delta_median_median_frequency_hz,count_median_frequency_hz,median_resonance_share,scale_resonance_share,delta_median_resonance_share,count_resonance_share,median_lf_peak_frequency_hz,scale_lf_peak_frequency_hz,delta_median_lf_peak_frequency_hz,count_lf_peak_frequency_hz,median_lf_peak_prominence_ratio,scale_lf_peak_prominence_ratio,delta_median_lf_peak_prominence_ratio,count_lf_peak_prominence_ratio
0,0,0,0,0,0,0.000000,0,LIMITED,需要至少4段相隔约5分钟的清晰记录，先积累更长时间再形成个人参照,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
68040093920,67857493920,0,1,67857493920,67857493920,0.000000,68040093920,VALID,需要至少4段相隔约5分钟的清晰记录，先积累更长时间再形成个人参照,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
68345661920,68161861918,0,2,67857493920,68161861918,0.000000,68345661920,LIMITED,需要至少4段相隔约5分钟的清晰记录，先积累更长时间再形成个人参照,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
68649901920,68467413917,0,3,67857493920,68467413917,0.000000,68649901920,VALID,需要至少4段相隔约5分钟的清晰记录，先积累更长时间再形成个人参照,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
68955669918,68772349920,1,4,67857493920,68772349920,914.856000,68955669918,LIMITED,,82.895760,3.945736,0.000000,4,3.497282,0.150000,0.000000,4,7.760255,0.513674,0.000000,4,6.880162,0.634309,0.000000,4,6.743218,0.272306,0.000000,4,5.554682,0.180000,0.000000,4,77.154911,6.953239,0.000000,4,22.845089,6.953239,0.000000,4,1.222893,0.429217,0.000000,4,0.050822,0.015000,0.000000,4,0.281055,0.093625,0.000000,4,0.068359,0.017374,0.000000,4,1.703272,0.227217,0.000000,4
69260653920,69078029918,1,5,67857493920,69078029918,1220.535998,69260653920,LIMITED,,84.269781,7.436425,1.374021,5,3.520393,0.150000,0.023111,5,7.709940,0.490342,-0.050316,5,6.554220,0.505517,-0.325942,5,6.841712,0.399472,0.098494,5,5.564399,0.180000,0.009717,5,74.584745,8.623571,-2.570166,5,25.415255,8.623571,2.570166,5,1.076586,0.433828,-0.146306,5,0.056385,0.016495,0.005563,5,0.261520,0.129325,-0.019535,5,0.070312,0.034748,0.001953,5,1.564759,0.357904,-0.138514,5
69565789920,69382797918,1,6,67857493920,69382797918,1525.303998,69565789920,LIMITED,,82.895760,7.663948,-1.374021,6,3.541473,0.150000,0.021080,6,7.875305,0.555418,0.165366,6,6.880162,0.887068,0.325942,6,6.877938,0.426680,0.036226,6,5.673683,0.246229,0.109283,6,75.291057,8.122314,0.706312,6,24.708943,8.122314,-0.706312,6,1.114561,0.429875,0.037974,6,0.050822,0.018841,-0.005563,6,0.247729,0.093625,-0.013791,6,0.070312,0.020270,0.000000,6,1.703272,0.406169,0.138514,6
69891157921,69707629917,1,7,67857493920,69707629917,1850.135997,69891157921,LIMITED,,84.269781,7.891471,1.374021,7,3.520393,0.150000,-0.021080,7,8.040671,0.490342,0.165366,7,7.206104,0.966483,0.325942,7,6.914164,0.407281,0.036226,7,5.697009,0.225420,0.023326,7,75.997369,8.359498,0.706312,7,24.002631,8.359498,-0.706312,7,1.152535,0.503087,0.037974,7,0.045259,0.022642,-0.005563,7,0.261520,0.129325,0.013791,7,0.070312,0.023166,0.000000,7,1.564759,0.357904,-0.138514,7
70196061920,70013549920,1,8,67857493920,70013549920,2156.056000,70196061920,LIMITED,,86.777681,7.369454,2.507900,8,3.497282,0.150000,-0.023111,8,7.875305,0.616946,-0.165366,8,6.880162,1.136222,-0.325942,8,6.877938,0.457086,-0.036226,8,5.630704,0.231823,-0.066305,8,75.291057,8.078256,-0.706312,8,24.708943,8.078256,0.706312,8,1.114561,0.429875,-0.037974,8,0.050822,0.026050,0.005563,8,0.281055,0.130469,0.019535,8,0.076172,0.014479,0.005859,8,1.703272,0.428008,0.138514,8
70502469920,70318741916,1,9,67857493920,70318741916,2461.247996,70502469920,LIMITED,,89.285183,4.903354,2.507501,9,3.474171,0.152915,-0.023111,9,8.040671,0.490342,0.165366,9,7.206104,0.966483,0.325942,9,6.914164,0.453419,0.036226,9,5.645826,0.203324,0.015122,9,75.997369,8.359498,0.706312,9,24.002631,8.359498,-0.706312,9,1.152535,0.503087,0.037974,9,0.045259,0.022642,-0.005563,9,0.300590,0.103327,0.019535,9,0.070312,0.017374,-0.005859,9,1.841786,0.417927,0.138514,9
