t_us,last_committed_t_us,polarity,template_correlation,autocorr_estimated_rr_ms,firmware_expected_rr_ms,candidate_peak_count,final_peak_count,inserted_peak_count,firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason,rejected_candidate_count,long_gap_rescue_count,waveform_amplitude,commit_until_t_us,latest_sample_t_us,reinit_reason
67551709917,0,1,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0,0.000000,67551709917,0,
67556709920,0,1,0.000000,0.000000,736.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0,0.000000,67556709920,0,
67561717920,67554053920,1,0.750000,656.000500,696.000000,20,0,0,0,20,15,15,5,0.750000,0.000000,662.712249,656.000500,0.090399,dual_consensus_update,1,0,3.733918,67554419917,67561669917,
67566725920,67559341920,1,0.741935,687.998000,648.002000,31,1,0,1,31,23,23,8,0.741935,0.000000,648.413901,648.001000,0.073212,hold_previous_good_window,1,0,4.012292,67559467918,67566717918,
67571725920,67563749920,1,0.783784,652.001000,655.998000,37,0,0,0,37,29,29,8,0.783784,0.000000,654.243410,652.001000,0.063664,dual_consensus_update,1,0,4.130444,67564331920,67571581920,
67576725920,67569069920,1,0.743590,656.003000,655.999000,39,0,0,0,38,30,29,10,0.743590,0.000000,634.056732,632.000000,0.056307,hold_previous_good_window,1,0,4.507958,67569419920,67576669920,
67581733918,67574061920,1,0.783784,655.998500,635.999000,37,0,0,0,37,29,29,8,0.783784,0.000000,654.748148,655.998500,0.090396,dual_consensus_update,0,0,4.410267,67574299917,67581549917,
67586741920,67579253916,1,0.777778,664.002000,703.998000,36,1,0,0,36,28,28,8,0.777778,0.000000,663.507921,664.002000,0.125036,dual_consensus_update,0,0,4.604779,67579371920,67586621920,
67591749917,67584221918,1,0.843750,695.999000,707.999500,32,0,0,0,32,27,27,5,0.843750,0.000000,692.657268,695.999000,0.068168,dual_consensus_update,0,0,4.139297,67584499917,67591749917,
67596749918,67589157917,1,0.843750,711.998000,711.998500,32,0,0,0,32,27,27,5,0.843750,0.000000,711.842689,711.998000,0.049972,dual_consensus_update,0,0,4.281744,67589379920,67596629920,
67601749920,67594061920,1,0.870968,711.998500,711.999500,31,0,0,0,31,27,27,4,0.870968,0.000000,711.968713,711.998500,0.033322,dual_consensus_update,0,0,4.774935,67594451918,67601701918,
67606749920,67598997920,1,0.931034,691.998000,692.001000,29,0,0,0,29,27,27,2,0.931034,0.000000,693.449614,691.998000,0.042863,dual_strong_update,0,0,4.871287,67599339920,67606589920,
67611757918,67603757921,1,0.870968,707.997500,687.999000,31,0,0,0,31,27,27,4,0.870968,0.000000,709.625368,707.997500,0.058629,dual_consensus_update,0,0,4.884560,67604411921,67611661921,
67616757919,67608861920,1,0.794118,712.000500,728.000000,34,0,0,0,33,28,27,7,0.794118,0.000000,712.276287,712.000500,0.049974,dual_consensus_update,0,0,5.237826,67609507919,67616757919,
67621757920,67613837917,1,0.771429,711.997500,711.997000,35,0,0,0,34,28,27,8,0.771429,0.000000,707.067845,711.997500,0.033325,dual_consensus_update,1,0,5.339531,67614387921,67621637921,
67626765920,67619437920,1,0.843750,711.996500,699.998500,32,1,0,1,32,27,27,5,0.843750,0.000000,711.895089,711.996500,0.033320,dual_consensus_update,0,0,5.376139,67619491920,67626741920,
67631773920,67624349920,1,0.794118,696.002000,704.002000,34,1,0,1,34,27,27,7,0.794118,0.000000,700.304489,696.002000,0.034086,dual_consensus_update,0,0,5.163551,67624371920,67631621920,
67636773920,67629317921,1,0.800000,688.000000,692.000000,35,1,0,1,35,28,28,7,0.800000,0.000000,688.145946,688.000000,0.051714,dual_consensus_update,0,0,4.795268,67629443920,67636693920,
67641773920,67634341920,1,0.805556,672.000000,679.999000,36,1,0,1,36,29,29,7,0.805556,0.000000,675.617723,672.000000,0.052953,dual_consensus_update,0,0,4.358599,67634507921,67641757921,
67646773920,67639077916,1,0.707317,680.000000,672.001000,41,0,0,0,41,29,29,12,0.707317,0.000000,664.038399,659.999000,0.062899,hold_previous_good_window,0,0,4.176460,67639419920,67646669920,
67651781920,67644133918,1,0.700000,631.999000,700.001500,40,0,0,0,40,28,28,12,0.700000,0.000000,664.038399,680.000000,0.069765,hold_previous_good_window,1,0,4.143933,67644523918,67651773918,
67656781921,67649093920,1,0.666667,704.001000,723.998500,42,0,0,0,42,28,28,14,0.666667,0.000000,664.038399,687.999000,0.086200,hold_previous_good_window,0,0,4.389042,67649395920,67656645920,
67661789918,67654325920,1,0.729730,744.000000,692.000500,37,1,0,1,37,27,27,10,0.729730,0.000000,664.038399,708.000000,0.058635,hold_previous_good_window,1,0,5.005076,67654451921,67661701921,
