t_us,firmware_t_us,waveform_t_us,final_t_us,timing_shift_ms,no_firmware_match,inserted_by_smoother,timing_recovered,low_prominence_rescue,detector_support_count,detector_names,detector_consensus,detector_time_spread_ms,single_detector,sequence_rescued,firmware_unmatched,local_clipped,waveform_score,peak_prominence,peak_polarity,expected_rr_ms,match_distance_ms,recovery_reason,template_version
67551813920,67551813920,67551813920,67551813920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,2.211746,1,688.000500,0.000000,,v0.4.2-interval-artifact
67552565920,67552565920,67552565920,67552565920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.241016,1,687.999406,0.000000,,v0.4.2-interval-artifact
67553317921,67553309920,67553317921,67553317921,8.001000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.947132,1,664.000000,8.001000,,v0.4.2-interval-artifact
67554053920,67554053920,67554053920,67554053920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.542038,1,656.000500,0.000000,,v0.4.2-interval-artifact
67554789917,67554781920,67554789917,67554789917,7.997000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,2.570863,1,648.001000,7.997000,,v0.4.2-interval-artifact
67555477920,67555477920,67555477920,67555477920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.377308,1,743.999500,0.000000,,v0.4.2-interval-artifact
67556141920,67556141920,67556141920,67556141920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.424358,1,648.001000,0.000000,,v0.4.2-interval-artifact
67556829918,67556821917,67556829918,67556829918,8.001000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,2.266692,1,648.001000,8.001000,,v0.4.2-interval-artifact
67557445919,67557445919,67557445919,67557445919,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.785766,1,735.997000,0.000000,,v0.4.2-interval-artifact
67558093920,67558341920,67558093920,67558093920,-248.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.709693,1,648.001000,248.000000,,v0.4.2-interval-artifact
67558701918,0,67558701918,67558701918,0.000000,1,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,1,0,1.000000,3.029889,1,648.001000,0.000000,,v0.4.2-interval-artifact
67559341920,67559333917,67559341920,67559341920,8.003000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,2.333259,1,687.998000,8.003000,,v0.4.2-interval-artifact
67559949917,67559941920,67559949917,67559949917,7.997000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.549553,1,648.001000,7.997000,,v0.4.2-interval-artifact
67560565920,67560565920,67560565920,67560565920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.413424,1,648.001500,0.000000,,v0.4.2-interval-artifact
67561197920,67561197920,67561197920,67561197920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.550993,1,648.002000,0.000000,,v0.4.2-interval-artifact
67561829920,67561829920,67561829920,67561829920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.645999,1,652.001000,0.000000,,v0.4.2-interval-artifact
67562453917,67562445921,67562453917,67562453917,7.996000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.306387,1,632.000000,7.996000,,v0.4.2-interval-artifact
67563101918,67563101918,67563101918,67563101918,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.632374,1,623.997000,0.000000,,v0.4.2-interval-artifact
67563749920,67563749920,67563749920,67563749920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.884720,1,632.000000,0.000000,,v0.4.2-interval-artifact
67564421920,67564421920,67564421920,67564421920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.066371,1,632.000000,0.000000,,v0.4.2-interval-artifact
67565069921,67565069921,67565069921,67565069921,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,1.673707,1,648.002000,0.000000,,v0.4.2-interval-artifact
67565677917,67565669920,67565677917,67565677917,7.997000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,1,1.000000,4.488756,1,648.001000,7.997000,,v0.4.2-interval-artifact
67566397920,67566397920,67566397920,67566397920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,5.922487,1,648.001000,0.000000,,v0.4.2-interval-artifact
67567077917,67567069920,67567077917,67567077917,7.997000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.764250,1,648.001000,7.997000,,v0.4.2-interval-artifact
67567733920,67567733920,67567733920,67567733920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.811138,1,640.002000,0.000000,,v0.4.2-interval-artifact
67568389920,67568389920,67568389920,67568389920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.746289,1,632.000000,0.000000,,v0.4.2-interval-artifact
67569069920,67569069920,67569069920,67569069920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,5.867953,1,632.000000,0.000000,,v0.4.2-interval-artifact
67569749920,67569749920,67569749920,67569749920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.582721,1,632.000000,0.000000,,v0.4.2-interval-artifact
67570405918,67570405918,67570405918,67570405918,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.599025,1,636.001000,0.000000,,v0.4.2-interval-artifact
67571061917,67571061917,67571061917,67571061917,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.273489,1,640.000500,0.000000,,v0.4.2-interval-artifact
67571685917,67571685917,67571685917,67571685917,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.084516,1,648.001000,0.000000,,v0.4.2-interval-artifact
67572293920,67572293920,67572293920,67572293920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.694016,1,648.001500,0.000000,,v0.4.2-interval-artifact
67572885916,67572885916,67572885916,67572885916,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.493422,1,652.000000,0.000000,,v0.4.2-interval-artifact
67573469920,0,67573469920,67573469920,0.000000,1,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,1,0,1.000000,3.377502,1,655.998500,0.000000,,v0.4.2-interval-artifact
67574061920,0,67574061920,67574061920,0.000000,1,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,1,0,1.000000,3.539785,1,655.999000,0.000000,,v0.4.2-interval-artifact
67574653920,67574413918,67574653920,67574653920,240.002000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.382329,1,655.999000,240.002000,,v0.4.2-interval-artifact
67575253920,0,67575253920,67575253920,0.000000,1,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,1,0,1.000000,3.535526,1,656.000000,0.000000,,v0.4.2-interval-artifact
67575853917,67575853917,67575853917,67575853917,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,5.425928,1,655.999500,0.000000,,v0.4.2-interval-artifact
67576453921,67576453921,67576453921,67576453921,0.000000,0,1,1,0,1,multiscale,0.760812,28.000000,1,1,0,1,0.760812,0.318680,1,663.996000,0.000000,sequence_rescued+timing_recovered,v0.4.2-interval-artifact
67577141918,67577429920,67577141918,67577141918,-288.002000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,6.617658,1,663.996000,288.002000,,v0.4.2-interval-artifact
67577861918,0,67577861918,67577861918,0.000000,1,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,1,1,1.000000,4.947126,1,663.996000,0.000000,,v0.4.2-interval-artifact
67578589920,67578829917,67578589920,67578589920,-239.997000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,5.247311,1,663.996000,239.997000,,v0.4.2-interval-artifact
67579253916,0,67579253916,67579253916,0.000000,1,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,1,0,1.000000,3.484187,1,664.002000,0.000000,,v0.4.2-interval-artifact
67579917918,67579917918,67579917918,67579917918,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,6.729341,1,680.000000,0.000000,,v0.4.2-interval-artifact
67580581918,0,67580581918,67580581918,0.000000,1,1,1,0,1,multiscale,0.780064,28.000000,1,1,1,1,0.780064,0.884002,1,680.000000,0.000000,sequence_rescued+timing_recovered,v0.4.2-interval-artifact
67580909917,67580909917,67580909917,67580909917,0.000000,0,0,0,0,2,multiscale+elgendi_like,0.929764,0.000000,0,0,0,0,0.929764,0.835592,1,672.001000,0.000000,,v0.4.2-interval-artifact
67581293918,67581293918,67581293918,67581293918,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.050640,1,680.000000,0.000000,,v0.4.2-interval-artifact
67582093920,67582085916,67582093920,67582093920,8.004000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.873793,1,680.000000,8.004000,,v0.4.2-interval-artifact
67582773920,67582765920,67582773920,67582773920,8.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.223343,1,680.000000,8.000000,,v0.4.2-interval-artifact
67583509917,67583509917,67583509917,67583509917,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.077744,1,691.998000,0.000000,,v0.4.2-interval-artifact
67584221918,67584221918,67584221918,67584221918,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.817250,1,695.999000,0.000000,,v0.4.2-interval-artifact
67584917920,67584917920,67584917920,67584917920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,1,1.000000,3.576772,1,695.999000,0.000000,,v0.4.2-interval-artifact
67585621918,67585621918,67585621918,67585621918,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.894274,1,700.000000,0.000000,,v0.4.2-interval-artifact
67586341921,67586341921,67586341921,67586341921,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,5.127977,1,707.996500,0.000000,,v0.4.2-interval-artifact
67587061920,67587061920,67587061920,67587061920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.476215,1,711.998000,0.000000,,v0.4.2-interval-artifact
67587797920,67587797920,67587797920,67587797920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.480710,1,712.001000,0.000000,,v0.4.2-interval-artifact
67588493916,67588493916,67588493916,67588493916,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.566356,1,712.002500,0.000000,,v0.4.2-interval-artifact
67589157917,67589157917,67589157917,67589157917,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.419355,1,711.998000,0.000000,,v0.4.2-interval-artifact
67589821917,67589821917,67589821917,67589821917,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.597894,1,703.998000,0.000000,,v0.4.2-interval-artifact
67590509917,67590501920,67590509917,67590509917,7.997000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.505369,1,707.996500,7.997000,,v0.4.2-interval-artifact
67591221921,67591221921,67591221921,67591221921,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.253699,1,711.998000,0.000000,,v0.4.2-interval-artifact
67591893920,67591893920,67591893920,67591893920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.293622,1,711.998000,0.000000,,v0.4.2-interval-artifact
67592613921,67592613921,67592613921,67592613921,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,5.601666,1,712.001000,0.000000,,v0.4.2-interval-artifact
67593325916,67593317920,67593325916,67593325916,7.996000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.790572,1,711.998500,7.996000,,v0.4.2-interval-artifact
67594061920,67594061920,67594061920,67594061920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.906543,1,711.998500,0.000000,,v0.4.2-interval-artifact
67594781920,67594781920,67594781920,67594781920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,5.587194,1,707.998000,0.000000,,v0.4.2-interval-artifact
67595509921,67595501918,67595509921,67595509921,8.003000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.567410,1,707.996500,8.003000,,v0.4.2-interval-artifact
67596197921,67596197921,67596197921,67596197921,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.462977,1,703.998000,0.000000,,v0.4.2-interval-artifact
67596861920,67596861920,67596861920,67596861920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.332910,1,703.995500,0.000000,,v0.4.2-interval-artifact
67597549917,67597549917,67597549917,67597549917,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,5.082010,1,691.998000,0.000000,,v0.4.2-interval-artifact
67598261920,67598261920,67598261920,67598261920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.219389,1,691.998000,0.000000,,v0.4.2-interval-artifact
67598997920,67598997920,67598997920,67598997920,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.400378,1,691.998000,0.000000,,v0.4.2-interval-artifact
