t_us,score_t_us,latest_data_t_us,baseline_version,uses_future_data
0,0,0,0,0
0,0,0,0,0
67552213920,67552213920,67552213920,0,0
67572885916,67572885916,67572885916,0,0
67572885916,67572885916,67572885916,0,0
67593325916,67593325916,67593325916,0,0
67572885916,67572885916,67572885916,0,0
67613837917,67613837917,67613837917,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67655053920,67655053920,67655053920,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67675453921,67675453921,67675453921,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67715677920,67715677920,67715677920,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67735733920,67735733920,67735733920,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67755925918,67755925918,67755925918,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67755925918,67755925918,67755925918,0,0
67776373920,67776373920,67776373920,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67755925918,67755925918,67755925918,0,0
67796957921,67796957921,67796957921,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67755925918,67755925918,67755925918,0,0
67817037918,67817037918,67817037918,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67755925918,67755925918,67755925918,0,0
67817037918,67817037918,67817037918,0,0
67837373920,67837373920,67837373920,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67755925918,67755925918,67755925918,0,0
67817037918,67817037918,67817037918,0,0
67857493920,67857493920,67857493920,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67755925918,67755925918,67755925918,0,0
67817037918,67817037918,67817037918,0,0
67877589920,67877589920,67877589920,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67755925918,67755925918,67755925918,0,0
67817037918,67817037918,67817037918,0,0
67877589920,67877589920,67877589920,0,0
67897765920,67897765920,67897765920,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67755925918,67755925918,67755925918,0,0
67817037918,67817037918,67817037918,0,0
67877589920,67877589920,67877589920,0,0
67918109917,67918109917,67918109917,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67755925918,67755925918,67755925918,0,0
67817037918,67817037918,67817037918,0,0
67877589920,67877589920,67877589920,0,0
67938645920,67938645920,67938645920,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67755925918,67755925918,67755925918,0,0
67817037918,67817037918,67817037918,0,0
67877589920,67877589920,67877589920,0,0
67938645920,67938645920,67938645920,0,0
67958869916,67958869916,67958869916,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67755925918,67755925918,67755925918,0,0
67817037918,67817037918,67817037918,0,0
67877589920,67877589920,67877589920,0,0
67938645920,67938645920,67938645920,0,0
67979597917,67979597917,67979597917,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67755925918,67755925918,67755925918,0,0
67817037918,67817037918,67817037918,0,0
67877589920,67877589920,67877589920,0,0
67938645920,67938645920,67938645920,0,0
67999725920,67999725920,67999725920,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67755925918,67755925918,67755925918,0,0
67817037918,67817037918,67817037918,0,0
67877589920,67877589920,67877589920,0,0
67938645920,67938645920,67938645920,0,0
67999725920,67999725920,67999725920,0,0
68019797920,68019797920,68019797920,0,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67755925918,67755925918,67755925918,0,0
67817037918,67817037918,67817037918,0,0
67877589920,67877589920,67877589920,0,0
67938645920,67938645920,67938645920,0,0
67999725920,67999725920,67999725920,0,0
68040093920,68040093920,68040093920,67857493920,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67755925918,67755925918,67755925918,0,0
67817037918,67817037918,67817037918,0,0
67877589920,67877589920,67877589920,0,0
67938645920,67938645920,67938645920,0,0
67999725920,67999725920,67999725920,0,0
68060517920,68060517920,68060517920,67857493920,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
67755925918,67755925918,67755925918,0,0
67817037918,67817037918,67817037918,0,0
67877589920,67877589920,67877589920,0,0
67938645920,67938645920,67938645920,0,0
67999725920,67999725920,67999725920,0,0
68060517920,68060517920,68060517920,67857493920,0
68080565920,68080565920,68080565920,67857493920,0
67572885916,67572885916,67572885916,0,0
67634341920,67634341920,67634341920,0,0
67695533920,67695533920,67695533920,0,0
