t_us,sample_drop_count,beat_drop_count,metric_drop_count,sample_queue_depth,sample_queue_high_water
67554907242,0,0,0,0,3
67559908240,0,0,0,0,3
67564909237,0,0,0,0,3
67569909239,0,0,0,0,3
67574909240,0,0,0,0,3
67579910231,0,0,0,0,3
67584910231,0,0,0,0,3
67589910231,0,0,0,0,3
67594910231,0,0,0,0,3
67599910231,0,0,0,0,3
67604910231,0,0,0,0,3
67609910231,0,0,0,0,3
67614910231,0,0,0,0,3
67619910231,0,0,0,0,3
67624910231,0,0,0,0,3
67629910231,0,0,0,0,3
67634910231,0,0,0,0,3
67639910231,0,0,0,0,3
67644910231,0,0,0,0,3
67649910231,0,0,0,0,3
67654910231,0,0,0,0,3
67659910231,0,0,0,0,3
67664910231,0,0,0,0,3
67669910231,0,0,0,0,3
67674910231,0,0,0,0,3
67679910231,0,0,0,0,3
67684910231,0,0,0,0,3
67689910231,0,0,0,0,3
67694910231,0,0,0,0,3
67699910231,0,0,0,0,3
67704910231,0,0,0,0,3
67709910231,0,0,0,0,3
67714910231,0,0,0,0,3
67719910231,0,0,0,0,3
67724910231,0,0,0,0,3
67729910231,0,0,0,0,3
67734910231,0,0,0,0,3
67739910231,0,0,0,0,3
67744910231,0,0,0,0,3
67749910231,0,0,0,0,3
67754910231,0,0,0,0,3
67759910231,0,0,0,0,3
67764910231,0,0,0,0,3
67769910231,0,0,0,0,3
67774910231,0,0,0,0,3
67779910231,0,0,0,0,3
67784910231,0,0,0,0,3
67789910231,0,0,0,0,3
67794910231,0,0,0,0,3
67799910231,0,0,0,0,3
67804910231,0,0,0,0,3
67809910231,0,0,0,0,3
67814910231,0,0,0,0,3
67819910231,0,0,0,0,3
67824910231,0,0,0,0,3
67829910231,0,0,0,0,3
67834910231,0,0,0,0,3
67839910231,0,0,0,0,3
67844910231,0,0,0,0,3
67849910231,0,0,0,0,3
67854910231,0,0,0,0,3
67859910231,0,0,0,0,3
67864910231,0,0,0,0,3
67869910231,0,0,0,0,3
67874910231,0,0,0,0,3
67879910231,0,0,0,0,3
67884910231,0,0,0,0,3
67889910231,0,0,0,0,3
67894910231,0,0,0,0,3
67899910231,0,0,0,0,3
67904910231,0,0,0,0,3
67909910231,0,0,0,0,3
67914910231,0,0,0,0,3
67919910231,0,0,0,0,3
67924910231,0,0,0,0,3
67929910342,0,0,0,0,3
67934911664,0,0,0,0,3
67939911671,0,0,0,0,3
67944911671,0,0,0,0,3
67949912237,0,0,0,0,3
67954912241,0,0,0,0,3
67959913237,0,0,0,0,3
67964913239,0,0,0,0,3
67969914237,0,0,0,0,3
67974914237,0,0,0,0,3
67979914237,0,0,0,0,3
67984914238,0,0,0,0,3
67989914239,0,0,0,0,3
67994915237,0,0,0,0,3
67999915237,0,0,0,0,3
68004915240,0,0,0,0,3
68009916237,0,0,0,0,3
68014916240,0,0,0,0,3
68019917237,0,0,0,0,3
68024917237,0,0,0,0,3
68029917237,0,0,0,0,3
68034917240,0,0,0,0,3
68039918231,0,0,0,0,3
68044918231,0,0,0,0,3
68049918231,0,0,0,0,3
68054918231,0,0,0,0,3
68059918231,0,0,0,0,3
68064918231,0,0,0,0,3
68069918231,0,0,0,0,3
68074918231,0,0,0,0,3
68079918231,0,0,0,0,3
68084918231,0,0,0,0,3
68089918231,0,0,0,0,3
68094918231,0,0,0,0,3
68099918231,0,0,0,0,3
68104918231,0,0,0,0,3
68109918231,0,0,0,0,3
68114918231,0,0,0,0,3
68119918231,0,0,0,0,3
68124918231,0,0,0,0,3
68129918231,0,0,0,0,3
68134918231,0,0,0,0,3
68139918231,0,0,0,0,3
68144918231,0,0,0,0,3
68149918231,0,0,0,0,3
68154918231,0,0,0,0,3
68159918231,0,0,0,0,3
68164918231,0,0,0,0,3
68169918231,0,0,0,0,3
68174918231,0,0,0,0,3
68179918231,0,0,0,0,3
68184918231,0,0,0,0,3
68189918231,0,0,0,0,3
68194918231,0,0,0,0,3
68199918231,0,0,0,0,3
68204918231,0,0,0,0,3
68209918231,0,0,0,0,3
68214918231,0,0,0,0,3
68219918231,0,0,0,0,3
68224918231,0,0,0,0,3
68229918231,0,0,0,0,3
68234918231,0,0,0,0,3
68239918231,0,0,0,0,3
68244918231,0,0,0,0,3
68249918231,0,0,0,0,3
68254918231,0,0,0,0,3
68259918231,0,0,0,0,3
68264918231,0,0,0,0,3
68269918231,0,0,0,0,3
68274918231,0,0,0,0,3
68279918231,0,0,0,0,3
68284918231,0,0,0,0,3
68289918231,0,0,0,0,3
68294918231,0,0,0,0,3
68299918231,0,0,0,0,3
68304918231,0,0,0,0,3
68309918231,0,0,0,0,3
68314918231,0,0,0,0,3
68319918231,0,0,0,0,3
68324918231,0,0,0,0,3
68329918231,0,0,0,0,3
68334918231,0,0,0,0,3
68339918231,0,0,0,0,3
68344918231,0,0,0,0,3
68349918231,0,0,0,0,3
68354918231,0,0,0,0,3
68359918231,0,0,0,0,3
68364918231,0,0,0,0,3
68369918231,0,0,0,0,3
68374918231,0,0,0,0,3
68379918231,0,0,0,0,3
68384918231,0,0,0,0,3
68389918231,0,0,0,0,3
68394918231,0,0,0,0,3
68399918231,0,0,0,0,3
68404918231,0,0,0,0,3
68409918231,0,0,0,0,3
68414918231,0,0,0,0,3
68419918231,0,0,0,0,3
68424918231,0,0,0,0,3
68429918231,0,0,0,0,3
68434918231,0,0,0,0,3
68439918231,0,0,0,0,3
68444918231,0,0,0,0,3
68449918231,0,0,0,0,3
68454918231,0,0,0,0,3
68459918231,0,0,0,0,3
68464918231,0,0,0,0,3
68469918231,0,0,0,0,3
68474918231,0,0,0,0,3
68479918231,0,0,0,0,3
68484918231,0,0,0,0,3
68489918231,0,0,0,0,3
68494918231,0,0,0,0,3
68499918240,0,0,0,0,3
68504919653,0,0,0,0,3
68509919656,0,0,0,0,3
68514919657,0,0,0,0,3
68519919667,0,0,0,0,3
68524919673,0,0,0,0,3
68529919677,0,0,0,0,3
68534920242,0,0,0,0,3
68539921237,0,0,0,0,3
68544921239,0,0,0,0,3
68549922238,0,0,0,0,3
68554922238,0,0,0,0,3
68559922240,0,0,0,0,3
68564923237,0,0,0,0,3
68569923237,0,0,0,0,3
68574923242,0,0,0,0,3
68579924240,0,0,0,0,3
68584924241,0,0,0,0,3
68589925237,0,0,0,0,3
68594925237,0,0,0,0,3
68599925237,0,0,0,0,3
68604925237,0,0,0,0,3
68609925242,0,0,0,0,3
68614926231,0,0,0,0,3
68619926231,0,0,0,0,3
68624926231,0,0,0,0,3
68629926231,0,0,0,0,3
68634926231,0,0,0,0,3
68639926231,0,0,0,0,3
68644926231,0,0,0,0,3
68649926231,0,0,0,0,3
68654926231,0,0,0,0,3
68659926231,0,0,0,0,3
68664926231,0,0,0,0,3
68669926231,0,0,0,0,3
68674926231,0,0,0,0,3
68679926231,0,0,0,0,3
68684926231,0,0,0,0,3
68689926231,0,0,0,0,3
68694926231,0,0,0,0,3
68699926231,0,0,0,0,3
68704926231,0,0,0,0,3
68709926231,0,0,0,0,3
68714926231,0,0,0,0,3
68719926231,0,0,0,0,3
68724926231,0,0,0,0,3
68729926231,0,0,0,0,3
68734926231,0,0,0,0,3
68739926231,0,0,0,0,3
68744926235,0,0,0,0,3
68749927659,0,0,0,0,3
68754927664,0,0,0,0,3
68759927667,0,0,0,0,3
68764927667,0,0,0,0,3
68769927679,0,0,0,0,3
68774928240,0,0,0,0,3
68779929239,0,0,0,0,3
68784930238,0,0,0,0,3
68789931237,0,0,0,0,3
68794931237,0,0,0,0,3
68799931239,0,0,0,0,3
68804932237,0,0,0,0,3
68809932237,0,0,0,0,3
68814932238,0,0,0,0,3
68819933237,0,0,0,0,3
68824933237,0,0,0,0,3
68829933239,0,0,0,0,3
68834934231,0,0,0,0,3
68839934231,0,0,0,0,3
68844934231,0,0,0,0,3
68849934231,0,0,0,0,3
68854934231,0,0,0,0,3
68859934231,0,0,0,0,3
68864934231,0,0,0,0,3
68869934231,0,0,0,0,3
68874934231,0,0,0,0,3
68879934231,0,0,0,0,3
68884934231,0,0,0,0,3
68889934231,0,0,0,0,3
68894934231,0,0,0,0,3
68899934231,0,0,0,0,3
68904934231,0,0,0,0,3
68909934231,0,0,0,0,3
68914934231,0,0,0,0,3
68919934231,0,0,0,0,3
68924934231,0,0,0,0,3
68929934231,0,0,0,0,3
68934934231,0,0,0,0,3
68939934231,0,0,0,0,3
68944934231,0,0,0,0,3
68949934231,0,0,0,0,3
68954934231,0,0,0,0,3
68959934231,0,0,0,0,3
68964934231,0,0,0,0,3
68969934231,0,0,0,0,3
68974934231,0,0,0,0,3
68979934231,0,0,0,0,3
68984934231,0,0,0,0,3
68989934231,0,0,0,0,3
68994934235,0,0,0,0,3
68999935664,0,0,0,0,3
69004936242,0,0,0,0,3
69009937237,0,0,0,0,3
69014937237,0,0,0,0,3
69019937242,0,0,0,0,3
69024938239,0,0,0,0,3
69029938241,0,0,0,0,3
69034939237,0,0,0,0,3
69039939237,0,0,0,0,3
69044939237,0,0,0,0,3
69049939237,0,0,0,0,3
69054939240,0,0,0,0,3
69059940237,0,0,0,0,3
69064940237,0,0,0,0,3
69069940241,0,0,0,0,3
69074941241,0,0,0,0,3
69079942231,0,0,0,0,3
69084942231,0,0,0,0,3
69089942231,0,0,0,0,3
69094942231,0,0,0,0,3
69099942231,0,0,0,0,3
69104942231,0,0,0,0,3
69109942231,0,0,0,0,3
69114942231,0,0,0,0,3
69119942231,0,0,0,0,3
69124942231,0,0,0,0,3
69129942231,0,0,0,0,3
69134942231,0,0,0,0,3
69139942231,0,0,0,0,3
69144942231,0,0,0,0,3
69149942231,0,0,0,0,3
69154942231,0,0,0,0,3
69159942231,0,0,0,0,3
69164942231,0,0,0,0,3
69169942231,0,0,0,0,3
69174942231,0,0,0,0,3
69179942231,0,0,0,0,3
69184942231,0,0,0,0,3
69189942231,0,0,0,0,3
69194942231,0,0,0,0,3
69199942231,0,0,0,0,3
69204942231,0,0,0,0,3
69209942231,0,0,0,0,3
69214942231,0,0,0,0,3
69219942231,0,0,0,0,3
69224942231,0,0,0,0,3
69229942231,0,0,0,0,3
69234942231,0,0,0,0,3
69239942231,0,0,0,0,3
69244942231,0,0,0,0,3
69249942231,0,0,0,0,3
69254942231,0,0,0,0,3
69259942231,0,0,0,0,3
69264942231,0,0,0,0,3
69269942231,0,0,0,0,3
69274942231,0,0,0,0,3
69279942231,0,0,0,0,3
69284942231,0,0,0,0,3
69289942231,0,0,0,0,3
69294942231,0,0,0,0,3
69299942231,0,0,0,0,3
69304942231,0,0,0,0,3
69309942231,0,0,0,0,3
69314942231,0,0,0,0,3
69319942231,0,0,0,0,3
69324942231,0,0,0,0,3
69329942231,0,0,0,0,3
69334942231,0,0,0,0,3
69339942231,0,0,0,0,3
69344942231,0,0,0,0,3
69349942231,0,0,0,0,3
69354942231,0,0,0,0,3
69359942231,0,0,0,0,3
69364942231,0,0,0,0,3
69369942231,0,0,0,0,3
69374942241,0,0,0,0,3
69379943663,0,0,0,0,3
69384943665,0,0,0,0,3
69389944238,0,0,0,0,3
69394944240,0,0,0,0,3
69399945239,0,0,0,0,3
69404946237,0,0,0,0,3
69409946238,0,0,0,0,3
69414947237,0,0,0,0,3
69419947239,0,0,0,0,3
69424948237,0,0,0,0,3
69429948237,0,0,0,0,3
69434948237,0,0,0,0,3
69439948238,0,0,0,0,3
69444948242,0,0,0,0,3
69449949237,0,0,0,0,3
69454949240,0,0,0,0,3
69459950231,0,0,0,0,3
69464950231,0,0,0,0,3
69469950231,0,0,0,0,3
69474950231,0,0,0,0,3
69479950231,0,0,0,0,3
69484950231,0,0,0,0,3
69489950231,0,0,0,0,3
69494950231,0,0,0,0,3
69499950231,0,0,0,0,3
69504950231,0,0,0,0,3
69509950231,0,0,0,0,3
69514950231,0,0,0,0,3
69519950231,0,0,0,0,3
69524950231,0,0,0,0,3
69529950231,0,0,0,0,3
69534950231,0,0,0,0,3
69539950231,0,0,0,0,3
69544950231,0,0,0,0,3
69549950231,0,0,0,0,3
69554950231,0,0,0,0,3
69559950231,0,0,0,0,3
69564950231,0,0,0,0,3
69569950231,0,0,0,0,3
69574950231,0,0,0,0,3
69579950231,0,0,0,0,3
69584950231,0,0,0,0,3
69589950231,0,0,0,0,3
69594950231,0,0,0,0,3
69599950231,0,0,0,0,3
69604950231,0,0,0,0,3
69609950231,0,0,0,0,3
69614950231,0,0,0,0,3
69619950231,0,0,0,0,3
69624950231,0,0,0,0,3
69629950231,0,0,0,0,3
69634950231,0,0,0,0,3
69639950231,0,0,0,0,3
69644950231,0,0,0,0,3
69649950231,0,0,0,0,3
69654950231,0,0,0,0,3
69659950231,0,0,0,0,3
69664950231,0,0,0,0,3
69669950231,0,0,0,0,3
69674950231,0,0,0,0,3
69679950231,0,0,0,0,3
69684950231,0,0,0,0,3
69689950231,0,0,0,0,3
69694950231,0,0,0,0,3
69699950231,0,0,0,0,3
69704950231,0,0,0,0,3
69709950231,0,0,0,0,3
69714950231,0,0,0,0,3
69719950231,0,0,0,0,3
69724950231,0,0,0,0,3
69729950231,0,0,0,0,3
69734950231,0,0,0,0,3
69739950231,0,0,0,0,3
69744950231,0,0,0,0,3
69749950231,0,0,0,0,3
69754950231,0,0,0,0,3
69759950231,0,0,0,0,3
69764950231,0,0,0,0,3
69769950231,0,0,0,0,3
69774950231,0,0,0,0,3
69779950231,0,0,0,0,3
69784950231,0,0,0,0,3
69789950231,0,0,0,0,3
69794950231,0,0,0,0,3
69799950231,0,0,0,0,3
69804950231,0,0,0,0,3
69809950231,0,0,0,0,3
69814950231,0,0,0,0,3
69819950231,0,0,0,0,3
