t_us,rmssd_ms,valid_rr_count,artifact_ratio,valid
67552133916,0.0,29,0.0,0
67572133917,84.89,52,0.0,1
67592133921,68.23,60,0.0,1
67612141920,43.86,60,0.0,1
67632149920,24.23,60,0.0,1
67652149920,27.22,60,0.0,1
67672157920,30.2,60,0.0,1
67692165920,34.42,60,0.0,1
67712173921,33.56,60,0.0,1
67732181921,34.62,60,0.0,1
67752189918,34.85,60,0.0,1
67772189920,28.94,60,0.0,1
67792189920,29.04,60,0.0,1
67812189921,28.64,60,0.0,1
67832197920,29.42,60,0.0,1
67852197920,31.08,60,0.0,1
67872197920,32.22,60,0.0,1
67892197920,31.23,60,0.0,1
67912205920,33.54,60,0.0,1
67932205921,38.9,60,0.0,1
67952213920,42.78,60,0.0,1
67972213920,39.33,60,0.0,1
67992221921,33.6,60,0.0,1
68012229920,106.17,60,0.0,1
68032229920,108.54,60,0.0,1
68052237920,109.31,60,0.0,1
68072237921,35.81,60,0.0,1
68092237921,36.66,60,0.0,1
68112245918,37.96,60,0.0,1
68132245918,36.46,60,0.0,1
68152245921,39.02,60,0.0,1
68172253920,38.06,60,0.0,1
68192261917,35.76,60,0.0,1
68212261920,41.29,60,0.0,1
68232261920,47.2,60,0.0,1
68252261920,42.38,60,0.0,1
68272261920,42.38,60,0.0,1
68292269917,42.38,60,0.0,1
68312269920,42.38,60,0.0,1
68332269920,42.38,60,0.0,1
68352277920,42.38,60,0.0,1
68372277920,42.38,60,0.0,1
68392285920,42.38,60,0.0,1
68412285920,42.38,60,0.0,1
68432285920,42.38,60,0.0,1
68452285920,42.38,60,0.0,1
68472293920,42.38,60,0.0,1
68492301917,42.38,60,0.0,1
68512301917,42.38,60,0.0,1
68532301919,42.38,60,0.0,1
68552301920,42.38,60,0.0,1
68572301921,43.94,60,0.0,1
68592309920,45.78,60,0.0,1
68612317920,31.3,60,0.0,1
68632317920,28.7,60,0.0,1
68652317921,28.7,60,0.0,1
68672325920,28.7,60,0.0,1
68692325920,28.7,60,0.0,1
68712325920,28.7,60,0.0,1
68732325920,28.7,60,0.0,1
68752325920,28.7,60,0.0,1
68772325920,28.7,60,0.0,1
68792325920,28.7,60,0.0,1
68812325920,28.7,60,0.0,1
68832325920,28.7,60,0.0,1
68852325920,28.7,60,0.0,1
68872333920,28.7,60,0.0,1
68892341921,28.7,60,0.0,1
68912349921,28.7,60,0.0,1
68932357920,28.7,60,0.0,1
68952357921,28.7,60,0.0,1
68972365920,34.04,60,0.0,1
68992365920,34.04,60,0.0,1
69012365920,34.04,60,0.0,1
69032365920,34.04,60,0.0,1
69052373920,34.04,60,0.0,1
69072381916,34.04,60,0.0,1
69092381920,34.04,60,0.0,1
