t_us,window_start_t_us,window_end_t_us,beat_count,firmware_beat_count,insertion_ratio,recovery_ratio,dual_detector_ratio,single_detector_ratio,detector_consensus_mean,detector_time_spread_p95_ms,sequence_rescue_ratio,local_clip_ratio,firmware_unmatched_ratio,offset_p50_ms,offset_p95_ms,offset_signed_p50_ms,adjacent_offset_change_p95_ms,firmware_rr_rmssd_ms,firmware_rr_sdnn_ms,final_rr_rmssd_ms,final_rr_sdnn_ms,clipping_ratio
0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67552213920,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67572885916,67553317921,67572885916,31,29,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.032258,0.032258,0.000000,8.002100,0.000000,152.000400,98.905372,84.969080,34.458507,37.507843,0.035485
67593325916,67573469920,67593325916,31,30,0.064516,0.064516,0.935484,0.064516,0.982924,0.000000,0.064516,0.129032,0.193548,0.000000,240.001000,0.000000,240.001250,257.560945,149.113235,106.474931,96.731354,0.056785
67613837917,67594061920,67613837917,29,29,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.034483,0.000000,0.000000,4.801200,0.000000,8.002650,24.295417,29.603633,23.702702,29.603664,0.025327
67634341920,67614565920,67634341920,30,27,0.000000,0.000000,1.000000,0.000000,0.998407,0.000000,0.000000,0.033333,0.033333,0.000000,132.800000,0.000000,241.999300,136.872795,97.568760,22.978437,41.987974,0.012000
67655053920,67635677918,67655053920,29,28,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.275862,0.000000,288.003000,0.000000,304.003000,209.701926,125.608155,27.839860,48.221569,0.003466
67675453921,67655733920,67675453921,30,29,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.033333,0.000000,8.002000,0.000000,8.002000,24.050318,18.856511,22.425203,18.142500,0.007998
67695533920,67676165917,67695533920,29,29,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.034483,0.000000,138.001400,0.000000,258.404200,152.561652,94.167960,31.439056,42.582540,0.013596
67715677920,67696221918,67715677920,28,27,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.071429,0.000000,253.999000,0.000000,254.399200,190.855868,123.857084,31.689329,48.098497,0.014929
67735733920,67716405918,67735733920,29,28,0.000000,0.000000,1.000000,0.000000,0.998071,0.000000,0.000000,0.034483,0.068966,0.000000,8.004000,0.000000,8.004000,78.573916,50.132162,28.306775,40.726023,0.011467
67755925918,67736341920,67755925918,31,30,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.032258,0.000000,8.003550,0.000000,8.004000,31.206245,31.169663,83.404206,89.272601,0.002400
67776373920,67756533921,67776373920,28,28,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.071429,0.000000,260.001500,0.000000,283.200200,131.078389,88.688334,24.506565,43.064428,0.000000
67796957921,67777173917,67796957921,30,29,0.000000,0.000000,1.000000,0.000000,0.998685,0.000000,0.000000,0.000000,0.033333,0.000000,152.000600,0.000000,166.800400,145.839583,94.783353,21.961265,36.964928,0.000000
67817037918,67797605920,67817037918,33,30,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.181818,0.000000,176.000000,0.000000,254.000750,150.223291,114.595834,33.635189,39.472959,0.001600
