t_us,seq,revision,rr_raw_ms,reference_rr_ms,robust_scale_ms,artifact_class,status,resolved,corrected_rr_ms,split_count,paired_index,paired_t_us,confidence,metric_eligible,detector_support_count,detector_consensus,local_clipped,reason,evidence
67552565920,8444001,1,752.000000,688.000500,65.231435,accepted,accepted,1,752.000000,1,-1,0,0.967442,1,2,1.000000,0,,ref=688.0ms scale=65.2ms anchors=0+8 cv=0.095 side_diff=0.000 stable=1
67553317921,8444095,1,752.001000,687.998000,71.163317,accepted,accepted,1,752.001000,1,-1,0,0.967440,1,2,1.000000,0,,ref=688.0ms scale=71.2ms anchors=1+8 cv=0.103 side_diff=0.106 stable=1
67554053920,8444187,1,735.999000,675.999000,71.161093,accepted,accepted,1,735.999000,1,-1,0,0.968935,1,2,1.000000,0,,ref=676.0ms scale=71.2ms anchors=2+8 cv=0.105 side_diff=0.136 stable=1
67554789917,8444279,1,735.997000,664.000000,71.163317,accepted,accepted,1,735.997000,1,-1,0,0.962050,1,2,1.000000,0,,ref=664.0ms scale=71.2ms anchors=3+8 cv=0.107 side_diff=0.155 stable=1
67555477920,8444365,1,688.003000,656.000500,65.235883,accepted,accepted,1,688.003000,1,-1,0,0.982926,1,2,1.000000,0,,ref=656.0ms scale=65.2ms anchors=4+8 cv=0.099 side_diff=0.169 stable=1
67556141920,8444448,1,664.000000,648.001000,59.306965,accepted,accepted,1,664.000000,1,-1,0,0.991359,1,2,1.000000,0,,ref=648.0ms scale=59.3ms anchors=5+8 cv=0.092 side_diff=0.165 stable=1
67556829918,8444534,1,687.998000,644.001500,47.446165,accepted,accepted,1,687.998000,1,-1,0,0.976089,1,2,1.000000,0,,ref=644.0ms scale=47.4ms anchors=6+8 cv=0.074 side_diff=0.165 stable=1
67557445919,8444611,1,616.001000,648.001000,59.299552,accepted,accepted,1,616.001000,1,-1,0,0.982716,1,2,1.000000,0,,ref=648.0ms scale=59.3ms anchors=7+8 cv=0.092 side_diff=0.158 stable=1
67558093920,8444692,1,648.001000,644.001500,47.446165,accepted,accepted,1,648.001000,1,-1,0,0.997826,1,2,1.000000,0,,ref=644.0ms scale=47.4ms anchors=8+8 cv=0.074 side_diff=0.125 stable=1
67558701918,8444768,1,607.998000,648.001000,41.514283,accepted,accepted,1,607.998000,1,-1,0,0.978393,1,2,1.000000,0,,ref=648.0ms scale=41.5ms anchors=8+8 cv=0.064 side_diff=0.085 stable=1
67559341920,8444848,1,640.002000,648.001000,41.514283,accepted,accepted,1,640.002000,1,-1,0,0.995680,1,2,1.000000,0,,ref=648.0ms scale=41.5ms anchors=8+8 cv=0.064 side_diff=0.067 stable=1
67559949917,8444924,1,607.997000,648.001000,35.000000,accepted,accepted,1,607.997000,1,-1,0,0.978393,1,2,1.000000,0,,ref=648.0ms scale=35.0ms anchors=8+8 cv=0.046 side_diff=0.025 stable=1
67560565920,8445001,1,616.003000,644.001500,35.000000,accepted,accepted,1,616.003000,1,-1,0,0.984783,1,2,1.000000,0,,ref=644.0ms scale=35.0ms anchors=8+8 cv=0.046 side_diff=0.006 stable=1
67561197920,8445080,1,632.000000,644.001500,35.584624,accepted,accepted,1,632.000000,1,-1,0,0.993477,1,2,1.000000,0,,ref=644.0ms scale=35.6ms anchors=8+8 cv=0.055 side_diff=0.031 stable=1
67561829920,8445159,1,632.000000,644.001500,41.510576,accepted,accepted,1,632.000000,1,-1,0,0.993477,1,2,1.000000,0,,ref=644.0ms scale=41.5ms anchors=8+8 cv=0.064 side_diff=0.038 stable=1
67562453917,8445237,1,623.997000,644.001500,35.000000,accepted,accepted,1,623.997000,1,-1,0,0.989128,1,2,1.000000,0,,ref=644.0ms scale=35.0ms anchors=8+8 cv=0.046 side_diff=0.044 stable=1
67563101918,8445318,1,648.001000,644.001500,35.000000,accepted,accepted,1,648.001000,1,-1,0,0.997826,1,2,1.000000,0,,ref=644.0ms scale=35.0ms anchors=8+8 cv=0.037 side_diff=0.044 stable=1
67563749920,8445399,1,648.002000,644.001500,35.584624,accepted,accepted,1,648.002000,1,-1,0,0.997826,1,2,1.000000,0,,ref=644.0ms scale=35.6ms anchors=8+8 cv=0.055 side_diff=0.056 stable=1
67564421920,8445483,1,672.000000,648.001000,35.000000,accepted,accepted,1,672.000000,1,-1,0,0.987038,1,2,1.000000,0,,ref=648.0ms scale=35.0ms anchors=8+8 cv=0.046 side_diff=0.055 stable=1
67565069921,8445564,1,648.001000,652.000000,35.580176,accepted,accepted,1,648.001000,1,-1,0,0.997853,1,2,1.000000,0,,ref=652.0ms scale=35.6ms anchors=8+8 cv=0.055 side_diff=0.055 stable=1
67565677917,8445640,1,607.996000,655.998500,35.000000,accepted,accepted,1,607.996000,1,-1,0,0.974389,1,2,1.000000,1,,ref=656.0ms scale=35.0ms anchors=8+8 cv=0.045 side_diff=0.043 stable=1
67566397920,8445730,1,720.003000,652.000000,35.000000,accepted,accepted,1,720.003000,1,-1,0,0.963495,1,2,1.000000,0,,ref=652.0ms scale=35.0ms anchors=8+8 cv=0.045 side_diff=0.025 stable=1
67567077917,8445815,1,679.997000,652.000000,35.000000,accepted,accepted,1,679.997000,1,-1,0,0.984971,1,2,1.000000,0,,ref=652.0ms scale=35.0ms anchors=8+8 cv=0.045 side_diff=0.012 stable=1
67567733920,8445897,1,656.003000,652.000000,41.510576,accepted,accepted,1,656.003000,1,-1,0,0.997851,1,2,1.000000,0,,ref=652.0ms scale=41.5ms anchors=8+8 cv=0.064 side_diff=0.012 stable=1
67568389920,8445979,1,656.000000,655.998000,35.580917,accepted,accepted,1,656.000000,1,-1,0,0.999999,1,2,1.000000,0,,ref=656.0ms scale=35.6ms anchors=8+7 cv=0.054 side_diff=0.006 stable=1
67569069920,8446064,1,680.000000,655.998500,35.000000,accepted,accepted,1,680.000000,1,-1,0,0.987194,1,2,1.000000,0,,ref=656.0ms scale=35.0ms anchors=8+6 cv=0.045 side_diff=0.025 stable=1
67569749920,8446149,1,680.000000,655.999000,35.579435,accepted,accepted,1,680.000000,1,-1,0,0.987195,1,2,1.000000,0,,ref=656.0ms scale=35.6ms anchors=8+5 cv=0.054 side_diff=0.062 stable=1
67570405918,8446231,1,655.998000,655.999500,35.583141,accepted,accepted,1,655.998000,1,-1,0,0.999999,1,2,1.000000,0,,ref=656.0ms scale=35.6ms anchors=8+4 cv=0.054 side_diff=0.081 stable=1
67571061917,8446313,1,655.999000,656.000000,35.582400,accepted,accepted,1,655.999000,1,-1,0,0.999999,1,2,1.000000,0,,ref=656.0ms scale=35.6ms anchors=8+3 cv=0.054 side_diff=0.094 stable=1
67571685917,8446391,1,624.000000,656.001500,35.577952,accepted,accepted,1,624.000000,1,-1,0,0.982926,1,2,1.000000,0,,ref=656.0ms scale=35.6ms anchors=8+2 cv=0.054 side_diff=0.107 stable=1
67572293920,8446467,1,608.003000,656.000000,35.577952,accepted,accepted,1,608.003000,1,-1,0,0.974392,1,2,1.000000,0,,ref=656.0ms scale=35.6ms anchors=8+1 cv=0.054 side_diff=0.103 stable=1
67572885916,8446541,1,591.996000,655.999500,35.000000,accepted,accepted,1,591.996000,1,-1,0,0.965852,1,2,1.000000,0,,ref=656.0ms scale=35.0ms anchors=8+0 cv=0.027 side_diff=0.000 stable=1
67568389920,8445979,2,656.000000,652.000000,41.510576,accepted,accepted,1,656.000000,1,-1,0,0.997853,1,2,1.000000,0,,ref=652.0ms scale=41.5ms anchors=8+8 cv=0.064 side_diff=0.019 stable=1
67569069920,8446064,2,680.000000,652.000000,41.510576,accepted,accepted,1,680.000000,1,-1,0,0.984969,1,2,1.000000,0,,ref=652.0ms scale=41.5ms anchors=8+8 cv=0.064 side_diff=0.063 stable=1
67569749920,8446149,2,680.000000,651.999500,41.512800,accepted,accepted,1,680.000000,1,-1,0,0.984969,1,2,1.000000,0,,ref=652.0ms scale=41.5ms anchors=8+8 cv=0.064 side_diff=0.101 stable=1
67570405918,8446231,2,655.998000,636.000500,59.301776,accepted,accepted,1,655.998000,1,-1,0,0.988995,1,2,1.000000,0,,ref=636.0ms scale=59.3ms anchors=8+8 cv=0.093 side_diff=0.114 stable=1
67571061917,8446313,2,655.999000,616.001500,41.515024,accepted,accepted,1,655.999000,1,-1,0,0.977274,1,2,1.000000,0,,ref=616.0ms scale=41.5ms anchors=8+8 cv=0.067 side_diff=0.114 stable=1
67571685917,8446391,2,624.000000,632.000500,53.376565,accepted,accepted,1,624.000000,1,-1,0,0.995569,1,2,1.000000,0,,ref=632.0ms scale=53.4ms anchors=8+8 cv=0.084 side_diff=0.114 stable=1
67572293920,8446467,2,608.003000,639.999000,59.304000,accepted,accepted,1,608.003000,1,-1,0,0.982502,1,2,1.000000,0,,ref=640.0ms scale=59.3ms anchors=8+8 cv=0.093 side_diff=0.096 stable=1
67572885916,8446541,2,591.996000,639.999000,59.304000,accepted,accepted,1,591.996000,1,-1,0,0.973748,1,2,1.000000,0,,ref=640.0ms scale=59.3ms anchors=8+8 cv=0.093 side_diff=0.089 stable=1
67573469920,8446614,1,584.004000,639.999000,59.305483,accepted,accepted,1,584.004000,1,-1,0,0.969378,1,2,1.000000,0,,ref=640.0ms scale=59.3ms anchors=8+8 cv=0.093 side_diff=0.089 stable=1
67574061920,8446688,1,592.000000,639.999000,59.305483,accepted,accepted,1,592.000000,1,-1,0,0.973751,1,2,1.000000,0,,ref=640.0ms scale=59.3ms anchors=8+8 cv=0.093 side_diff=0.013 stable=1
67574653920,8446762,1,592.000000,639.999000,59.304000,accepted,accepted,1,592.000000,1,-1,0,0.973751,1,2,1.000000,0,,ref=640.0ms scale=59.3ms anchors=8+8 cv=0.093 side_diff=0.075 stable=1
