t_us,observed_at_t_us,candidate_index,support_count,detector_names,detector_score,prominence,reference_rr_ms,primary_t_us,secondary_t_us,sequence_score,combined_score,left_gap_ms,right_gap_ms,decision,reason
67551813920,67559237920,13,2,multiscale+elgendi_like,1.000000,2.211746,688.000500,67551813920,67551813920,0.000000,1.000000,0.000000,0.000000,selected,committed_waveform_candidate
67552565920,67559845920,107,2,multiscale+elgendi_like,1.000000,3.241016,687.999406,67552565920,67552565920,0.000000,1.000000,0.000000,0.000000,selected,committed_waveform_candidate
67552869920,67560253918,145,1,multiscale,0.610975,0.235713,675.999000,67552869920,0,0.000000,0.476561,304.000000,0.000000,rejected_single,combined_score=0.477
67552869920,67560653920,145,1,multiscale,0.610524,0.214693,664.000000,67552869920,0,0.014239,0.479341,304.000000,0.000000,rejected_single,combined_score=0.479
67553317921,67560653920,201,2,multiscale+elgendi_like,1.000000,3.947132,664.000000,67553317921,67553317921,0.000000,1.000000,0.000000,0.000000,selected,committed_waveform_candidate
67554053920,67561461920,293,2,multiscale+elgendi_like,1.000000,3.542038,656.000500,67554053920,67554053920,0.000000,1.000000,0.000000,0.000000,selected,committed_waveform_candidate
67554373921,67561669917,333,1,multiscale,0.708672,0.560911,656.000500,67554373921,0,0.068738,0.567887,320.001000,0.000000,rejected_single,combined_score=0.568
67554373921,67561869920,333,1,multiscale,0.707386,0.579848,656.000500,67554373921,0,0.068738,0.566883,320.001000,0.000000,rejected_single,combined_score=0.567
67554373921,67562069920,333,1,multiscale,0.708289,0.532802,648.001000,67554373921,0,0.079687,0.569996,320.001000,0.000000,rejected_single,combined_score=0.570
67554789917,67562069920,385,2,multiscale+elgendi_like,1.000000,2.570863,648.001000,67554789917,67554789917,0.000000,1.000000,0.000000,0.000000,selected,committed_waveform_candidate
67555477920,67562869920,471,2,multiscale+elgendi_like,1.000000,4.377308,743.999500,67555477920,67555477920,0.000000,1.000000,0.000000,0.000000,selected,committed_waveform_candidate
