t_us,window_start_t_us,window_end_t_us,sample_count,raw_min,raw_p05,raw_p50,raw_p95,raw_max,avg_p05,avg_p50,avg_p95,filtered_p05,filtered_p50,filtered_p95,filtered_std,filtered_peak_to_peak,clip_low_ratio,clip_high_ratio,wear_ratio,wear_transition_count,max_no_wear_run_ms,candidate_count,detector_score_p50,expected_rr_ms_p50,firmware_hr_bpm_p50,firmware_hr_zero_ratio,effective_sample_rate_hz,timing_jitter_p95_ms,sqi,sqi_wear_ratio,sqi_clip_low_ratio,sqi_clip_high_ratio,transport_score,transport_status,contact_score,contact_status,protocol_error_ratio,protocol_seq_gaps,sample_drop_count,sample_queue_depth,sample_queue_high_water,corrector_reference_rr_ms,corrector_autocorr_confidence,corrector_polarity,corrector_candidate_count,corrector_selected_count,corrector_inserted_count,corrector_firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason
67551709917,67551709917,67551709917,1,255.000000,255.000000,255.000000,255.000000,255.000000,202.000000,202.000000,202.000000,14.000000,14.000000,14.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,0,0.575000,704.000000,84.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,INVALID,0.000000,INVALID,0.000000,0,0,0,0,0.000000,0.000000,1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,
67556709920,67551717920,67556709920,625,0.000000,44.000000,144.000000,365.800000,423.000000,42.800000,147.000000,351.800000,-120.400000,-18.000000,172.800000,88.382255,374.000000,0.030400,0.000000,1.000000,0,0.000000,32,0.517000,728.000000,82.400000,0.000000,125.000000,0.004000,0.923008,1.000000,0.030400,0.000000,0.978370,VALID,0.901200,VALID,0.001658,0,0,0,3,0.000000,0.000000,1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,
67561717920,67556725920,67561717920,625,40.000000,70.000000,144.000000,382.800000,412.000000,77.200000,150.000000,368.400000,-97.000000,-35.000000,174.800000,88.096376,317.000000,0.000000,0.000000,1.000000,0,0.000000,41,0.551000,712.000000,82.400000,0.000000,125.000000,0.004000,0.995754,1.000000,0.000000,0.000000,0.989234,VALID,1.000000,VALID,0.000789,0,0,0,3,656.000500,0.750000,1,20,0,0,0,20,15,15,5,0.750000,0.000000,662.712249,656.000500,0.090399,dual_consensus_update
67566725920,67561725920,67566725920,626,0.000000,8.000000,149.500000,428.750000,563.000000,16.750000,155.000000,410.000000,-150.000000,-26.000000,219.000000,115.767190,510.000000,0.044728,0.000000,1.000000,0,0.000000,33,0.528500,680.000000,88.200000,0.000000,125.000000,0.004000,0.896386,1.000000,0.044728,0.000000,0.992412,VALID,0.854633,VALID,0.000535,0,0,0,3,687.998000,0.741935,1,31,1,0,1,31,23,23,8,0.741935,0.000000,648.413901,648.001000,0.073212,hold_previous_good_window
67571725920,67566725920,67571725920,626,39.000000,52.000000,107.000000,452.750000,505.000000,57.250000,108.000000,428.750000,-119.000000,-69.000000,227.750000,119.989031,386.000000,0.000000,0.000000,1.000000,0,0.000000,38,0.517000,662.400000,90.400000,0.000000,125.000000,0.004000,0.997678,1.000000,0.000000,0.000000,0.994045,VALID,1.000000,VALID,0.000404,0,0,0,3,652.001000,0.783784,1,37,0,0,0,37,29,29,8,0.783784,0.000000,654.243410,652.001000,0.063664,dual_consensus_update
67576725920,67571725920,67576725920,626,0.000000,20.000000,118.000000,414.750000,548.000000,31.250000,121.000000,392.500000,-128.000000,-53.000000,203.500000,110.538016,487.000000,0.019169,0.000000,1.000000,0,0.000000,39,0.528500,643.200000,91.500000,0.000000,125.000000,0.004000,0.954977,1.000000,0.019169,0.000000,0.995119,VALID,0.937700,VALID,0.000318,0,0,0,3,656.003000,0.743590,1,39,0,0,0,38,30,29,10,0.743590,0.000000,634.056732,632.000000,0.056307,hold_previous_good_window
67581733918,67576733921,67581733918,626,0.000000,0.000000,161.500000,524.750000,699.000000,1.000000,164.000000,507.250000,-176.750000,-17.000000,300.500000,148.660054,647.000000,0.130990,0.000000,1.000000,0,0.000000,33,0.523000,643.200000,91.500000,0.000000,125.000000,0.004000,0.703656,1.000000,0.130990,0.000000,0.995812,VALID,0.574281,INVALID,0.000263,0,0,0,3,655.998500,0.783784,1,37,0,0,0,37,29,29,8,0.783784,0.000000,654.748148,655.998500,0.090396,dual_consensus_update
67586741920,67581749918,67586741920,625,0.000000,0.000000,140.000000,508.800000,636.000000,5.000000,143.000000,493.000000,-172.800000,-37.000000,289.400000,145.061081,586.000000,0.120000,0.000000,1.000000,0,0.000000,28,0.564000,673.600000,91.500000,0.000000,125.000000,0.004000,0.728565,1.000000,0.120000,0.000000,0.996262,VALID,0.610000,INVALID,0.000227,0,0,0,3,664.002000,0.777778,1,36,1,0,0,36,28,28,8,0.777778,0.000000,663.507921,664.002000,0.125036,dual_consensus_update
67591749917,67586749920,67591749917,626,0.000000,0.000000,122.000000,504.500000,603.000000,15.250000,124.500000,477.000000,-156.000000,-61.000000,279.750000,138.919695,524.000000,0.052716,0.000000,1.000000,0,0.000000,32,0.510500,705.600000,84.300000,0.000000,125.000000,0.004000,0.880105,1.000000,0.052716,0.000000,0.996637,VALID,0.828674,VALID,0.000197,0,0,0,3,695.999000,0.843750,1,32,0,0,0,32,27,27,5,0.843750,0.000000,692.657268,695.999000,0.068168,dual_consensus_update
67596749918,67591757920,67596749918,625,0.000000,26.000000,117.000000,500.600000,589.000000,32.000000,121.000000,469.800000,-144.000000,-58.000000,273.000000,135.687705,509.000000,0.017600,0.000000,1.000000,0,0.000000,29,0.514000,702.400000,86.200000,0.000000,125.000000,0.004000,0.959220,1.000000,0.017600,0.000000,0.996899,VALID,0.942800,VALID,0.000176,0,0,0,3,711.998000,0.843750,1,32,0,0,0,32,27,27,5,0.843750,0.000000,711.842689,711.998000,0.049972,dual_consensus_update
