t_us,window_start_t_us,window_end_t_us,rr_count,welch_vlf_power,welch_lf_power,welch_hf_power,welch_lf_hf_ratio,lomb_vlf_ratio,lomb_lf_ratio,lomb_hf_ratio,welch_peak_hz,lomb_peak_hz,spectral_agreement,band_power_agreement,interpolation_agreement,pchip_vs_linear_diff,waveform_inserted_ratio,timing_recovered_ratio,timing_shift_delta_p95_ms,dual_detector_ratio,single_detector_ratio,detector_consensus_mean,detector_time_spread_p95_ms,sequence_rescue_ratio,local_clip_ratio,firmware_unmatched_ratio,transport_status,contact_status,quality,rejection_reason
0,-300000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,INVALID,INVALID,LIMITED,频域窗口积累中
0,-300000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,INVALID,INVALID,LIMITED,频域窗口积累中
67552213920,67252213920,67552213920,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中
67572885916,67272885916,67572885916,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：20/300 秒
67593325916,67293325916,67593325916,62,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：41/300 秒
67613837917,67313837917,67613837917,91,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：61/300 秒
67634341920,67334341920,67634341920,121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：82/300 秒
67655053920,67355053920,67655053920,151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：102/300 秒
67675453921,67375453921,67675453921,181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：123/300 秒
67695533920,67395533920,67695533920,210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：143/300 秒
67715677920,67415677920,67715677920,238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：163/300 秒
