host_read_start_ns,host_read_end_ns,read_duration_ms,bytes_read,decoded_message_count,sample_count,first_sample_seq,last_sample_seq,first_sample_t_us,last_sample_t_us,serial_in_waiting,protocol_ok_frames,crc_errors,format_errors,resync_count,sample_seq_gaps
67541750000000,67542281000000,531.0,4096,66,64,8443894,8443957,67551709917,67552213920,52,66,0,1,1,0
67542281000000,67542812000000,531.0,4096,67,67,8443958,8444024,67552221919,67552749920,55,133,0,1,1,0
67542812000000,67543328000000,516.0,4096,66,65,8444025,8444089,67552757920,67553269917,42,199,0,1,1,0
67543343000000,67543875000000,532.0,4096,68,67,8444090,8444156,67553277920,67553805921,44,267,0,1,1,0
67543875000000,67544390000000,515.0,4096,67,66,8444157,8444222,67553813920,67554333918,74,334,0,1,1,0
67544406000000,67544937000000,531.0,4096,67,67,8444223,8444289,67554341921,67554869920,39,401,0,1,1,0
67544937000000,67545453000000,516.0,4096,68,66,8444290,8444355,67554877918,67555397916,77,469,0,1,1,0
67545468000000,67545984000000,516.0,4096,67,66,8444356,8444421,67555405918,67555925920,51,536,0,1,1,0
67545984000000,67546515000000,531.0,4096,66,66,8444422,8444487,67555933920,67556453920,38,602,0,1,1,0
67546515000000,67547046000000,531.0,4096,68,67,8444488,8444554,67556461921,67556989921,80,670,0,1,1,0
67547062000000,67547578000000,516.0,4096,67,66,8444555,8444620,67556997917,67557517917,50,737,0,1,1,0
67547578000000,67548109000000,531.0,4096,67,66,8444621,8444686,67557525920,67558045920,32,804,0,1,1,0
67548109000000,67548640000000,531.0,4096,66,66,8444687,8444752,67558053921,67558573920,48,870,0,1,1,0
67548640000000,67549156000000,516.0,4096,66,65,8444753,8444817,67558581920,67559093918,149,936,0,1,1,0
67549171000000,67549671000000,500.0,4096,66,65,8444818,8444882,67559101919,67559613920,103,1002,0,1,1,0
67549687000000,67550187000000,500.0,4096,66,64,8444883,8444946,67559621916,67560125917,102,1068,0,1,1,0
67550203000000,67550718000000,515.0,4096,66,66,8444947,8445012,67560133916,67560653920,143,1134,0,1,1,0
67550734000000,67551234000000,500.0,4096,66,65,8445013,8445077,67560661920,67561173917,132,1200,0,1,1,0
67551250000000,67551765000000,515.0,4096,66,65,8445078,8445142,67561181920,67561693920,178,1266,0,1,1,0
67551781000000,67552281000000,500.0,4096,66,65,8445143,8445207,67561701920,67562213916,122,1332,0,1,1,0
67552296000000,67552796000000,500.0,4096,66,66,8445208,8445273,67562221920,67562741918,231,1398,0,1,1,0
67552828000000,67553328000000,500.0,4096,66,65,8445274,8445338,67562749917,67563261917,198,1464,0,1,1,0
67553359000000,67553859000000,500.0,4096,68,67,8445339,8445405,67563269920,67563797920,126,1532,0,1,1,0
67553875000000,67554390000000,515.0,4096,67,66,8445406,8445471,67563805918,67564325917,163,1599,0,1,1,0
67554406000000,67554921000000,515.0,4096,67,66,8445472,8445537,67564333917,67564853918,111,1666,0,1,1,0
67554937000000,67555453000000,516.0,4096,68,67,8445538,8445604,67564861917,67565389916,155,1734,0,1,1,0
67555468000000,67555984000000,516.0,4096,67,66,8445605,8445670,67565397920,67565917917,140,1801,0,1,1,0
67556000000000,67556515000000,515.0,4096,67,66,8445671,8445736,67565925920,67566445920,117,1868,0,1,1,0
67556531000000,67557031000000,500.0,4096,67,66,8445737,8445802,67566453918,67566973918,222,1935,0,1,1,0
67557062000000,67557562000000,500.0,4096,67,66,8445803,8445868,67566981920,67567501920,154,2002,0,1,1,0
67557578000000,67558093000000,515.0,4096,66,66,8445869,8445934,67567509920,67568029920,194,2068,0,1,1,0
67558109000000,67558625000000,516.0,4096,67,66,8445935,8446000,67568037917,67568557917,175,2135,0,1,1,0
67558640000000,67559156000000,516.0,4096,67,66,8446001,8446066,67568565917,67569085920,137,2202,0,1,1,0
67559171000000,67559687000000,516.0,4096,68,67,8446067,8446133,67569093917,67569621916,203,2270,0,1,1,0
67559703000000,67560203000000,500.0,4096,68,66,8446134,8446199,67569629920,67570149917,170,2338,0,1,1,0
67560234000000,67560750000000,516.0,4096,67,67,8446200,8446266,67570157917,67570685919,244,2405,0,1,1,0
67560781000000,67561281000000,500.0,4096,67,66,8446267,8446332,67570693917,67571213918,235,2472,0,1,1,0
67561312000000,67561812000000,500.0,4096,67,66,8446333,8446398,67571221920,67571741917,150,2539,0,1,1,0
67561828000000,67562328000000,500.0,4096,68,66,8446399,8446464,67571749918,67572269920,201,2607,0,1,1,0
67562359000000,67562859000000,500.0,4096,67,66,8446465,8446530,67572277916,67572797920,242,2674,0,1,1,0
67562890000000,67563390000000,500.0,4096,67,66,8446531,8446596,67572805920,67573325916,212,2741,0,1,1,0
67563421000000,67563921000000,500.0,4096,67,67,8446597,8446663,67573333917,67573861920,158,2808,0,1,1,0
67563953000000,67564453000000,500.0,4096,66,65,8446664,8446728,67573869920,67574381917,154,2874,0,1,1,0
67564468000000,67564953000000,485.0,4096,66,65,8446729,8446793,67574389920,67574901916,195,2940,0,1,1,0
67564984000000,67565484000000,500.0,4096,67,65,8446794,8446858,67574909915,67575421920,151,3007,0,1,1,0
67565500000000,67566000000000,500.0,4096,65,64,8446859,8446922,67575429917,67575933918,322,3072,0,1,1,0
67566046000000,67566531000000,485.0,4096,67,67,8446923,8446989,67575941921,67576469920,247,3139,0,1,1,0
67566562000000,67567046000000,484.0,4096,66,65,8446990,8447054,67576477921,67576989918,154,3205,0,1,1,0
67567062000000,67567578000000,516.0,4096,66,65,8447055,8447119,67576997920,67577509917,172,3271,0,1,1,0
67567593000000,67568093000000,500.0,4096,67,66,8447120,8447185,67577517920,67578037920,146,3338,0,1,1,0
67568125000000,67568625000000,500.0,4096,66,65,8447186,8447250,67578045921,67578557920,174,3404,0,1,1,0
67568640000000,67569140000000,500.0,4096,65,64,8447251,8447314,67578565920,67579069920,157,3469,0,1,1,0
67569156000000,67569671000000,515.0,4096,67,67,8447315,8447381,67579077920,67579605920,163,3536,0,1,1,0
67569687000000,67570187000000,500.0,4096,66,64,8447382,8447445,67579613918,67580117921,165,3602,0,1,1,0
67570203000000,67570703000000,500.0,4096,67,66,8447446,8447511,67580125916,67580645920,410,3669,0,1,1,0
67570765000000,67571234000000,469.0,4096,66,65,8447512,8447576,67580653920,67581165920,180,3735,0,1,1,0
67571250000000,67571750000000,500.0,4096,66,65,8447577,8447641,67581173920,67581685921,150,3801,0,1,1,0
67571765000000,67572265000000,500.0,4096,65,65,8447642,8447706,67581693920,67582205916,200,3866,0,1,1,0
67572296000000,67572796000000,500.0,4096,67,66,8447707,8447772,67582213920,67582733917,189,3933,0,1,1,0
67572812000000,67573328000000,516.0,4096,67,66,8447773,8447838,67582741921,67583261920,243,4000,0,1,1,0
67573359000000,67573843000000,484.0,4096,67,66,8447839,8447904,67583269920,67583789920,156,4067,0,1,1,0
67573875000000,67574390000000,515.0,4096,67,67,8447905,8447971,67583797920,67584325918,237,4134,0,1,1,0
67574421000000,67574921000000,500.0,4096,67,66,8447972,8448037,67584333917,67584853920,166,4201,0,1,1,0
67574937000000,67575437000000,500.0,4096,68,66,8448038,8448103,67584861916,67585381917,135,4269,0,1,1,0
67575453000000,67575968000000,515.0,4096,67,66,8448104,8448169,67585389920,67585909920,169,4336,0,1,1,0
67576000000000,67576515000000,515.0,4096,67,67,8448170,8448236,67585917920,67586445921,217,4403,0,1,1,0
67576531000000,67577046000000,515.0,4096,68,67,8448237,8448303,67586453920,67586981920,144,4471,0,1,1,0
67577062000000,67577578000000,516.0,4096,67,66,8448304,8448369,67586989921,67587509920,175,4538,0,1,1,0
67577593000000,67578093000000,500.0,4096,67,66,8448370,8448435,67587517920,67588037917,128,4605,0,1,1,0
67578125000000,67578640000000,515.0,4096,67,67,8448436,8448502,67588045920,67588573921,184,4672,0,1,1,0
67578656000000,67579171000000,515.0,4096,67,66,8448503,8448568,67588581916,67589101921,183,4739,0,1,1,0
67579187000000,67579687000000,500.0,4096,67,66,8448569,8448634,67589109917,67589629920,146,4806,0,1,1,0
67579718000000,67580218000000,500.0,4096,67,65,8448635,8448699,67589637921,67590149917,195,4873,0,1,1,0
67580234000000,67580750000000,516.0,4096,67,67,8448700,8448766,67590157921,67590685920,150,4940,0,1,1,0
67580765000000,67581281000000,516.0,4096,67,66,8448767,8448832,67590693920,67591213920,178,5007,0,1,1,0
67581296000000,67581812000000,516.0,4096,67,66,8448833,8448898,67591221921,67591741916,112,5074,0,1,1,0
67581828000000,67582328000000,500.0,4096,68,66,8448899,8448964,67591749917,67592269918,165,5142,0,1,1,0
67582359000000,67582859000000,500.0,4096,67,67,8448965,8449031,67592277920,67592805920,159,5209,0,1,1,0
67582890000000,67583390000000,500.0,4096,66,65,8449032,8449096,67592813921,67593325916,128,5275,0,1,1,0
67583406000000,67583921000000,515.0,4096,68,67,8449097,8449163,67593333918,67593861916,174,5343,0,1,1,0
67583937000000,67584453000000,516.0,4096,67,66,8449164,8449229,67593869920,67594389917,105,5410,0,1,1,0
67584468000000,67584984000000,516.0,4096,67,66,8449230,8449295,67594397920,67594917917,156,5477,0,1,1,0
67585000000000,67585500000000,500.0,4096,67,66,8449296,8449361,67594925918,67595445918,250,5544,0,1,1,0
67585546000000,67586046000000,500.0,4096,67,66,8449362,8449427,67595453920,67595973920,216,5611,0,1,1,0
67586062000000,67586562000000,500.0,4096,67,66,8449428,8449493,67595981920,67596501918,219,5678,0,1,1,0
67586593000000,67587093000000,500.0,4096,67,67,8449494,8449560,67596509917,67597037921,193,5745,0,1,1,0
67587125000000,67587625000000,500.0,4096,67,66,8449561,8449626,67597045916,67597565921,138,5812,0,1,1,0
67587656000000,67588156000000,500.0,4096,68,67,8449627,8449693,67597573917,67598101920,164,5880,0,1,1,0
67588187000000,67588687000000,500.0,4096,67,66,8449694,8449759,67598109920,67598629918,125,5947,0,1,1,0
67588703000000,67589234000000,531.0,4096,67,67,8449760,8449826,67598637920,67599165920,224,6014,0,1,1,0
67589250000000,67589750000000,500.0,4096,67,66,8449827,8449892,67599173920,67599693918,158,6081,0,1,1,0
67589781000000,67590281000000,500.0,4096,68,66,8449893,8449958,67599701920,67600221921,140,6149,0,1,1,0
67590296000000,67590812000000,516.0,4096,67,66,8449959,8450024,67600229920,67600749917,582,6216,0,1,1,0
67590890000000,67591343000000,453.0,4096,66,66,8450025,8450090,67600757920,67601277921,302,6282,0,1,1,0
67591375000000,67591875000000,500.0,4096,67,66,8450091,8450156,67601285917,67601805920,230,6349,0,1,1,0
67591906000000,67592406000000,500.0,4096,68,67,8450157,8450223,67601813920,67602341920,192,6417,0,1,1,0
67592437000000,67592937000000,500.0,4096,67,66,8450224,8450289,67602349917,67602869920,125,6484,0,1,1,0
67592953000000,67593468000000,515.0,4096,67,67,8450290,8450356,67602877920,67603405921,166,6551,0,1,1,0
67593500000000,67594000000000,500.0,4096,68,67,8450357,8450423,67603413920,67603941917,165,6619,0,1,1,0
67594015000000,67594531000000,516.0,4096,66,65,8450424,8450488,67603949918,67604461917,266,6685,0,1,1,0
67594562000000,67595046000000,484.0,4096,68,66,8450489,8450554,67604469920,67604989920,162,6753,0,1,1,0
67595078000000,67595578000000,500.0,4096,67,66,8450555,8450620,67604997917,67605517918,97,6820,0,1,1,0
67595593000000,67596125000000,532.0,4096,67,67,8450621,8450687,67605525920,67606053918,183,6887,0,1,1,0
67596140000000,67596640000000,500.0,4096,67,66,8450688,8450753,67606061920,67606581921,125,6954,0,1,1,0
67596671000000,67597171000000,500.0,4096,68,67,8450754,8450820,67606589920,67607117920,213,7022,0,1,1,0
67597203000000,67597703000000,500.0,4096,67,66,8450821,8450886,67607125918,67607645917,206,7089,0,1,1,0
67597734000000,67598234000000,500.0,4096,66,66,8450887,8450952,67607653920,67608173917,135,7155,0,1,1,0
67598250000000,67598765000000,515.0,4096,67,66,8450953,8451018,67608181920,67608701921,172,7222,0,1,1,0
67598781000000,67599296000000,515.0,4096,67,66,8451019,8451084,67608709920,67609229921,199,7289,0,1,1,0
67599328000000,67599828000000,500.0,4096,67,66,8451085,8451150,67609237920,67609757917,131,7356,0,1,1,0
67599843000000,67600359000000,516.0,4096,68,67,8451151,8451217,67609765920,67610293917,169,7424,0,1,1,0
67600375000000,67600890000000,515.0,4096,67,66,8451218,8451283,67610301921,67610821918,141,7491,0,1,1,0
67600906000000,67601406000000,500.0,4096,67,66,8451284,8451349,67610829920,67611349920,230,7558,0,1,1,0
67601437000000,67601953000000,516.0,4096,67,67,8451350,8451416,67611357920,67611885920,197,7625,0,1,1,0
67601968000000,67602468000000,500.0,4096,68,66,8451417,8451482,67611893920,67612413921,128,7693,0,1,1,0
67602484000000,67603000000000,516.0,4096,67,66,8451483,8451548,67612421920,67612941916,150,7760,0,1,1,0
67603031000000,67603531000000,500.0,4096,67,66,8451549,8451614,67612949920,67613469920,199,7827,0,1,1,0
67603562000000,67604062000000,500.0,4096,66,66,8451615,8451680,67613477920,67613997920,211,7893,0,1,1,0
67604093000000,67604593000000,500.0,4096,67,66,8451681,8451746,67614005920,67614525920,195,7960,0,1,1,0
67604609000000,67605109000000,500.0,4096,67,65,8451747,8451811,67614533917,67615045920,133,8027,0,1,1,0
67605125000000,67605640000000,515.0,4096,67,66,8451812,8451877,67615053920,67615573919,213,8094,0,1,1,0
67605656000000,67606171000000,515.0,4096,67,67,8451878,8451944,67615581920,67616109920,121,8161,0,1,1,0
67606187000000,67606703000000,516.0,4096,67,66,8451945,8452010,67616117920,67616637918,168,8228,0,1,1,0
67606718000000,67607234000000,516.0,4096,67,66,8452011,8452076,67616645920,67617165920,214,8295,0,1,1,0
67607250000000,67607765000000,515.0,4096,67,67,8452077,8452143,67617173921,67617701920,178,8362,0,1,1,0
67607781000000,67608296000000,515.0,4096,67,66,8452144,8452209,67617709920,67618229917,167,8429,0,1,1,0
67608312000000,67608812000000,500.0,4096,67,66,8452210,8452275,67618237920,67618757921,140,8496,0,1,1,0
67608828000000,67609343000000,515.0,4096,67,66,8452276,8452341,67618765921,67619285918,245,8563,0,1,1,0
67609375000000,67609875000000,500.0,4096,67,67,8452342,8452408,67619293917,67619821921,208,8630,0,1,1,0
67609906000000,67610406000000,500.0,4096,67,65,8452409,8452473,67619829921,67620341920,131,8697,0,1,1,0
67610421000000,67610937000000,516.0,4096,67,66,8452474,8452539,67620349920,67620869917,167,8764,0,1,1,0
67610953000000,67611468000000,515.0,4096,67,66,8452540,8452605,67620877921,67621397920,688,8831,0,1,1,0
67611546000000,67612000000000,454.0,4096,68,67,8452606,8452672,67621405917,67621933917,199,8899,0,1,1,0
67612015000000,67612531000000,516.0,4096,66,66,8452673,8452738,67621941921,67622461920,250,8965,0,1,1,0
67612562000000,67613046000000,484.0,4096,67,66,8452739,8452804,67622469918,67622989920,129,9032,0,1,1,0
67613078000000,67613593000000,515.0,4096,68,67,8452805,8452871,67622997920,67623525917,201,9100,0,1,1,0
67613609000000,67614109000000,500.0,4096,67,66,8452872,8452937,67623533918,67624053917,128,9167,0,1,1,0
67614125000000,67614640000000,515.0,4096,66,66,8452938,8453003,67624061920,67624581917,202,9233,0,1,1,0
67614671000000,67615171000000,500.0,4096,67,65,8453004,8453068,67624589917,67625101917,142,9300,0,1,1,0
67615187000000,67615687000000,500.0,4096,67,66,8453069,8453134,67625109917,67625629918,189,9367,0,1,1,0
67615718000000,67616218000000,500.0,4096,67,66,8453135,8453200,67625637921,67626157920,183,9434,0,1,1,0
67616250000000,67616765000000,515.0,4096,67,67,8453201,8453267,67626165916,67626693921,137,9501,0,1,1,0
67616781000000,67617281000000,500.0,4096,67,66,8453268,8453333,67626701920,67627221917,263,9568,0,1,1,0
