t_us,state,user_text,trigger,data_reliability,match_score,match_prototype
0,Q0_BUFFERING,,state_refresh,low,0.000000,
0,Q0_BUFFERING,,state_refresh,low,0.000000,
67552213920,Q0_BUFFERING,,state_refresh,low,0.000000,
67572885916,Q0_BUFFERING,,state_refresh,low,0.000000,
67593325916,Q0_BUFFERING,,state_refresh,low,0.000000,
67613837917,Q0_BUFFERING,,state_refresh,low,0.000000,
67634341920,Q0_BUFFERING,,state_refresh,low,0.000000,
67655053920,Q0_BUFFERING,,state_refresh,low,0.000000,
67675453921,Q0_BUFFERING,,state_refresh,low,0.000000,
67695533920,Q0_BUFFERING,,state_refresh,low,0.000000,
67715677920,Q0_BUFFERING,,state_refresh,low,0.000000,
67735733920,Q0_BUFFERING,,state_refresh,low,0.000000,
67755925918,Q0_BUFFERING,,state_refresh,low,0.000000,
67776373920,Q0_BUFFERING,,state_refresh,low,0.000000,
67796957921,Q0_BUFFERING,,state_refresh,low,0.000000,
67817037918,Q0_BUFFERING,,state_refresh,low,0.000000,
67837373920,Q0_BUFFERING,,state_refresh,low,0.000000,
67857493920,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
67877589920,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
67897765920,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
67918109917,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
67938645920,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
67958869916,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
67979597917,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
67999725920,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68019797920,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68040093920,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68060517920,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68080565920,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68100765920,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68121229921,Q1_DATA_UNSTABLE,,state_refresh,low,0.000000,
68141829918,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68161861918,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68182485920,Q1_DATA_UNSTABLE,,state_refresh,low,0.000000,
68203189917,Q1_DATA_UNSTABLE,,state_refresh,low,0.000000,
68223325919,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68243349920,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68263485920,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68284077917,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68304717916,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68325133920,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68345661920,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68366381917,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68386773920,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68407205917,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68427253920,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
68447261917,Q2_BASELINE_BUILDING,,state_refresh,low,0.000000,
