seq,t_us,rr_raw_ms,nn_ms,valid,corrected,metric_eligible,status,reason,hr_bpm,score,rescued,flags
54297,434936519,784.0,784.0,1,0,1,accepted,,78.1,0.9,0,9
54399,435752517,815.0,815.0,1,0,1,accepted,,76.5,0.91,0,9
54495,436520517,768.0,768.0,1,0,1,accepted,,77.3,0.889,0,9
54588,437264517,744.0,744.0,1,0,1,accepted,,78.1,0.885,0,9
54671,437928517,664.0,664.0,1,0,1,accepted,,78.9,0.85,0,9
54758,438624517,696.0,696.0,1,0,1,accepted,,79.8,0.897,0,9
54838,439264517,640.0,640.0,1,0,1,accepted,,79.8,0.849,0,9
54920,439920517,656.0,656.0,1,0,1,accepted,,80.6,0.885,0,9
55012,440656517,736.0,736.0,1,0,1,accepted,,81.5,0.903,0,9
55101,441368521,712.0,712.0,1,0,1,accepted,,84.3,0.89,0,9
55192,442096517,727.0,727.0,1,0,1,accepted,,84.3,0.897,0,9
55275,442760517,664.0,664.0,1,0,1,accepted,,86.2,0.869,0,9
55371,443528517,768.0,768.0,1,0,1,accepted,,86.2,0.868,0,9
55463,444264517,736.0,736.0,1,0,1,accepted,,84.3,0.885,0,9
55554,444992517,728.0,728.0,1,0,1,accepted,,82.5,0.886,0,9
55644,445712517,720.0,720.0,1,0,1,accepted,,82.5,0.894,0,9
55736,446448517,736.0,736.0,1,0,1,accepted,,82.4,0.893,0,9
55826,447168517,720.0,720.0,1,0,1,accepted,,82.5,0.888,0,9
55918,447904517,736.0,736.0,1,0,1,accepted,,82.4,0.9,0,9
56010,448640517,736.0,736.0,1,0,1,accepted,,81.5,0.91,0,9
56106,449408517,768.0,768.0,1,0,1,accepted,,81.5,0.889,0,9
56197,450136517,728.0,728.0,1,0,1,accepted,,81.5,0.897,0,9
56291,450888517,752.0,752.0,1,0,1,accepted,,81.5,0.911,0,9
56386,451648517,760.0,760.0,1,0,1,accepted,,81.5,0.897,0,9
56480,452400517,752.0,752.0,1,0,1,accepted,,81.5,0.902,0,9
56572,453136517,736.0,736.0,1,0,1,accepted,,81.5,0.891,0,9
56664,453872517,736.0,736.0,1,0,1,accepted,,81.5,0.892,0,9
56757,454616517,744.0,744.0,1,0,1,accepted,,80.6,0.902,0,9
56851,455368517,752.0,752.0,1,0,1,accepted,,79.8,0.906,0,9
56943,456104517,736.0,736.0,1,0,1,accepted,,80.6,0.908,0,9
57039,456872517,768.0,768.0,1,0,1,accepted,,79.8,0.898,0,9
57136,457648517,776.0,776.0,1,0,1,accepted,,79.8,0.906,0,9
57232,458416517,768.0,768.0,1,0,1,accepted,,79.8,0.907,0,9
57325,459160517,744.0,744.0,1,0,1,accepted,,80.6,0.891,0,9
57412,459856517,696.0,696.0,1,0,1,accepted,,80.6,0.875,0,9
57503,460584517,728.0,728.0,1,0,1,accepted,,80.6,0.916,0,9
57596,461328517,744.0,744.0,1,0,1,accepted,,80.6,0.91,0,9
57689,462072517,744.0,744.0,1,0,1,accepted,,80.6,0.918,0,9
57786,462848517,776.0,776.0,1,0,1,accepted,,80.6,0.888,0,9
57882,463616517,768.0,768.0,1,0,1,accepted,,80.6,0.894,0,9
57975,464360517,744.0,744.0,1,0,1,accepted,,80.6,0.904,0,9
58073,465144517,784.0,784.0,1,0,1,accepted,,80.6,0.913,0,9
58172,465936518,792.0,792.0,1,0,1,accepted,,80.6,0.887,0,9
58266,466688517,751.0,751.0,1,0,1,accepted,,79.9,0.889,0,9
58358,467424521,736.0,736.0,1,0,1,accepted,,79.9,0.895,0,9
58450,468160519,735.0,735.0,1,0,1,accepted,,79.9,0.91,0,9
58542,468896517,735.0,735.0,1,0,1,accepted,,79.9,0.914,0,9
58636,469648517,752.0,752.0,1,0,1,accepted,,79.9,0.915,0,9
58731,470408517,760.0,760.0,1,0,1,accepted,,79.9,0.901,0,9
58823,471144517,736.0,736.0,1,0,1,accepted,,79.9,0.888,0,9
58912,471856517,712.0,712.0,1,0,1,accepted,,81.5,0.894,0,9
59004,472592517,736.0,736.0,1,0,1,accepted,,81.5,0.917,0,9
