seq,t_us,rr_ms,hr_bpm,score,flags
54297,434936519,784.0,78.1,0.9,9
54399,435752517,815.0,76.5,0.91,9
54495,436520517,768.0,77.3,0.889,9
54588,437264517,744.0,78.1,0.885,9
54671,437928517,664.0,78.9,0.85,9
54758,438624517,696.0,79.8,0.897,9
54838,439264517,640.0,79.8,0.849,9
54920,439920517,656.0,80.6,0.885,9
55012,440656517,736.0,81.5,0.903,9
55101,441368521,712.0,84.3,0.89,9
55192,442096517,727.0,84.3,0.897,9
55275,442760517,664.0,86.2,0.869,9
55371,443528517,768.0,86.2,0.868,9
55463,444264517,736.0,84.3,0.885,9
55554,444992517,728.0,82.5,0.886,9
55644,445712517,720.0,82.5,0.894,9
55736,446448517,736.0,82.4,0.893,9
55826,447168517,720.0,82.5,0.888,9
55918,447904517,736.0,82.4,0.9,9
56010,448640517,736.0,81.5,0.91,9
56106,449408517,768.0,81.5,0.889,9
56197,450136517,728.0,81.5,0.897,9
56291,450888517,752.0,81.5,0.911,9
56386,451648517,760.0,81.5,0.897,9
56480,452400517,752.0,81.5,0.902,9
56572,453136517,736.0,81.5,0.891,9
56664,453872517,736.0,81.5,0.892,9
56757,454616517,744.0,80.6,0.902,9
56851,455368517,752.0,79.8,0.906,9
56943,456104517,736.0,80.6,0.908,9
57039,456872517,768.0,79.8,0.898,9
57136,457648517,776.0,79.8,0.906,9
57232,458416517,768.0,79.8,0.907,9
57325,459160517,744.0,80.6,0.891,9
57412,459856517,696.0,80.6,0.875,9
57503,460584517,728.0,80.6,0.916,9
57596,461328517,744.0,80.6,0.91,9
57689,462072517,744.0,80.6,0.918,9
57786,462848517,776.0,80.6,0.888,9
57882,463616517,768.0,80.6,0.894,9
57975,464360517,744.0,80.6,0.904,9
58073,465144517,784.0,80.6,0.913,9
58172,465936518,792.0,80.6,0.887,9
58266,466688517,751.0,79.9,0.889,9
58358,467424521,736.0,79.9,0.895,9
58450,468160519,735.0,79.9,0.91,9
58542,468896517,735.0,79.9,0.914,9
58636,469648517,752.0,79.9,0.915,9
58731,470408517,760.0,79.9,0.901,9
58823,471144517,736.0,79.9,0.888,9
58912,471856517,712.0,81.5,0.894,9
59004,472592517,736.0,81.5,0.917,9
59095,473320517,728.0,81.5,0.938,9
59196,474128517,808.0,81.5,0.855,9
59288,474864517,736.0,81.5,0.873,9
59368,475504519,640.0,81.5,0.822,9
59447,476136517,631.0,81.5,0.855,9
59525,476760517,624.0,82.4,0.855,9
59611,477448518,688.0,84.3,0.897,9
59700,478160517,711.0,84.4,0.908,9
59787,478856517,696.0,86.2,0.914,9
59875,479560517,704.0,86.2,0.919,9
59961,480248519,688.0,87.2,0.908,9
60044,480912517,663.0,87.2,0.903,9
60123,481544521,632.0,87.2,0.886,9
60200,482160517,615.0,87.2,0.898,9
60281,482808517,648.0,87.2,0.911,9
60371,483528517,720.0,87.2,0.907,9
60461,484248519,720.0,87.2,0.899,9
60549,484952517,703.0,87.2,0.903,9
60640,485680517,728.0,87.2,0.905,9
60735,486440517,760.0,85.3,0.892,9
60833,487224519,784.0,83.3,0.877,9
60930,488000517,775.0,83.3,0.89,9
61033,488824521,824.0,82.4,0.865,9
61139,489672517,847.0,78.9,0.852,9
61242,490496519,824.0,77.4,0.886,9
61340,491280517,783.0,76.6,0.895,9
61439,492072517,792.0,76.5,0.913,9
61538,492864517,792.0,75.8,0.905,9
61634,493632519,768.0,75.8,0.89,9
61727,494376517,743.0,75.8,0.891,9
61820,495120517,744.0,75.8,0.903,9
61914,495872517,752.0,76.6,0.908,9
62010,496640517,768.0,78.1,0.902,9
62102,497376519,736.0,78.1,0.889,9
62192,498096517,719.0,79.8,0.897,9
62283,498824517,728.0,80.6,0.903,9
62374,499552517,728.0,80.8,0.912,9
62464,500272517,720.0,81.5,0.906,9
62553,500984517,712.0,82.4,0.902,9
62640,501680517,696.0,82.4,0.906,9
62731,502408521,728.0,82.4,0.912,9
62822,503136517,727.0,82.5,0.91,9
62913,503864517,728.0,82.5,0.907,9
63002,504576517,712.0,82.5,0.903,9
63091,505288517,712.0,83.3,0.906,9
63179,505992517,704.0,84.3,0.906,9
63268,506704519,712.0,84.3,0.911,9
63353,507384517,679.0,84.3,0.902,9
63441,508088519,704.0,84.3,0.909,9
63530,508800517,711.0,84.3,0.916,9
63617,509496517,696.0,84.4,0.908,9
63705,510200517,704.0,85.2,0.91,9
63792,510896517,696.0,85.2,0.902,9
63879,511592517,696.0,85.2,0.914,9
63968,512304517,712.0,85.2,0.912,9
64057,513016517,712.0,85.2,0.911,9
64146,513728517,712.0,85.2,0.906,9
64235,514440517,712.0,84.4,0.914,9
64326,515168519,728.0,84.3,0.908,9
64417,515896517,727.0,84.3,0.903,9
64507,516616517,720.0,84.3,0.91,9
64595,517320517,704.0,84.3,0.895,9
64678,517984517,664.0,84.3,0.882,9
64767,518696517,712.0,84.3,0.918,9
64857,519416517,720.0,84.3,0.908,9
64947,520136517,720.0,83.3,0.904,9
65038,520864517,728.0,83.3,0.897,9
65128,521584517,720.0,83.3,0.907,9
65223,522344518,760.0,83.3,0.908,9
65319,523112517,767.0,83.3,0.903,9
65415,523880517,768.0,83.3,0.894,9
65506,524608517,728.0,82.4,0.902,9
65595,525320517,712.0,82.4,0.908,9
65684,526032517,712.0,82.4,0.913,9
65773,526744519,712.0,82.4,0.911,9
65861,527448517,703.0,83.3,0.899,9
65950,528160517,712.0,84.3,0.908,9
66039,528872517,712.0,84.3,0.915,9
66129,529592517,720.0,84.3,0.912,9
66218,530304517,712.0,84.3,0.906,9
66305,531000517,696.0,84.3,0.902,9
66391,531688517,688.0,84.3,0.907,9
66478,532384517,696.0,84.3,0.916,9
66565,533080517,696.0,85.3,0.909,9
66653,533784517,704.0,85.2,0.903,9
66737,534456517,672.0,86.2,0.893,9
66824,535152517,696.0,86.2,0.911,9
66909,535832517,680.0,86.2,0.905,9
66996,536528517,696.0,86.2,0.905,9
67080,537200517,672.0,86.2,0.9,9
67166,537888518,688.0,86.2,0.906,9
67253,538584517,695.0,86.3,0.904,9
67342,539296520,712.0,86.3,0.909,9
67431,540008517,711.0,86.3,0.9,9
67520,540720519,712.0,86.2,0.913,9
67610,541440519,720.0,86.2,0.908,9
67701,542168519,728.0,84.4,0.909,9
67795,542920517,751.0,84.3,0.902,9
67889,543672517,752.0,84.3,0.894,9
67979,544392518,720.0,83.3,0.904,9
68068,545104517,711.0,83.3,0.918,9
68157,545816517,712.0,83.3,0.893,9
68238,546464517,648.0,83.3,0.872,9
68320,547120519,656.0,83.3,0.89,9
68405,547800517,679.0,84.3,0.915,9
68492,548496517,696.0,84.4,0.913,9
68579,549192517,696.0,86.2,0.908,9
68667,549896517,704.0,86.2,0.903,9
68750,550560521,664.0,86.2,0.898,9
68836,551248519,687.0,87.3,0.91,9
68919,551912517,663.0,88.4,0.906,9
69000,552560517,648.0,88.4,0.897,9
69083,553224517,664.0,88.4,0.916,9
69167,553896517,672.0,89.3,0.919,9
69245,554520517,624.0,90.4,0.888,9
69322,555136517,616.0,90.4,0.875,9
69398,555744517,608.0,90.5,0.856,9
69476,556368517,624.0,92.6,0.885,9
69552,556976519,608.0,96.2,0.896,9
69632,557616521,640.0,96.2,0.912,9
69715,558280517,663.0,96.2,0.906,9
69801,558968517,688.0,96.2,0.894,9
