t_us,hr_bpm,time_status,time_validity_reason,rmssd_ms,rmssd_ci_low_ms,rmssd_ci_high_ms,sdnn_ms,pnn50_percent,frequency_status,frequency_validity_reason,total_power_ms2,vlf_ms2,lf_ms2,hf_ms2,lf_nu,hf_nu,lf_hf,hf_lf,spectral_agreement,interpolation_agreement,sqi,overall_status,detected_artifact_ratio,corrected_ratio,unresolved_suspect_ratio,max_consecutive_artifacts,protocol_error_ratio,protocol_crc_errors,protocol_format_errors,protocol_seq_gaps
455368517,79.8,INVALID,有效 NN 不足：29/40；连续有效 NN 对不足：28/30,nan,nan,nan,nan,nan,LIMITED,频域窗口积累中：20/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.9997,INVALID,0.0,0.0,0.0,0,0.0,0,0,0
475504519,81.5,VALID,,37.155202743479826,27.077358319026665,45.58610356867179,36.02891605652039,14.545454545454545,LIMITED,频域窗口积累中：41/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.9979004798720341,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
495872517,76.6,VALID,,30.989883532468014,22.628891176109846,40.03594829086645,49.3975456285461,8.47457627118644,LIMITED,频域窗口积累中：61/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.9979004798720341,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
515896517,84.3,VALID,,28.93681017408186,18.518107301731472,35.65373415738057,47.93339305214607,8.47457627118644,LIMITED,频域窗口积累中：81/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
536528517,86.2,VALID,,16.92205460939628,12.796285195975296,20.306923207416578,21.497181525942466,0.0,LIMITED,频域窗口积累中：102/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
556976519,96.2,VALID,,20.555423219404013,16.553371944301144,24.721199274066834,36.09824948413994,1.694915254237288,LIMITED,频域窗口积累中：122/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
577240517,82.4,VALID,,20.773190022931324,17.18016055855736,24.40499565268498,40.00342852538155,1.694915254237288,LIMITED,频域窗口积累中：142/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
597512517,84.3,VALID,,23.05667299268317,18.34409796875797,26.821954697267866,34.82220783052232,3.389830508474576,LIMITED,频域窗口积累中：163/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
617976517,79.8,VALID,,21.81820107857393,18.002778260616687,26.095407129038026,28.54558748689106,3.389830508474576,LIMITED,频域窗口积累中：183/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
637984517,82.5,VALID,,17.984927776297685,15.352900316735816,20.651277378905625,34.78503802005249,0.0,LIMITED,频域窗口积累中：203/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
658496517,85.2,VALID,,15.520352957719853,12.130340983395168,19.088044355061758,23.183400451555315,0.0,LIMITED,频域窗口积累中：224/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
679120517,87.2,VALID,,20.46134567096374,14.706593238668768,26.635003116978645,38.329152144935584,3.508771929824561,LIMITED,频域窗口积累中：244/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.9997,LIMITED,0.016666666666666666,0.0,0.016666666666666666,1,0.0,0,0,0
699752517,86.2,VALID,,20.456200535555894,14.789173126438847,27.00970950038937,29.675283368752865,3.508771929824561,LIMITED,频域窗口积累中：265/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.9997,LIMITED,0.016666666666666666,0.0,0.016666666666666666,1,0.0,0,0,0
719760517,82.4,VALID,,19.256519917213335,15.9173313471283,22.698725596943728,34.737839802214154,0.0,LIMITED,频域窗口积累中：285/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
740056517,86.2,VALID,,33.23283094519002,22.04200258141761,47.64332088988692,55.085264125601306,3.508771929824561,VALID,,1176.142637449194,593.1929141593452,341.4674973475645,132.84903227401696,71.99148164201522,28.00851835798478,2.570342376625274,0.38905322850917157,0.8140950763278606,0.9999681253122775,0.9997,VALID,0.016666666666666666,0.0,0.016666666666666666,1,0.0,0,0,0
760616520,85.2,LIMITED,受限输出：未解决异常 3.3% > 2.0%,31.90497253920261,20.711731464367798,45.619432129718206,57.44029752529415,1.8181818181818181,LIMITED,受限输出：Welch/Lomb 一致性 74%,1183.7177161722295,668.001140100634,303.07528249612216,128.72212557785596,70.18923153058795,29.810768469412054,2.3544925251627458,0.42471997227125563,0.742811379739065,0.9999632443593094,0.9997,LIMITED,0.03333333333333333,0.0,0.03333333333333333,1,0.0,0,0,0
781144517,94.9,VALID,,24.79954725110217,21.18436120022223,27.779398765569837,42.453811667187864,1.7543859649122806,INVALID,Welch/Lomb 谱形一致性 63% < 70%,nan,nan,nan,nan,nan,nan,nan,nan,0.6311129012628053,0.9999615114986825,0.9997,LIMITED,0.016666666666666666,0.0,0.016666666666666666,1,0.0,0,0,0
801352518,90.4,VALID,,26.29074722845489,23.332708094080562,29.41536919330421,43.616779412603165,1.694915254237288,INVALID,Welch/Lomb 谱形一致性 52% < 70%,nan,nan,nan,nan,nan,nan,nan,nan,0.5182479605736785,0.9999551562030158,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
821528517,87.2,VALID,,21.957586233926964,18.734868531416176,24.61374746834968,41.35480693338049,0.0,INVALID,Welch/Lomb 谱形一致性 60% < 70%,nan,nan,nan,nan,nan,nan,nan,nan,0.5965332796729083,0.9999403993674767,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
841728517,84.3,VALID,,23.314358709471257,18.33776162798296,28.731463806448218,32.57922113429838,3.389830508474576,INVALID,Welch/Lomb 谱形一致性 69% < 70%,nan,nan,nan,nan,nan,nan,nan,nan,0.6885303145659173,0.9999071668024455,0.995501119701413,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
862144517,90.4,VALID,,26.915435682264214,22.99677271161347,31.55275218891322,33.99594525506403,5.084745762711865,VALID,,1776.917986550619,927.0045128479128,497.27389950931223,293.85333207516624,62.85637501231837,37.14362498768162,1.6922520360671358,0.5909285252355445,0.835418432405518,0.9998887128813517,0.9895027192748601,VALID,0.0,0.0,0.0,0,0.0,0,0,0
882448517,91.5,VALID,,23.352131249594866,19.504333054903828,27.537329442425072,33.5428345762911,1.694915254237288,LIMITED,受限输出：Welch/Lomb 一致性 73%,1984.213061157196,1005.5818340643823,580.1853840973179,343.2547878948428,62.82869228503124,37.17130771496876,1.6902470251196016,0.5916294986108556,0.7268846100024778,0.9999246775864543,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
902960519,89.3,VALID,,22.40989490895726,18.665581263246153,25.927939147603777,35.477310326779275,0.0,LIMITED,受限输出：Welch/Lomb 一致性 70%,2135.2423808243425,1067.3262744461772,662.2490954421501,352.0029640736091,65.29433085483029,34.70566914516971,1.8813736332733375,0.5315265305701846,0.7003396575066139,0.9999512825067856,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
923336517,91.5,VALID,,23.891704822428096,19.76681860873622,27.895429565760057,26.690102695960235,3.389830508474576,LIMITED,受限输出：Welch/Lomb 一致性 71%,2097.953249771081,1004.0187058761895,721.3181705183754,316.21724845648583,69.52226953669448,30.47773046330552,2.2810842041010133,0.43838802539694277,0.7138001061645621,0.9999624528439324,0.9997,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
