t_us,nn_ms,corrected,metric_eligible,source
434936519,784.0,0,1,raw
435752517,815.0,0,1,raw
436520517,768.0,0,1,raw
437264517,744.0,0,1,raw
437928517,664.0,0,1,raw
438624517,696.0,0,1,raw
439264517,640.0,0,1,raw
439920517,656.0,0,1,raw
440656517,736.0,0,1,raw
441368521,712.0,0,1,raw
442096517,727.0,0,1,raw
442760517,664.0,0,1,raw
443528517,768.0,0,1,raw
444264517,736.0,0,1,raw
444992517,728.0,0,1,raw
445712517,720.0,0,1,raw
446448517,736.0,0,1,raw
447168517,720.0,0,1,raw
447904517,736.0,0,1,raw
448640517,736.0,0,1,raw
449408517,768.0,0,1,raw
450136517,728.0,0,1,raw
450888517,752.0,0,1,raw
451648517,760.0,0,1,raw
452400517,752.0,0,1,raw
453136517,736.0,0,1,raw
453872517,736.0,0,1,raw
454616517,744.0,0,1,raw
455368517,752.0,0,1,raw
456104517,736.0,0,1,raw
456872517,768.0,0,1,raw
457648517,776.0,0,1,raw
458416517,768.0,0,1,raw
459160517,744.0,0,1,raw
459856517,696.0,0,1,raw
460584517,728.0,0,1,raw
461328517,744.0,0,1,raw
462072517,744.0,0,1,raw
462848517,776.0,0,1,raw
463616517,768.0,0,1,raw
464360517,744.0,0,1,raw
465144517,784.0,0,1,raw
465936518,792.0,0,1,raw
466688517,751.0,0,1,raw
467424521,736.0,0,1,raw
468160519,735.0,0,1,raw
468896517,735.0,0,1,raw
469648517,752.0,0,1,raw
470408517,760.0,0,1,raw
471144517,736.0,0,1,raw
471856517,712.0,0,1,raw
472592517,736.0,0,1,raw
473320517,728.0,0,1,raw
474128517,808.0,0,1,raw
474864517,736.0,0,1,raw
475504519,640.0,0,1,raw
476136517,631.0,0,1,raw
476760517,624.0,0,1,raw
477448518,688.0,0,1,raw
478160517,711.0,0,1,raw
478856517,696.0,0,1,raw
479560517,704.0,0,1,raw
480248519,688.0,0,1,raw
480912517,663.0,0,1,raw
481544521,632.0,0,1,raw
482160517,615.0,0,1,raw
482808517,648.0,0,1,raw
483528517,720.0,0,1,raw
484248519,720.0,0,1,raw
484952517,703.0,0,1,raw
485680517,728.0,0,1,raw
486440517,760.0,0,1,raw
487224519,784.0,0,1,raw
488000517,775.0,0,1,raw
488824521,824.0,0,1,raw
489672517,847.0,0,1,raw
490496519,824.0,0,1,raw
491280517,783.0,0,1,raw
492072517,792.0,0,1,raw
492864517,792.0,0,1,raw
493632519,768.0,0,1,raw
494376517,743.0,0,1,raw
495120517,744.0,0,1,raw
495872517,752.0,0,1,raw
496640517,768.0,0,1,raw
497376519,736.0,0,1,raw
498096517,719.0,0,1,raw
498824517,728.0,0,1,raw
499552517,728.0,0,1,raw
500272517,720.0,0,1,raw
500984517,712.0,0,1,raw
501680517,696.0,0,1,raw
502408521,728.0,0,1,raw
503136517,727.0,0,1,raw
503864517,728.0,0,1,raw
504576517,712.0,0,1,raw
505288517,712.0,0,1,raw
505992517,704.0,0,1,raw
506704519,712.0,0,1,raw
507384517,679.0,0,1,raw
508088519,704.0,0,1,raw
508800517,711.0,0,1,raw
509496517,696.0,0,1,raw
510200517,704.0,0,1,raw
510896517,696.0,0,1,raw
511592517,696.0,0,1,raw
512304517,712.0,0,1,raw
513016517,712.0,0,1,raw
513728517,712.0,0,1,raw
514440517,712.0,0,1,raw
515168519,728.0,0,1,raw
515896517,727.0,0,1,raw
516616517,720.0,0,1,raw
517320517,704.0,0,1,raw
517984517,664.0,0,1,raw
518696517,712.0,0,1,raw
519416517,720.0,0,1,raw
520136517,720.0,0,1,raw
520864517,728.0,0,1,raw
521584517,720.0,0,1,raw
522344518,760.0,0,1,raw
523112517,767.0,0,1,raw
523880517,768.0,0,1,raw
524608517,728.0,0,1,raw
525320517,712.0,0,1,raw
526032517,712.0,0,1,raw
526744519,712.0,0,1,raw
527448517,703.0,0,1,raw
528160517,712.0,0,1,raw
528872517,712.0,0,1,raw
529592517,720.0,0,1,raw
530304517,712.0,0,1,raw
531000517,696.0,0,1,raw
531688517,688.0,0,1,raw
532384517,696.0,0,1,raw
533080517,696.0,0,1,raw
533784517,704.0,0,1,raw
534456517,672.0,0,1,raw
535152517,696.0,0,1,raw
535832517,680.0,0,1,raw
536528517,696.0,0,1,raw
537200517,672.0,0,1,raw
537888518,688.0,0,1,raw
538584517,695.0,0,1,raw
539296520,712.0,0,1,raw
540008517,711.0,0,1,raw
540720519,712.0,0,1,raw
541440519,720.0,0,1,raw
542168519,728.0,0,1,raw
542920517,751.0,0,1,raw
543672517,752.0,0,1,raw
544392518,720.0,0,1,raw
545104517,711.0,0,1,raw
545816517,712.0,0,1,raw
546464517,648.0,0,1,raw
547120519,656.0,0,1,raw
547800517,679.0,0,1,raw
548496517,696.0,0,1,raw
549192517,696.0,0,1,raw
549896517,704.0,0,1,raw
550560521,664.0,0,1,raw
551248519,687.0,0,1,raw
551912517,663.0,0,1,raw
552560517,648.0,0,1,raw
553224517,664.0,0,1,raw
553896517,672.0,0,1,raw
554520517,624.0,0,1,raw
555136517,616.0,0,1,raw
555744517,608.0,0,1,raw
556368517,624.0,0,1,raw
556976519,608.0,0,1,raw
557616521,640.0,0,1,raw
558280517,663.0,0,1,raw
558968517,688.0,0,1,raw
559704517,736.0,0,1,raw
560448517,744.0,0,1,raw
561176517,728.0,0,1,raw
561912517,736.0,0,1,raw
562656517,744.0,0,1,raw
563392519,736.0,0,1,raw
