seq,t_us,raw,avg,filtered,candidate,detector_score,expected_rr_ms,hr_bpm,flags
80214,642272517,96.0,89.0,-78.0,0,0.47,747.2,80.6,1
80215,642280517,99.0,92.0,-75.0,0,0.464,747.2,80.6,1
80216,642288517,99.0,93.0,-72.0,0,0.459,747.2,80.6,1
80217,642296517,102.0,96.0,-70.0,0,0.443,747.2,80.6,1
80218,642304521,105.0,98.0,-67.0,0,0.449,747.2,80.6,1
80219,642312518,105.0,100.0,-64.0,0,0.444,747.2,80.6,1
80220,642320516,107.0,101.0,-62.0,0,0.428,747.2,80.6,1
80221,642328518,111.0,104.0,-60.0,0,0.425,747.2,80.6,1
80222,642336517,115.0,106.0,-57.0,0,0.431,747.2,80.6,1
80223,642344517,127.0,111.0,-53.0,0,0.436,747.2,80.6,1
80224,642352520,136.0,117.0,-49.0,0,0.429,747.2,80.6,1
80225,642360517,152.0,126.0,-44.0,0,0.432,747.2,80.6,1
80226,642368517,171.0,137.0,-37.0,0,0.444,747.2,80.6,1
80227,642376517,194.0,151.0,-28.0,0,0.453,747.2,80.6,1
80228,642384517,224.0,168.0,-16.0,0,0.467,747.2,80.6,1
80229,642392517,249.0,188.0,-2.0,0,0.483,747.2,80.6,1
80230,642400517,282.0,211.0,14.0,0,0.528,747.2,80.6,1
80231,642408517,310.0,235.0,32.0,0,0.575,747.2,80.6,1
80232,642416517,342.0,261.0,52.0,0,0.625,747.2,80.6,1
80233,642424517,371.0,288.0,74.0,0,0.677,747.2,80.6,1
80234,642432517,397.0,314.0,97.0,0,0.723,747.2,80.6,1
80235,642440517,419.0,339.0,121.0,0,0.767,747.2,80.6,1
80236,642448519,435.0,363.0,143.0,0,0.79,747.2,80.6,1
80237,642456517,446.0,383.0,165.0,0,0.818,747.2,80.6,1
80238,642464517,457.0,401.0,185.0,0,0.827,747.2,80.6,1
80239,642472517,461.0,415.0,203.0,0,0.83,747.2,80.6,1
80240,642480521,466.0,428.0,219.0,0,0.826,747.2,80.6,1
80241,642488517,460.0,436.0,232.0,0,0.806,747.2,80.6,1
80242,642496517,453.0,440.0,243.0,0,0.792,747.2,80.6,1
80243,642504517,446.0,441.0,250.0,0,0.75,747.2,80.6,1
80244,642512517,432.0,439.0,254.0,0,0.716,747.2,80.6,1
80245,642520517,419.0,434.0,255.0,0,0.682,747.2,80.6,1
80246,642528517,400.0,426.0,252.0,1,0.7,747.2,80.6,1
80247,642536517,379.0,415.0,247.0,0,0.717,747.2,80.6,1
80248,642544517,359.0,401.0,239.0,0,0.744,747.2,80.6,1
80249,642552519,336.0,385.0,229.0,0,0.756,753.6,79.8,1
80250,642560517,314.0,368.0,216.0,0,0.773,753.6,79.8,1
80251,642568517,289.0,349.0,201.0,0,0.774,753.6,79.8,1
80252,642576517,266.0,329.0,184.0,0,0.769,753.6,79.8,1
80253,642584517,241.0,307.0,166.0,0,0.751,753.6,79.8,1
80254,642592517,215.0,285.0,146.0,0,0.733,753.6,79.8,1
80255,642600517,196.0,263.0,126.0,0,0.699,753.6,79.8,1
80256,642608517,173.0,242.0,105.0,0,0.668,753.6,79.8,1
80257,642616521,156.0,221.0,84.0,0,0.63,753.6,79.8,1
80258,642624517,141.0,201.0,64.0,0,0.587,753.6,79.8,1
80259,642632517,123.0,182.0,43.0,0,0.557,753.6,79.8,1
80260,642640517,110.0,165.0,24.0,0,0.512,753.6,79.8,1
80261,642648517,100.0,149.0,6.0,0,0.505,753.6,79.8,1
80262,642656519,89.0,135.0,-11.0,0,0.524,753.6,79.8,1
80263,642664517,85.0,123.0,-27.0,0,0.542,753.6,79.8,1
80264,642672517,77.0,112.0,-41.0,0,0.548,753.6,79.8,1
80265,642680521,77.0,103.0,-53.0,0,0.549,753.6,79.8,1
80266,642688517,72.0,96.0,-64.0,0,0.558,753.6,79.8,1
80267,642696517,72.0,90.0,-73.0,0,0.553,753.6,79.8,1
80268,642704517,72.0,86.0,-80.0,0,0.543,753.6,79.8,1
80269,642712518,70.0,82.0,-87.0,0,0.555,753.6,79.8,1
80270,642720517,70.0,79.0,-92.0,0,0.541,753.6,79.8,1
