seq,t_us,rr_raw_ms,nn_ms,valid,corrected,metric_eligible,status,reason,hr_bpm,score,rescued,flags
54869,631283633,713.0,713.0,1,0,1,accepted,,78.9,0.743,0,9
54945,632124458,840.0,840.0,1,0,1,accepted,,78.9,0.715,0,9
55004,632830295,705.0,705.0,1,0,1,accepted,,78.9,0.732,0,9
55060,633512966,682.0,682.0,1,0,1,accepted,,80.6,0.784,0,9
55123,634192728,679.0,679.0,1,0,1,accepted,,84.2,0.796,0,9
55192,635035773,843.0,843.0,1,0,1,accepted,,84.2,0.718,0,9
55248,635658228,622.0,622.0,1,0,1,accepted,,85.1,0.76,0,9
55304,636339431,681.0,681.0,1,0,1,accepted,,88.0,0.829,0,9
55370,637100085,760.0,760.0,1,0,1,accepted,,85.1,0.755,0,9
55426,637722402,622.0,622.0,1,0,1,accepted,,88.0,0.777,0,9
55496,638573864,851.0,851.0,1,0,1,accepted,,88.0,0.649,0,9
55565,639358938,785.0,785.0,1,0,1,accepted,,88.0,0.701,0,9
55629,640103746,744.0,744.0,1,0,1,accepted,,80.6,0.777,0,9
55709,641035442,931.0,931.0,1,0,1,accepted,,78.9,0.616,0,9
55775,641797379,761.0,761.0,1,0,1,accepted,,78.9,0.802,0,9
55850,642689509,892.0,892.0,1,0,1,accepted,,78.8,0.702,0,9
55916,643451222,761.0,761.0,1,0,1,accepted,,78.8,0.781,0,9
55978,644180666,729.0,729.0,1,0,1,accepted,,78.8,0.781,0,9
56045,644950425,769.0,769.0,1,0,1,accepted,,78.0,0.796,0,9
56104,645656307,705.0,705.0,1,0,1,accepted,,78.8,0.784,0,9
56166,646386023,729.0,729.0,1,0,1,accepted,,78.8,0.821,0,9
56234,647163261,777.0,777.0,1,0,1,accepted,,78.8,0.794,0,9
56300,647924245,760.0,760.0,1,0,1,accepted,,78.8,0.82,0,9
56363,648661039,736.0,736.0,1,0,1,accepted,,78.9,0.847,0,9
56434,649462028,800.0,800.0,1,0,1,accepted,,78.9,0.806,0,9
56507,650337470,875.0,875.0,1,0,1,accepted,,78.9,0.724,0,9
56573,651098701,761.0,761.0,1,0,1,accepted,,78.8,0.811,0,9
56639,651860000,761.0,761.0,1,0,1,accepted,,78.8,0.82,0,9
56705,652621132,761.0,761.0,1,0,1,accepted,,78.8,0.814,0,9
56774,653465017,843.0,843.0,1,0,1,accepted,,78.8,0.807,0,9
56850,654307515,842.0,842.0,1,0,1,accepted,,78.8,0.787,0,9
56918,655144346,836.0,836.0,1,0,1,accepted,,75.0,0.824,0,9
56996,656060704,916.0,916.0,1,0,1,accepted,,71.8,0.73,0,9
57063,656830577,769.0,769.0,1,0,1,accepted,,71.8,0.796,0,9
57129,657592250,761.0,761.0,1,0,1,accepted,,78.0,0.804,0,9
57191,658321566,729.0,729.0,1,0,1,accepted,,78.0,0.85,0,9
57254,659058672,737.0,737.0,1,0,1,accepted,,78.0,0.839,0,9
57318,659803228,744.0,744.0,1,0,1,accepted,,78.0,0.829,0,9
57395,660652346,849.0,849.0,1,0,1,accepted,,78.0,0.762,0,9
57467,661520278,867.0,867.0,1,0,1,accepted,,78.0,0.756,0,9
57533,662282425,762.0,762.0,1,0,1,accepted,,78.7,0.825,0,9
57602,663068888,786.0,786.0,1,0,1,accepted,,78.7,0.798,0,9
57665,663806638,737.0,737.0,1,0,1,accepted,,78.8,0.811,0,9
57733,664642648,836.0,836.0,1,0,1,accepted,,78.7,0.828,0,9
57807,665468273,825.0,825.0,1,0,1,accepted,,76.3,0.803,0,9
57875,666245955,777.0,777.0,1,0,1,accepted,,76.3,0.842,0,9
57942,667074200,828.0,828.0,1,0,1,accepted,,72.7,0.839,0,9
58017,667908718,834.0,834.0,1,0,1,accepted,,72.7,0.815,0,9
58100,668924489,1015.0,0.0,0,0,0,local_outlier,局部 RR 异常,72.7,0.651,0,9
58170,669719079,794.0,794.0,1,0,1,accepted,,72.7,0.769,0,9
58232,670449335,730.0,730.0,1,0,1,accepted,,72.7,0.796,0,9
58311,671374040,924.0,924.0,1,0,1,accepted,,72.5,0.734,0,9
58375,672119955,745.0,745.0,1,0,1,accepted,,72.7,0.787,0,9
58445,672913481,793.0,793.0,1,0,1,accepted,,75.6,0.805,0,9
58517,673781583,868.0,868.0,1,0,1,accepted,,72.5,0.75,0,9
58589,674591593,810.0,810.0,1,0,1,accepted,,74.1,0.77,0,9
58662,675468155,876.0,876.0,1,0,1,accepted,,74.1,0.776,0,9
58730,676246728,778.0,778.0,1,0,1,accepted,,75.6,0.801,0,9
58801,677048796,802.0,802.0,1,0,1,accepted,,74.8,0.782,0,9
58862,677770776,721.0,721.0,1,0,1,accepted,,74.8,0.777,0,9
58936,678655510,884.0,884.0,1,0,1,accepted,,74.8,0.76,0,9
59004,679433627,778.0,778.0,1,0,1,accepted,,74.8,0.818,0,9
59072,680211594,777.0,777.0,1,0,1,accepted,,74.8,0.831,0,9
59151,681136250,924.0,924.0,1,0,1,accepted,,74.8,0.74,0,9
59222,681997096,860.0,860.0,1,0,1,accepted,,74.8,0.766,0,9
59291,682784216,787.0,787.0,1,0,1,accepted,,76.2,0.82,0,9
59355,683530503,746.0,746.0,1,0,1,accepted,,76.2,0.839,0,9
59436,684470961,940.0,940.0,1,0,1,accepted,,76.2,0.682,0,9
59496,685184391,713.0,713.0,1,0,1,accepted,,76.2,0.807,0,9
59571,686018079,833.0,833.0,1,0,1,accepted,,76.2,0.768,0,9
59635,686763899,745.0,745.0,1,0,1,accepted,,76.2,0.806,0,9
59706,687624385,860.0,860.0,1,0,1,accepted,,72.0,0.805,0,9
