seq,t_us,rr_ms,hr_bpm,score,flags
54869,631283633,713.0,78.9,0.743,9
54945,632124458,840.0,78.9,0.715,9
55004,632830295,705.0,78.9,0.732,9
55060,633512966,682.0,80.6,0.784,9
55123,634192728,679.0,84.2,0.796,9
55192,635035773,843.0,84.2,0.718,9
55248,635658228,622.0,85.1,0.76,9
55304,636339431,681.0,88.0,0.829,9
55370,637100085,760.0,85.1,0.755,9
55426,637722402,622.0,88.0,0.777,9
55496,638573864,851.0,88.0,0.649,9
55565,639358938,785.0,88.0,0.701,9
55629,640103746,744.0,80.6,0.777,9
55709,641035442,931.0,78.9,0.616,9
55775,641797379,761.0,78.9,0.802,9
55850,642689509,892.0,78.8,0.702,9
55916,643451222,761.0,78.8,0.781,9
55978,644180666,729.0,78.8,0.781,9
56045,644950425,769.0,78.0,0.796,9
56104,645656307,705.0,78.8,0.784,9
56166,646386023,729.0,78.8,0.821,9
56234,647163261,777.0,78.8,0.794,9
56300,647924245,760.0,78.8,0.82,9
56363,648661039,736.0,78.9,0.847,9
56434,649462028,800.0,78.9,0.806,9
56507,650337470,875.0,78.9,0.724,9
56573,651098701,761.0,78.8,0.811,9
56639,651860000,761.0,78.8,0.82,9
56705,652621132,761.0,78.8,0.814,9
56774,653465017,843.0,78.8,0.807,9
56850,654307515,842.0,78.8,0.787,9
56918,655144346,836.0,75.0,0.824,9
56996,656060704,916.0,71.8,0.73,9
57063,656830577,769.0,71.8,0.796,9
57129,657592250,761.0,78.0,0.804,9
57191,658321566,729.0,78.0,0.85,9
57254,659058672,737.0,78.0,0.839,9
57318,659803228,744.0,78.0,0.829,9
57395,660652346,849.0,78.0,0.762,9
57467,661520278,867.0,78.0,0.756,9
57533,662282425,762.0,78.7,0.825,9
57602,663068888,786.0,78.7,0.798,9
57665,663806638,737.0,78.8,0.811,9
57733,664642648,836.0,78.7,0.828,9
57807,665468273,825.0,76.3,0.803,9
57875,666245955,777.0,76.3,0.842,9
57942,667074200,828.0,72.7,0.839,9
58017,667908718,834.0,72.7,0.815,9
58100,668924489,1015.0,72.7,0.651,9
58170,669719079,794.0,72.7,0.769,9
58232,670449335,730.0,72.7,0.796,9
58311,671374040,924.0,72.5,0.734,9
58375,672119955,745.0,72.7,0.787,9
58445,672913481,793.0,75.6,0.805,9
58517,673781583,868.0,72.5,0.75,9
58589,674591593,810.0,74.1,0.77,9
58662,675468155,876.0,74.1,0.776,9
58730,676246728,778.0,75.6,0.801,9
58801,677048796,802.0,74.8,0.782,9
58862,677770776,721.0,74.8,0.777,9
58936,678655510,884.0,74.8,0.76,9
59004,679433627,778.0,74.8,0.818,9
59072,680211594,777.0,74.8,0.831,9
59151,681136250,924.0,74.8,0.74,9
59222,681997096,860.0,74.8,0.766,9
59291,682784216,787.0,76.2,0.82,9
59355,683530503,746.0,76.2,0.839,9
59436,684470961,940.0,76.2,0.682,9
59496,685184391,713.0,76.2,0.807,9
59571,686018079,833.0,76.2,0.768,9
59635,686763899,745.0,76.2,0.806,9
59706,687624385,860.0,72.0,0.805,9
59780,688508635,884.0,72.0,0.797,9
59847,689278888,770.0,76.2,0.795,9
59916,690064955,786.0,76.3,0.794,9
59979,690802529,737.0,76.3,0.811,9
60052,691678521,875.0,76.3,0.756,9
60114,692349588,671.0,76.3,0.757,9
60178,693095085,745.0,77.9,0.811,9
60255,694003205,908.0,76.3,0.689,9
60319,694749205,746.0,77.9,0.784,9
60386,695518837,769.0,78.0,0.825,9
60459,696395267,876.0,78.0,0.747,9
60524,697149101,753.0,79.7,0.809,9
60582,697846394,697.0,79.7,0.822,9
60643,698508978,662.0,80.4,0.785,9
60709,699328245,819.0,79.7,0.821,9
60773,700072956,744.0,79.7,0.789,9
60833,700727447,654.0,80.4,0.767,9
60890,701416762,689.0,80.6,0.816,9
60964,702300471,883.0,80.6,0.7,9
61031,703068861,768.0,80.6,0.763,9
61091,703722911,654.0,86.1,0.744,9
61159,704557408,834.0,80.6,0.668,9
61223,705302166,744.0,80.6,0.817,9
61288,706055355,753.0,80.6,0.849,9
61356,706832113,776.0,79.7,0.785,9
61424,707608751,776.0,78.1,0.763,9
61486,708337888,729.0,78.1,0.781,9
61547,709059425,721.0,79.7,0.779,9
61609,709790045,730.0,80.6,0.817,9
61679,710584125,794.0,79.7,0.794,9
61742,711321391,737.0,80.6,0.794,9
61814,712190205,868.0,79.7,0.733,9
61882,712967916,777.0,77.3,0.824,9
61946,713712768,744.0,80.6,0.831,9
62009,714450250,737.0,81.4,0.8,9
62075,715212911,762.0,80.6,0.796,9
62136,715935080,722.0,80.6,0.817,9
62201,716688666,753.0,79.7,0.843,9
62269,717465745,777.0,79.7,0.798,9
62330,718187096,721.0,79.7,0.816,9
62405,719079183,892.0,79.7,0.706,9
62474,719864419,785.0,79.7,0.772,9
62541,720633577,769.0,78.7,0.818,9
62604,721370509,736.0,78.7,0.818,9
62666,722100565,730.0,79.7,0.808,9
62722,722724155,623.0,79.7,0.701,9
62797,723615621,891.0,78.0,0.693,9
62860,724351938,736.0,81.5,0.796,9
62929,725137447,785.0,78.0,0.798,9
62998,725980910,843.0,78.0,0.781,9
63066,726757888,776.0,78.0,0.774,9
63132,727518728,760.0,78.9,0.79,9
63197,728272079,753.0,78.9,0.805,9
63263,729033166,761.0,78.8,0.825,9
63336,729908599,875.0,77.3,0.738,9
63404,730685843,777.0,77.3,0.779,9
63472,731463101,777.0,77.2,0.782,9
63536,732208447,745.0,77.3,0.774,9
63596,732921307,712.0,78.8,0.804,9
63666,733714357,793.0,78.8,0.803,9
63730,734459295,744.0,78.8,0.81,9
63803,735334357,875.0,77.2,0.721,9
63869,736095441,761.0,77.2,0.754,9
63932,736832306,736.0,78.8,0.788,9
63996,737577056,744.0,80.5,0.823,9
64055,738281650,704.0,80.6,0.841,9
64116,739002561,720.0,80.6,0.865,9
64172,739625132,622.0,80.6,0.789,9
64234,740354728,729.0,81.5,0.807,9
64285,740937633,582.0,82.3,0.68,9
64341,741619481,681.0,83.3,0.863,9
64396,742235085,615.0,85.2,0.788,9
64449,742834351,599.0,88.1,0.746,9
64506,743523944,689.0,88.1,0.818,9
