t_us,nn_ms,corrected,metric_eligible,source
631283633,713.0,0,1,raw
632124458,840.0,0,1,raw
632830295,705.0,0,1,raw
633512966,682.0,0,1,raw
634192728,679.0,0,1,raw
635035773,843.0,0,1,raw
635658228,622.0,0,1,raw
636339431,681.0,0,1,raw
637100085,760.0,0,1,raw
637722402,622.0,0,1,raw
638573864,851.0,0,1,raw
639358938,785.0,0,1,raw
640103746,744.0,0,1,raw
641035442,931.0,0,1,raw
641797379,761.0,0,1,raw
642689509,892.0,0,1,raw
643451222,761.0,0,1,raw
644180666,729.0,0,1,raw
644950425,769.0,0,1,raw
645656307,705.0,0,1,raw
646386023,729.0,0,1,raw
647163261,777.0,0,1,raw
647924245,760.0,0,1,raw
648661039,736.0,0,1,raw
649462028,800.0,0,1,raw
650337470,875.0,0,1,raw
651098701,761.0,0,1,raw
651860000,761.0,0,1,raw
652621132,761.0,0,1,raw
653465017,843.0,0,1,raw
654307515,842.0,0,1,raw
655144346,836.0,0,1,raw
656060704,916.0,0,1,raw
656830577,769.0,0,1,raw
657592250,761.0,0,1,raw
658321566,729.0,0,1,raw
659058672,737.0,0,1,raw
659803228,744.0,0,1,raw
660652346,849.0,0,1,raw
661520278,867.0,0,1,raw
662282425,762.0,0,1,raw
663068888,786.0,0,1,raw
663806638,737.0,0,1,raw
664642648,836.0,0,1,raw
665468273,825.0,0,1,raw
666245955,777.0,0,1,raw
667074200,828.0,0,1,raw
667908718,834.0,0,1,raw
669719079,794.0,0,1,raw
670449335,730.0,0,1,raw
671374040,924.0,0,1,raw
672119955,745.0,0,1,raw
672913481,793.0,0,1,raw
673781583,868.0,0,1,raw
674591593,810.0,0,1,raw
675468155,876.0,0,1,raw
676246728,778.0,0,1,raw
677048796,802.0,0,1,raw
677770776,721.0,0,1,raw
678655510,884.0,0,1,raw
679433627,778.0,0,1,raw
680211594,777.0,0,1,raw
681136250,924.0,0,1,raw
681997096,860.0,0,1,raw
682784216,787.0,0,1,raw
683530503,746.0,0,1,raw
684470961,940.0,0,1,raw
685184391,713.0,0,1,raw
686018079,833.0,0,1,raw
686763899,745.0,0,1,raw
687624385,860.0,0,1,raw
688508635,884.0,0,1,raw
689278888,770.0,0,1,raw
690064955,786.0,0,1,raw
690802529,737.0,0,1,raw
691678521,875.0,0,1,raw
692349588,671.0,0,1,raw
693095085,745.0,0,1,raw
694003205,908.0,0,1,raw
694749205,746.0,0,1,raw
695518837,769.0,0,1,raw
696395267,876.0,0,1,raw
697149101,753.0,0,1,raw
697846394,697.0,0,1,raw
698508978,662.0,0,1,raw
699328245,819.0,0,1,raw
700072956,744.0,0,1,raw
700727447,654.0,0,1,raw
701416762,689.0,0,1,raw
702300471,883.0,0,1,raw
703068861,768.0,0,1,raw
703722911,654.0,0,1,raw
704557408,834.0,0,1,raw
705302166,744.0,0,1,raw
706055355,753.0,0,1,raw
706832113,776.0,0,1,raw
707608751,776.0,0,1,raw
708337888,729.0,0,1,raw
709059425,721.0,0,1,raw
709790045,730.0,0,1,raw
710584125,794.0,0,1,raw
711321391,737.0,0,1,raw
712190205,868.0,0,1,raw
712967916,777.0,0,1,raw
713712768,744.0,0,1,raw
714450250,737.0,0,1,raw
715212911,762.0,0,1,raw
715935080,722.0,0,1,raw
716688666,753.0,0,1,raw
717465745,777.0,0,1,raw
718187096,721.0,0,1,raw
719079183,892.0,0,1,raw
719864419,785.0,0,1,raw
720633577,769.0,0,1,raw
721370509,736.0,0,1,raw
722100565,730.0,0,1,raw
722724155,623.0,0,1,raw
723615621,891.0,0,1,raw
724351938,736.0,0,1,raw
725137447,785.0,0,1,raw
725980910,843.0,0,1,raw
726757888,776.0,0,1,raw
727518728,760.0,0,1,raw
728272079,753.0,0,1,raw
729033166,761.0,0,1,raw
729908599,875.0,0,1,raw
730685843,777.0,0,1,raw
731463101,777.0,0,1,raw
732208447,745.0,0,1,raw
732921307,712.0,0,1,raw
733714357,793.0,0,1,raw
734459295,744.0,0,1,raw
735334357,875.0,0,1,raw
736095441,761.0,0,1,raw
736832306,736.0,0,1,raw
737577056,744.0,0,1,raw
738281650,704.0,0,1,raw
739002561,720.0,0,1,raw
739625132,622.0,0,1,raw
740354728,729.0,0,1,raw
740937633,582.0,0,1,raw
741619481,681.0,0,1,raw
742235085,615.0,0,1,raw
742834351,599.0,0,1,raw
743523944,689.0,0,1,raw
744154882,630.0,0,1,raw
744804200,649.0,0,1,raw
745565520,761.0,0,1,raw
746188762,623.0,0,1,raw
747056205,867.0,0,1,raw
747686978,630.0,0,1,raw
748392006,705.0,0,1,raw
749881001,614.0,0,1,raw
750586531,705.0,0,1,raw
751308683,722.0,0,1,raw
752046210,737.0,0,1,raw
752669385,623.0,0,1,raw
754312745,777.0,0,1,raw
755042363,729.0,0,1,raw
755681627,639.0,0,1,raw
756426132,744.0,0,1,raw
757171288,745.0,0,1,raw
757892503,721.0,0,1,raw
759567899,792.0,0,1,raw
760329080,761.0,0,1,raw
761058689,729.0,0,1,raw
762728017,769.0,0,1,raw
763513701,785.0,0,1,raw
764381734,868.0,0,1,raw
765103306,721.0,0,1,raw
765766447,663.0,0,1,raw
766650222,883.0,0,1,raw
767395086,744.0,0,1,raw
768107498,712.0,0,1,raw
768915734,808.0,0,1,raw
769668385,752.0,0,1,raw
770421335,752.0,0,1,raw
771165877,744.0,0,1,raw
771977275,811.0,0,1,raw
772763012,785.0,0,1,raw
773671871,908.0,0,1,raw
774465944,794.0,0,1,raw
775382509,916.0,0,1,raw
776129349,746.0,0,1,raw
777029950,900.0,0,1,raw
777953961,924.0,0,1,raw
778716425,762.0,0,1,raw
779689034,972.0,0,1,raw
780598318,909.0,0,1,raw
781507006,908.0,0,1,raw
782447436,940.0,0,1,raw
783217216,769.0,0,1,raw
783956299,739.0,0,1,raw
784848830,892.0,0,1,raw
785642672,793.0,0,1,raw
786460278,817.0,0,1,raw
787280779,820.0,0,1,raw
788067515,786.0,0,1,raw
788845543,778.0,0,1,raw
789738436,892.0,0,1,raw
790507955,769.0,0,1,raw
791237458,729.0,0,1,raw
791999155,761.0,0,1,raw
792907042,907.0,0,1,raw
793668644,761.0,0,1,raw
794429888,761.0,0,1,raw
795151233,721.0,0,1,raw
795887899,736.0,0,1,raw
796608335,720.0,0,1,raw
797368638,760.0,0,1,raw
798137239,768.0,0,1,raw
798881979,744.0,0,1,raw
799674790,792.0,0,1,raw
800324498,649.0,0,1,raw
801069398,744.0,0,1,raw
801731723,662.0,0,1,raw
802468329,736.0,0,1,raw
803221228,752.0,0,1,raw
803942453,721.0,0,1,raw
804679346,736.0,0,1,raw
805464396,785.0,0,1,raw
806184779,720.0,0,1,raw
806865125,680.0,0,1,raw
807649967,784.0,0,1,raw
808362661,712.0,0,1,raw
809147113,784.0,0,1,raw
809915006,767.0,0,1,raw
810611571,696.0,0,1,raw
811316079,704.0,0,1,raw
812076419,760.0,0,1,raw
812836767,760.0,0,1,raw
813597122,760.0,0,1,raw
814366011,768.0,0,1,raw
815111023,745.0,0,1,raw
815995267,884.0,0,1,raw
816740571,745.0,0,1,raw
817485683,745.0,0,1,raw
818214435,728.0,0,1,raw
819007295,792.0,0,1,raw
819776447,769.0,0,1,raw
820684690,908.0,0,1,raw
821374762,690.0,0,1,raw
822136709,761.0,0,1,raw
823036934,900.0,0,1,raw
823700017,663.0,0,1,raw
824453340,753.0,0,1,raw
825190531,737.0,0,1,raw
826049723,859.0,0,1,raw
827345447,736.0,0,1,raw
828122437,776.0,0,1,raw
828811850,689.0,0,1,raw
829573273,761.0,0,1,raw
830310910,737.0,0,1,raw
831056172,745.0,0,1,raw
831817464,761.0,0,1,raw
832546668,729.0,0,1,raw
833145615,598.0,0,1,raw
833768740,623.0,0,1,raw
834514284,745.0,0,1,raw
835227904,713.0,0,1,raw
835997739,769.0,0,1,raw
836842113,844.0,0,1,raw
837505172,663.0,0,1,raw
838226142,720.0,0,1,raw
838955323,729.0,0,1,raw
839732118,776.0,0,1,raw
840582751,850.0,0,1,raw
841319610,736.0,0,1,raw
842080678,761.0,0,1,raw
842873893,793.0,0,1,raw
843642877,768.0,0,1,raw
844340245,697.0,0,1,raw
845069096,728.0,0,1,raw
845797955,728.0,0,1,raw
846518878,720.0,0,1,raw
847327464,808.0,0,1,raw
848023927,696.0,0,1,raw
848760645,736.0,0,1,raw
849375447,614.0,0,1,raw
850065096,689.0,0,1,raw
850696503,631.0,0,1,raw
851370385,673.0,0,1,raw
851994149,623.0,0,1,raw
852585520,591.0,0,1,raw
853275329,689.0,0,1,raw
853965022,689.0,0,1,raw
854643989,678.0,0,1,raw
855341543,697.0,0,1,raw
856030576,689.0,0,1,raw
856589916,559.0,0,1,raw
857367848,777.0,0,1,raw
857983419,615.0,0,1,raw
858518307,534.0,0,1,raw
859184131,665.0,0,1,raw
859847458,663.0,0,1,raw
860513380,665.0,0,1,raw
861096757,583.0,0,1,raw
861712876,616.0,0,1,raw
862362413,649.0,0,1,raw
863771391,575.0,0,1,raw
864476565,705.0,0,1,raw
865157955,681.0,0,1,raw
865812785,654.0,0,1,raw
866549876,737.0,0,1,raw
867303246,753.0,0,1,raw
868032739,729.0,0,1,raw
868738001,705.0,0,1,raw
869482785,744.0,0,1,raw
870227605,744.0,0,1,raw
871110369,882.0,0,1,raw
871772498,662.0,0,1,raw
872468932,696.0,0,1,raw
873376441,907.0,0,1,raw
874089467,713.0,0,1,raw
874931085,841.0,0,1,raw
875645571,714.0,0,1,raw
876383706,738.0,0,1,raw
877193096,809.0,0,1,raw
878035992,842.0,0,1,raw
