seq,t_us,rr_raw_ms,nn_ms,valid,corrected,metric_eligible,status,reason,hr_bpm,score,rescued,source_t_us,timing_shift_ms,timing_quality,timing_uncertainty_ms,timing_recovered,refined,correction_method,waveform_score,reference_rr_ms,matched_firmware_t_us,inserted_by_smoother,low_prominence_rescue,flags
1077425,8619942045,743.998,743.998,1,0,1,accepted,,80.64537807897332,1.0,1,0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,808.0,0,0,0,17
1077518,8620686043,743.998,743.998,1,0,1,accepted,,80.64537807897332,1.0,0,8621046043,-360.0,1.0,5.0,0,1,interval_core_consensus,1.0,808.0005,8621046043,0,0,169
1077613,8621446043,760.0,760.0,1,0,1,accepted,,80.64537807897332,1.0,0,8621798043,-352.0,1.0,5.0,0,1,interval_core_consensus,1.0,808.0,8621798043,0,0,169
1077709,8622214043,768.0,768.0,1,0,1,accepted,,79.78734014273955,1.0,0,8622566047,-352.004,1.0,5.0,0,1,interval_core_consensus,1.0,799.999,8622566047,0,0,169
1077810,8623022043,808.0,808.0,1,0,1,accepted,,78.94736842105263,1.0,0,8623350043,-328.0,1.0,5.0,0,1,interval_core_consensus,1.0,787.9995,8623350043,0,0,169
1077922,8623918043,896.0,896.0,1,0,1,accepted,,78.53403141361257,1.0,1,0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,776.0,0,0,0,17
1078032,8624798043,880.0,880.0,1,0,1,accepted,,78.125,1.0,1,0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,772.0,0,0,0,17
1078139,8625654043,856.0,856.0,1,0,1,accepted,,76.14213197969544,1.0,1,0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,764.0,0,0,0,17
1078240,8626462044,808.001,808.001,1,0,1,accepted,,74.25742574257426,1.0,0,8626806046,-344.002,1.0,5.0,0,1,interval_core_consensus,1.0,768.0,8626806046,0,0,169
1078342,8627278044,816.0,816.0,1,0,1,accepted,,74.25733383993337,1.0,1,0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,767.998,0,0,0,17
1078442,8628078043,799.999,799.999,1,0,1,accepted,,74.25733383993337,1.0,1,0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,775.996,0,0,0,17
1078539,8628854043,776.0,776.0,1,0,1,accepted,,74.25733383993337,1.0,1,0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,775.996,0,0,0,17
1078625,8629542043,688.0,688.0,1,0,1,accepted,,74.25733383993337,1.0,1,8629222043,320.0,1.0,5.0,0,1,interval_core_consensus,1.0,775.998,8629222043,0,0,185
1078708,8630206043,664.0,664.0,1,0,1,accepted,,74.25733383993337,1.0,0,8629894043,312.0,1.0,5.0,0,1,interval_core_consensus,1.0,776.0,8629894043,0,0,169
1078792,8630878043,672.0,672.0,1,0,1,accepted,,75.00009375011719,1.0,0,8630558045,319.998,1.0,5.0,0,1,interval_core_consensus,1.0,787.9995,8630558045,0,0,169
1078878,8631566043,688.0,688.0,1,0,1,accepted,,77.31958762886597,1.0,0,8631902045,-336.002,1.0,5.0,0,1,interval_core_consensus,1.0,803.9995,8631902045,0,0,169
1078967,8632278045,712.002,712.002,1,0,1,accepted,,84.26942620947695,1.0,0,8632638045,-360.0,1.0,5.0,0,1,interval_core_consensus,1.0,808.0,8632638045,0,0,169
