seq,t_us,rr_ms,hr_bpm,score,flags
1077277,8618758043,839.0,0.0,0.617,169
1077379,8619574043,816.0,0.0,0.576,169
1077472,8620318043,744.0,0.0,0.564,169
1077563,8621046043,728.0,0.0,0.626,169
1077657,8621798043,752.0,0.0,0.641,169
1077753,8622566047,768.0,0.0,0.597,169
1077851,8623350043,783.0,0.0,0.639,169
1077863,8623446045,96.0,0.0,0.444,189
1077968,8624286043,839.0,0.0,0.657,169
1078077,8625158045,872.0,0.0,0.671,169
1078183,8626006043,847.0,0.0,0.623,169
1078283,8626806046,800.0,0.0,0.632,169
1078387,8627638043,831.0,0.0,0.608,169
1078486,8628430043,792.0,0.0,0.584,169
1078585,8629222043,792.0,0.0,0.55,185
1078669,8629894043,672.0,0.0,0.566,169
1078752,8630558045,664.0,0.0,0.616,169
1078834,8631214043,655.0,0.0,0.646,169
1078920,8631902045,688.0,0.0,0.672,169
1079012,8632638045,736.0,0.0,0.607,169
1079101,8633350043,711.0,0.0,0.616,169
1079197,8634118047,768.0,0.0,0.614,169
1079299,8634934046,815.0,0.0,0.613,169
1079408,8635806043,871.0,0.0,0.226,185
1079521,8636710046,904.0,0.0,0.622,169
1079620,8637502045,791.0,0.0,0.675,169
1079726,8638350046,848.0,0.0,0.656,169
1079836,8639230044,879.0,0.0,0.576,169
1079939,8640054043,823.0,0.0,0.584,169
1080044,8640894046,840.0,0.0,0.573,185
1080050,8640942045,47.0,0.0,0.484,189
1080161,8641830046,888.0,0.0,0.669,169
1080282,8642798044,967.0,0.0,0.611,169
1080394,8643694043,895.0,0.0,0.563,169
1080500,8644542043,848.0,0.0,0.222,185
1080616,8645470046,928.0,0.0,0.666,169
1080721,8646310044,839.0,0.0,0.686,169
1080828,8647166043,855.0,0.0,0.617,169
1080939,8648054047,888.0,0.0,0.608,169
1081046,8648910043,855.0,0.0,0.227,185
1081158,8649806043,896.0,0.0,0.626,169
1081258,8650606043,800.0,0.0,0.653,169
1081360,8651422046,816.0,0.0,0.677,169
1081464,8652254047,832.0,0.0,0.637,169
1081579,8653174047,920.0,0.0,0.573,169
1081594,8653294044,119.0,0.0,0.435,189
1081689,8654054043,759.0,0.0,0.623,169
1081799,8654934043,880.0,0.0,0.609,169
1081894,8655694047,760.0,0.0,0.654,169
1081988,8656446043,751.0,0.0,0.705,169
1082085,8657222043,776.0,0.0,0.67,169
1082175,8657942044,720.0,0.0,0.676,169
1082271,8658710045,768.0,0.0,0.664,169
1082373,8659526045,816.0,0.0,0.677,169
1082486,8660430044,903.0,0.0,0.626,169
1082504,8660574046,144.0,0.0,0.432,189
1082624,8661534047,960.0,0.0,0.688,169
1082750,8662542044,1007.0,0.0,0.559,169
1082866,8663470043,927.0,0.0,0.216,185
1083000,8664542043,1072.0,0.0,0.626,169
1083114,8665454043,912.0,0.0,0.57,169
1083223,8666326043,872.0,0.0,0.58,185
1083232,8666398049,72.0,0.0,0.438,189
1083332,8667198043,799.0,0.0,0.625,169
1083441,8668070043,872.0,0.0,0.679,169
1083547,8668918043,848.0,0.0,0.618,169
1083643,8669686046,768.0,0.0,0.65,169
1083743,8670486043,799.0,0.0,0.633,169
1083842,8671278043,792.0,0.0,0.592,169
1083940,8672062043,784.0,0.0,0.612,169
1084043,8672886043,824.0,0.0,0.618,185
1084051,8672950047,64.0,0.0,0.446,189
1084156,8673790043,839.0,0.0,0.589,169
1084258,8674606043,816.0,0.0,0.685,169
1084366,8675470043,864.0,0.0,0.629,169
1084466,8676270043,800.0,0.0,0.604,169
1084556,8676990043,720.0,0.0,0.637,169
1084649,8677734045,744.0,0.0,0.634,169
1084751,8678550046,816.0,0.0,0.594,169
1084847,8679318044,767.0,0.0,0.612,169
1084949,8680134043,815.0,0.0,0.555,169
1085042,8680878045,744.0,0.0,0.561,185
1085132,8681598044,719.0,0.0,0.581,185
1085228,8682366043,767.0,0.0,0.593,185
1085235,8682422047,56.0,0.0,0.46,189
1085330,8683182043,759.0,0.0,0.606,169
1085438,8684046047,864.0,0.0,0.668,169
1085555,8684982043,935.0,0.0,0.651,169
1085676,8685950043,968.0,0.0,0.567,169
1085689,8686054045,104.0,0.0,0.445,189
1085787,8686838045,784.0,0.0,0.57,169
1085895,8687702043,863.0,0.0,0.671,169
1086006,8688590047,888.0,0.0,0.599,169
1086111,8689430043,839.0,0.0,0.578,169
1086216,8690270043,840.0,0.0,0.577,169
1086324,8691134045,864.0,0.0,0.236,185
1086439,8692054047,920.0,0.0,0.699,169
1086550,8692942046,887.0,0.0,0.648,169
1086659,8693814043,871.0,0.0,0.586,169
1086761,8694630046,816.0,0.0,0.558,169
1086864,8695454046,824.0,0.0,0.583,185
1086872,8695518045,63.0,0.0,0.441,189
1086970,8696302046,784.0,0.0,0.605,169
1087076,8697150043,847.0,0.0,0.653,169
1087180,8697982043,832.0,0.0,0.641,169
1087283,8698806043,824.0,0.0,0.649,169
1087390,8699662043,856.0,0.0,0.616,169
1087503,8700566044,904.0,0.0,0.583,185
1087510,8700622043,55.0,0.0,0.46,189
1087618,8701486043,864.0,0.0,0.609,169
1087715,8702262043,776.0,0.0,0.656,169
1087817,8703078045,816.0,0.0,0.661,169
1087918,8703886043,807.0,0.0,0.612,169
1088016,8704670043,784.0,0.0,0.589,169
1088115,8705462045,792.0,0.0,0.619,169
1088210,8706222043,759.0,0.0,0.601,169
1088308,8707006043,784.0,0.0,0.603,169
1088413,8707846043,840.0,0.0,0.584,185
1088419,8707894046,48.0,0.0,0.443,189
1088521,8708710046,816.0,0.0,0.614,169
1088631,8709590046,880.0,0.0,0.606,169
1088736,8710430044,839.0,0.0,0.594,169
1088842,8711278043,847.0,0.0,0.593,169
1088954,8712174043,896.0,0.0,0.549,185
1088965,8712262045,88.0,0.0,0.439,189
1089062,8713038043,775.0,0.0,0.572,169
1089166,8713870043,832.0,0.0,0.628,169
1089275,8714742043,872.0,0.0,0.648,169
1089383,8715606043,864.0,0.0,0.602,169
1089488,8716446045,840.0,0.0,0.558,169
1089593,8717286043,839.0,0.0,0.553,185
1089691,8718070045,784.0,0.0,0.225,185
1089795,8718902043,831.0,0.0,0.606,169
1089893,8719686043,784.0,0.0,0.662,169
1089990,8720462043,776.0,0.0,0.677,169
1090092,8721278043,816.0,0.0,0.671,169
1090191,8722070045,792.0,0.0,0.671,169
1090302,8722958046,888.0,0.0,0.589,169
1090407,8723798047,840.0,0.0,0.576,169
1090510,8724622046,823.0,0.0,0.223,185
1090617,8725478044,855.0,0.0,0.619,169
1090715,8726262044,784.0,0.0,0.629,169
1090819,8727094043,831.0,0.0,0.675,169
1090935,8728022043,928.0,0.0,0.58,169
1091056,8728990043,968.0,0.0,0.231,185
1091176,8729950045,960.0,0.0,0.62,169
1091289,8730854043,903.0,0.0,0.591,169
1091398,8731726043,872.0,0.0,0.59,169
1091505,8732582043,856.0,0.0,0.536,185
1091602,8733358043,776.0,0.0,0.22,185
1091704,8734174043,816.0,0.0,0.622,169
1091808,8735006043,832.0,0.0,0.661,169
