seq,source_t_us,t_us,rr_ms,hr_bpm,score,timing_shift_ms,timing_quality,timing_uncertainty_ms,timing_recovered,refined,correction_method,waveform_score,reference_rr_ms,matched_firmware_t_us,inserted_by_smoother,low_prominence_rescue,detector_support_count,detector_names,detector_consensus,detector_time_spread_ms,single_detector,sequence_rescued,firmware_unmatched,local_clipped,flags
1077332,0,8619198047,0.0,74.25742574257426,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,808.0,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,17
1077425,0,8619942045,743.998,80.64537807897332,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,808.0,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,17
1077518,8621046043,8620686043,743.998,80.64537807897332,1.0,-360.0,1.0,5.0,0,1,interval_core_consensus,1.0,808.0005,8621046043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1077613,8621798043,8621446043,760.0,80.64537807897332,1.0,-352.0,1.0,5.0,0,1,interval_core_consensus,1.0,808.0,8621798043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1077709,8622566047,8622214043,768.0,79.78734014273955,1.0,-352.004,1.0,5.0,0,1,interval_core_consensus,1.0,799.999,8622566047,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1077810,8623350043,8623022043,808.0,78.94736842105263,1.0,-328.0,1.0,5.0,0,1,interval_core_consensus,1.0,787.9995,8623350043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1077922,0,8623918043,896.0,78.53403141361257,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,776.0,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,17
1078032,0,8624798043,880.0,78.125,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,772.0,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,17
1078139,0,8625654043,856.0,76.14213197969544,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,764.0,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,17
1078240,8626806046,8626462044,808.001,74.25742574257426,1.0,-344.002,1.0,5.0,0,1,interval_core_consensus,1.0,768.0,8626806046,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1078342,0,8627278044,816.0,74.25733383993337,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,767.998,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,17
1078442,0,8628078043,799.999,74.25733383993337,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,775.996,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,17
1078539,0,8628854043,776.0,74.25733383993337,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,775.996,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,17
1078625,8629222043,8629542043,688.0,74.25733383993337,1.0,320.0,1.0,5.0,0,1,interval_core_consensus,1.0,775.998,8629222043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,185
1078708,8629894043,8630206043,664.0,74.25733383993337,1.0,312.0,1.0,5.0,0,1,interval_core_consensus,1.0,776.0,8629894043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1078792,8630558045,8630878043,672.0,75.00009375011719,1.0,319.998,1.0,5.0,0,1,interval_core_consensus,1.0,787.9995,8630558045,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1078878,8631902045,8631566043,688.0,77.31958762886597,1.0,-336.002,1.0,5.0,0,1,interval_core_consensus,1.0,803.9995,8631902045,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1078967,8632638045,8632278045,712.002,84.26942620947695,1.0,-360.0,1.0,5.0,0,1,interval_core_consensus,1.0,808.0,8632638045,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1079056,8633350043,8632990047,712.002,84.26942620947695,1.0,-359.996,1.0,5.0,0,1,interval_core_consensus,1.0,808.001,8633350043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1079153,8634118047,8633766043,775.996,84.26942620947695,1.0,-352.004,1.0,5.0,0,1,interval_core_consensus,1.0,816.0,8634118047,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1079256,8634934046,8634590043,824.0,84.26942620947695,1.0,-344.003,1.0,5.0,0,1,interval_core_consensus,1.0,823.996,8634934046,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1079365,8635806043,8635462043,872.0,84.26942620947695,1.0,-344.0,1.0,5.0,0,1,interval_core_consensus,1.0,823.996,8635806043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,185
1079473,0,8636326047,864.004,84.26942620947695,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,823.996,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,17
1079576,8637502045,8637150043,823.996,77.31998618549581,1.0,-352.002,1.0,5.0,0,1,interval_core_consensus,1.0,823.996,8637502045,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1079680,8638350046,8637982045,832.002,72.81588745576435,1.0,-368.001,1.0,5.0,0,1,interval_core_consensus,1.0,824.0,8638350046,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
