t_us,hr_bpm,time_status,time_validity_reason,rmssd_ms,rmssd_ci_low_ms,rmssd_ci_high_ms,sdnn_ms,pnn50_percent,fiducial_quality_mean,fiducial_uncertainty_p95_ms,fiducial_shift_p95_ms,fiducial_unstable_ratio,frequency_status,frequency_validity_reason,total_power_ms2,vlf_ms2,lf_ms2,hf_ms2,lf_nu,hf_nu,lf_hf,hf_lf,median_frequency_hz,thm_power_ms2,resonance_band_power_ms2,resonance_share,lf_peak_frequency_hz,lf_peak_prominence_ratio,spectral_agreement,spectral_agreement_raw,spectral_shape_agreement,band_power_agreement,interpolation_agreement,frequency_waveform_inserted_ratio,frequency_timing_recovered_ratio,frequency_timing_shift_delta_p95_ms,dual_detector_ratio,single_detector_ratio,detector_consensus_mean,detector_time_spread_p95_ms,sequence_rescue_ratio,local_clip_ratio,firmware_unmatched_ratio,sqi,transport_score,transport_status,contact_score,contact_status,overall_status,detected_artifact_ratio,corrected_ratio,unresolved_suspect_ratio,max_consecutive_artifacts,protocol_error_ratio,protocol_crc_errors,protocol_format_errors,protocol_seq_gaps
8640542043,70.75496729351637,INVALID,有效 NN 不足：27/40；连续有效 NN 对不足：26/30,nan,nan,nan,nan,nan,1.0,5.0,360.0,0.0,LIMITED,频域窗口积累中：21/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983379733042768,0.995694933260692,VALID,1.0,VALID,INVALID,0.0,0.0,0.0,0,0.00027240533914464724,0,1,0
8661174047,77.31918907634497,VALID,,40.486756877643195,32.42170789860812,46.206896053062884,71.43159361134774,18.367346938775512,1.0,5.0,376.0,0.0,LIMITED,频域窗口积累中：40/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9989082343626288,0.9971205859065717,VALID,1.0,VALID,LIMITED,0.0196078431372549,0.0,0.0196078431372549,1,0.00015835312747426763,0,1,0
8681238047,75.75719314548917,VALID,,45.61291836601125,33.69148985222328,60.668760379852586,77.32862857064613,23.728813559322035,1.0,5.0,376.0,0.0,LIMITED,频域窗口积累中：61/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991338127052429,0.9976845317631073,VALID,1.0,VALID,LIMITED,0.0,0.0,0.0,0,0.00011323745895142112,0,1,0
8701894047,70.75471698113208,VALID,,46.77507973305762,33.76043926810519,60.15857403557695,71.67320278056317,27.11864406779661,1.0,5.0,376.0,0.0,LIMITED,频域窗口积累中：82/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992646116335773,0.998011529083943,VALID,1.0,VALID,LIMITED,0.0,0.0,0.0,0,8.707767328456984e-05,0,1,0
8722574043,74.25742574257426,VALID,,32.967464401297946,27.078470866432372,38.72457670880534,47.50214473333459,18.64406779661017,1.0,5.0,376.0,0.0,LIMITED,频域窗口积累中：103/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993446844798182,0.9982117111995453,VALID,1.0,VALID,LIMITED,0.0,0.0,0.0,0,7.10631040363843e-05,0,1,0
8743246046,68.80733944954129,VALID,,33.001265444902444,27.596424028631592,39.047079336873686,37.64253180651897,10.526315789473683,1.0,5.0,376.00015,0.0,LIMITED,频域窗口积累中：123/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994011535473075,0.9983528838682686,VALID,1.0,VALID,LIMITED,0.016666666666666666,0.0,0.016666666666666666,1,5.9769290538521305e-05,0,1,0
8763758043,73.52914143698001,VALID,,31.894479783603092,25.428801415791252,37.48632670671458,38.277039409168445,8.771929824561402,1.0,5.0,375.9962,0.0,LIMITED,频域窗口积累中：144/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9988405141142747,0.998450885392325,VALID,0.9991335643828312,VALID,LIMITED,0.016666666666666666,0.0,0.016666666666666666,1,5.192916861401049e-05,0,1,0
8784110043,66.96436045129515,VALID,,32.20338365077997,26.54404540037128,37.32744254978331,60.867429657277434,10.16949152542373,1.0,5.0,375.9962,0.0,LIMITED,频域窗口积累中：164/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9988713060576743,0.9985278652508239,VALID,0.9991335643828312,VALID,LIMITED,0.0,0.0,0.0,0,4.5770779934090074e-05,0,1,0
8804358043,72.81553398058253,VALID,,43.9665483502004,35.335102929250986,54.34913115914495,77.82949277006969,22.033898305084744,1.0,5.0,376.0,0.0,LIMITED,频域窗口积累中：184/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9988955773059536,0.9985885433715223,VALID,0.9991335643828312,VALID,LIMITED,0.0,0.0,0.0,0,4.091653027823241e-05,0,1,0
8824926043,71.42857142857143,VALID,,43.282279002820154,33.489269400076005,53.210645679216455,65.33018028995974,18.64406779661017,1.0,5.0,376.00015,0.0,LIMITED,频域窗口积累中：205/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995150135040143,0.9986375337600356,VALID,1.0,VALID,LIMITED,0.0,0.0,0.0,0,3.699729919715861e-05,0,1,0
8845478043,86.20689655172414,VALID,,40.135039993392134,27.406311859224225,49.027534031205846,74.12746623934515,13.559322033898304,1.0,5.0,376.00015,0.0,LIMITED,频域窗口积累中：226/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8697925954670983,0.9986783295101876,VALID,0.8119968008531059,VALID,LIMITED,0.0,0.0,0.0,0,3.373363918499528e-05,0,1,0
8866102043,70.75471698113208,VALID,,38.46577361627223,25.573729901629115,54.72868380502021,69.18795495559796,10.16949152542373,1.0,5.0,376.0,0.0,LIMITED,频域窗口积累中：246/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9027715268857242,0.9987121505476435,VALID,0.8596133333333333,VALID,LIMITED,0.0,0.0,0.0,0,3.102795618852586e-05,0,1,0
8886766044,66.96436045129515,VALID,,41.79076547435095,29.715185057635114,55.55085022041728,79.41032282335416,20.33898305084746,1.0,5.0,273.9999999999999,0.0,LIMITED,频域窗口积累中：267/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999556610266705,0.9987415256667623,VALID,1.0,VALID,LIMITED,0.0,0.0,0.0,0,2.8677946659019214e-05,0,1,0
8906998043,96.15322978698855,VALID,,33.940957839325144,25.728526302905895,43.2214989399289,103.38200992451621,15.254237288135593,1.0,5.0,8.0,0.0,LIMITED,频域窗口积累中：287/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9737731454173472,0.9987656681288115,VALID,0.9627432684617435,VALID,LIMITED,0.0,0.0,0.0,0,2.6746549695089334e-05,0,1,0
8927310043,86.20726813477644,VALID,,31.966410474015063,22.80344512637556,36.012304648922935,78.43444823538124,10.16949152542373,1.0,5.0,8.003,0.0,LIMITED,受限输出：Welch/Lomb 稳健一致性 73%；频带一致性 76%；两种频率算法差异较大 73%；快慢节律分布算法差异较大 76%,3521.958647207498,714.319156380123,2362.322103946465,358.1769035693425,86.83414687600245,13.16585312399756,6.595406014193551,0.15162068837732873,0.06750706739437774,884.8735276147431,899.7649923994829,0.3295512530898861,0.05859375,4.853639655380614,0.7297595544829735,0.5842575803807798,0.71663587918541,0.7603814635106219,0.9998088081462432,0.0,0.0,111.59720000000173,1.0,0.0,1.0,0.0,0.0,0.0,0.23848238482384823,0.999574924954973,0.9987873123874326,VALID,1.0,VALID,LIMITED,0.0,0.0,0.0,0,2.501500900540324e-05,0,1,0
