t_us,nn_ms,corrected,metric_eligible,source
8619942045,743.998,0,1,raw
8620686043,743.998,0,1,raw
8621446043,760.0,0,1,raw
8622214043,768.0,0,1,raw
8623022043,808.0,0,1,raw
8623918043,896.0,0,1,raw
8624798043,880.0,0,1,raw
8625654043,856.0,0,1,raw
8626462044,808.001,0,1,raw
8627278044,816.0,0,1,raw
8628078043,799.999,0,1,raw
8628854043,776.0,0,1,raw
8629542043,688.0,0,1,raw
8630206043,664.0,0,1,raw
8630878043,672.0,0,1,raw
8631566043,688.0,0,1,raw
8632278045,712.002,0,1,raw
8632990047,712.002,0,1,raw
8633766043,775.996,0,1,raw
8634590043,824.0,0,1,raw
8635462043,872.0,0,1,raw
8636326047,864.004,0,1,raw
8637150043,823.996,0,1,raw
8637982045,832.002,0,1,raw
8638838043,855.998,0,1,raw
8639694046,856.003,0,1,raw
8640542043,847.997,0,1,raw
8641454047,912.004,0,1,raw
8642406043,951.996,0,1,raw
8643326043,920.0,0,1,raw
8644222043,896.0,0,1,raw
8645086043,864.0,0,1,raw
8645950043,864.0,0,1,raw
8646798044,848.001,0,1,raw
8647678043,879.999,0,1,raw
8648574043,896.0,0,1,raw
8649430043,856.0,0,1,raw
8650238043,808.0,0,1,raw
8651046045,808.002,0,1,raw
8651886043,839.998,0,1,raw
8652790043,904.0,0,1,raw
8653710043,920.0,0,1,raw
8654542043,832.0,0,1,raw
8655318047,776.004,0,1,raw
8656094047,776.0,0,1,raw
8656862047,768.0,0,1,raw
8657590043,727.996,0,1,raw
8658334047,744.004,0,1,raw
8659174043,839.996,0,1,raw
8660086046,912.003,0,1,raw
8661174047,1088.001,0,1,raw
8662174043,999.996,0,1,raw
8663174043,1000.0,0,1,raw
8664158043,984.0,0,1,raw
8665078045,920.002,0,1,raw
8665974043,895.998,0,1,raw
8666822046,848.003,0,1,raw
8667686045,863.999,0,1,raw
8668534047,848.002,0,1,raw
8669334043,799.996,0,1,raw
8670118043,784.0,0,1,raw
8670910047,792.004,0,1,raw
8671710046,799.999,0,1,raw
8672550047,840.001,0,1,raw
8673390047,840.0,0,1,raw
8674254043,863.996,0,1,raw
8675102043,848.0,0,1,raw
8675894047,792.004,0,1,raw
8676630043,735.996,0,1,raw
8677374043,744.0,0,1,raw
8678174043,800.0,0,1,raw
8678974043,800.0,0,1,raw
8679774043,800.0,0,1,raw
8680518043,744.0,0,1,raw
8681238047,720.004,0,1,raw
8682006045,767.998,0,1,raw
8682806043,799.998,0,1,raw
8683678043,872.0,0,1,raw
8684614043,936.0,0,1,raw
8685558043,944.0,0,1,raw
8686446047,888.004,0,1,raw
8687334043,887.996,0,1,raw
8688198043,864.0,0,1,raw
8689046043,848.0,0,1,raw
8689894047,848.004,0,1,raw
8690782044,887.997,0,1,raw
8691686043,903.999,0,1,raw
8692574043,888.0,0,1,raw
8693430046,856.003,0,1,raw
8694254043,823.997,0,1,raw
8695086043,832.0,0,1,raw
8695934043,848.0,0,1,raw
8696782047,848.004,0,1,raw
8697598043,815.996,0,1,raw
8698430043,832.0,0,1,raw
8699310043,880.0,0,1,raw
8700206043,896.0,0,1,raw
8701094043,888.0,0,1,raw
8701894047,800.004,0,1,raw
8702694045,799.998,0,1,raw
8703494045,800.0,0,1,raw
8704294047,800.002,0,1,raw
8705102043,807.996,0,1,raw
8705854043,752.0,0,1,raw
8706638043,784.0,0,1,raw
8707478043,840.0,0,1,raw
8708334043,856.0,0,1,raw
8709182043,848.0,0,1,raw
8710030043,848.0,0,1,raw
8710894047,864.004,0,1,raw
8711782047,888.0,0,1,raw
8712646043,863.996,0,1,raw
8713486046,840.003,0,1,raw
8714366043,879.997,0,1,raw
8715230043,864.0,0,1,raw
8716078043,848.0,0,1,raw
8716902043,824.0,0,1,raw
8717710043,808.0,0,1,raw
8718518043,808.0,0,1,raw
8719318043,800.0,0,1,raw
8720102043,784.0,0,1,raw
8720918043,816.0,0,1,raw
8721718047,800.004,0,1,raw
8722574043,855.996,0,1,raw
8723422043,848.0,0,1,raw
8724294044,872.001,0,1,raw
8725118043,823.999,0,1,raw
8725894047,776.004,0,1,raw
8726718046,823.999,0,1,raw
8727622047,904.001,0,1,raw
8729566043,935.996,0,1,raw
8730462043,896.0,0,1,raw
8731350043,888.0,0,1,raw
8732214043,864.0,0,1,raw
8732998043,784.0,0,1,raw
8733790043,792.0,0,1,raw
8734622045,832.002,0,1,raw
8735478043,855.998,0,1,raw
8736302043,824.0,0,1,raw
8737150043,848.0,0,1,raw
8738030043,880.0,0,1,raw
8738910043,880.0,0,1,raw
8739782043,872.0,0,1,raw
8740678047,896.004,0,1,raw
8741542043,863.996,0,1,raw
8742374043,832.0,0,1,raw
8743246046,872.003,0,1,raw
8744126043,879.997,0,1,raw
8744974047,848.004,0,1,raw
8745830043,855.996,0,1,raw
8746678043,848.0,0,1,raw
8747494043,816.0,0,1,raw
8748270046,776.003,0,1,raw
8749046047,776.001,0,1,raw
8749846043,799.996,0,1,raw
8750638043,792.0,0,1,raw
8751438043,800.0,0,1,raw
8752278047,840.004,0,1,raw
8753134043,855.996,0,1,raw
8753966043,832.0,0,1,raw
8754782045,816.002,0,1,raw
8755566043,783.998,0,1,raw
8756350043,784.0,0,1,raw
8757150043,800.0,0,1,raw
8757950047,800.004,0,1,raw
8758734043,783.996,0,1,raw
8759582043,848.0,0,1,raw
8760438047,856.004,0,1,raw
8761230043,791.996,0,1,raw
8762046046,816.003,0,1,raw
8762878043,831.997,0,1,raw
8763758043,880.0,0,1,raw
8764606047,848.004,0,1,raw
8765430043,823.996,0,1,raw
8766246045,816.002,0,1,raw
8767038043,791.998,0,1,raw
8767742043,704.0,0,1,raw
8768446043,704.0,0,1,raw
8769134043,688.0,0,1,raw
8769798043,664.0,0,1,raw
8770502043,704.0,0,1,raw
8771190047,688.004,0,1,raw
8771918043,727.996,0,1,raw
8772702047,784.004,0,1,raw
8773526047,824.0,0,1,raw
8774326044,799.997,0,1,raw
8775198046,872.002,0,1,raw
8776126044,927.998,0,1,raw
8777046043,919.999,0,1,raw
8777958047,912.004,0,1,raw
8778854046,895.999,0,1,raw
8779726046,872.0,0,1,raw
8780558043,831.997,0,1,raw
8781430047,872.004,0,1,raw
8782334047,904.0,0,1,raw
8783238046,903.999,0,1,raw
8784110043,871.997,0,1,raw
8785014043,904.0,0,1,raw
8785878043,864.0,0,1,raw
8786686043,808.0,0,1,raw
8787502043,816.0,0,1,raw
8788286047,784.004,0,1,raw
8788990043,703.996,0,1,raw
8789678043,688.0,0,1,raw
8790382044,704.001,0,1,raw
8791166044,784.0,0,1,raw
8792078047,912.003,0,1,raw
8793078043,999.996,0,1,raw
8794006043,928.0,0,1,raw
8794982043,976.0,0,1,raw
8795942046,960.003,0,1,raw
8796862043,919.997,0,1,raw
8797694047,832.004,0,1,raw
8798526047,832.0,0,1,raw
8799350047,824.0,0,1,raw
8800142044,791.997,0,1,raw
8800926043,783.999,0,1,raw
8801750043,824.0,0,1,raw
8802574043,824.0,0,1,raw
8803446043,872.0,0,1,raw
8804358043,912.0,0,1,raw
8805254046,896.003,0,1,raw
8806142043,887.997,0,1,raw
8807030047,888.004,0,1,raw
8807878043,847.996,0,1,raw
8808718045,840.002,0,1,raw
8809550043,831.998,0,1,raw
8810350043,800.0,0,1,raw
8811126043,776.0,0,1,raw
8811894043,768.0,0,1,raw
8812726043,832.0,0,1,raw
8813638046,912.003,0,1,raw
8814598043,959.997,0,1,raw
8815510047,912.004,0,1,raw
8816430043,919.996,0,1,raw
8817366043,936.0,0,1,raw
8818254043,888.0,0,1,raw
8819142043,888.0,0,1,raw
8819998043,856.0,0,1,raw
8820838043,840.0,0,1,raw
8821630043,792.0,0,1,raw
8822430043,800.0,0,1,raw
8823246043,816.0,0,1,raw
8824102043,856.0,0,1,raw
8824926043,824.0,0,1,raw
8825742047,816.004,0,1,raw
8826598043,855.996,0,1,raw
8827470043,872.0,0,1,raw
8828318047,848.004,0,1,raw
8829158044,839.997,0,1,raw
8830014045,856.001,0,1,raw
8830830043,815.998,0,1,raw
8831662043,832.0,0,1,raw
8832502043,840.0,0,1,raw
8833358043,856.0,0,1,raw
8834174043,816.0,0,1,raw
8834974043,800.0,0,1,raw
8835758043,784.0,0,1,raw
8836526043,768.0,0,1,raw
8837310043,784.0,0,1,raw
8838094043,784.0,0,1,raw
8838878043,784.0,0,1,raw
8839622043,744.0,0,1,raw
8840302043,680.0,0,1,raw
8840934043,632.0,0,1,raw
8841542045,608.002,0,1,raw
8842174043,631.998,0,1,raw
8842870043,696.0,0,1,raw
8843630043,760.0,0,1,raw
8844486043,856.0,0,1,raw
8845478043,992.0,0,1,raw
8846350043,872.0,0,1,raw
8847222043,872.0,0,1,raw
8848078047,856.004,0,1,raw
8848894043,815.996,0,1,raw
8849734043,840.0,0,1,raw
8850598047,864.004,0,1,raw
8851446043,847.996,0,1,raw
8852334043,888.0,0,1,raw
8853230045,896.002,0,1,raw
8854118043,887.998,0,1,raw
8854966047,848.004,0,1,raw
8855806043,839.996,0,1,raw
8856678043,872.0,0,1,raw
8857558044,880.001,0,1,raw
8858446044,888.0,0,1,raw
8859342044,896.0,0,1,raw
8860222045,880.001,0,1,raw
8861062043,839.998,0,1,raw
8861910043,848.0,0,1,raw
8862774047,864.004,0,1,raw
8863638043,863.996,0,1,raw
8864470043,832.0,0,1,raw
8865294043,824.0,0,1,raw
8866102043,808.0,0,1,raw
8866926043,824.0,0,1,raw
8867726043,800.0,0,1,raw
8868510043,784.0,0,1,raw
8869286043,776.0,0,1,raw
8870086045,800.002,0,1,raw
8870870043,783.998,0,1,raw
8871638043,768.0,0,1,raw
8872478043,840.0,0,1,raw
8873374047,896.004,0,1,raw
8874334043,959.996,0,1,raw
8875326043,992.0,0,1,raw
8876286043,960.0,0,1,raw
8877246045,960.002,0,1,raw
8878142045,896.0,0,1,raw
8878974046,832.001,0,1,raw
8879790047,816.001,0,1,raw
8880614045,823.998,0,1,raw
8881422047,808.002,0,1,raw
8882254044,831.997,0,1,raw
8883150043,895.999,0,1,raw
8884078044,928.001,0,1,raw
8884974043,895.999,0,1,raw
8885870043,896.0,0,1,raw
8886766044,896.001,0,1,raw
8887542043,775.999,0,1,raw
8888318043,776.0,0,1,raw
8889110043,792.0,0,1,raw
8889902043,792.0,0,1,raw
8890654046,752.003,0,1,raw
8891430043,775.997,0,1,raw
8892214043,784.0,0,1,raw
8893014043,800.0,0,1,raw
8893838043,824.0,0,1,raw
8894582047,744.004,0,1,raw
8895326046,743.999,0,1,raw
8896046045,719.999,0,1,raw
8896758043,711.998,0,1,raw
8897398043,640.0,0,1,raw
8898046043,648.0,0,1,raw
8898710043,664.0,0,1,raw
8899358043,648.0,0,1,raw
8900038043,680.0,0,1,raw
8900694043,656.0,0,1,raw
8901358044,664.001,0,1,raw
8902022043,663.999,0,1,raw
8902686043,664.0,0,1,raw
8903342045,656.002,0,1,raw
8903990043,647.998,0,1,raw
8904614043,624.0,0,1,raw
8905238047,624.004,0,1,raw
8905838043,599.996,0,1,raw
8906430043,592.0,0,1,raw
8906998043,568.0,0,1,raw
8907550044,552.001,0,1,raw
8908102043,551.999,0,1,raw
8908678047,576.004,0,1,raw
8909230043,551.996,0,1,raw
8909790046,560.003,0,1,raw
8910374047,584.001,0,1,raw
8910982046,607.999,0,1,raw
8911606046,624.0,0,1,raw
8912238043,631.997,0,1,raw
8912878043,640.0,0,1,raw
8913534044,656.001,0,1,raw
8914206044,672.0,0,1,raw
8914934047,728.003,0,1,raw
8915686047,752.0,0,1,raw
8916406043,719.996,0,1,raw
8917166043,760.0,0,1,raw
8917910043,744.0,0,1,raw
8918662043,752.0,0,1,raw
8919382046,720.003,0,1,raw
8920150047,768.001,0,1,raw
8920902045,751.998,0,1,raw
8921670043,767.998,0,1,raw
8922470045,800.002,0,1,raw
8923238046,768.001,0,1,raw
8923934043,695.997,0,1,raw
8924622043,688.0,0,1,raw
8925318043,696.0,0,1,raw
8926006043,688.0,0,1,raw
