t_us,baseline_version,baseline_ready,reference_window_count,reference_start_t_us,reference_end_t_us,span_seconds,included_window_t_us,source,reason,median_hr_bpm,scale_hr_bpm,delta_median_hr_bpm,count_hr_bpm,median_rmssd_ms,scale_rmssd_ms,delta_median_rmssd_ms,count_rmssd_ms,median_total_power_ms2,scale_total_power_ms2,delta_median_total_power_ms2,count_total_power_ms2,median_vlf_ms2,scale_vlf_ms2,delta_median_vlf_ms2,count_vlf_ms2,median_lf_ms2,scale_lf_ms2,delta_median_lf_ms2,count_lf_ms2,median_hf_ms2,scale_hf_ms2,delta_median_hf_ms2,count_hf_ms2,median_lf_nu,scale_lf_nu,delta_median_lf_nu,count_lf_nu,median_hf_nu,scale_hf_nu,delta_median_hf_nu,count_hf_nu,median_lf_hf,scale_lf_hf,delta_median_lf_hf,count_lf_hf,median_median_frequency_hz,scale_median_frequency_hz,delta_median_median_frequency_hz,count_median_frequency_hz,median_resonance_share,scale_resonance_share,delta_median_resonance_share,count_resonance_share,median_lf_peak_frequency_hz,scale_lf_peak_frequency_hz,delta_median_lf_peak_frequency_hz,count_lf_peak_frequency_hz,median_lf_peak_prominence_ratio,scale_lf_peak_prominence_ratio,delta_median_lf_peak_prominence_ratio,count_lf_peak_prominence_ratio
8640542043,0,0,0,0,0,0.000000,8640542043,LIMITED,需要至少3个相隔约2分钟的稳定频域参照窗口,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
8722574043,8661174047,0,1,8661174047,8661174047,0.000000,8722574043,LIMITED,需要至少3个相隔约2分钟的稳定频域参照窗口,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
8845478043,8784110043,0,2,8661174047,8784110043,0.000000,8845478043,LIMITED,需要至少3个相隔约2分钟的稳定频域参照窗口,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
8968326044,8906998043,1,3,8661174047,8906998043,245.823996,8968326044,LIMITED,,77.319189,15.352069,0.000000,3,3.524622,0.120000,0.000000,3,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
9089782046,9028822047,1,4,8661174047,9028822047,367.648000,9089782046,LIMITED,,75.424255,7.676034,-1.894934,4,3.509588,0.120000,-0.015035,4,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
9212526043,9151038043,1,5,8661174047,9151038043,489.863996,9212526043,LIMITED,,73.529322,5.618857,-1.894934,5,3.524622,0.120000,0.015035,5,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
9334086043,9273726043,1,6,8661174047,9273726043,612.551996,9334086043,LIMITED,,74.264801,4.366904,0.735480,6,3.509588,0.169686,-0.015035,6,8.697179,0.221736,0.000000,3,8.082454,0.363747,0.000000,3,7.728021,0.120000,0.000000,3,5.943515,0.120000,0.000000,3,85.594447,0.080000,0.000000,3,14.405553,0.080000,0.000000,3,1.782007,0.120000,0.000000,3,0.029586,0.080000,0.000000,3,0.110267,0.080000,0.000000,3,0.070312,0.120000,0.000000,3,2.815792,0.120000,0.000000,3
9455566043,9394670043,1,7,8661174047,9394670043,733.495996,9455566043,LIMITED,,73.529322,3.114950,-0.735480,7,3.494553,0.120000,-0.015035,7,8.547573,0.332674,-0.149606,4,7.958824,0.365168,-0.123630,4,7.696598,0.120000,-0.031423,4,5.814481,0.202485,-0.129034,4,85.609842,1.006824,0.015395,4,14.390158,1.006824,-0.015395,4,1.783256,0.120000,0.001250,4,0.032225,0.080000,0.002639,4,0.112444,0.080000,0.002177,4,0.062500,0.120000,-0.007812,4,2.839435,0.558681,0.023642,4
9579102043,9517862045,1,8,8661174047,9517862045,856.687998,9579102043,LIMITED,,74.264801,3.695985,0.735480,8,3.509588,0.157689,0.015035,8,8.474990,0.329417,-0.072583,5,8.053159,0.323155,0.094335,5,7.665175,0.120000,-0.031423,5,5.685447,0.216450,-0.129034,5,85.594447,1.967997,-0.015395,5,14.405553,1.967997,0.015395,5,1.782007,0.153854,-0.001250,5,0.029586,0.080000,-0.002639,5,0.114622,0.080000,0.002177,5,0.054688,0.120000,-0.007812,5,2.815792,1.047258,-0.023642,5
9701222046,9640238047,1,9,8661174047,9640238047,979.064000,9701222046,LIMITED,,73.529322,3.114950,-0.735480,9,3.524622,0.237466,0.015035,9,8.553184,0.221806,0.078194,6,7.944176,0.225092,-0.108983,6,7.696598,0.120000,0.031423,6,5.814481,0.306291,0.129034,6,84.930749,1.103141,-0.663698,6,15.069251,1.103141,0.663698,6,1.730120,0.120000,-0.051886,6,0.032225,0.080000,0.002639,6,0.189375,0.152738,0.074754,6,0.054688,0.120000,0.000000,6,2.462609,0.781595,-0.353183,6
