t_us,last_committed_t_us,polarity,template_correlation,autocorr_estimated_rr_ms,firmware_expected_rr_ms,candidate_peak_count,final_peak_count,inserted_peak_count,firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason,waveform_amplitude,commit_until_t_us,latest_sample_t_us,reinit_reason
8618478045,0,1,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,8618478045,0,
8623478045,0,1,0.000000,0.000000,760.002000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,8623478045,0,
8628486044,8620686043,1,1.000000,808.000000,792.000000,12,0,0,0,12,12,12,0,1.000000,0.000000,806.874109,808.000000,0.088075,dual_strong_update,4.143137,8621196046,8628446046,
8633494046,8625654043,1,1.000000,764.000000,776.000000,19,0,0,0,19,19,19,0,1.000000,0.000000,767.050372,764.000000,0.100906,dual_strong_update,4.272205,8626236043,8633486043,
8638502043,8630878043,1,1.000000,787.999500,780.001500,25,0,0,0,25,25,25,0,1.000000,0.000000,781.163536,787.999500,0.090313,dual_strong_update,3.978995,8631108045,8638358045,
8643502046,8635462043,1,1.000000,823.996000,832.001000,24,0,0,0,24,24,24,0,1.000000,0.000000,822.389806,823.996000,0.086358,dual_strong_update,4.259259,8636148047,8643398047,
8648510043,8640542043,1,0.958333,851.999500,852.000000,24,0,0,0,24,23,23,1,0.958333,0.000000,848.888886,851.999500,0.048727,dual_strong_update,4.189242,8641212043,8648462043,
8653510043,8645950043,1,0.956522,864.000000,855.999000,23,0,0,0,22,23,22,1,0.956522,0.000000,861.046771,864.000000,0.041187,dual_strong_update,4.345156,8646252043,8653502043,
8658510043,8651046045,1,0.956522,856.000000,808.001500,23,1,0,1,22,23,22,1,0.956522,0.000000,856.032015,856.000000,0.083133,dual_strong_update,4.545573,8651124043,8658374043,
8663510043,8656094047,1,1.000000,848.001000,776.000000,22,1,0,1,22,22,22,0,1.000000,0.000000,849.332320,848.001000,0.097906,dual_strong_update,4.494983,8656228045,8663478045,
8668510043,8660086046,1,1.000000,848.003000,872.000000,22,0,0,0,22,22,22,0,1.000000,0.000000,851.297899,848.003000,0.125875,dual_strong_update,4.527496,8661076043,8668326043,
8673510043,8665974043,1,1.000000,840.001000,836.000000,22,1,0,1,22,22,22,0,1.000000,0.000000,841.361929,840.001000,0.112955,dual_strong_update,4.363336,8666116043,8673366043,
8678510043,8670910047,1,1.000000,848.000000,799.998500,22,0,0,0,22,22,22,0,1.000000,0.000000,847.960449,848.000000,0.083928,dual_strong_update,4.522697,8671180047,8678430047,
8683510043,8675894047,1,1.000000,800.000000,767.999000,24,1,0,0,24,24,24,0,1.000000,0.000000,801.502417,800.000000,0.074132,dual_strong_update,4.635373,8676068043,8683318043,
8688510047,8680518043,1,1.000000,800.000000,767.999000,24,0,0,0,24,24,24,0,1.000000,0.000000,800.001045,800.000000,0.088956,dual_strong_update,4.441981,8681140044,8688390044,
8693518043,8685558043,1,0.958333,844.000000,863.998000,24,0,0,0,23,24,23,1,0.958333,0.000000,846.380510,844.000000,0.077294,dual_strong_update,4.456230,8686196046,8693446046,
8698518044,8690782044,1,1.000000,848.004000,843.998500,23,0,0,0,23,23,23,0,1.000000,0.000000,848.267273,848.004000,0.062940,dual_strong_update,4.453809,8691244047,8698494047,
