t_us,firmware_t_us,waveform_t_us,final_t_us,timing_shift_ms,no_firmware_match,inserted_by_smoother,timing_recovered,low_prominence_rescue,detector_support_count,detector_names,detector_consensus,detector_time_spread_ms,single_detector,sequence_rescued,firmware_unmatched,local_clipped,waveform_score,peak_prominence,peak_polarity,expected_rr_ms,match_distance_ms,recovery_reason,template_version
8619198047,0,8619198047,8619198047,0.000000,1,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,1,0,1.000000,3.593412,1,808.000000,0.000000,,v0.4.1-interval-core
8619942045,0,8619942045,8619942045,0.000000,1,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,1,0,1.000000,3.529666,1,808.000000,0.000000,,v0.4.1-interval-core
8620686043,8621046043,8620686043,8620686043,-360.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.148794,1,808.000500,360.000000,,v0.4.1-interval-core
8621446043,8621798043,8621446043,8621446043,-352.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.489051,1,808.000000,352.000000,,v0.4.1-interval-core
8622214043,8622566047,8622214043,8622214043,-352.004000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.238985,1,799.999000,352.004000,,v0.4.1-interval-core
8623022043,8623350043,8623022043,8623022043,-328.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.672771,1,787.999500,328.000000,,v0.4.1-interval-core
8623918043,0,8623918043,8623918043,0.000000,1,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,1,0,1.000000,4.858223,1,776.000000,0.000000,,v0.4.1-interval-core
8624798043,0,8624798043,8624798043,0.000000,1,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,1,0,1.000000,4.679497,1,772.000000,0.000000,,v0.4.1-interval-core
8625654043,0,8625654043,8625654043,0.000000,1,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,1,0,1.000000,4.192200,1,764.000000,0.000000,,v0.4.1-interval-core
8626462044,8626806046,8626462044,8626462044,-344.002000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.873870,1,768.000000,344.002000,,v0.4.1-interval-core
8627278044,0,8627278044,8627278044,0.000000,1,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,1,0,1.000000,4.262047,1,767.998000,0.000000,,v0.4.1-interval-core
8628078043,0,8628078043,8628078043,0.000000,1,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,1,0,1.000000,4.057394,1,775.996000,0.000000,,v0.4.1-interval-core
8628854043,0,8628854043,8628854043,0.000000,1,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,1,0,1.000000,3.759206,1,775.996000,0.000000,,v0.4.1-interval-core
8629542043,8629222043,8629542043,8629542043,320.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.419534,1,775.998000,320.000000,,v0.4.1-interval-core
8630206043,8629894043,8630206043,8630206043,312.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.618548,1,776.000000,312.000000,,v0.4.1-interval-core
8630878043,8630558045,8630878043,8630878043,319.998000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.635724,1,787.999500,319.998000,,v0.4.1-interval-core
8631566043,8631902045,8631566043,8631566043,-336.002000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.204664,1,803.999500,336.002000,,v0.4.1-interval-core
8632278045,8632638045,8632278045,8632278045,-360.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.300855,1,808.000000,360.000000,,v0.4.1-interval-core
