t_us,score_t_us,latest_data_t_us,baseline_version,uses_future_data
8640542043,8640542043,8640542043,0,0
8640542043,8640542043,8661174047,0,1
8661174047,8661174047,8661174047,0,0
8640542043,8640542043,8681238047,0,1
8661174047,8661174047,8681238047,0,1
8681238047,8681238047,8681238047,0,0
8640542043,8640542043,8701894047,0,1
8661174047,8661174047,8701894047,0,1
8681238047,8681238047,8701894047,0,1
8701894047,8701894047,8701894047,0,0
8640542043,8640542043,8722574043,8661174047,1
8661174047,8661174047,8722574043,8661174047,1
8681238047,8681238047,8722574043,8661174047,1
8701894047,8701894047,8722574043,8661174047,1
8722574043,8722574043,8722574043,8661174047,0
8640542043,8640542043,8743246046,8661174047,1
8661174047,8661174047,8743246046,8661174047,1
8681238047,8681238047,8743246046,8661174047,1
8701894047,8701894047,8743246046,8661174047,1
8722574043,8722574043,8743246046,8661174047,1
8743246046,8743246046,8743246046,8661174047,0
8640542043,8640542043,8763758043,8661174047,1
8661174047,8661174047,8763758043,8661174047,1
8681238047,8681238047,8763758043,8661174047,1
8701894047,8701894047,8763758043,8661174047,1
8722574043,8722574043,8763758043,8661174047,1
8743246046,8743246046,8763758043,8661174047,1
8763758043,8763758043,8763758043,8661174047,0
8640542043,8640542043,8784110043,8661174047,1
8661174047,8661174047,8784110043,8661174047,1
8681238047,8681238047,8784110043,8661174047,1
8701894047,8701894047,8784110043,8661174047,1
8722574043,8722574043,8784110043,8661174047,1
8743246046,8743246046,8784110043,8661174047,1
8763758043,8763758043,8784110043,8661174047,1
8784110043,8784110043,8784110043,8661174047,0
8640542043,8640542043,8804358043,8661174047,1
8661174047,8661174047,8804358043,8661174047,1
8681238047,8681238047,8804358043,8661174047,1
8701894047,8701894047,8804358043,8661174047,1
8722574043,8722574043,8804358043,8661174047,1
8743246046,8743246046,8804358043,8661174047,1
8763758043,8763758043,8804358043,8661174047,1
8784110043,8784110043,8804358043,8661174047,1
8804358043,8804358043,8804358043,8661174047,0
8640542043,8640542043,8824926043,8661174047,1
8661174047,8661174047,8824926043,8661174047,1
8681238047,8681238047,8824926043,8661174047,1
8701894047,8701894047,8824926043,8661174047,1
8722574043,8722574043,8824926043,8661174047,1
8743246046,8743246046,8824926043,8661174047,1
8763758043,8763758043,8824926043,8661174047,1
8784110043,8784110043,8824926043,8661174047,1
8804358043,8804358043,8824926043,8661174047,1
8824926043,8824926043,8824926043,8661174047,0
8640542043,8640542043,8845478043,8784110043,1
8661174047,8661174047,8845478043,8784110043,1
8681238047,8681238047,8845478043,8784110043,1
8701894047,8701894047,8845478043,8784110043,1
8722574043,8722574043,8845478043,8784110043,1
8743246046,8743246046,8845478043,8784110043,1
8763758043,8763758043,8845478043,8784110043,1
8784110043,8784110043,8845478043,8784110043,1
8804358043,8804358043,8845478043,8784110043,1
8824926043,8824926043,8845478043,8784110043,1
8845478043,8845478043,8845478043,8784110043,0
8640542043,8640542043,8866102043,8784110043,1
8661174047,8661174047,8866102043,8784110043,1
8681238047,8681238047,8866102043,8784110043,1
8701894047,8701894047,8866102043,8784110043,1
8722574043,8722574043,8866102043,8784110043,1
8743246046,8743246046,8866102043,8784110043,1
8763758043,8763758043,8866102043,8784110043,1
8784110043,8784110043,8866102043,8784110043,1
8804358043,8804358043,8866102043,8784110043,1
8824926043,8824926043,8866102043,8784110043,1
8845478043,8845478043,8866102043,8784110043,1
8866102043,8866102043,8866102043,8784110043,0
8640542043,8640542043,8886766044,8784110043,1
8661174047,8661174047,8886766044,8784110043,1
8681238047,8681238047,8886766044,8784110043,1
8701894047,8701894047,8886766044,8784110043,1
8722574043,8722574043,8886766044,8784110043,1
8743246046,8743246046,8886766044,8784110043,1
8763758043,8763758043,8886766044,8784110043,1
8784110043,8784110043,8886766044,8784110043,1
8804358043,8804358043,8886766044,8784110043,1
8824926043,8824926043,8886766044,8784110043,1
8845478043,8845478043,8886766044,8784110043,1
8866102043,8866102043,8886766044,8784110043,1
8886766044,8886766044,8886766044,8784110043,0
8640542043,8640542043,8906998043,8784110043,1
8661174047,8661174047,8906998043,8784110043,1
8681238047,8681238047,8906998043,8784110043,1
8701894047,8701894047,8906998043,8784110043,1
8722574043,8722574043,8906998043,8784110043,1
8743246046,8743246046,8906998043,8784110043,1
8763758043,8763758043,8906998043,8784110043,1
8784110043,8784110043,8906998043,8784110043,1
8804358043,8804358043,8906998043,8784110043,1
