t_us,sample_drop_count,beat_drop_count,metric_drop_count,sample_queue_depth,sample_queue_high_water
8621187252,0,0,0,0,4
8626188252,0,0,0,0,4
8631189249,0,0,0,0,4
8636189249,0,0,0,0,4
8641190241,0,0,0,0,4
8646190241,0,0,0,0,4
8651190241,0,0,0,0,4
8656190241,0,0,0,0,4
8661190241,0,0,0,0,4
8666190241,0,0,0,0,4
8671190241,0,0,0,0,4
8676190241,0,0,0,0,4
8681190241,0,0,0,0,4
8686190242,0,0,0,0,4
8691191634,0,0,0,0,4
8696191652,0,0,0,0,4
8701191659,0,0,0,0,4
8706192248,0,0,0,0,4
8711192249,0,0,0,0,4
8716192249,0,0,0,0,4
8721192252,0,0,0,0,4
8726193250,0,0,0,0,4
8731193252,0,0,0,0,4
8736193339,0,0,0,0,4
8741194249,0,0,0,0,4
8746194252,0,0,0,0,4
8751195252,0,0,0,0,4
8756196316,0,0,0,0,4
8761197247,0,0,0,0,4
8766197247,0,0,0,0,4
8771197248,0,0,0,0,4
8776197252,0,0,0,0,4
8781198241,0,0,0,0,4
8786198241,0,0,0,0,4
8791198244,0,0,0,0,4
8796199642,0,0,0,0,4
8801199654,0,0,0,0,4
8806199660,0,0,0,0,4
8811200249,0,0,0,0,4
8816201427,0,0,0,0,4
8821202250,0,0,0,0,4
8826202251,0,0,0,0,4
8831202251,0,0,0,0,4
8836203250,0,0,0,0,4
8841203250,0,0,0,0,4
8846203252,0,0,0,0,4
8851204247,0,0,0,0,4
8856204247,0,0,0,0,4
8861204247,0,0,0,0,4
8866204247,0,0,0,0,4
8871204248,0,0,0,0,4
8876205247,0,0,0,0,4
8881205251,0,0,0,0,4
8886206241,0,0,0,0,4
8891206241,0,0,0,0,4
8896206242,0,0,0,0,4
8901206242,0,0,0,0,4
8906207662,0,0,0,0,4
8911207667,0,0,0,0,4
8916207675,0,0,0,0,4
8921207681,0,0,0,0,4
8926208247,0,0,0,0,4
8931208252,0,0,0,0,4
8936209247,0,0,0,0,4
8941209247,0,0,0,0,4
8946209250,0,0,0,0,4
8951210247,0,0,0,0,4
8956210247,0,0,0,0,4
8961210248,0,0,0,0,4
8966210248,0,0,0,0,4
8971210250,0,0,0,0,4
8976211247,0,0,0,0,4
8981211247,0,0,0,0,4
8986211248,0,0,0,0,4
8991211248,0,0,0,0,4
8996212247,0,0,0,0,4
9001212248,0,0,0,0,4
9006212496,0,0,0,0,4
9011213247,0,0,0,0,4
9016213247,0,0,0,0,4
9021213251,0,0,0,0,4
9026214242,0,0,0,0,4
9031215675,0,0,0,0,4
9036215680,0,0,0,0,4
9041216247,0,0,0,0,4
9046216249,0,0,0,0,4
9051216251,0,0,0,0,4
9056217249,0,0,0,0,4
9061217252,0,0,0,0,4
9066218247,0,0,0,0,4
9071218250,0,0,0,0,4
9076219249,0,0,0,0,4
9081220247,0,0,0,0,4
9086220250,0,0,0,0,4
9091221249,0,0,0,0,4
9096221250,0,0,0,0,4
9101221251,0,0,0,0,4
9106222241,0,0,0,0,4
9111222242,0,0,0,0,4
9116223661,0,0,0,0,4
9121223895,0,0,0,0,4
9126224249,0,0,0,0,4
9131224250,0,0,0,0,4
9136224250,0,0,0,0,4
9141225248,0,0,0,0,4
9146225248,0,0,0,0,4
9151226247,0,0,0,0,4
9156226250,0,0,0,0,4
9161227249,0,0,0,0,4
9166227249,0,0,0,0,4
9171228247,0,0,0,0,4
9176228247,0,0,0,0,4
9181228249,0,0,0,0,4
9186228250,0,0,0,0,4
9191229249,0,0,0,0,4
9196229249,0,0,0,0,4
9201229249,0,0,0,0,4
9206229251,0,0,0,0,4
9211230246,0,0,0,0,4
