t_us,window_start_t_us,window_end_t_us,beat_count,firmware_beat_count,insertion_ratio,recovery_ratio,dual_detector_ratio,single_detector_ratio,detector_consensus_mean,detector_time_spread_p95_ms,sequence_rescue_ratio,local_clip_ratio,firmware_unmatched_ratio,offset_p50_ms,offset_p95_ms,offset_signed_p50_ms,adjacent_offset_change_p95_ms,firmware_rr_rmssd_ms,firmware_rr_sdnn_ms,final_rr_rmssd_ms,final_rr_sdnn_ms,clipping_ratio
8640542043,8620686043,8640542043,26,26,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.307692,352.001000,361.200150,-352.001000,657.600400,212.306615,155.013148,37.487865,69.991171,0.000000
8661174047,8641454047,8661174047,24,25,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.166667,364.000000,376.001150,-364.000000,40.803600,273.077484,209.729558,57.054405,78.555983,0.000000
8681238047,8662174043,8681238047,24,25,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.375000,359.997000,375.997300,-352.003000,706.800650,325.809386,226.334147,34.409185,71.908445,0.000000
8701894047,8682006045,8701894047,24,27,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.291667,368.003000,376.000600,-368.003000,23.996250,410.595304,293.039271,36.580730,38.511337,0.000000
8722574043,8702694045,8722574043,25,26,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.520000,368.000000,375.999150,-368.000000,11.998500,314.382826,211.337585,27.458782,34.508156,0.000000
8743246046,8723422043,8743246046,24,24,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.250000,360.003500,376.000600,-360.003500,49.603000,237.556742,171.375803,46.271987,51.009368,0.000000
8763758043,8744126043,8763758043,25,25,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.480000,359.998000,371.201400,-359.998000,694.397800,217.527601,156.748082,28.797355,30.508935,0.000267
8784110043,8764606047,8784110043,25,27,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.160000,351.997000,376.000000,-351.997000,672.797950,376.410837,258.183420,37.597789,86.030549,0.000267
8804358043,8785014043,8804358043,24,25,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.166667,355.998500,376.000150,-355.998500,75.199700,324.669511,234.706235,54.525690,84.983167,0.000267
8824926043,8805254046,8824926043,24,25,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.291667,368.000000,376.003400,-368.000000,73.990750,332.164373,231.314950,35.450165,52.454601,0.000000
