t_us,window_start_t_us,window_end_t_us,sample_count,raw_min,raw_p05,raw_p50,raw_p95,raw_max,avg_p05,avg_p50,avg_p95,filtered_p05,filtered_p50,filtered_p95,filtered_std,filtered_peak_to_peak,clip_low_ratio,clip_high_ratio,wear_ratio,wear_transition_count,max_no_wear_run_ms,candidate_count,detector_score_p50,expected_rr_ms_p50,firmware_hr_bpm_p50,firmware_hr_zero_ratio,effective_sample_rate_hz,timing_jitter_p95_ms,sqi,sqi_wear_ratio,sqi_clip_low_ratio,sqi_clip_high_ratio,transport_score,transport_status,contact_score,contact_status,protocol_error_ratio,protocol_seq_gaps,sample_drop_count,sample_queue_depth,sample_queue_high_water,corrector_reference_rr_ms,corrector_autocorr_confidence,corrector_polarity,corrector_candidate_count,corrector_selected_count,corrector_inserted_count,corrector_firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason
8618478045,8618478045,8618478045,1,180.000000,180.000000,180.000000,180.000000,180.000000,209.000000,209.000000,209.000000,59.000000,59.000000,59.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,0,0.649000,728.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,INVALID,0.000000,INVALID,0.000000,0,0,0,0,0.000000,0.000000,1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,
8623478045,8618478045,8623478045,626,80.000000,90.000000,132.000000,321.000000,355.000000,91.000000,134.000000,313.500000,-75.000000,-32.000000,138.250000,70.236889,249.000000,0.000000,0.000000,1.000000,0,0.000000,27,0.521500,728.000000,0.000000,1.000000,125.000000,0.004000,0.991517,1.000000,0.000000,0.000000,0.978642,VALID,1.000000,VALID,0.001637,0,0,0,4,0.000000,0.000000,1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,
8628486044,8623486046,8628486044,626,82.000000,92.000000,135.000000,333.000000,368.000000,92.250000,136.000000,321.750000,-74.000000,-27.000000,147.000000,73.197864,257.000000,0.000000,0.000000,1.000000,0,0.000000,23,0.506500,728.000000,0.000000,1.000000,125.000000,0.004000,0.995612,1.000000,0.000000,0.000000,0.988879,VALID,1.000000,VALID,0.000818,0,0,0,4,808.000000,1.000000,1,12,0,0,0,12,12,12,0,1.000000,0.000000,806.874109,808.000000,0.088075,dual_strong_update
8633494046,8628502043,8633494046,625,74.000000,85.000000,131.000000,324.000000,352.000000,87.000000,134.000000,312.000000,-80.000000,-35.000000,135.000000,74.459673,250.000000,0.000000,0.000000,1.000000,0,0.000000,23,0.533000,728.000000,0.000000,1.000000,125.000000,0.004000,0.996975,1.000000,0.000000,0.000000,0.992288,VALID,1.000000,VALID,0.000545,0,0,0,4,764.000000,1.000000,1,19,0,0,0,19,19,19,0,1.000000,0.000000,767.050372,764.000000,0.100906,dual_strong_update
8638502043,8633502043,8638502043,626,79.000000,85.000000,134.500000,353.750000,371.000000,87.000000,135.000000,342.000000,-82.000000,-29.000000,164.000000,81.262487,263.000000,0.000000,0.000000,1.000000,0,0.000000,22,0.512000,728.000000,0.000000,1.000000,125.000000,0.004000,0.997713,1.000000,0.000000,0.000000,0.994132,VALID,1.000000,VALID,0.000397,0,0,0,4,787.999500,1.000000,1,25,0,0,0,25,25,25,0,1.000000,0.000000,781.163536,787.999500,0.090313,dual_strong_update
8643502046,8638510043,8643502046,625,84.000000,91.000000,139.000000,359.600000,377.000000,92.200000,139.000000,347.000000,-79.000000,-26.000000,167.000000,80.987539,266.000000,0.000000,0.000000,1.000000,0,0.000000,23,0.512000,728.000000,0.000000,1.000000,125.000000,0.004000,0.998102,1.000000,0.000000,0.000000,0.995104,VALID,1.000000,VALID,0.000320,0,0,0,4,823.996000,1.000000,1,24,0,0,0,24,24,24,0,1.000000,0.000000,822.389806,823.996000,0.086358,dual_strong_update
8648510043,8643510045,8648510043,626,86.000000,94.000000,135.000000,348.000000,372.000000,95.250000,135.000000,335.750000,-77.000000,-32.000000,156.000000,74.302076,260.000000,0.000000,0.000000,1.000000,0,0.000000,21,0.512000,728.000000,0.000000,1.000000,125.000000,0.004000,0.998362,1.000000,0.000000,0.000000,0.995756,VALID,1.000000,VALID,0.000268,0,0,0,4,851.999500,0.958333,1,24,0,0,0,24,23,23,1,0.958333,0.000000,848.888886,851.999500,0.048727,dual_strong_update
8653510043,8648510043,8653510043,626,87.000000,93.000000,134.000000,345.000000,369.000000,95.000000,134.000000,334.000000,-77.750000,-34.000000,153.750000,76.566834,256.000000,0.000000,0.000000,1.000000,0,0.000000,29,0.511500,728.000000,0.000000,1.000000,125.000000,0.004000,0.998568,1.000000,0.000000,0.000000,0.996270,VALID,1.000000,VALID,0.000226,0,0,0,4,864.000000,0.956522,1,23,0,0,0,22,23,22,1,0.956522,0.000000,861.046771,864.000000,0.041187,dual_strong_update
8658510043,8653510043,8658510043,626,92.000000,100.000000,142.000000,333.500000,358.000000,102.000000,144.500000,322.500000,-69.000000,-27.000000,144.750000,73.636261,238.000000,0.000000,0.000000,1.000000,0,0.000000,25,0.512000,728.000000,0.000000,1.000000,125.000000,0.004000,0.998705,1.000000,0.000000,0.000000,0.996613,VALID,1.000000,VALID,0.000199,0,0,0,4,856.000000,0.956522,1,23,1,0,1,22,23,22,1,0.956522,0.000000,856.032015,856.000000,0.083133,dual_strong_update
8663510043,8658510043,8663510043,626,72.000000,82.000000,134.000000,366.000000,400.000000,84.000000,136.000000,355.000000,-88.000000,-30.000000,174.750000,83.595973,300.000000,0.000000,0.000000,1.000000,0,0.000000,27,0.513500,728.000000,0.000000,1.000000,125.000000,0.004000,0.998813,1.000000,0.000000,0.000000,0.996884,VALID,1.000000,VALID,0.000177,0,0,0,4,848.001000,1.000000,1,22,1,0,1,22,22,22,0,1.000000,0.000000,849.332320,848.001000,0.097906,dual_strong_update
