t_us,window_start_t_us,window_end_t_us,rr_count,welch_vlf_power,welch_lf_power,welch_hf_power,welch_lf_hf_ratio,lomb_vlf_ratio,lomb_lf_ratio,lomb_hf_ratio,welch_peak_hz,lomb_peak_hz,spectral_agreement,band_power_agreement,interpolation_agreement,pchip_vs_linear_diff,waveform_inserted_ratio,timing_recovered_ratio,timing_shift_delta_p95_ms,dual_detector_ratio,single_detector_ratio,detector_consensus_mean,detector_time_spread_p95_ms,sequence_rescue_ratio,local_clip_ratio,firmware_unmatched_ratio,transport_status,contact_status,quality,rejection_reason
8640542043,8340542043,8640542043,27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：21/300 秒
8661174047,8361174047,8661174047,50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：40/300 秒
8681238047,8381238047,8681238047,75,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：61/300 秒
8701894047,8401894047,8701894047,99,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：82/300 秒
8722574043,8422574043,8722574043,124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：103/300 秒
8743246046,8443246046,8743246046,147,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：123/300 秒
8763758043,8463758043,8763758043,172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：144/300 秒
8784110043,8484110043,8784110043,197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：164/300 秒
8804358043,8504358043,8804358043,221,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：184/300 秒
8824926043,8524926043,8824926043,245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：205/300 秒
