host_read_start_ns,host_read_end_ns,read_duration_ms,bytes_read,decoded_message_count,sample_count,first_sample_seq,last_sample_seq,first_sample_t_us,last_sample_t_us,serial_in_waiting,protocol_ok_frames,crc_errors,format_errors,resync_count,sample_seq_gaps
81644203000000,81644734000000,531.0,4096,67,66,1077242,1077307,8618478045,8618998043,32,67,0,1,1,0
81644734000000,81645265000000,531.0,4096,67,67,1077308,1077374,8619006043,8619534043,52,134,0,1,1,0
81645281000000,81645812000000,531.0,4096,68,67,1077375,1077441,8619542043,8620070043,33,202,0,1,1,0
81645812000000,81646343000000,531.0,4096,68,67,1077442,1077508,8620078046,8620606043,88,270,0,1,1,0
81646359000000,81646875000000,516.0,4096,68,67,1077509,1077575,8620614045,8621142043,47,338,0,1,1,0
81646890000000,81647406000000,516.0,4096,68,67,1077576,1077642,8621150046,8621678043,44,406,0,1,1,0
81647421000000,81647937000000,516.0,4096,68,66,1077643,1077708,8621686047,8622206043,41,474,0,1,1,0
81647953000000,81648484000000,531.0,4096,69,68,1077709,1077776,8622214043,8622750043,115,543,0,1,1,0
81648500000000,81649031000000,531.0,4096,67,67,1077777,1077843,8622758043,8623286043,48,610,0,1,1,0
81649031000000,81649562000000,531.0,4096,69,68,1077844,1077911,8623294043,8623830043,139,679,0,1,1,0
81649578000000,81650093000000,515.0,4096,68,67,1077912,1077978,8623838043,8624366046,28,747,0,1,1,0
81650109000000,81650640000000,531.0,4096,68,67,1077979,1078045,8624374045,8624902047,43,815,0,1,1,0
81650640000000,81651171000000,531.0,4096,68,67,1078046,1078112,8624910043,8625438043,59,883,0,1,1,0
81651187000000,81651718000000,531.0,4096,68,68,1078113,1078180,8625446043,8625982043,298,951,0,1,1,0
81651750000000,81652250000000,500.0,4096,68,66,1078181,1078246,8625990043,8626510043,168,1019,0,1,1,0
81652265000000,81652781000000,516.0,4096,68,67,1078247,1078313,8626518045,8627046043,149,1087,0,1,1,0
81652796000000,81653328000000,532.0,4096,67,67,1078314,1078380,8627054043,8627582043,81,1154,0,1,1,0
