seq,t_us,rr_raw_ms,nn_ms,valid,corrected,metric_eligible,status,reason,hr_bpm,score,rescued,source_t_us,timing_shift_ms,timing_quality,timing_uncertainty_ms,timing_recovered,refined,correction_method,waveform_score,reference_rr_ms,matched_firmware_t_us,inserted_by_smoother,low_prominence_rescue,flags
1774570,14197102045,936.002,936.002,1,0,1,accepted,,64.10242713156596,1.0,1,14196918045,184.0,1.0,5.0,0,1,interval_core_consensus,1.0,807.999,14196918045,0,0,185
1774683,14198006043,903.998,903.998,1,0,1,accepted,,65.21739130434783,1.0,1,14197782044,223.999,1.0,5.0,0,1,interval_core_consensus,1.0,792.0,14197782044,0,0,185
1774795,14198902043,896.0,896.0,1,0,1,accepted,,66.3718282562572,1.0,1,14198694043,208.0,1.0,5.0,0,1,interval_core_consensus,1.0,798.0111242085696,14198694043,0,0,185
1774906,14199790045,888.002,888.002,1,0,1,accepted,,66.66674074082304,1.0,0,14199790045,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,792.0,14199790045,0,0,169
1775009,14200614043,823.998,823.998,1,0,1,accepted,,66.96428571428571,1.0,1,0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,799.9984999999999,0,0,0,17
1775108,14201406043,792.0,792.0,1,0,1,accepted,,67.26449858240069,1.0,1,0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,807.997,0,0,0,17
1775199,14202134045,728.002,728.002,1,0,1,accepted,,67.56741538870408,1.0,0,14202126043,8.002,1.0,5.0,0,1,interval_core_consensus,1.0,815.9975,14202126043,0,0,169
1775279,14202774044,639.999,639.999,1,0,1,accepted,,70.09345794392523,1.0,0,14202766043,8.001,1.0,5.0,0,1,interval_core_consensus,1.0,815.9975,14202766043,0,0,73
1775356,14203390045,616.001,616.001,1,0,1,accepted,,72.81571071774445,1.0,0,14203382043,8.002,1.0,5.0,0,1,interval_core_consensus,1.0,823.998,14203382043,0,0,169
1775440,14204062046,672.001,672.001,1,0,1,accepted,,75.75757575757575,1.0,0,14204438043,-375.997,1.0,5.0,0,1,interval_core_consensus,1.0,856.0,14204438043,0,0,169
1775534,14204814046,752.0,752.0,1,0,1,accepted,,79.7872340425532,1.0,1,0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,871.997,0,0,0,17
1775630,14205582046,768.0,768.0,1,0,1,accepted,,79.7872340425532,1.0,0,14205582046,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,875.998,14205582046,0,0,169
1775731,14206390043,807.997,807.997,1,0,1,accepted,,79.7872340425532,1.0,0,14206390043,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,879.997,14206390043,0,0,169
1775846,14207310043,920.0,920.0,1,0,1,accepted,,79.7872340425532,1.0,0,14207310043,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,868.0005,14207310043,0,0,169
1775963,14208246044,936.001,936.001,1,0,1,accepted,,79.7872340425532,1.0,0,14208622045,-376.001,1.0,5.0,0,1,interval_core_consensus,1.0,843.9985,14208622045,0,0,169
1776078,14209166043,919.999,919.999,1,0,1,accepted,,78.125,1.0,1,0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,815.9975,0,0,0,17
1776191,14210070043,904.0,904.0,1,0,1,accepted,,74.25770145186183,1.0,0,14210062043,8.0,1.0,5.0,0,1,interval_core_consensus,1.0,799.998,14210062043,0,0,169
