seq,source_t_us,t_us,rr_ms,hr_bpm,score,timing_shift_ms,timing_quality,timing_uncertainty_ms,timing_recovered,refined,correction_method,waveform_score,reference_rr_ms,matched_firmware_t_us,inserted_by_smoother,low_prominence_rescue,detector_support_count,detector_names,detector_consensus,detector_time_spread_ms,single_detector,sequence_rescued,firmware_unmatched,local_clipped,flags
1774453,14196158043,14196166043,0.0,72.81571071774445,1.0,8.0,1.0,5.0,0,1,interval_core_consensus,1.0,823.998,14196158043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1774570,14196918045,14197102045,936.002,64.10242713156596,1.0,184.0,1.0,5.0,0,1,interval_core_consensus,1.0,807.999,14196918045,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,185
1774683,14197782044,14198006043,903.998,65.21739130434783,1.0,223.999,1.0,5.0,0,1,interval_core_consensus,1.0,792.0,14197782044,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,185
1774795,14198694043,14198902043,896.0,66.3718282562572,1.0,208.0,1.0,5.0,0,1,interval_core_consensus,1.0,798.0111242085696,14198694043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,185
1774906,14199790045,14199790045,888.002,66.66674074082304,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,792.0,14199790045,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1775009,0,14200614043,823.998,66.96428571428571,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,799.9984999999999,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,17
1775108,0,14201406043,792.0,67.26449858240069,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,807.997,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,17
1775199,14202126043,14202134045,728.002,67.56741538870408,1.0,8.002,1.0,5.0,0,1,interval_core_consensus,1.0,815.9975,14202126043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1775279,14202766043,14202774044,639.999,70.09345794392523,1.0,8.001,1.0,5.0,0,1,interval_core_consensus,1.0,815.9975,14202766043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1775356,14203382043,14203390045,616.001,72.81571071774445,1.0,8.002,1.0,5.0,0,1,interval_core_consensus,1.0,823.998,14203382043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1775440,14204438043,14204062046,672.001,75.75757575757575,1.0,-375.997,1.0,5.0,0,1,interval_core_consensus,1.0,856.0,14204438043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1775534,0,14204814046,752.0,79.7872340425532,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,871.997,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,17
1775630,14205582046,14205582046,768.0,79.7872340425532,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,875.998,14205582046,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1775731,14206390043,14206390043,807.997,79.7872340425532,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,879.997,14206390043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1775846,14207310043,14207310043,920.0,79.7872340425532,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,868.0005,14207310043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1775963,14208622045,14208246044,936.001,79.7872340425532,1.0,-376.001,1.0,5.0,0,1,interval_core_consensus,1.0,843.9985,14208622045,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1776078,0,14209166043,919.999,78.125,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,815.9975,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,17
1776191,14210062043,14210070043,904.0,74.25770145186183,1.0,8.0,1.0,5.0,0,1,interval_core_consensus,1.0,799.998,14210062043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1776304,14210974047,14210974047,904.004,66.3716814159292,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,792.0,14210974047,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1776412,14211838046,14211838046,863.999,66.3716814159292,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,792.0,14211838046,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1776522,14212718043,14212718043,879.997,66.3716814159292,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,799.998,14212718043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1776631,14213582043,14213590045,872.002,66.3716814159292,1.0,8.002,1.0,5.0,0,1,interval_core_consensus,1.0,807.997,14213582043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1776731,14214390043,14214390043,799.998,66.3716814159292,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,815.9965,14214390043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1776823,14215126047,14215126047,736.004,68.18205062062712,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,843.9975,14215126047,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,73
1776912,0,14215838047,712.0,68.80718163490451,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,868.0005,0,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,1,0,1
1776998,14216526043,14216526043,687.996,69.44452482005187,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,875.9994999999999,14216526043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1777081,14217190043,14217190043,664.0,75.00018750046874,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,891.9984999999999,14217190043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1777176,14217942044,14217950047,760.004,78.94695291077416,1.0,8.003,1.0,5.0,0,1,interval_core_consensus,1.0,904.0,14217942044,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
1777279,14218774043,14218774043,823.996,78.94695291077416,1.0,0.0,1.0,5.0,0,1,interval_core_consensus,1.0,879.997,14218774043,0,0,2,multiscale+elgendi_like,1.0,0.0,0,0,0,0,169
