t_us,hr_bpm,time_status,time_validity_reason,rmssd_ms,rmssd_ci_low_ms,rmssd_ci_high_ms,sdnn_ms,pnn50_percent,fiducial_quality_mean,fiducial_uncertainty_p95_ms,fiducial_shift_p95_ms,fiducial_unstable_ratio,frequency_status,frequency_validity_reason,total_power_ms2,vlf_ms2,lf_ms2,hf_ms2,lf_nu,hf_nu,lf_hf,hf_lf,median_frequency_hz,thm_power_ms2,resonance_band_power_ms2,resonance_share,lf_peak_frequency_hz,lf_peak_prominence_ratio,spectral_agreement,spectral_agreement_raw,spectral_shape_agreement,band_power_agreement,interpolation_agreement,frequency_waveform_inserted_ratio,frequency_timing_recovered_ratio,frequency_timing_shift_delta_p95_ms,dual_detector_ratio,single_detector_ratio,detector_consensus_mean,detector_time_spread_p95_ms,sequence_rescue_ratio,local_clip_ratio,firmware_unmatched_ratio,sqi,transport_score,transport_status,contact_score,contact_status,overall_status,detected_artifact_ratio,corrected_ratio,unresolved_suspect_ratio,max_consecutive_artifacts,protocol_error_ratio,protocol_crc_errors,protocol_format_errors,protocol_seq_gaps
14217190043,75.00018750046874,INVALID,有效 NN 不足：26/40；连续有效 NN 对不足：25/30,nan,nan,nan,nan,nan,1.0,5.0,337.9975,0.0,LIMITED,频域窗口积累中：20/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.9991000000000001,VALID,1.0,VALID,INVALID,0.0,0.0,0.0,0,0.0,0,0,0
14237926043,68.18150826587151,VALID,,49.20966238018128,42.36208944897993,57.71872353767615,90.8122494946894,32.6530612244898,1.0,5.0,285.6006499999997,0.0,LIMITED,频域窗口积累中：41/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.9991000000000001,VALID,1.0,VALID,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
14257934044,83.33310185249486,VALID,,41.228948374918495,33.47232088548848,49.130357488223325,79.9661188475971,22.033898305084744,1.0,5.0,8.00305,0.0,LIMITED,频域窗口积累中：61/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.9991000000000001,VALID,1.0,VALID,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
14278350047,67.56756756756756,VALID,,36.348703174125454,31.658645992132474,41.22189325169778,63.52878688965489,18.64406779661017,1.0,5.0,8.00305,0.0,LIMITED,频域窗口积累中：81/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.9991000000000001,VALID,1.0,VALID,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
14298822047,66.96458466332439,VALID,,37.58122530791229,31.60847736869281,42.456599292590695,74.24886442932925,22.033898305084744,1.0,5.0,8.00305,0.0,LIMITED,频域窗口积累中：102/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.9991000000000001,VALID,1.0,VALID,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
14319302045,67.56741538870408,VALID,,44.700285723881116,38.55418318727542,50.255486386145854,58.326415035096474,32.20338983050847,1.0,5.0,8.004,0.0,LIMITED,频域窗口积累中：122/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9859036790189283,0.9991000000000001,VALID,0.9800719808051186,VALID,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
14339902047,79.78680964462954,VALID,,41.30770210140361,34.74667379028933,48.79063840503299,67.00362736487156,22.033898305084744,1.0,5.0,8.004,0.0,LIMITED,频域窗口积累中：143/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9757063982937884,0.9991000000000001,VALID,0.9653425753132499,VALID,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
14360278043,71.42891156624556,VALID,,29.861084348038627,22.802646437049745,35.91645839986952,57.19530245818808,8.47457627118644,1.0,5.0,8.004,0.0,LIMITED,频域窗口积累中：163/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.9991000000000001,VALID,1.0,VALID,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
14380870043,80.64516129032258,VALID,,35.50352987344465,27.379196766377806,43.35945157120788,66.74408023927035,15.254237288135593,1.0,5.0,8.004,0.0,LIMITED,频域窗口积累中：184/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769060783790989,0.9991000000000001,VALID,0.9670754465475874,VALID,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
14401350045,85.22751485089445,VALID,,43.92919752514709,36.67826957780593,52.07164389852405,76.11539112548893,27.11864406779661,1.0,5.0,8.002,0.0,LIMITED,频域窗口积累中：204/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.946314236203679,0.9991000000000001,VALID,0.9228872300719808,VALID,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
14421478044,73.5297722047657,VALID,,36.866932695247804,28.784197246071965,45.99552073199838,71.96978371262155,18.64406779661017,1.0,5.0,8.0,0.0,LIMITED,频域窗口积累中：224/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9805051186350308,0.9991000000000001,VALID,0.9722740602505998,VALID,LIMITED,0.0,0.0,0.0,0,0.0,0,0,0
