t_us,nn_ms,corrected,metric_eligible,source
14197102045,936.002,0,1,raw
14198006043,903.998,0,1,raw
14198902043,896.0,0,1,raw
14199790045,888.002,0,1,raw
14200614043,823.998,0,1,raw
14201406043,792.0,0,1,raw
14202134045,728.002,0,1,raw
14202774044,639.999,0,1,raw
14203390045,616.001,0,1,raw
14204062046,672.001,0,1,raw
14204814046,752.0,0,1,raw
14205582046,768.0,0,1,raw
14206390043,807.997,0,1,raw
14207310043,920.0,0,1,raw
14208246044,936.001,0,1,raw
14209166043,919.999,0,1,raw
14210070043,904.0,0,1,raw
14210974047,904.004,0,1,raw
14211838046,863.999,0,1,raw
14212718043,879.997,0,1,raw
14213590045,872.002,0,1,raw
14214390043,799.998,0,1,raw
14215126047,736.004,0,1,raw
14215838047,712.0,0,1,raw
14216526043,687.996,0,1,raw
14217190043,664.0,0,1,raw
14217950047,760.004,0,1,raw
14218774043,823.996,0,1,raw
14219702043,928.0,0,1,raw
14220686043,984.0,0,1,raw
14221670043,984.0,0,1,raw
14222582043,912.0,0,1,raw
14223518046,936.003,0,1,raw
14224446045,927.999,0,1,raw
14225294043,847.998,0,1,raw
14226094047,800.004,0,1,raw
14226838043,743.996,0,1,raw
14227606043,768.0,0,1,raw
14228390045,784.002,0,1,raw
14229174043,783.998,0,1,raw
14229998046,824.003,0,1,raw
14230870043,871.997,0,1,raw
14231790042,919.999,0,1,raw
14232646046,856.004,0,1,raw
14233534046,888.0,0,1,raw
14234374043,839.997,0,1,raw
14235222043,848.0,0,1,raw
14236102047,880.004,0,1,raw
14237022044,919.997,0,1,raw
14237926043,903.999,0,1,raw
14238774047,848.004,0,1,raw
14239638047,864.0,0,1,raw
14240454043,815.996,0,1,raw
14241294045,840.002,0,1,raw
14242150043,855.998,0,1,raw
14243038043,888.0,0,1,raw
14243966043,928.0,0,1,raw
14244886046,920.003,0,1,raw
14245750047,864.001,0,1,raw
14246590047,840.0,0,1,raw
14247462047,872.0,0,1,raw
14248318046,855.999,0,1,raw
14249102043,783.997,0,1,raw
14249878045,776.002,0,1,raw
14250630043,751.998,0,1,raw
14251358043,728.0,0,1,raw
14252078043,720.0,0,1,raw
14252790044,712.001,0,1,raw
14253502044,712.0,0,1,raw
14254198043,695.999,0,1,raw
14254918045,720.002,0,1,raw
14255654046,736.001,0,1,raw
14256382047,728.001,0,1,raw
14257134043,751.996,0,1,raw
14257934044,800.001,0,1,raw
14258702043,767.999,0,1,raw
14259542047,840.004,0,1,raw
14260398047,856.0,0,1,raw
14261222043,823.996,0,1,raw
14261974043,752.0,0,1,raw
14262782046,808.003,0,1,raw
14263606043,823.997,0,1,raw
14264438043,832.0,0,1,raw
14265278047,840.004,0,1,raw
14266158043,879.996,0,1,raw
14267014047,856.004,0,1,raw
14267806046,791.999,0,1,raw
14268622046,816.0,0,1,raw
14269494043,871.997,0,1,raw
14270374043,880.0,0,1,raw
14271310047,936.004,0,1,raw
14272254044,943.997,0,1,raw
14273158048,904.004,0,1,raw
14274006043,847.995,0,1,raw
14274838047,832.004,0,1,raw
14275686043,847.996,0,1,raw
14276574043,888.0,0,1,raw
14277470043,896.0,0,1,raw
14278350047,880.004,0,1,raw
14279190043,839.996,0,1,raw
14280070043,880.0,0,1,raw
14280958047,888.004,0,1,raw
14281846043,887.996,0,1,raw
14282758046,912.003,0,1,raw
14283646046,888.0,0,1,raw
14284590046,944.0,0,1,raw
14285590046,1000.0,0,1,raw
14286566043,975.997,0,1,raw
14287462045,896.002,0,1,raw
14288334046,872.001,0,1,raw
14289190043,855.997,0,1,raw
14289998046,808.003,0,1,raw
14290830044,831.998,0,1,raw
14291662043,831.999,0,1,raw
14292470043,808.0,0,1,raw
14293318043,848.0,0,1,raw
14294222043,904.0,0,1,raw
14295190043,968.0,0,1,raw
14296174047,984.004,0,1,raw
14297110047,936.0,0,1,raw
14298006043,895.996,0,1,raw
14298822047,816.004,0,1,raw
14299670047,848.0,0,1,raw
14300550045,879.998,0,1,raw
14301510043,959.998,0,1,raw
14302454043,944.0,0,1,raw
14303342044,888.001,0,1,raw
14304222045,880.001,0,1,raw
14305070046,848.001,0,1,raw
14305846043,775.997,0,1,raw
14306654045,808.002,0,1,raw
14307486045,832.0,0,1,raw
14308326043,839.998,0,1,raw
14309270047,944.004,0,1,raw
14310294046,1023.999,0,1,raw
14311318046,1024.0,0,1,raw
14312286046,968.0,0,1,raw
14313198047,912.001,0,1,raw
14314142046,943.999,0,1,raw
14315070043,927.997,0,1,raw
14315958045,888.002,0,1,raw
14316766043,807.998,0,1,raw
14317614044,848.001,0,1,raw
14318430047,816.003,0,1,raw
14319302045,871.998,0,1,raw
14320198047,896.002,0,1,raw
14321006045,807.998,0,1,raw
14321814043,807.998,0,1,raw
14322646045,832.002,0,1,raw
14323494044,847.999,0,1,raw
14324382047,888.003,0,1,raw
14325246043,863.996,0,1,raw
14326126048,880.005,0,1,raw
14327022047,895.999,0,1,raw
14327902046,879.999,0,1,raw
14328758045,855.999,0,1,raw
14329614043,855.998,0,1,raw
14330478044,864.001,0,1,raw
14331342047,864.003,0,1,raw
14332182046,839.999,0,1,raw
14332990043,807.997,0,1,raw
14333774043,784.0,0,1,raw
14334526043,752.0,0,1,raw
14335254047,728.004,0,1,raw
14335998043,743.996,0,1,raw
