t_us,baseline_version,baseline_ready,reference_window_count,reference_start_t_us,reference_end_t_us,span_seconds,included_window_t_us,source,reason,median_hr_bpm,scale_hr_bpm,delta_median_hr_bpm,count_hr_bpm,median_rmssd_ms,scale_rmssd_ms,delta_median_rmssd_ms,count_rmssd_ms,median_total_power_ms2,scale_total_power_ms2,delta_median_total_power_ms2,count_total_power_ms2,median_vlf_ms2,scale_vlf_ms2,delta_median_vlf_ms2,count_vlf_ms2,median_lf_ms2,scale_lf_ms2,delta_median_lf_ms2,count_lf_ms2,median_hf_ms2,scale_hf_ms2,delta_median_hf_ms2,count_hf_ms2,median_lf_nu,scale_lf_nu,delta_median_lf_nu,count_lf_nu,median_hf_nu,scale_hf_nu,delta_median_hf_nu,count_hf_nu,median_lf_hf,scale_lf_hf,delta_median_lf_hf,count_lf_hf,median_median_frequency_hz,scale_median_frequency_hz,delta_median_median_frequency_hz,count_median_frequency_hz,median_resonance_share,scale_resonance_share,delta_median_resonance_share,count_resonance_share,median_lf_peak_frequency_hz,scale_lf_peak_frequency_hz,delta_median_lf_peak_frequency_hz,count_lf_peak_frequency_hz,median_lf_peak_prominence_ratio,scale_lf_peak_prominence_ratio,delta_median_lf_peak_prominence_ratio,count_lf_peak_prominence_ratio
14217190043,0,0,0,0,0,0.000000,14217190043,LIMITED,需要至少3个相隔约2分钟的稳定频域参照窗口,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
14298822047,14237926043,0,1,14237926043,14237926043,0.000000,14298822047,LIMITED,需要至少3个相隔约2分钟的稳定频域参照窗口,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
14421478044,14360278043,0,2,14237926043,14360278043,0.000000,14421478044,LIMITED,需要至少3个相隔约2分钟的稳定频域参照窗口,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
14543038046,14482382043,1,3,14237926043,14482382043,244.456000,14543038046,VALID,,71.428912,3.114202,0.000000,3,3.505444,0.161437,0.000000,3,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
14665534047,14604590043,1,4,14237926043,14604590043,366.664000,14665534047,VALID,,72.479162,3.964401,1.050250,4,3.521329,0.120000,0.015885,4,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
14787246045,14726390043,1,5,14237926043,14726390043,488.464000,14787246045,LIMITED,,73.529412,6.813268,1.050250,5,3.505444,0.161437,-0.015885,5,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0
14908758043,14847590043,1,6,14237926043,14847590043,609.664000,14908758043,VALID,,75.827155,6.832006,2.297743,6,3.451000,0.131867,-0.054444,6,8.348250,0.120000,0.000000,3,7.672187,0.422365,0.000000,3,7.352232,0.120000,0.000000,3,6.100327,0.227960,0.000000,3,75.962022,2.670044,0.000000,3,24.037978,2.670044,0.000000,3,1.150599,0.150197,0.000000,3,0.037924,0.080000,0.000000,3,0.213164,0.080000,0.000000,3,0.078125,0.120000,0.000000,3,2.417257,0.360721,0.000000,3
15031350043,14969934043,1,7,14237926043,14969934043,732.008000,15031350043,VALID,,77.319986,5.619906,1.492831,7,3.505444,0.216631,0.054444,7,8.318125,0.120000,-0.030124,4,7.529747,0.287620,-0.142441,4,7.204711,0.257596,-0.147521,4,5.959769,0.236026,-0.140558,4,76.862482,1.632432,0.900460,4,23.137518,1.632432,-0.900460,4,1.201252,0.120000,0.050653,4,0.039964,0.080000,0.002040,4,0.256802,0.080000,0.043638,4,0.074219,0.120000,-0.003906,4,2.295606,0.541684,-0.121652,4
15154158043,15092798043,1,8,14237926043,15092798043,854.872000,15154158043,LIMITED,,77.722442,7.773688,0.402456,8,3.521329,0.193370,0.015885,8,8.288001,0.142358,-0.030124,5,7.387306,0.152875,-0.142441,5,7.057190,0.437428,-0.147521,5,5.952416,0.219293,-0.007353,5,75.962022,3.264864,-0.900460,5,24.037978,3.264864,0.900460,5,1.150599,0.184819,-0.050653,5,0.038617,0.080000,-0.001346,5,0.300440,0.080000,0.043638,5,0.078125,0.120000,0.003906,5,2.173954,0.716344,-0.121652,5
15276958043,15216110043,1,9,14237926043,15216110043,978.184000,15276958043,LIMITED,,77.319986,5.619906,-0.402456,9,3.531170,0.187160,0.009841,9,8.318125,0.258767,0.030124,6,7.529747,0.311982,0.142441,6,7.204711,0.306162,0.147521,6,6.026371,0.322371,0.073956,6,75.525296,3.614945,-0.436727,6,24.474704,3.614945,0.436727,6,1.126970,0.202540,-0.023628,6,0.038271,0.080000,-0.000347,6,0.256802,0.088783,-0.043638,6,0.074219,0.120000,-0.003906,6,2.295606,0.793078,0.121652,6
