t_us,last_committed_t_us,polarity,template_correlation,autocorr_estimated_rr_ms,firmware_expected_rr_ms,candidate_peak_count,final_peak_count,inserted_peak_count,firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason,waveform_amplitude,commit_until_t_us,latest_sample_t_us,reinit_reason
14195622043,0,1,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,14195622043,0,
14200622043,0,1,0.000000,0.000000,760.002000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,14200622043,0,
14205622045,14198006043,1,1.000000,792.000000,863.999000,12,0,0,0,12,12,12,0,1.000000,0.000000,800.015499,792.000000,0.194685,dual_consensus_update,4.575370,14198316047,14205566047,
14210630045,14202774044,1,1.000000,823.998000,863.998500,18,0,0,0,18,18,18,0,1.000000,0.000000,818.030860,823.998000,0.143946,dual_strong_update,4.620238,14203196043,14210446043,
14215638043,14208246044,1,1.000000,843.998500,864.000000,23,1,0,1,23,23,23,0,1.000000,0.000000,861.997998,843.998500,0.105404,dual_strong_update,4.702767,14208308043,14215558043,
14220638045,14212718043,1,0.960000,799.998000,847.999000,25,0,0,0,24,25,24,1,0.960000,0.000000,797.898576,799.998000,0.163083,dual_consensus_update,4.301522,14213204044,14220454044,
14225646045,14217950047,1,1.000000,891.998500,919.998500,23,0,0,0,23,23,23,0,1.000000,0.000000,893.641353,891.998500,0.066488,dual_strong_update,4.195619,14218276046,14225526046,
14230646046,14222582043,1,1.000000,812.000000,924.000000,23,0,0,0,23,23,23,0,1.000000,0.000000,816.238825,812.000000,0.124160,dual_strong_update,3.962177,14223348046,14230598046,
14235654043,14227606043,1,0.958333,847.999000,864.001000,24,1,0,1,24,23,23,1,0.958333,0.000000,846.382155,847.999000,0.111896,dual_strong_update,4.175534,14228404043,14235654043,
14240654043,14232646046,1,0.958333,852.004000,871.998500,24,0,0,0,24,23,23,1,0.958333,0.000000,856.397606,852.004000,0.076568,dual_strong_update,4.063853,14233276043,14240526043,
14245654047,14237926043,1,0.956522,856.004000,876.002000,23,0,0,0,23,22,22,1,0.956522,0.000000,854.897017,856.004000,0.055417,dual_strong_update,4.665201,14238332043,14245582043,
14250662043,14243038043,1,0.956522,856.004000,856.000000,23,1,0,1,23,22,22,1,0.956522,0.000000,859.926028,856.004000,0.027724,dual_strong_update,4.756354,14243220046,14250470046,
14255662043,14247462047,1,1.000000,840.001000,792.000000,23,0,0,0,23,23,23,0,1.000000,0.000000,842.969455,840.001000,0.105902,dual_strong_update,4.519235,14248284043,14255534043,
14260662047,14252790044,1,1.000000,776.002000,772.000500,24,0,0,0,24,24,24,0,1.000000,0.000000,777.027078,776.002000,0.122272,dual_strong_update,4.512795,14253380043,14260630043,
14265670043,14257934044,1,1.000000,772.000500,831.999000,25,0,0,0,25,25,25,0,1.000000,0.000000,770.259711,772.000500,0.099857,dual_strong_update,4.152039,14258276043,14265526043,
14270670043,14262782046,1,0.960000,808.003000,832.002000,25,0,0,0,24,25,24,1,0.960000,0.000000,798.259283,808.003000,0.088077,dual_strong_update,4.456243,14263356043,14270606043,
14275670043,14267806046,1,1.000000,840.004000,863.998500,22,0,0,0,22,22,22,0,1.000000,0.000000,836.427150,840.004000,0.056467,dual_strong_update,4.731746,14268396047,14275646047,
14280670044,14273158048,1,1.000000,856.004000,880.002000,22,1,0,1,22,22,22,0,1.000000,0.000000,850.834056,856.004000,0.041568,dual_strong_update,4.657237,14273260043,14280510043,
14285670047,14277470043,1,0.954545,884.000000,887.998000,22,0,0,0,22,21,21,1,0.954545,0.000000,881.683214,884.000000,0.040257,dual_strong_update,4.727579,14278324043,14285574043,
14290678043,14282758046,1,1.000000,887.998000,888.002000,21,0,0,0,21,21,21,0,1.000000,0.000000,887.994855,887.998000,0.033401,dual_strong_update,4.687451,14283420043,14290670043,
14295678045,14287462045,1,1.000000,887.996000,867.998000,22,0,0,0,22,22,22,0,1.000000,0.000000,886.161099,887.996000,0.053426,dual_strong_update,4.283848,14288292043,14295542043,
14300678046,14293318043,1,0.913043,887.998000,848.003000,23,1,0,1,22,22,21,2,0.913043,0.000000,888.925420,887.998000,0.086820,dual_strong_update,4.338312,14293340043,14300590043,
14305686043,14298006043,1,1.000000,879.998000,887.998500,22,0,0,0,22,22,22,0,1.000000,0.000000,882.502404,879.998000,0.053909,dual_strong_update,4.459129,14298412045,14305662045,
14310686043,14302454043,1,1.000000,880.001000,879.998000,22,0,0,0,22,22,22,0,1.000000,0.000000,876.150563,880.001000,0.094345,dual_strong_update,4.268274,14303300044,14310550044,
14315686043,14308326043,1,1.000000,891.998500,880.001000,21,1,0,1,21,21,21,0,1.000000,0.000000,891.969551,891.998500,0.086431,dual_strong_update,4.598619,14308372043,14315622043,
14320686043,14313198047,1,0.956522,888.001000,948.000000,23,0,0,0,23,22,22,1,0.956522,0.000000,887.272709,888.001000,0.093494,dual_strong_update,4.395647,14313436043,14320686043,
14325686043,14317614044,1,0.956522,871.999000,863.998000,23,0,0,0,23,22,22,1,0.956522,0.000000,870.064426,871.999000,0.068013,dual_strong_update,4.233567,14318268047,14325518047,
14330686043,14322646045,1,0.956522,871.998000,859.997500,23,0,0,0,23,22,22,1,0.956522,0.000000,874.026442,871.998000,0.040804,dual_strong_update,4.346001,14323348045,14330598045,
14335686043,14327902046,1,0.958333,851.999500,859.997500,24,0,0,0,24,23,23,1,0.958333,0.000000,853.956443,851.999500,0.048728,dual_strong_update,3.969948,14328244045,14335494045,
14340686043,14332990043,1,1.000000,836.000500,824.001000,23,0,0,0,23,23,23,0,1.000000,0.000000,835.151341,836.000500,0.070937,dual_strong_update,4.093000,14333308046,14340558046,
14345686045,14338286043,1,1.000000,839.999500,855.996000,23,1,0,1,23,23,23,0,1.000000,0.000000,839.994942,839.999500,0.063542,dual_strong_update,4.350314,14338372044,14345622044,
14350686047,14342470043,1,1.000000,839.999000,856.000000,24,0,0,0,24,24,24,0,1.000000,0.000000,837.756083,839.999000,0.070595,dual_strong_update,4.187313,14343244043,14350494043,
14355694043,14347702047,1,1.000000,847.997500,847.996000,23,0,0,0,23,23,23,0,1.000000,0.000000,846.865713,847.997500,0.034970,dual_strong_update,4.413773,14348300043,14355550043,
14360694043,14352742043,1,1.000000,848.000500,832.000000,23,0,0,0,23,23,23,0,1.000000,0.000000,848.006866,848.000500,0.027976,dual_strong_update,4.378935,14353380043,14360630043,
14365694043,14357798047,1,1.000000,847.997500,848.004000,23,0,0,0,23,23,23,0,1.000000,0.000000,847.998828,847.997500,0.027971,dual_strong_update,4.327376,14358268043,14365518043,
14370694043,14362878046,1,0.958333,843.996500,856.002500,24,0,0,0,24,23,23,1,0.958333,0.000000,844.115983,843.996500,0.035130,dual_strong_update,4.171699,14363324045,14370574045,
