t_us,firmware_t_us,waveform_t_us,final_t_us,timing_shift_ms,no_firmware_match,inserted_by_smoother,timing_recovered,low_prominence_rescue,detector_support_count,detector_names,detector_consensus,detector_time_spread_ms,single_detector,sequence_rescued,firmware_unmatched,local_clipped,waveform_score,peak_prominence,peak_polarity,expected_rr_ms,match_distance_ms,recovery_reason,template_version
14196166043,14196158043,14196166043,14196166043,8.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.343189,1,823.998000,8.000000,,v0.4.1-interval-core
14197102045,14196918045,14197102045,14197102045,184.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.819595,1,807.999000,184.000000,,v0.4.1-interval-core
14198006043,14197782044,14198006043,14198006043,223.999000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.594609,1,792.000000,223.999000,,v0.4.1-interval-core
14198902043,14198694043,14198902043,14198902043,208.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.943588,1,798.011124,208.000000,,v0.4.1-interval-core
14199790045,14199790045,14199790045,14199790045,0.000000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,4.162336,1,792.000000,0.000000,,v0.4.1-interval-core
14200614043,0,14200614043,14200614043,0.000000,1,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,1,0,1.000000,3.539169,1,799.998500,0.000000,,v0.4.1-interval-core
14201406043,0,14201406043,14201406043,0.000000,1,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,1,0,1.000000,3.569621,1,807.997000,0.000000,,v0.4.1-interval-core
14202134045,14202126043,14202134045,14202134045,8.002000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,2.819934,1,815.997500,8.002000,,v0.4.1-interval-core
14202774044,14202766043,14202774044,14202774044,8.001000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.075602,1,815.997500,8.001000,,v0.4.1-interval-core
14203390045,14203382043,14203390045,14203390045,8.002000,0,0,0,0,2,multiscale+elgendi_like,1.000000,0.000000,0,0,0,0,1.000000,3.691072,1,823.998000,8.002000,,v0.4.1-interval-core
