seq,t_us,rr_ms,hr_bpm,score,flags
1774452,14196158043,912.0,72.1,0.819,169
1774547,14196918045,760.0,72.1,0.426,185
1774655,14197782044,863.0,72.1,0.431,185
1774769,14198694043,911.0,72.1,0.414,185
1774849,14199334047,640.0,72.1,0.516,169
1774906,14199790045,455.0,72.1,0.853,169
1775060,14201022043,1231.0,72.1,0.521,169
1775198,14202126043,1104.0,72.1,0.768,169
1775278,14202766043,640.0,71.8,0.827,73
1775355,14203382043,616.0,71.8,0.857,169
1775487,14204438043,1056.0,71.8,0.561,169
1775630,14205582046,1144.0,71.8,0.802,169
1775731,14206390043,807.0,71.8,0.809,169
1775846,14207310043,920.0,71.8,0.763,169
1775892,14207678043,368.0,71.8,0.526,169
1776010,14208622045,944.0,71.8,0.514,169
1776129,14209574043,951.0,71.8,0.469,185
1776190,14210062043,488.0,71.8,0.806,169
1776304,14210974047,912.0,71.8,0.86,73
1776412,14211838046,863.0,69.4,0.886,73
1776522,14212718043,879.0,68.8,0.881,73
1776630,14213582043,864.0,68.8,0.883,73
1776731,14214390043,808.0,69.4,0.857,73
1776823,14215126047,736.0,69.4,0.828,73
1776998,14216526043,1399.0,69.4,0.791,169
1777081,14217190043,664.0,69.4,0.839,169
1777175,14217942044,752.0,69.4,0.876,169
1777279,14218774043,831.0,69.4,0.867,169
1777394,14219694044,920.0,69.4,0.858,169
1777517,14220678044,984.0,69.4,0.836,73
1777640,14221662047,984.0,69.4,0.866,73
1777755,14222582043,919.0,69.4,0.852,73
1777872,14223518046,936.0,68.2,0.86,73
1777988,14224446045,927.0,65.2,0.856,73
1778094,14225294043,847.0,65.2,0.858,73
1778193,14226086047,792.0,65.2,0.876,73
1778287,14226838043,751.0,65.2,0.8,73
1778439,14228054043,1216.0,65.2,0.49,185
1778578,14229166043,1112.0,65.2,0.771,169
1778682,14229998046,832.0,65.2,0.797,169
1778791,14230870043,871.0,65.2,0.809,169
1778905,14231782045,912.0,65.2,0.856,169
1779013,14232646046,864.0,64.9,0.841,73
1779124,14233534046,888.0,65.2,0.862,73
1779229,14234374043,839.0,67.6,0.864,73
1779335,14235222043,848.0,70.8,0.875,73
1779445,14236102047,880.0,70.8,0.837,73
1779559,14237014043,911.0,70.8,0.902,73
1779673,14237926043,912.0,68.2,0.877,73
1779778,14238766047,840.0,68.2,0.876,73
1779887,14239638047,872.0,68.2,0.878,73
1779989,14240454043,815.0,68.8,0.823,73
1780094,14241294045,840.0,70.8,0.894,73
1780200,14242142043,847.0,70.8,0.878,73
1780312,14243038043,896.0,68.8,0.88,73
1780428,14243966043,928.0,68.8,0.884,73
1780543,14244886046,920.0,68.8,0.897,73
1780651,14245750047,864.0,69.4,0.86,73
1780756,14246590047,840.0,69.4,0.846,73
1780864,14247454043,863.0,69.4,0.837,73
1780971,14248310043,856.0,69.4,0.86,73
1781070,14249102043,792.0,69.4,0.84,73
1781167,14249878045,776.0,69.4,0.841,73
1781352,14251358043,1479.0,69.4,0.783,185
1781442,14252078043,720.0,69.4,0.793,169
1781531,14252790044,712.0,69.4,0.824,169
1781619,14253494043,703.0,69.4,0.867,169
1781707,14254198043,704.0,69.4,0.884,169
1781797,14254918045,720.0,69.4,0.861,169
1781940,14256062044,1143.0,69.4,0.473,185
1782074,14257134043,1071.0,69.4,0.803,169
1782174,14257934044,800.0,70.1,0.787,73
1782270,14258702043,767.0,71.4,0.858,73
1782375,14259542047,840.0,71.4,0.847,73
1782482,14260398047,856.0,71.4,0.845,73
1782584,14261214043,815.0,73.5,0.845,73
1782679,14261974043,760.0,74.4,0.849,73
1782779,14262774044,800.0,75.0,0.865,73
1782883,14263606043,831.0,74.4,0.855,73
1782987,14264438043,832.0,73.5,0.855,73
1783091,14265270047,832.0,72.1,0.864,73
1783201,14266150043,879.0,72.1,0.879,73
1783308,14267006043,856.0,72.1,0.867,73
1783408,14267806046,800.0,72.1,0.86,73
1783510,14268622046,816.0,72.1,0.867,73
1783619,14269494043,871.0,72.1,0.866,73
1783729,14270374043,880.0,72.1,0.869,73
1783845,14271302044,928.0,70.1,0.856,73
1783964,14272254044,952.0,68.8,0.841,73
1784077,14273158048,904.0,68.2,0.825,73
1784183,14274006043,847.0,68.8,0.856,73
1784287,14274838047,832.0,68.8,0.872,73
1784393,14275686043,847.0,68.8,0.866,73
1784504,14276574043,888.0,68.2,0.861,73
1784616,14277470043,896.0,67.6,0.863,73
1784726,14278350047,880.0,67.6,0.858,73
1784831,14279190043,839.0,68.2,0.88,73
1784941,14280070043,880.0,68.2,0.89,73
1785052,14280958047,888.0,68.2,0.883,73
1785163,14281846043,887.0,68.2,0.886,73
1785277,14282758046,912.0,67.6,0.872,73
1785388,14283646046,888.0,67.6,0.879,73
1785505,14284582043,935.0,67.6,0.893,73
