t_us,score_t_us,latest_data_t_us,baseline_version,uses_future_data
14217190043,14217190043,14217190043,0,0
14217190043,14217190043,14237926043,0,1
14237926043,14237926043,14237926043,0,0
14217190043,14217190043,14257934044,0,1
14237926043,14237926043,14257934044,0,1
14257934044,14257934044,14257934044,0,0
14217190043,14217190043,14278350047,0,1
14237926043,14237926043,14278350047,0,1
14257934044,14257934044,14278350047,0,1
14278350047,14278350047,14278350047,0,0
14217190043,14217190043,14298822047,14237926043,1
14237926043,14237926043,14298822047,14237926043,1
14257934044,14257934044,14298822047,14237926043,1
14278350047,14278350047,14298822047,14237926043,1
14298822047,14298822047,14298822047,14237926043,0
14217190043,14217190043,14319302045,14237926043,1
14237926043,14237926043,14319302045,14237926043,1
14257934044,14257934044,14319302045,14237926043,1
14278350047,14278350047,14319302045,14237926043,1
14298822047,14298822047,14319302045,14237926043,1
14319302045,14319302045,14319302045,14237926043,0
14217190043,14217190043,14339902047,14237926043,1
14237926043,14237926043,14339902047,14237926043,1
14257934044,14257934044,14339902047,14237926043,1
14278350047,14278350047,14339902047,14237926043,1
14298822047,14298822047,14339902047,14237926043,1
14319302045,14319302045,14339902047,14237926043,1
14339902047,14339902047,14339902047,14237926043,0
14217190043,14217190043,14360278043,14237926043,1
14237926043,14237926043,14360278043,14237926043,1
14257934044,14257934044,14360278043,14237926043,1
14278350047,14278350047,14360278043,14237926043,1
14298822047,14298822047,14360278043,14237926043,1
14319302045,14319302045,14360278043,14237926043,1
14339902047,14339902047,14360278043,14237926043,1
14360278043,14360278043,14360278043,14237926043,0
14217190043,14217190043,14380870043,14237926043,1
14237926043,14237926043,14380870043,14237926043,1
14257934044,14257934044,14380870043,14237926043,1
14278350047,14278350047,14380870043,14237926043,1
14298822047,14298822047,14380870043,14237926043,1
14319302045,14319302045,14380870043,14237926043,1
14339902047,14339902047,14380870043,14237926043,1
14360278043,14360278043,14380870043,14237926043,1
14380870043,14380870043,14380870043,14237926043,0
14217190043,14217190043,14401350045,14237926043,1
14237926043,14237926043,14401350045,14237926043,1
14257934044,14257934044,14401350045,14237926043,1
14278350047,14278350047,14401350045,14237926043,1
14298822047,14298822047,14401350045,14237926043,1
14319302045,14319302045,14401350045,14237926043,1
14339902047,14339902047,14401350045,14237926043,1
14360278043,14360278043,14401350045,14237926043,1
14380870043,14380870043,14401350045,14237926043,1
14401350045,14401350045,14401350045,14237926043,0
14217190043,14217190043,14421478044,14360278043,1
14237926043,14237926043,14421478044,14360278043,1
14257934044,14257934044,14421478044,14360278043,1
14278350047,14278350047,14421478044,14360278043,1
14298822047,14298822047,14421478044,14360278043,1
14319302045,14319302045,14421478044,14360278043,1
14339902047,14339902047,14421478044,14360278043,1
14360278043,14360278043,14421478044,14360278043,1
14380870043,14380870043,14421478044,14360278043,1
14401350045,14401350045,14421478044,14360278043,1
14421478044,14421478044,14421478044,14360278043,0
14217190043,14217190043,14441846043,14360278043,1
14237926043,14237926043,14441846043,14360278043,1
14257934044,14257934044,14441846043,14360278043,1
14278350047,14278350047,14441846043,14360278043,1
14298822047,14298822047,14441846043,14360278043,1
14319302045,14319302045,14441846043,14360278043,1
14339902047,14339902047,14441846043,14360278043,1
14360278043,14360278043,14441846043,14360278043,1
14380870043,14380870043,14441846043,14360278043,1
14401350045,14401350045,14441846043,14360278043,1
14421478044,14421478044,14441846043,14360278043,1
14441846043,14441846043,14441846043,14360278043,0
14217190043,14217190043,14462022043,14360278043,1
14237926043,14237926043,14462022043,14360278043,1
14257934044,14257934044,14462022043,14360278043,1
14278350047,14278350047,14462022043,14360278043,1
14298822047,14298822047,14462022043,14360278043,1
14319302045,14319302045,14462022043,14360278043,1
14339902047,14339902047,14462022043,14360278043,1
14360278043,14360278043,14462022043,14360278043,1
14380870043,14380870043,14462022043,14360278043,1
14401350045,14401350045,14462022043,14360278043,1
14421478044,14421478044,14462022043,14360278043,1
14441846043,14441846043,14462022043,14360278043,1
14462022043,14462022043,14462022043,14360278043,0
14217190043,14217190043,14482382043,14360278043,1
14237926043,14237926043,14482382043,14360278043,1
14257934044,14257934044,14482382043,14360278043,1
14278350047,14278350047,14482382043,14360278043,1
14298822047,14298822047,14482382043,14360278043,1
14319302045,14319302045,14482382043,14360278043,1
14339902047,14339902047,14482382043,14360278043,1
14360278043,14360278043,14482382043,14360278043,1
14380870043,14380870043,14482382043,14360278043,1
14401350045,14401350045,14482382043,14360278043,1
14421478044,14421478044,14482382043,14360278043,1
14441846043,14441846043,14482382043,14360278043,1
14462022043,14462022043,14482382043,14360278043,1
14482382043,14482382043,14482382043,14360278043,0
14217190043,14217190043,14502942043,14360278043,1
14237926043,14237926043,14502942043,14360278043,1
14257934044,14257934044,14502942043,14360278043,1
14278350047,14278350047,14502942043,14360278043,1
14298822047,14298822047,14502942043,14360278043,1
14319302045,14319302045,14502942043,14360278043,1
14339902047,14339902047,14502942043,14360278043,1
14360278043,14360278043,14502942043,14360278043,1
14380870043,14380870043,14502942043,14360278043,1
14401350045,14401350045,14502942043,14360278043,1
14421478044,14421478044,14502942043,14360278043,1
14441846043,14441846043,14502942043,14360278043,1
14462022043,14462022043,14502942043,14360278043,1
14482382043,14482382043,14502942043,14360278043,1
14502942043,14502942043,14502942043,14360278043,0
14217190043,14217190043,14522990046,14360278043,1
14237926043,14237926043,14522990046,14360278043,1
14257934044,14257934044,14522990046,14360278043,1
14278350047,14278350047,14522990046,14360278043,1
14298822047,14298822047,14522990046,14360278043,1
14319302045,14319302045,14522990046,14360278043,1
14339902047,14339902047,14522990046,14360278043,1
14360278043,14360278043,14522990046,14360278043,1
14380870043,14380870043,14522990046,14360278043,1
14401350045,14401350045,14522990046,14360278043,1
14421478044,14421478044,14522990046,14360278043,1
14441846043,14441846043,14522990046,14360278043,1
14462022043,14462022043,14522990046,14360278043,1
14482382043,14482382043,14522990046,14360278043,1
14502942043,14502942043,14522990046,14360278043,1
14522990046,14522990046,14522990046,14360278043,0
14217190043,14217190043,14543038046,14482382043,1
14237926043,14237926043,14543038046,14482382043,1
14257934044,14257934044,14543038046,14482382043,1
14278350047,14278350047,14543038046,14482382043,1
14298822047,14298822047,14543038046,14482382043,1
14319302045,14319302045,14543038046,14482382043,1
14339902047,14339902047,14543038046,14482382043,1
14360278043,14360278043,14543038046,14482382043,1
14380870043,14380870043,14543038046,14482382043,1
14401350045,14401350045,14543038046,14482382043,1
14421478044,14421478044,14543038046,14482382043,1
14441846043,14441846043,14543038046,14482382043,1
14462022043,14462022043,14543038046,14482382043,1
14482382043,14482382043,14543038046,14482382043,1
14502942043,14502942043,14543038046,14482382043,1
14522990046,14522990046,14543038046,14482382043,1
14543038046,14543038046,14543038046,14482382043,0
14217190043,14217190043,14563590046,14482382043,1
14237926043,14237926043,14563590046,14482382043,1
14257934044,14257934044,14563590046,14482382043,1
14278350047,14278350047,14563590046,14482382043,1
