t_us,sample_drop_count,beat_drop_count,metric_drop_count,sample_queue_depth,sample_queue_high_water
14196602248,0,0,0,0,4
14201602250,0,0,0,0,4
14206603247,0,0,0,0,4
14211603252,0,0,0,0,4
14216604252,0,0,0,0,4
14221605251,0,0,0,0,4
14226605252,0,0,0,0,4
14231605252,0,0,0,0,4
14236606242,0,0,0,0,4
14241606243,0,0,0,0,4
14246607674,0,0,0,0,4
14251607749,0,0,0,0,4
14256608250,0,0,0,0,4
14261609248,0,0,0,0,4
14266610247,0,0,0,0,4
14271610249,0,0,0,0,4
14276611248,0,0,0,0,4
14281611249,0,0,0,0,4
14286612248,0,0,0,0,4
14291613247,0,0,0,0,4
14296613252,0,0,0,0,4
14301614241,0,0,0,0,4
14306614241,0,0,0,0,4
14311614242,0,0,0,0,4
14316615679,0,0,0,0,4
14321616248,0,0,0,0,4
14326616248,0,0,0,0,4
14331616248,0,0,0,0,4
14336616249,0,0,0,0,4
14341616250,0,0,0,0,4
14346616251,0,0,0,0,4
14351617247,0,0,0,0,4
14356617251,0,0,0,0,4
14361617261,0,0,0,0,4
14366618248,0,0,0,0,4
14371618248,0,0,0,0,4
14376618248,0,0,0,0,4
14381618251,0,0,0,0,4
14386619250,0,0,0,0,4
14391619251,0,0,0,0,4
14396620248,0,0,0,0,4
14401621247,0,0,0,0,4
14406621247,0,0,0,0,4
14411621247,0,0,0,0,4
14416621248,0,0,0,0,4
14421622241,0,0,0,0,4
14426622241,0,0,0,0,4
14431622241,0,0,0,0,4
14436622241,0,0,0,0,4
14441622241,0,0,0,0,4
14446622241,0,0,0,0,4
14451622241,0,0,0,0,4
14456622241,0,0,0,0,4
14461622241,0,0,0,0,4
14466622241,0,0,0,0,4
14471622241,0,0,0,0,4
14476622241,0,0,0,0,4
14481622244,0,0,0,0,4
14486623667,0,0,0,0,4
14491623675,0,0,0,0,4
14496623680,0,0,0,0,4
14501623689,0,0,0,0,4
14506623699,0,0,0,0,4
14511624248,0,0,0,0,4
14516624249,0,0,0,0,4
14521625247,0,0,0,0,4
14526625249,0,0,0,0,4
14531625249,0,0,0,0,4
14536626247,0,0,0,0,4
14541626250,0,0,0,0,4
14546626250,0,0,0,0,4
14551627249,0,0,0,0,4
14556627252,0,0,0,0,4
14561628249,0,0,0,0,4
14566628251,0,0,0,0,4
14571628251,0,0,0,0,4
14576629247,0,0,0,0,4
14581629247,0,0,0,0,4
14586629251,0,0,0,0,4
14591630241,0,0,0,0,4
14596630241,0,0,0,0,4
14601630244,0,0,0,0,4
14606631719,0,0,0,0,4
14611632249,0,0,0,0,4
14616632250,0,0,0,0,4
14621633249,0,0,0,0,4
14626633250,0,0,0,0,4
14631633250,0,0,0,0,4
14636633252,0,0,0,0,4
14641634248,0,0,0,0,4
14646634248,0,0,0,0,4
14651634250,0,0,0,0,4
14656634250,0,0,0,0,4
14661635247,0,0,0,0,4
14666635254,0,0,0,0,4
14671636252,0,0,0,0,4
14676637248,0,0,0,0,4
14681637251,0,0,0,0,4
14686638241,0,0,0,0,4
14691638241,0,0,0,0,4
14696638241,0,0,0,0,4
14701638242,0,0,0,0,4
14706639668,0,0,0,0,4
14711639679,0,0,0,0,4
14716639684,0,0,0,0,4
14721639691,0,0,0,0,4
14726640248,0,0,0,0,4
14731640250,0,0,0,0,4
14736640250,0,0,0,0,4
14741640250,0,0,0,0,4
14746641249,0,0,0,0,4
14751642247,0,0,0,0,4
14756642250,0,0,0,0,4
14761642250,0,0,0,0,4
14766643247,0,0,0,0,4
14771643248,0,0,0,0,4
14776644247,0,0,0,0,4
14781644252,0,0,0,0,4
14786645247,0,0,0,0,4
14791645251,0,0,0,0,4
14796646241,0,0,0,0,4
14801646241,0,0,0,0,4
14806646242,0,0,0,0,4
14811647667,0,0,0,0,4
14816647860,0,0,0,0,4
14821648250,0,0,0,0,4
14826648250,0,0,0,0,4
14831648250,0,0,0,0,4
14836649250,0,0,0,0,4
14841649250,0,0,0,0,4
14846650249,0,0,0,0,4
14851650252,0,0,0,0,4
14856651250,0,0,0,0,4
14861652247,0,0,0,0,4
14866652247,0,0,0,0,4
14871652252,0,0,0,0,4
14876653250,0,0,0,0,4
14881653250,0,0,0,0,4
14886654241,0,0,0,0,4
14891654243,0,0,0,0,4
14896655662,0,0,0,0,4
14901655667,0,0,0,0,4
14906655675,0,0,0,0,4
14911655862,0,0,0,0,4
14916656249,0,0,0,0,4
14921657247,0,0,0,0,4
14926657251,0,0,0,0,4
14931658250,0,0,0,0,4
14936659247,0,0,0,0,4
14941659247,0,0,0,0,4
14946659247,0,0,0,0,4
14951659251,0,0,0,0,4
14956660247,0,0,0,0,4
14961660250,0,0,0,0,4
14966660252,0,0,0,0,4
14971661247,0,0,0,0,4
14976661251,0,0,0,0,4
14981662242,0,0,0,0,4
14986663595,0,0,0,0,4
14991664252,0,0,0,0,4
14996665251,0,0,0,0,4
15001666248,0,0,0,0,4
15006666249,0,0,0,0,4
15011666249,0,0,0,0,4
15016666249,0,0,0,0,4
15021667247,0,0,0,0,4
15026667247,0,0,0,0,4
15031667247,0,0,0,0,4
15036667247,0,0,0,0,4
15041667250,0,0,0,0,4
15046667250,0,0,0,0,4
15051668247,0,0,0,0,4
15056668249,0,0,0,0,4
15061668249,0,0,0,0,4
15066668249,0,0,0,0,4
15071669247,0,0,0,0,4
15076669247,0,0,0,0,4
15081669248,0,0,0,0,4
15086670244,0,0,0,0,4
15091671675,0,0,0,0,4
15096672035,0,0,0,0,4
15101672248,0,0,0,0,4
15106672250,0,0,0,0,4
15111672250,0,0,0,0,4
15116673249,0,0,0,0,4
15121673251,0,0,0,0,4
15126674249,0,0,0,0,4
15131674250,0,0,0,0,4
15136675250,0,0,0,0,4
15141675252,0,0,0,0,4
15146675252,0,0,0,0,4
15151676247,0,0,0,0,4
15156676247,0,0,0,0,4
15161676247,0,0,0,0,4
15166676248,0,0,0,0,4
15171676250,0,0,0,0,4
15176677247,0,0,0,0,4
15181677249,0,0,0,0,4
15186677252,0,0,0,0,4
15191678241,0,0,0,0,4
15196678241,0,0,0,0,4
15201678241,0,0,0,0,4
15206678241,0,0,0,0,4
15211678241,0,0,0,0,4
15216678241,0,0,0,0,4
15221678242,0,0,0,0,4
15226679680,0,0,0,0,4
15231680249,0,0,0,0,4
15236680251,0,0,0,0,4
15241681249,0,0,0,0,4
15246681252,0,0,0,0,4
15251682252,0,0,0,0,4
15256683247,0,0,0,0,4
15261683247,0,0,0,0,4
15266683250,0,0,0,0,4
15271683252,0,0,0,0,4
15276684247,0,0,0,0,4
15281684247,0,0,0,0,4
15286684247,0,0,0,0,4
15291684250,0,0,0,0,4
15296684251,0,0,0,0,4
15301685247,0,0,0,0,4
15306685248,0,0,0,0,4
15311685249,0,0,0,0,4
15316685251,0,0,0,0,4
15321686241,0,0,0,0,4
15326686244,0,0,0,0,4
15331686245,0,0,0,0,4
15336687426,0,0,0,0,4
15341687592,0,0,0,0,4
15346687669,0,0,0,0,4
15351687675,0,0,0,0,4
15356687682,0,0,0,0,4
15361688249,0,0,0,0,4
15366689248,0,0,0,0,4
15371689253,0,0,0,0,4
15376690248,0,0,0,0,4
15381690250,0,0,0,0,4
15386690252,0,0,0,0,4
15391691250,0,0,0,0,4
15396692247,0,0,0,0,4
15401692247,0,0,0,0,4
15406692250,0,0,0,0,4
15411693247,0,0,0,0,4
15416693247,0,0,0,0,4
15421693247,0,0,0,0,4
15426693248,0,0,0,0,4
15431694242,0,0,0,0,4
15436695665,0,0,0,0,4
15441696252,0,0,0,0,4
15446697249,0,0,0,0,4
15451697249,0,0,0,0,4
15456697250,0,0,0,0,4
15461698247,0,0,0,0,4
15466698251,0,0,0,0,4
15471699250,0,0,0,0,4
15476700247,0,0,0,0,4
15481700252,0,0,0,0,4
15486700252,0,0,0,0,4
15491701247,0,0,0,0,4
15496701248,0,0,0,0,4
15501701249,0,0,0,0,4
15506702241,0,0,0,0,4
15511702242,0,0,0,0,4
15516702242,0,0,0,0,4
15521702325,0,0,0,0,4
15526703668,0,0,0,0,4
15531703669,0,0,0,0,4
15536704250,0,0,0,0,4
15541704251,0,0,0,0,4
15546705250,0,0,0,0,4
15551705251,0,0,0,0,4
15556705252,0,0,0,0,4
15561706250,0,0,0,0,4
15566706251,0,0,0,0,4
15571707247,0,0,0,0,4
15576707250,0,0,0,0,4
15581708247,0,0,0,0,4
15586708247,0,0,0,0,4
15591708247,0,0,0,0,4
15596708247,0,0,0,0,4
15601708247,0,0,0,0,4
15606708247,0,0,0,0,4
15611708247,0,0,0,0,4
15616708247,0,0,0,0,4
15621708250,0,0,0,0,4
15626708251,0,0,0,0,4
15631709247,0,0,0,0,4
15636709247,0,0,0,0,4
15641709249,0,0,0,0,4
15646710241,0,0,0,0,4
15651710241,0,0,0,0,4
15656710241,0,0,0,0,4
15661710241,0,0,0,0,4
15666710241,0,0,0,0,4
15671710241,0,0,0,0,4
15676710245,0,0,0,0,4
15681711598,0,0,0,0,4
15686711670,0,0,0,0,4
15691711677,0,0,0,0,4
15696711681,0,0,0,0,4
15701711682,0,0,0,0,4
15706711682,0,0,0,0,4
15711711683,0,0,0,0,4
15716711683,0,0,0,0,4
15721712249,0,0,0,0,4
15726713248,0,0,0,0,4
15731713249,0,0,0,0,4
15736714247,0,0,0,0,4
15741714247,0,0,0,0,4
15746714247,0,0,0,0,4
15751714250,0,0,0,0,4
15756714251,0,0,0,0,4
15761715247,0,0,0,0,4
15766715252,0,0,0,0,4
15771716251,0,0,0,0,4
15776717250,0,0,0,0,4
15781718241,0,0,0,0,4
15786718241,0,0,0,0,4
15791718241,0,0,0,0,4
15796718241,0,0,0,0,4
15801718241,0,0,0,0,4
15806718242,0,0,0,0,4
15811719669,0,0,0,0,4
15816720247,0,0,0,0,4
15821720248,0,0,0,0,4
15826720249,0,0,0,0,4
15831721247,0,0,0,0,4
15836721247,0,0,0,0,4
15841721247,0,0,0,0,4
15846721247,0,0,0,0,4
15851721249,0,0,0,0,4
15856722248,0,0,0,0,4
15861722252,0,0,0,0,4
15866723247,0,0,0,0,4
15871723249,0,0,0,0,4
15876723250,0,0,0,0,4
15881723250,0,0,0,0,4
15886724247,0,0,0,0,4
15891724249,0,0,0,0,4
15896725248,0,0,0,0,4
15901726241,0,0,0,0,4
15906726241,0,0,0,0,4
15911726241,0,0,0,0,4
15916726241,0,0,0,0,4
15921726241,0,0,0,0,4
15926726241,0,0,0,0,4
15931726241,0,0,0,0,4
15936726241,0,0,0,0,4
15941726241,0,0,0,0,4
15946726245,0,0,0,0,4
15951726245,0,0,0,0,4
15956727668,0,0,0,0,4
15961727676,0,0,0,0,4
15966728247,0,0,0,0,4
15971728249,0,0,0,0,4
15976728250,0,0,0,0,4
15981729247,0,0,0,0,4
15986729252,0,0,0,0,4
15991730251,0,0,0,0,4
15996731247,0,0,0,0,4
16001731252,0,0,0,0,4
16006731252,0,0,0,0,4
16011732249,0,0,0,0,4
16016732252,0,0,0,0,4
16021732252,0,0,0,0,4
16026733247,0,0,0,0,4
16031733247,0,0,0,0,4
16036733247,0,0,0,0,4
16041733248,0,0,0,0,4
16046733250,0,0,0,0,4
16051734241,0,0,0,0,4
16056734241,0,0,0,0,4
16061734242,0,0,0,0,4
16066734242,0,0,0,0,4
16071735597,0,0,0,0,4
16076735605,0,0,0,0,4
16081735612,0,0,0,0,4
16086736252,0,0,0,0,4
16091736253,0,0,0,0,4
16096737257,0,0,0,0,4
16101738247,0,0,0,0,4
16106738248,0,0,0,0,4
16111738248,0,0,0,0,4
16116739248,0,0,0,0,4
16121740247,0,0,0,0,4
