t_us,rmssd_ms,valid_rr_count,artifact_ratio,valid
14202470043,46.64,59,0.0167,1
14222470045,76.22,59,0.0167,1
14242478043,79.17,59,0.0167,1
14262478046,79.4,59,0.0167,1
14282486043,52.16,60,0.0,1
14302486047,39.92,60,0.0,1
14322494045,48.73,60,0.0,1
14342494046,46.95,60,0.0,1
14362502044,41.0,60,0.0,1
14382502044,36.94,60,0.0,1
14402510045,43.02,60,0.0,1
14422510046,46.78,60,0.0,1
14442518046,46.55,60,0.0,1
14462518046,41.76,60,0.0,1
14482526043,38.68,60,0.0,1
14502526043,38.94,60,0.0,1
14522526045,48.32,60,0.0,1
14542534044,46.38,60,0.0,1
14562542043,34.29,60,0.0,1
14582542043,33.65,60,0.0,1
14602542044,40.2,60,0.0,1
14622542046,43.6,60,0.0,1
14642542046,36.64,60,0.0,1
14662542047,42.68,60,0.0,1
14682550043,42.86,60,0.0,1
14702550043,43.33,60,0.0,1
14722550043,36.7,60,0.0,1
14742550043,29.59,60,0.0,1
14762550045,29.59,60,0.0,1
14782550047,29.59,60,0.0,1
14802558047,29.59,60,0.0,1
14822566044,29.59,60,0.0,1
14842574043,29.59,60,0.0,1
14862574044,21.37,60,0.0,1
14882582043,22.13,60,0.0,1
14902582044,22.15,60,0.0,1
14922590046,36.45,60,0.0,1
14942598046,41.78,60,0.0,1
14962606047,42.74,60,0.0,1
14982614046,46.58,60,0.0,1
15002614047,49.02,60,0.0,1
15022622045,44.22,60,0.0,1
15042630043,42.76,60,0.0,1
15062630045,44.57,60,0.0,1
15082638043,49.07,60,0.0,1
15102638043,113.66,60,0.0,1
15122638043,112.85,60,0.0,1
15142638045,113.18,60,0.0,1
15162646044,113.08,60,0.0,1
15182654044,114.43,60,0.0,1
15202662043,54.24,60,0.0,1
15222662043,55.89,60,0.0,1
15242662043,56.44,60,0.0,1
15262662044,41.7,60,0.0,1
15282670043,45.19,60,0.0,1
15302670046,45.19,60,0.0,1
15322678044,45.13,60,0.0,1
15342678046,45.13,60,0.0,1
15362678046,49.95,60,0.0,1
15382678047,45.14,60,0.0,1
15402686043,35.19,60,0.0,1
15422686044,26.48,60,0.0,1
15442694043,33.05,60,0.0,1
15462694043,38.48,60,0.0,1
15482694043,48.45,60,0.0,1
15502694043,48.82,60,0.0,1
15522694043,31.78,60,0.0,1
15542694047,33.51,60,0.0,1
15562702043,26.36,60,0.0,1
15582702045,32.24,60,0.0,1
15602710046,37.27,60,0.0,1
15622710046,38.2,60,0.0,1
15642718043,41.41,60,0.0,1
15662718044,41.43,60,0.0,1
15682718045,41.43,60,0.0,1
15702726044,39.66,60,0.0,1
15722734044,31.95,60,0.0,1
15742734047,40.46,60,0.0,1
15762734047,39.4,60,0.0,1
15782742043,38.55,60,0.0,1
15802742043,24.44,60,0.0,1
15822742043,27.64,60,0.0,1
15842742043,34.53,60,0.0,1
15862742046,34.98,60,0.0,1
15882742047,35.64,60,0.0,1
15902750043,37.79,60,0.0,1
15922750043,40.22,60,0.0,1
15942750043,32.02,60,0.0,1
15962750045,33.02,60,0.0,1
15982758043,33.26,60,0.0,1
16002758044,41.72,60,0.0,1
16022766043,41.67,60,0.0,1
16042766043,42.76,60,0.0,1
16062766045,47.61,60,0.0,1
16082766046,47.45,60,0.0,1
16102774044,47.45,60,0.0,1
16122782043,47.45,60,0.0,1
16142782043,47.45,60,0.0,1
16162782043,47.45,60,0.0,1
