t_us,window_start_t_us,window_end_t_us,beat_count,firmware_beat_count,insertion_ratio,recovery_ratio,dual_detector_ratio,single_detector_ratio,detector_consensus_mean,detector_time_spread_p95_ms,sequence_rescue_ratio,local_clip_ratio,firmware_unmatched_ratio,offset_p50_ms,offset_p95_ms,offset_signed_p50_ms,adjacent_offset_change_p95_ms,firmware_rr_rmssd_ms,firmware_rr_sdnn_ms,final_rr_rmssd_ms,final_rr_sdnn_ms,clipping_ratio
14217190043,14198006043,14217190043,25,23,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.200000,0.000000,375.997200,0.000000,383.999200,391.602929,256.521761,49.004490,99.889913,0.000000
14237926043,14217950047,14237926043,24,22,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.041667,0.000000,8.002800,0.000000,312.002050,129.355955,102.231334,47.205963,66.620466,0.000000
14257934044,14238774047,14257934044,25,22,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.080000,0.000000,8.003900,0.000000,304.403050,259.351894,179.561697,30.487061,72.404024,0.000000
14278350047,14258702043,14278350047,24,24,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.002850,0.000000,8.003000,35.572165,44.013651,37.172581,44.539478,0.000000
14298822047,14279190043,14298822047,23,23,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.003000,0.000000,8.003950,43.045305,57.569764,42.618324,57.356383,0.000000
14319302045,14299670047,14319302045,23,23,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.130435,0.000000,21.603900,0.000000,280.002000,289.520259,184.302100,51.757979,68.762200,0.006132
14339902047,14320198047,14339902047,25,24,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.040000,0.000000,8.003700,0.000000,274.404900,112.737294,93.759008,22.068463,50.860655,0.010664
14360278043,14340742047,14360278043,24,24,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.003700,0.000000,8.001800,23.999728,24.397284,22.303478,24.319391,0.000000
14380870043,14361134043,14380870043,26,25,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.038462,0.000000,8.001600,0.000000,8.003700,209.418773,145.842475,48.881633,85.968273,0.010131
14401350045,14381734043,14401350045,26,24,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.115385,0.000000,7.999700,0.000000,8.001900,308.176468,189.047659,45.047501,75.574744,0.023727
