t_us,window_start_t_us,window_end_t_us,sample_count,raw_min,raw_p05,raw_p50,raw_p95,raw_max,avg_p05,avg_p50,avg_p95,filtered_p05,filtered_p50,filtered_p95,filtered_std,filtered_peak_to_peak,clip_low_ratio,clip_high_ratio,wear_ratio,wear_transition_count,max_no_wear_run_ms,candidate_count,detector_score_p50,expected_rr_ms_p50,firmware_hr_bpm_p50,firmware_hr_zero_ratio,effective_sample_rate_hz,timing_jitter_p95_ms,sqi,sqi_wear_ratio,sqi_clip_low_ratio,sqi_clip_high_ratio,transport_score,transport_status,contact_score,contact_status,protocol_error_ratio,protocol_seq_gaps,sample_drop_count,sample_queue_depth,sample_queue_high_water,corrector_reference_rr_ms,corrector_autocorr_confidence,corrector_polarity,corrector_candidate_count,corrector_selected_count,corrector_inserted_count,corrector_firmware_matched_count,multiscale_peak_count,elgendi_peak_count,dual_detector_peak_count,single_detector_peak_count,detector_consensus_ratio,detector_time_spread_p95_ms,stable_reference_rr_ms,local_dual_rr_ms,local_dual_rr_robust_cv,reference_update_reason
14195622043,14195622043,14195622043,1,107.000000,107.000000,107.000000,107.000000,107.000000,110.000000,110.000000,110.000000,-40.000000,-40.000000,-40.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,1,0.490000,844.800000,72.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,INVALID,0.000000,INVALID,0.000000,0,0,0,0,0.000000,0.000000,1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,
14200622043,14195622043,14200622043,626,92.000000,102.000000,127.000000,264.750000,288.000000,102.250000,127.000000,256.000000,-49.750000,-22.000000,100.000000,49.401824,176.000000,0.000000,0.000000,1.000000,0,0.000000,64,0.517500,844.800000,72.100000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,0.000000,0.000000,1,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,
14205622045,14200630043,14205622045,625,36.000000,48.000000,122.000000,316.000000,351.000000,50.200000,125.000000,306.000000,-97.800000,-28.000000,147.800000,73.670590,288.000000,0.000000,0.000000,1.000000,0,0.000000,36,0.572000,836.000000,71.800000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,792.000000,1.000000,1,12,0,0,0,12,12,12,0,1.000000,0.000000,800.015499,792.000000,0.194685,dual_consensus_update
14210630045,14205630045,14210630045,626,32.000000,47.000000,109.000000,344.000000,383.000000,49.250000,110.500000,332.500000,-97.000000,-31.000000,179.750000,86.222805,320.000000,0.000000,0.000000,1.000000,0,0.000000,27,0.509000,836.000000,71.800000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,823.998000,1.000000,1,18,0,0,0,18,18,18,0,1.000000,0.000000,818.030860,823.998000,0.143946,dual_strong_update
14215638043,14210638043,14215638043,626,72.000000,80.000000,115.500000,310.000000,329.000000,80.250000,116.000000,301.750000,-70.000000,-31.000000,144.000000,71.118455,231.000000,0.000000,0.000000,1.000000,0,0.000000,29,0.513000,860.800000,69.400000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,843.998500,1.000000,1,23,1,0,1,23,23,23,0,1.000000,0.000000,861.997998,843.998500,0.105404,dual_strong_update
14220638045,14215646043,14220638045,625,65.000000,72.000000,112.000000,325.600000,357.000000,73.000000,115.000000,312.200000,-76.000000,-32.000000,151.800000,78.290154,261.000000,0.000000,0.000000,1.000000,0,0.000000,25,0.520000,864.000000,69.400000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,799.998000,0.960000,1,25,0,0,0,24,25,24,1,0.960000,0.000000,797.898576,799.998000,0.163083,dual_consensus_update
14225646045,14220654045,14225646045,625,57.000000,77.200000,124.000000,329.000000,357.000000,78.000000,124.000000,318.800000,-76.000000,-24.000000,158.800000,76.311578,276.000000,0.000000,0.000000,1.000000,0,0.000000,29,0.513000,888.000000,69.400000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,891.998500,1.000000,1,23,0,0,0,23,23,23,0,1.000000,0.000000,893.641353,891.998500,0.066488,dual_strong_update
14230646046,14225654043,14230646046,625,4.000000,60.200000,134.000000,301.600000,339.000000,63.000000,133.000000,294.800000,-90.800000,-21.000000,135.600000,71.139133,288.000000,0.000000,0.000000,1.000000,0,0.000000,33,0.512000,902.400000,65.200000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,812.000000,1.000000,1,23,0,0,0,23,23,23,0,1.000000,0.000000,816.238825,812.000000,0.124160,dual_strong_update
14235654043,14230654047,14235654043,626,53.000000,72.000000,124.000000,325.750000,350.000000,74.000000,124.000000,317.000000,-84.750000,-32.500000,149.750000,75.995995,269.000000,0.000000,0.000000,1.000000,0,0.000000,34,0.534000,894.400000,65.200000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,847.999000,0.958333,1,24,1,0,1,24,23,23,1,0.958333,0.000000,846.382155,847.999000,0.111896,dual_strong_update
14240654043,14235654043,14240654043,626,57.000000,72.000000,123.000000,335.500000,367.000000,73.250000,124.000000,325.500000,-83.750000,-27.000000,158.000000,76.871550,277.000000,0.000000,0.000000,1.000000,0,0.000000,29,0.515000,862.400000,70.800000,0.000000,125.000000,0.004000,0.999700,1.000000,0.000000,0.000000,0.999100,VALID,1.000000,VALID,0.000000,0,0,0,4,852.004000,0.958333,1,24,0,0,0,24,23,23,1,0.958333,0.000000,856.397606,852.004000,0.076568,dual_strong_update
