t_us,window_start_t_us,window_end_t_us,rr_count,welch_vlf_power,welch_lf_power,welch_hf_power,welch_lf_hf_ratio,lomb_vlf_ratio,lomb_lf_ratio,lomb_hf_ratio,welch_peak_hz,lomb_peak_hz,spectral_agreement,band_power_agreement,interpolation_agreement,pchip_vs_linear_diff,waveform_inserted_ratio,timing_recovered_ratio,timing_shift_delta_p95_ms,dual_detector_ratio,single_detector_ratio,detector_consensus_mean,detector_time_spread_p95_ms,sequence_rescue_ratio,local_clip_ratio,firmware_unmatched_ratio,transport_status,contact_status,quality,rejection_reason
14217190043,13917190043,14217190043,26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：20/300 秒
14237926043,13937926043,14237926043,50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：41/300 秒
14257934044,13957934044,14257934044,75,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：61/300 秒
14278350047,13978350047,14278350047,99,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：81/300 秒
14298822047,13998822047,14298822047,122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：102/300 秒
14319302045,14019302045,14319302045,145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：122/300 秒
14339902047,14039902047,14339902047,170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：143/300 秒
14360278043,14060278043,14360278043,194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：163/300 秒
14380870043,14080870043,14380870043,220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：184/300 秒
14401350045,14101350045,14401350045,246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：204/300 秒
14421478044,14121478044,14421478044,273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：224/300 秒
14441846043,14141846043,14441846043,300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,VALID,LIMITED,频域窗口积累中：245/300 秒
14462022043,14162022043,14462022043,326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,INVALID,LIMITED,频域窗口积累中：265/300 秒
14482382043,14182382043,14482382043,353,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,VALID,INVALID,LIMITED,频域窗口积累中：285/300 秒
14502942043,14202942043,14502942043,369,1515.769935,2048.200272,492.350480,4.160045,0.000000,0.000000,0.000000,0.003906,0.003906,0.896532,0.978996,0.999898,0.000102,0.000000,0.000000,219.199200,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.062331,VALID,LIMITED,LIMITED,
14522990046,14222990046,14522990046,370,1545.791669,2013.633446,488.465417,4.122366,0.000000,0.000000,0.000000,0.003906,0.003906,0.967125,0.987764,0.999930,0.000070,0.000000,0.000000,64.001000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.059459,VALID,VALID,VALID,
14543038046,14243038046,14543038046,370,1853.961467,1903.550213,471.509628,4.037140,0.000000,0.000000,0.000000,0.003906,0.003906,0.980577,0.990819,0.999955,0.000045,0.000000,0.000000,34.402350,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.056757,VALID,VALID,VALID,
14563590046,14263590046,14563590046,372,2030.545317,1739.938683,440.321139,3.951522,0.000000,0.000000,0.000000,0.003906,0.003906,0.961688,0.960306,0.999961,0.000039,0.000000,0.000000,16.002000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.053763,VALID,LIMITED,VALID,
14584222047,14284222047,14584222047,375,2165.680401,1580.179895,416.662171,3.792473,0.000000,0.000000,0.000000,0.003906,0.003906,0.951275,0.898393,0.999970,0.000030,0.000000,0.000000,49.601600,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.056000,VALID,VALID,LIMITED,
14604590043,14304590043,14604590043,379,2147.774330,1559.673560,446.003576,3.496998,0.000000,0.000000,0.000000,0.003906,0.003906,0.952049,0.918122,0.999950,0.000050,0.000000,0.000000,67.202200,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.065963,VALID,VALID,VALID,
14624686043,14324686043,14624686043,383,2139.892062,1733.849784,536.725320,3.230423,0.000000,0.000000,0.000000,0.003906,0.003906,0.943907,0.918380,0.999913,0.000087,0.000000,0.000000,43.601850,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.062663,VALID,VALID,VALID,
14644926044,14344926044,14644926044,386,2300.186103,2012.182780,646.899759,3.110502,0.000000,0.000000,0.000000,0.003906,0.003906,0.935642,0.911473,0.999912,0.000088,0.000000,0.000000,16.003000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.062176,VALID,VALID,VALID,
14665534047,14365534047,14665534047,385,2301.238517,2221.541352,719.494053,3.087644,0.000000,0.000000,0.000000,0.007812,0.007812,0.902530,0.901827,0.999904,0.000096,0.000000,0.000000,24.000450,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.067532,VALID,VALID,VALID,
14685662047,14385662047,14685662047,387,2386.969441,2198.435335,708.055859,3.104890,0.000000,0.000000,0.000000,0.007812,0.007812,0.942757,0.927227,0.999932,0.000068,0.000000,0.000000,65.601600,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.074935,VALID,VALID,VALID,
14705742043,14405742043,14705742043,389,2111.278691,1963.675048,627.620842,3.128760,0.000000,0.000000,0.000000,0.007812,0.007812,0.957268,0.917455,0.999940,0.000060,0.000000,0.000000,64.401150,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.071979,VALID,VALID,VALID,
14726390043,14426390043,14726390043,390,1615.348244,1643.662827,520.132681,3.160084,0.000000,0.000000,0.000000,0.007812,0.007812,0.907573,0.865037,0.999932,0.000068,0.000000,0.000000,201.599500,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.066667,VALID,VALID,LIMITED,
14746894045,14446894045,14746894045,392,1305.728069,1362.804061,430.317149,3.166976,0.000000,0.000000,0.000000,0.007812,0.007812,0.931689,0.917804,0.999926,0.000074,0.000000,0.000000,223.599000,1.000000,0.000000,1.000000,0.000000,0.000000,0.002551,0.073980,VALID,VALID,VALID,
14767126044,14467126044,14767126044,393,1467.584323,1158.277053,378.693793,3.058611,0.000000,0.000000,0.000000,0.007812,0.007812,0.974504,0.987077,0.999946,0.000054,0.000000,0.000000,232.002000,1.000000,0.000000,1.000000,0.000000,0.000000,0.002545,0.078880,VALID,VALID,VALID,
14787246045,14487246045,14787246045,394,2022.173222,1002.147932,360.026633,2.783538,0.000000,0.000000,0.000000,0.007812,0.007812,0.907854,0.877330,0.999968,0.000032,0.000000,0.000000,223.999000,1.000000,0.000000,1.000000,0.000000,0.000000,0.002538,0.081218,VALID,LIMITED,LIMITED,
14807430047,14507430047,14807430047,397,2505.095462,877.894015,356.272482,2.464108,0.000000,0.000000,0.000000,0.007812,0.007812,0.933268,0.895556,0.999982,0.000018,0.000000,0.000000,223.999000,1.000000,0.000000,1.000000,0.000000,0.000000,0.002519,0.078086,VALID,VALID,LIMITED,
14827542047,14527542047,14827542047,397,3019.529660,792.327476,351.625290,2.253329,0.000000,0.000000,0.000000,0.007812,0.007812,0.924129,0.866383,0.999987,0.000013,0.000000,0.000000,215.999000,1.000000,0.000000,1.000000,0.000000,0.000000,0.002519,0.078086,VALID,LIMITED,LIMITED,
14847590043,14547590043,14847590043,401,3210.905757,754.283661,336.706450,2.240182,0.000000,0.000000,0.000000,0.007812,0.019531,0.878352,0.796133,0.999988,0.000012,0.000000,0.000000,230.801700,1.000000,0.000000,1.000000,0.000000,0.000000,0.002494,0.089776,VALID,LIMITED,LIMITED,
14867990047,14567990047,14867990047,402,2747.931610,769.838940,313.596317,2.454872,0.000000,0.000000,0.000000,0.019531,0.019531,0.950158,0.876791,0.999981,0.000019,0.000000,0.000000,230.001500,1.000000,0.000000,1.000000,0.000000,0.000000,0.004975,0.087065,VALID,LIMITED,LIMITED,
14888222043,14588222043,14888222043,402,2064.846843,855.780879,297.953062,2.872200,0.000000,0.000000,0.000000,0.019531,0.019531,0.982833,0.957858,0.999966,0.000034,0.000000,0.000000,165.600050,1.000000,0.000000,1.000000,0.000000,0.000000,0.004975,0.082090,VALID,VALID,VALID,
