host_read_start_ns,host_read_end_ns,read_duration_ms,bytes_read,decoded_message_count,sample_count,first_sample_seq,last_sample_seq,first_sample_t_us,last_sample_t_us,serial_in_waiting,protocol_ok_frames,crc_errors,format_errors,resync_count,sample_seq_gaps
87221359000000,87221890000000,531.0,4096,66,66,1774385,1774450,14195622043,14196142043,71,66,0,0,0,0
87221906000000,87222406000000,500.0,4096,66,64,1774451,1774514,14196150043,14196654044,119,132,0,0,0,0
87222421000000,87222921000000,500.0,4096,66,65,1774515,1774579,14196662043,14197174043,105,198,0,0,0,0
87222937000000,87223453000000,516.0,4096,65,65,1774580,1774644,14197182043,14197694043,120,263,0,0,0,0
87223468000000,87223968000000,500.0,4096,66,65,1774645,1774709,14197702045,14198214044,118,329,0,0,0,0
87223984000000,87224484000000,500.0,4096,65,65,1774710,1774774,14198222043,14198734047,85,394,0,0,0,0
87224500000000,87225000000000,500.0,4096,66,65,1774775,1774839,14198742047,14199254046,32,460,0,0,0,0
87225015000000,87225531000000,516.0,4096,66,65,1774840,1774904,14199262043,14199774046,43,526,0,0,0,0
87225531000000,87226046000000,515.0,4096,65,65,1774905,1774969,14199782043,14200294043,43,591,0,0,0,0
87226046000000,87226562000000,516.0,4096,66,65,1774970,1775034,14200302043,14200814043,88,657,0,0,0,0
87226578000000,87227093000000,515.0,4096,66,65,1775035,1775099,14200822043,14201334043,48,723,0,0,0,0
87227093000000,87227609000000,516.0,4096,66,65,1775100,1775164,14201342043,14201854043,58,789,0,0,0,0
87227609000000,87228125000000,516.0,4096,66,65,1775165,1775229,14201862043,14202374043,37,855,0,0,0,0
87228125000000,87228640000000,515.0,4096,66,65,1775230,1775294,14202382043,14202894043,151,921,0,0,0,0
87228656000000,87229171000000,515.0,4096,67,66,1775295,1775360,14202902043,14203422044,104,988,0,0,0,0
87229187000000,87229703000000,516.0,4096,67,66,1775361,1775426,14203430043,14203950043,132,1055,0,0,0,0
87229718000000,87230234000000,516.0,4096,66,66,1775427,1775492,14203958046,14204478043,186,1121,0,0,0,0
