seq,t_us,rr_raw_ms,nn_ms,valid,corrected,metric_eligible,status,reason,hr_bpm,score,rescued,source_t_us,timing_shift_ms,timing_quality,timing_uncertainty_ms,refined,flags
268615,2149476511,672.001,672.001,1,0,1,accepted,,89.28558142026574,0.598,0,2149476511,0.0,0.82,8.0,1,9
268730,2150396511,920.0,920.0,1,0,1,accepted,,75.37683707485108,0.633,0,2150396511,0.0,0.7831754352133475,14.0,0,9
268827,2151172513,776.002,776.002,1,0,1,accepted,,77.31938835209188,0.64,0,2151172513,0.0,0.6020458459154363,4.0,0,9
268931,2152004511,831.998,831.998,1,0,1,accepted,,74.6268656716418,0.671,0,2152004511,0.0,0.209,4.0,0,9
269027,2152772511,768.0,768.0,1,0,1,accepted,,77.31938835209188,0.665,0,2152772511,0.0,0.2888126864536434,4.0,0,9
269122,2153532511,760.0,760.0,1,0,1,accepted,,77.72010658017282,0.666,0,2153532511,0.0,0.5853494544214154,4.0,0,9
269268,2154700513,1168.002,1168.002,1,0,1,accepted,,77.31938835209188,0.605,0,2154700513,0.0,0.209,4.0,0,9
269324,2155148511,447.998,0.0,0,0,0,local_outlier,局部 RR 异常,77.72010658017282,0.682,0,2155148511,0.0,0.8508988826717802,6.0,0,9
269451,2156164512,1016.001,1016.001,1,0,1,accepted,,77.31938835209188,0.431,0,2156164512,0.0,0.209,4.0,0,9
269530,2156796511,631.999,631.999,1,0,1,accepted,,77.31938835209188,0.581,0,2156796511,0.0,0.8681046553731175,4.0,0,9
269615,2157492297,695.786,695.786,1,0,1,accepted,,78.125,0.723,0,2157476511,15.78623726197866,0.7943692778114874,24.0,1,9
269691,2158084511,592.214,592.214,1,0,1,accepted,,78.94736842105263,0.797,0,2158084511,0.0,0.209,4.0,0,9
269794,2158908511,824.0,824.0,1,0,1,accepted,,78.94736842105263,0.776,0,2158908511,0.0,0.209,4.0,0,9
269904,2159788512,880.001,880.001,1,0,1,accepted,,78.94736842105263,0.779,0,2159788512,0.0,0.209,4.0,0,9
270023,2160740511,951.999,951.999,1,0,1,accepted,,72.81553398058253,0.885,0,2160740511,0.0,0.209,4.0,0,9
270137,2161652512,912.001,912.001,1,0,1,accepted,,72.81553398058253,0.882,0,2161652512,0.0,0.209,4.0,0,9
270239,2162468512,816.0,816.0,1,0,1,accepted,,72.81553398058253,0.814,0,2162468512,0.0,0.209,4.0,0,9
270345,2163316512,848.0,848.0,1,0,1,accepted,,72.81553398058253,0.752,0,2163316512,0.0,0.209,4.0,0,9
270450,2164156511,839.999,839.999,1,0,1,accepted,,71.42865646268626,0.744,0,2164156511,0.0,0.209,4.0,0,9
270610,2165436511,1280.0,0.0,0,0,0,local_outlier,局部 RR 异常,70.75471698113208,0.49,0,2165436511,0.0,0.8854062154003897,4.0,0,9
270713,2166260511,824.0,824.0,1,0,1,accepted,,70.75471698113208,0.529,0,2166260511,0.0,0.8855323247312338,4.0,0,9
270814,2167068512,808.001,808.001,1,0,1,accepted,,70.75471698113208,0.564,0,2167068512,0.0,0.79898200899919,4.0,0,9
270927,2167972511,903.999,903.999,1,0,1,accepted,,70.75471698113208,0.474,0,2167972511,0.0,0.8622482837287619,4.0,0,9
