seq,t_us,rr_ms,hr_bpm,score,flags
268531,2148804510,743.0,79.5,0.683,9
268615,2149476511,672.0,80.8,0.598,9
268730,2150396511,920.0,79.5,0.633,9
268827,2151172513,776.0,78.2,0.64,9
268931,2152004511,831.0,77.3,0.671,9
269027,2152772511,768.0,77.3,0.665,9
269122,2153532511,760.0,78.1,0.666,9
269268,2154700513,1168.0,78.1,0.605,9
269324,2155148511,447.0,78.1,0.682,9
269451,2156164512,1016.0,77.3,0.431,9
269530,2156796511,631.0,77.3,0.581,9
269615,2157476511,680.0,78.1,0.723,9
269691,2158084511,608.0,78.9,0.797,9
269794,2158908511,824.0,78.9,0.776,9
269904,2159788512,880.0,78.9,0.779,9
270023,2160740511,951.0,72.8,0.885,9
270137,2161652512,912.0,72.8,0.882,9
270239,2162468512,816.0,72.8,0.814,9
270345,2163316512,848.0,72.8,0.752,9
270450,2164156511,839.0,71.5,0.744,9
270610,2165436511,1280.0,70.8,0.49,9
270713,2166260511,824.0,70.8,0.529,9
270814,2167068512,808.0,70.8,0.564,9
270927,2167972511,903.0,70.8,0.474,9
271028,2168780511,808.0,71.5,0.596,9
271135,2169636511,856.0,71.5,0.552,9
271232,2170412512,776.0,71.5,0.608,9
271340,2171276511,863.0,71.5,0.587,9
271441,2172084512,808.0,72.8,0.632,9
271560,2173036511,951.0,72.8,0.576,9
271616,2173484511,448.0,74.3,0.806,9
271728,2174380512,896.0,70.1,0.809,9
271834,2175228511,847.0,70.8,0.867,9
271946,2176124511,896.0,70.1,0.925,9
272053,2176980510,855.0,70.2,0.893,9
272174,2177948511,968.0,69.5,0.905,9
272284,2178828511,880.0,68.2,0.901,9
272389,2179668512,840.0,68.2,0.944,9
272496,2180524512,856.0,70.1,0.911,9
272603,2181380512,856.0,70.1,0.926,9
272711,2182244512,864.0,70.1,0.903,9
272823,2183140511,895.0,69.4,0.928,9
272934,2184028511,888.0,69.4,0.918,9
273033,2184820511,792.0,69.4,0.896,9
273138,2185660513,840.0,70.1,0.883,9
273238,2186460512,799.0,70.1,0.864,9
273339,2187268510,807.0,70.1,0.834,9
273447,2188132515,864.0,70.1,0.892,9
273556,2189004510,871.0,69.4,0.883,9
273658,2189820511,816.0,71.4,0.846,9
273760,2190636511,816.0,73.5,0.793,9
273878,2191580513,944.0,73.5,0.938,9
273982,2192412511,831.0,72.2,0.658,9
274093,2193300512,888.0,72.2,0.653,9
274199,2194148511,847.0,70.8,0.663,9
274310,2195036511,888.0,69.4,0.65,9
274414,2195868511,832.0,70.8,0.682,9
274511,2196644511,776.0,72.1,0.658,9
274599,2197348511,704.0,72.1,0.566,9
274730,2198396511,1048.0,70.8,0.683,9
274823,2199140511,744.0,72.1,0.912,9
274920,2199916511,776.0,72.1,0.639,9
275026,2200764511,848.0,72.1,0.646,9
275133,2201620513,856.0,72.1,0.639,9
275229,2202388512,767.0,77.3,0.628,9
275330,2203196511,807.0,77.3,0.648,9
275426,2203964511,768.0,77.3,0.593,9
275572,2205132511,1168.0,74.3,0.466,9
275628,2205580511,448.0,77.3,0.894,9
275749,2206548511,968.0,74.3,0.94,9
275848,2207340511,792.0,74.3,0.691,9
275949,2208148511,808.0,74.3,0.662,9
276051,2208964511,816.0,74.3,0.692,9
276155,2209796512,832.0,74.3,0.691,9
276259,2210628512,832.0,73.5,0.654,9
276358,2211420512,792.0,73.5,0.699,9
276455,2212196511,775.0,74.3,0.677,9
276560,2213036512,840.0,73.5,0.661,9
276658,2213820512,784.0,74.3,0.674,9
276749,2214548512,728.0,74.3,0.628,9
276851,2215364511,815.0,73.6,0.666,9
276937,2216052511,688.0,75.8,0.514,9
277042,2216892512,840.0,75.8,0.626,9
277172,2217932512,1040.0,75.8,0.852,9
277250,2218556511,623.0,76.5,0.725,9
277341,2219284511,728.0,76.5,0.616,9
277456,2220204511,920.0,76.5,0.643,9
277554,2220988512,784.0,76.5,0.671,9
277646,2221724511,735.0,76.5,0.669,9
277723,2222340511,616.0,81.6,0.524,9
277863,2223460511,1120.0,76.5,0.691,9
277984,2224428513,968.0,76.5,0.622,9
278086,2225244511,815.0,76.5,0.669,9
278232,2226412512,1168.0,73.6,0.638,9
278293,2226900511,487.0,73.6,0.681,9
278392,2227692511,792.0,75.8,0.634,9
278504,2228588512,896.0,73.6,0.656,9
278608,2229420511,831.0,72.2,0.647,9
278698,2230140511,720.0,72.2,0.703,9
278798,2230940512,800.0,73.6,0.648,9
278889,2231668511,727.0,75.0,0.596,9
279000,2232556512,888.0,75.0,0.673,9
279103,2233380511,823.0,75.0,0.73,9
279174,2233948511,568.0,75.0,0.449,9
279308,2235020511,1072.0,72.9,0.656,9
279414,2235868512,848.0,72.9,0.669,9
279512,2236652512,784.0,75.0,0.703,9
279592,2237292511,639.0,75.0,0.647,9
279711,2238244511,952.0,72.9,0.671,9
279801,2238964514,720.0,72.9,0.677,9
279892,2239692512,727.0,76.5,0.585,9
279994,2240508511,815.0,76.5,0.6,9
280087,2241252511,744.0,76.5,0.56,9
280208,2242220511,968.0,76.5,0.643,9
280303,2242980511,760.0,78.9,0.662,9
280374,2243548510,567.0,80.6,0.78,9
280468,2244300512,752.0,79.8,0.608,9
280590,2245276511,975.0,79.8,0.721,9
280664,2245868512,592.0,79.8,0.592,9
280792,2246892511,1023.0,78.9,0.618,9
280904,2247788512,896.0,78.9,0.708,9
281004,2248588511,799.0,75.1,0.683,9
281122,2249532511,944.0,75.1,0.578,9
281212,2250252512,720.0,75.1,0.685,9
281321,2251124511,871.0,68.9,0.64,9
281430,2251996512,872.0,68.8,0.7,9
281543,2252900511,903.0,68.8,0.667,9
281652,2253772510,871.0,68.8,0.651,9
281777,2254772511,1000.0,68.8,0.611,9
281893,2255700511,928.0,68.8,0.588,9
281967,2256292512,592.0,68.8,0.605,9
282112,2257452511,1159.0,68.8,0.589,9
282229,2258388512,936.0,66.4,0.546,9
282339,2259268511,879.0,66.4,0.572,9
282457,2260212511,944.0,64.7,0.538,9
282542,2260892511,680.0,64.7,0.61,9
282667,2261892512,1000.0,64.1,0.693,9
282780,2262796512,904.0,64.7,0.656,9
282894,2263708512,912.0,65.8,0.691,9
283006,2264604512,896.0,65.8,0.655,9
283115,2265476512,872.0,66.4,0.68,9
283226,2266364511,887.0,67.0,0.731,9
283335,2267236511,872.0,67.0,0.636,9
283457,2268212515,976.0,67.0,0.892,9
283553,2268980511,767.0,67.0,0.902,9
283651,2269764511,784.0,67.6,0.793,9
283788,2270860511,1096.0,67.6,0.65,9
283868,2271500511,640.0,68.8,0.825,9
283986,2272444512,944.0,68.8,0.593,9
284115,2273476511,1031.0,67.6,0.646,9
284223,2274340513,864.0,68.8,0.714,9
284335,2275236511,895.0,67.0,0.698,9
284445,2276116511,880.0,68.2,0.684,9
284548,2276940511,824.0,68.2,0.634,9
284659,2277828511,888.0,67.6,0.627,9
284780,2278796511,968.0,67.6,0.672,9
284891,2279684512,888.0,67.6,0.679,9
285005,2280596510,911.0,67.6,0.706,9
285110,2281436511,840.0,67.6,0.706,9
285210,2282236512,800.0,67.6,0.648,9
285338,2283260511,1023.0,67.6,0.674,9
285448,2284140511,880.0,67.6,0.705,9
285563,2285060511,920.0,67.6,0.897,9
285655,2285796511,736.0,67.6,0.845,9
285810,2287036511,1240.0,67.6,0.476,9
285891,2287684511,648.0,68.2,0.692,9
286015,2288676511,992.0,68.2,0.861,9
286090,2289276511,600.0,68.2,0.574,9
286202,2290172511,896.0,67.0,0.647,9
286301,2290964510,791.0,68.2,0.702,9
286393,2291700511,736.0,75.9,0.584,9
286499,2292548511,848.0,75.9,0.629,9
286590,2293276511,728.0,75.9,0.596,9
286717,2294292512,1016.0,75.9,0.855,9
286795,2294916511,623.0,75.9,0.636,9
286901,2295764512,848.0,75.9,0.651,9
287001,2296564512,800.0,75.0,0.677,9
287108,2297420512,856.0,75.0,0.685,9
287197,2298132511,711.0,75.0,0.62,9
287312,2299052512,920.0,70.8,0.677,9
287433,2300020511,967.0,70.8,0.568,9
287532,2300812511,792.0,70.8,0.717,9
287632,2301612511,800.0,75.0,0.683,9
287741,2302484511,872.0,70.8,0.67,9
287842,2303292512,808.0,74.3,0.655,9
287959,2304228511,935.0,70.1,0.608,9
288061,2305044510,815.0,73.6,0.644,9
288171,2305924511,880.0,68.8,0.598,9
288286,2306844511,920.0,68.8,0.59,9
288369,2307508511,664.0,73.6,0.642,9
288482,2308412511,904.0,68.8,0.65,9
288589,2309268511,856.0,68.8,0.672,9
288693,2310100511,832.0,70.1,0.666,9
288799,2310948511,848.0,70.1,0.697,9
288907,2311812511,864.0,70.1,0.654,9
289015,2312676511,864.0,69.4,0.725,9
289111,2313444511,768.0,70.1,0.647,9
289215,2314276511,832.0,70.8,0.631,9
289317,2315092511,816.0,70.8,0.644,9
289419,2315908511,816.0,72.1,0.614,9
289513,2316660511,752.0,72.1,0.556,9
289625,2317556511,896.0,72.1,0.623,9
289735,2318436515,880.0,72.1,0.657,9
289840,2319276511,839.0,72.1,0.669,9
289952,2320172511,896.0,72.1,0.653,9
290041,2320884511,712.0,72.1,0.629,9
290143,2321700511,816.0,73.5,0.605,9
290254,2322588512,888.0,71.5,0.692,9
290364,2323468511,879.0,68.3,0.656,9
290464,2324268511,800.0,68.3,0.661,9
290566,2325084511,816.0,71.5,0.647,9
290679,2325988512,904.0,71.5,0.899,9
290770,2326716511,727.0,73.5,0.848,9
290867,2327492511,776.0,73.5,0.854,9
290956,2328204512,712.0,73.5,0.727,9
291101,2329364512,1160.0,73.5,0.622,9
