seq,source_t_us,t_us,rr_ms,hr_bpm,score,timing_shift_ms,timing_quality,timing_uncertainty_ms,refined,flags
268531,2148804510,2148804510,0.0,79.5,0.683,0.0,0.0,999.0,0,9
268615,2149476511,2149476511,672.001,89.28558142026574,0.598,0.0,0.82,8.0,1,9
268730,2150396511,2150396511,920.0,75.37683707485108,0.633,0.0,0.7831754352133475,14.0,0,9
268827,2151172513,2151172513,776.002,77.31938835209188,0.64,0.0,0.6020458459154363,4.0,0,9
268931,2152004511,2152004511,831.998,74.6268656716418,0.671,0.0,0.209,4.0,0,9
269027,2152772511,2152772511,768.0,77.31938835209188,0.665,0.0,0.2888126864536434,4.0,0,9
269122,2153532511,2153532511,760.0,77.72010658017282,0.666,0.0,0.5853494544214154,4.0,0,9
269268,2154700513,2154700513,1168.002,77.31938835209188,0.605,0.0,0.209,4.0,0,9
269324,2155148511,2155148511,447.998,77.72010658017282,0.682,0.0,0.8508988826717802,6.0,0,9
269451,2156164512,2156164512,1016.001,77.31938835209188,0.431,0.0,0.209,4.0,0,9
269530,2156796511,2156796511,631.999,77.31938835209188,0.581,0.0,0.8681046553731175,4.0,0,9
269615,2157476511,2157492297,695.786,78.125,0.723,15.78623726197866,0.7943692778114874,24.0,1,9
269691,2158084511,2158084511,592.214,78.94736842105263,0.797,0.0,0.209,4.0,0,9
269794,2158908511,2158908511,824.0,78.94736842105263,0.776,0.0,0.209,4.0,0,9
269904,2159788512,2159788512,880.001,78.94736842105263,0.779,0.0,0.209,4.0,0,9
270023,2160740511,2160740511,951.999,72.81553398058253,0.885,0.0,0.209,4.0,0,9
270137,2161652512,2161652512,912.001,72.81553398058253,0.882,0.0,0.209,4.0,0,9
270239,2162468512,2162468512,816.0,72.81553398058253,0.814,0.0,0.209,4.0,0,9
270345,2163316512,2163316512,848.0,72.81553398058253,0.752,0.0,0.209,4.0,0,9
270450,2164156511,2164156511,839.999,71.42865646268626,0.744,0.0,0.209,4.0,0,9
270610,2165436511,2165436511,1280.0,70.75471698113208,0.49,0.0,0.8854062154003897,4.0,0,9
270713,2166260511,2166260511,824.0,70.75471698113208,0.529,0.0,0.8855323247312338,4.0,0,9
270814,2167068512,2167068512,808.001,70.75471698113208,0.564,0.0,0.79898200899919,4.0,0,9
270927,2167972511,2167972511,903.999,70.75471698113208,0.474,0.0,0.8622482837287619,4.0,0,9
271028,2168780511,2168780511,808.0,71.42865646268626,0.596,0.0,0.8651868829241444,4.0,0,9
271135,2169636511,2169636511,856.0,71.42865646268626,0.552,0.0,0.808501883627637,4.0,0,9
271232,2170412512,2170412512,776.001,71.42865646268626,0.608,0.0,0.8865933265257662,12.0,0,9
271340,2171276511,2171276511,863.999,71.42865646268626,0.587,0.0,0.9085665502219775,8.0,0,9
271441,2172084512,2172084512,808.001,72.81553398058253,0.632,0.0,0.8386371163834404,16.0,0,9
271560,2173036511,2173036511,951.999,72.81553398058253,0.576,0.0,0.8685653155840853,4.0,0,9
271616,2173484511,2173484511,448.0,74.25733383993337,0.806,0.0,0.209,4.0,0,9
271728,2174380512,2174380512,896.001,70.09345794392523,0.809,0.0,0.209,4.0,0,9
271834,2175228511,2175228511,847.999,70.75480041839671,0.867,0.0,0.209,4.0,0,9
271946,2176124511,2176124511,896.0,70.09345794392523,0.925,0.0,0.209,4.0,0,9
272053,2176980510,2176980510,855.999,70.09353982890167,0.893,0.0,0.209,4.0,0,9
272174,2177948511,2177948511,968.001,69.44452482005187,0.905,0.0,0.209,4.0,0,9
272284,2178828511,2178828511,880.0,68.18181818181819,0.901,0.0,0.209,4.0,0,9
272389,2179668512,2179668512,840.001,68.18181818181819,0.944,0.0,0.209,4.0,0,9
272496,2180524512,2180524512,856.0,70.09345794392523,0.911,0.0,0.209,4.0,0,9
272603,2181380512,2181380512,856.0,70.09345794392523,0.926,0.0,0.209,4.0,0,9
272711,2182244512,2182244512,864.0,70.09345794392523,0.903,0.0,0.209,4.0,0,9
272823,2183140511,2183140511,895.999,69.44444444444444,0.928,0.0,0.209,4.0,0,9
272934,2184028511,2184028511,888.0,69.44444444444444,0.918,0.0,0.209,4.0,0,9
273033,2184820511,2184820511,792.0,69.44444444444444,0.896,0.0,0.209,4.0,0,9
273138,2185660513,2185660513,840.002,70.09345794392523,0.883,0.0,0.209,4.0,0,9
273238,2186460512,2186460512,799.999,70.09345794392523,0.864,0.0,0.209,4.0,0,9
273339,2187268510,2187268510,807.998,70.09345794392523,0.834,0.0,0.209,4.0,0,9
273447,2188132515,2188132515,864.005,70.09345794392523,0.892,0.0,0.209,4.0,0,9
273556,2189004510,2189004510,871.995,69.44444444444444,0.883,0.0,0.209,4.0,0,9
273658,2189820511,2189820511,816.001,71.42840136094914,0.846,0.0,0.209,4.0,0,9
273760,2190636511,2190636511,816.0,73.52932165524307,0.793,0.0,0.209,4.0,0,9
273878,2191580513,2191580513,944.002,73.52932165524307,0.938,0.0,0.209,4.0,0,9
273982,2192412511,2192412511,831.998,72.11555797009127,0.658,0.0,0.209,4.0,0,9
274093,2193300512,2193300512,888.001,72.11555797009127,0.653,0.0,0.209,4.0,0,9
274199,2194148511,2194148511,847.999,70.75480041839671,0.663,0.0,0.209,4.0,0,9
274310,2195036511,2195036511,888.0,69.44404256919809,0.65,0.0,0.209,4.0,0,9
274414,2195868511,2195868511,832.0,70.75480041839671,0.682,0.0,0.209,4.0,0,9
274511,2196644511,2196644511,776.0,72.11538461538461,0.658,0.0,0.209,4.0,0,9
274599,2197348511,2197348511,704.0,72.11538461538461,0.566,0.0,0.6698843399573882,10.0,0,9
274730,2198396511,2198396511,1048.0,70.75480041839671,0.683,0.0,0.209,4.0,0,9
274823,2199140511,2199140511,744.0,72.11538461538461,0.912,0.0,0.209,4.0,0,9
274920,2199916511,2199916511,776.0,72.11538461538461,0.639,0.0,0.209,4.0,0,9
275026,2200764511,2200764511,848.0,72.11538461538461,0.646,0.0,0.209,4.0,0,9
275133,2201620513,2201620513,856.002,72.11538461538461,0.639,0.0,0.209,4.0,0,9
275229,2202388512,2202388512,767.999,77.31958762886597,0.628,0.0,0.2145349106401517,4.0,0,9
275330,2203196511,2203159114,770.602,77.31958762886597,0.648,-37.397263237532975,0.9631570827321358,10.0,1,9
275426,2203964511,2204045910,886.796,77.31958762886597,0.593,81.39911700537904,0.8915923665918831,24.0,1,9
275572,2205132511,2205132511,1086.601,70.75471698113208,0.466,0.0,0.833561857175329,4.0,0,9
275628,2205580511,2205580511,448.0,77.31958762886597,0.894,0.0,0.209,4.0,0,9
