t_us,nn_ms,corrected,metric_eligible,source
2149476511,672.001,0,1,raw
2150396511,920.0,0,1,raw
2151172513,776.002,0,1,raw
2152004511,831.998,0,1,raw
2152772511,768.0,0,1,raw
2153532511,760.0,0,1,raw
2154700513,1168.002,0,1,raw
2156164512,1016.001,0,1,raw
2156796511,631.999,0,1,raw
2157492297,695.786,0,1,raw
2158084511,592.214,0,1,raw
2158908511,824.0,0,1,raw
2159788512,880.001,0,1,raw
2160740511,951.999,0,1,raw
2161652512,912.001,0,1,raw
2162468512,816.0,0,1,raw
2163316512,848.0,0,1,raw
2164156511,839.999,0,1,raw
2166260511,824.0,0,1,raw
2167068512,808.001,0,1,raw
2167972511,903.999,0,1,raw
2168780511,808.0,0,1,raw
2169636511,856.0,0,1,raw
2170412512,776.001,0,1,raw
2171276511,863.999,0,1,raw
2172084512,808.001,0,1,raw
2173036511,951.999,0,1,raw
2174380512,896.001,0,1,raw
2175228511,847.999,0,1,raw
2176124511,896.0,0,1,raw
2176980510,855.999,0,1,raw
2177948511,968.001,0,1,raw
2178828511,880.0,0,1,raw
2179668512,840.001,0,1,raw
2180524512,856.0,0,1,raw
2181380512,856.0,0,1,raw
2182244512,864.0,0,1,raw
2183140511,895.999,0,1,raw
2184028511,888.0,0,1,raw
2184820511,792.0,0,1,raw
2185660513,840.002,0,1,raw
2186460512,799.999,0,1,raw
2187268510,807.998,0,1,raw
2188132515,864.005,0,1,raw
2189004510,871.995,0,1,raw
2189820511,816.001,0,1,raw
2190636511,816.0,0,1,raw
2191580513,944.002,0,1,raw
2192412511,831.998,0,1,raw
2193300512,888.001,0,1,raw
2194148511,847.999,0,1,raw
2195036511,888.0,0,1,raw
2195868511,832.0,0,1,raw
2196644511,776.0,0,1,raw
2197348511,704.0,0,1,raw
2199140511,744.0,0,1,raw
2199916511,776.0,0,1,raw
2200764511,848.0,0,1,raw
2201620513,856.002,0,1,raw
2202388512,767.999,0,1,raw
2203159114,770.602,0,1,raw
2204045910,886.796,0,1,raw
2205132511,1086.601,0,1,raw
2206548511,968.0,0,1,raw
2207340511,792.0,0,1,raw
2208148511,808.0,0,1,raw
2208964511,816.0,0,1,raw
2209796512,832.001,0,1,raw
2210628512,832.0,0,1,raw
2211420512,792.0,0,1,raw
2212196511,775.999,0,1,raw
2213036512,840.001,0,1,raw
2213820512,784.0,0,1,raw
2214548512,728.0,0,1,raw
2215364511,815.999,0,1,raw
2216052511,688.0,0,1,raw
2216892512,840.001,0,1,raw
2219284511,728.0,0,1,raw
2220204511,920.0,0,1,raw
2220988512,784.001,0,1,raw
2221724511,735.999,0,1,raw
2222400156,675.645,0,1,raw
2224428513,968.002,0,1,raw
2225244511,815.998,0,1,raw
2227692511,792.0,0,1,raw
2228588512,896.001,0,1,raw
2229420511,831.999,0,1,raw
2230140511,720.0,0,1,raw
2230940512,800.001,0,1,raw
2231668511,727.999,0,1,raw
2232556512,888.001,0,1,raw
2233380511,823.999,0,1,raw
2233962060,581.549,0,1,raw
2235020511,1058.451,0,1,raw
2235868512,848.001,0,1,raw
2236652512,784.0,0,1,raw
2237261295,608.783,0,1,raw
2238244511,983.216,0,1,raw
2238964514,720.003,0,1,raw
2239692512,727.998,0,1,raw
2240508511,815.999,0,1,raw
2241252511,744.0,0,1,raw
2242220511,968.0,0,1,raw
2242980511,760.0,0,1,raw
2243548510,567.999,0,1,raw
2244300512,752.002,0,1,raw
2245276511,975.999,0,1,raw
2245868512,592.001,0,1,raw
2246892511,1023.999,0,1,raw
2247788512,896.001,0,1,raw
2248588511,799.999,0,1,raw
2249532511,944.0,0,1,raw
2250252512,720.001,0,1,raw
2251124511,871.999,0,1,raw
2251996512,872.001,0,1,raw
2252888523,892.011,0,1,raw
2253679556,791.033,0,1,raw
2254772511,1092.955,0,1,raw
2255631948,859.437,0,1,raw
2256373546,741.598,0,1,raw
2257452511,1078.965,0,1,raw
2258388512,936.001,0,1,raw
2259268511,879.999,0,1,raw
2260212511,944.0,0,1,raw
2260880862,668.351,0,1,raw
2261892512,1011.65,0,1,raw
2262796512,904.0,0,1,raw
2263708512,912.0,0,1,raw
2264604512,896.0,0,1,raw
2265476512,872.0,0,1,raw
2266315442,838.93,0,1,raw
2267236511,921.069,0,1,raw
2268212515,976.004,0,1,raw
2268980511,767.996,0,1,raw
2269764511,784.0,0,1,raw
2272444512,944.001,0,1,raw
2273476511,1031.999,0,1,raw
2274340513,864.002,0,1,raw
2275236511,895.998,0,1,raw
2276116511,880.0,0,1,raw
2276940511,824.0,0,1,raw
2277828511,888.0,0,1,raw
2278796511,968.0,0,1,raw
2279684512,888.001,0,1,raw
2280596510,911.998,0,1,raw
2281436511,840.001,0,1,raw
2282236512,800.001,0,1,raw
2283260511,1023.999,0,1,raw
2284140511,880.0,0,1,raw
2285060511,920.0,0,1,raw
2285796511,736.0,0,1,raw
2288676511,992.0,0,1,raw
2290172511,896.0,0,1,raw
2290964510,791.999,0,1,raw
2291700511,736.001,0,1,raw
2292548511,848.0,0,1,raw
2293276511,728.0,0,1,raw
2294292512,1016.001,0,1,raw
2294916511,623.999,0,1,raw
2295764512,848.001,0,1,raw
2296564512,800.0,0,1,raw
2297420512,856.0,0,1,raw
2298086989,666.477,0,1,raw
2299052512,965.523,0,1,raw
2300020511,967.999,0,1,raw
2300812511,792.0,0,1,raw
2301612511,800.0,0,1,raw
2302484511,872.0,0,1,raw
2303248845,764.334,0,1,raw
2304228511,979.666,0,1,raw
2305044510,815.999,0,1,raw
2305924511,880.001,0,1,raw
2306844511,920.0,0,1,raw
2307508511,664.0,0,1,raw
2308412511,904.0,0,1,raw
2309268511,856.0,0,1,raw
2310100511,832.0,0,1,raw
2310948511,848.0,0,1,raw
2311812511,864.0,0,1,raw
2312676511,864.0,0,1,raw
2313444511,768.0,0,1,raw
2314276511,832.0,0,1,raw
2315092511,816.0,0,1,raw
2315908511,816.0,0,1,raw
2316660511,752.0,0,1,raw
2317556511,896.0,0,1,raw
2318436515,880.004,0,1,raw
2319276511,839.996,0,1,raw
2320172511,896.0,0,1,raw
2320884511,712.0,0,1,raw
2321700511,816.0,0,1,raw
2322588512,888.001,0,1,raw
2323468511,879.999,0,1,raw
2324268511,800.0,0,1,raw
2325084511,816.0,0,1,raw
2325988512,904.001,0,1,raw
2326716511,727.999,0,1,raw
2327492511,776.0,0,1,raw
2328204512,712.001,0,1,raw
2330132511,767.999,0,1,raw
2330807873,675.362,0,1,raw
2331828511,1020.638,0,1,raw
2332454732,626.221,0,1,raw
2333012511,557.779,0,1,raw
2333788512,776.001,0,1,raw
2334548511,759.999,0,1,raw
2335372512,824.001,0,1,raw
2336172511,799.999,0,1,raw
2337028510,855.999,0,1,raw
2337604511,576.001,0,1,raw
2339236512,560.0,0,1,raw
2340124511,887.999,0,1,raw
2340860511,736.0,0,1,raw
2341572511,712.0,0,1,raw
2342452513,880.002,0,1,raw
2343164512,711.999,0,1,raw
2343972513,808.001,0,1,raw
2344900512,927.999,0,1,raw
2345764510,863.998,0,1,raw
2346476511,712.001,0,1,raw
2347388510,911.999,0,1,raw
2348180511,792.001,0,1,raw
2349036512,856.001,0,1,raw
2349876511,839.999,0,1,raw
2350556511,680.0,0,1,raw
2351460511,904.0,0,1,raw
2352148511,688.0,0,1,raw
2353196511,1048.0,0,1,raw
2353980515,784.004,0,1,raw
2354780511,799.996,0,1,raw
2355612511,832.0,0,1,raw
2356436512,824.001,0,1,raw
2357228510,791.998,0,1,raw
2358028511,800.001,0,1,raw
2358852511,824.0,0,1,raw
2359588511,736.0,0,1,raw
2360372512,784.001,0,1,raw
2361140511,767.999,0,1,raw
2361900512,760.001,0,1,raw
2362668510,767.998,0,1,raw
2363436512,768.002,0,1,raw
2364220511,783.999,0,1,raw
2365084513,864.002,0,1,raw
2366540511,831.997,0,1,raw
2367204511,664.0,0,1,raw
2368052511,848.0,0,1,raw
2368900511,848.0,0,1,raw
2369676511,776.0,0,1,raw
2370532511,856.0,0,1,raw
2371332511,800.0,0,1,raw
2372172511,840.0,0,1,raw
2373052512,880.001,0,1,raw
2373892511,839.999,0,1,raw
2374676513,784.002,0,1,raw
2375548511,871.998,0,1,raw
2377372514,712.004,0,1,raw
2378196511,823.997,0,1,raw
2380644511,824.0,0,1,raw
2382388511,688.001,0,1,raw
2383068512,680.001,0,1,raw
2384356511,751.999,0,1,raw
2385124512,768.001,0,1,raw
2385828512,704.0,0,1,raw
2386692511,863.999,0,1,raw
2387556511,864.0,0,1,raw
2388836511,864.0,0,1,raw
2389700511,864.0,0,1,raw
2390508511,808.0,0,1,raw
2391324511,816.0,0,1,raw
2392188511,864.0,0,1,raw
2393036511,848.0,0,1,raw
2393884511,848.0,0,1,raw
2394772511,888.0,0,1,raw
2395628511,856.0,0,1,raw
2396436510,807.999,0,1,raw
2397236511,800.001,0,1,raw
2398052512,816.001,0,1,raw
2398860511,807.999,0,1,raw
2399644511,784.0,0,1,raw
2400436512,792.001,0,1,raw
2401220511,783.999,0,1,raw
2402986706,746.647,0,1,raw
2405468511,925.681,0,1,raw
2406396511,928.0,0,1,raw
2407716511,903.999,0,1,raw
2408572510,855.999,0,1,raw
2409420511,848.001,0,1,raw
2410300511,880.0,0,1,raw
2411140511,840.0,0,1,raw
2411972511,832.0,0,1,raw
2412836513,864.002,0,1,raw
2413676510,839.997,0,1,raw
2414460515,784.005,0,1,raw
2416556512,840.0,0,1,raw
2417356512,800.0,0,1,raw
2418268511,911.999,0,1,raw
2419072053,803.542,0,1,raw
2419956511,884.458,0,1,raw
2420772511,816.0,0,1,raw
2421660511,888.0,0,1,raw
2422580512,920.001,0,1,raw
2423388511,807.999,0,1,raw
2424324511,936.0,0,1,raw
2425156511,832.0,0,1,raw
2426772511,983.648,0,1,raw
2427732511,960.0,0,1,raw
2428412512,680.001,0,1,raw
2429260511,847.999,0,1,raw
2430036511,776.0,0,1,raw
2430892511,856.0,0,1,raw
2431620511,728.0,0,1,raw
2432492511,872.0,0,1,raw
2433212511,720.0,0,1,raw
2434100511,888.0,0,1,raw
2434900512,800.001,0,1,raw
2435748511,847.999,0,1,raw
2436508512,760.001,0,1,raw
2437388511,879.999,0,1,raw
2438268512,880.001,0,1,raw
2438924512,656.0,0,1,raw
2440996511,944.0,0,1,raw
2441764512,768.001,0,1,raw
2443308512,984.001,0,1,raw
2444164512,856.0,0,1,raw
2445020512,856.0,0,1,raw
2445932512,912.0,0,1,raw
2446764512,832.0,0,1,raw
2447500511,735.999,0,1,raw
2448508512,1008.001,0,1,raw
2449268512,760.0,0,1,raw
2450020511,751.999,0,1,raw
2450796511,776.0,0,1,raw
2451588511,792.0,0,1,raw
2452452511,864.0,0,1,raw
2453324511,872.0,0,1,raw
2454116511,792.0,0,1,raw
2454932512,816.001,0,1,raw
2455724511,791.999,0,1,raw
2456516512,792.001,0,1,raw
2457276513,760.001,0,1,raw
2458132512,855.999,0,1,raw
2458772511,639.999,0,1,raw
2459636511,864.0,0,1,raw
