seq,t_us,rr_raw_ms,nn_ms,valid,corrected,metric_eligible,status,reason,hr_bpm,score,rescued,source_t_us,timing_shift_ms,timing_quality,timing_uncertainty_ms,timing_recovered,refined,correction_method,waveform_score,reference_rr_ms,matched_firmware_t_us,inserted_by_smoother,low_prominence_rescue,flags
2005,16592804,947.322,947.322,1,0,1,accepted,,63.336436818737454,1.0,1,16592804,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,880.0,0,1,0,17
2105,17392620,799.816,799.816,1,0,1,accepted,,68.68375594829945,1.0,0,17018620,374.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,880.0,17018620,0,0,169
2221,18319763,927.143,927.143,1,0,1,accepted,,64.71493609939351,1.0,1,18650625,-330.862,1.0,7.0,1,1,fixed_lag_waveform,1.0,880.0,18650625,0,0,185
2331,19197392,877.629,877.629,1,0,1,accepted,,66.49039324634913,1.0,0,19490623,-293.231,1.0,7.0,1,1,fixed_lag_waveform,1.0,889.6457600000001,19490623,0,0,169
2435,20033698,836.306,836.306,1,0,1,accepted,,68.36601798709933,1.0,0,20410625,-376.927,1.0,7.0,1,1,fixed_lag_waveform,1.0,887.1635200000001,20410625,0,0,169
2546,20922621,888.923,888.923,1,0,1,accepted,,67.92893727441931,1.0,1,21298620,-375.999,1.0,7.0,1,1,fixed_lag_waveform,1.0,884.68128,21298620,0,0,185
2655,21793292,870.671,870.671,1,0,1,accepted,,68.36601798709933,1.0,1,21793292,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,886.48832,0,1,0,17
2770,22707958,914.666,914.666,1,0,1,accepted,,67.92893727441931,1.0,1,22707958,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,879.2412800000002,0,1,0,17
2871,23521625,813.667,813.667,1,0,1,accepted,,68.36601798709933,1.0,0,23842625,-321.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,875.60832,23842625,0,0,169
2984,24423194,901.569,901.569,1,0,1,accepted,,68.36601798709933,1.0,1,24698625,-275.431,1.0,7.0,1,1,fixed_lag_waveform,1.0,868.3612800000001,24698625,0,0,185
3089,25259196,836.002,836.002,1,0,1,accepted,,68.36601798709933,1.0,1,25259196,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,868.3612800000001,0,1,0,17
3190,26069025,809.829,809.829,1,0,1,accepted,,68.91236758775702,1.0,1,26069025,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,862.92128,0,1,0,17
3318,27096223,1027.198,1027.198,1,0,1,accepted,,68.91236758775702,1.0,1,27386623,-290.4,1.0,7.0,1,1,fixed_lag_waveform,1.0,855.25472,27386623,0,0,185
3440,28073825,977.602,977.602,1,0,1,accepted,,67.49740978689942,1.0,0,28434625,-360.8,1.0,7.0,1,1,fixed_lag_waveform,1.0,849.8147200000001,28434625,0,0,169
3546,28919692,845.867,845.867,1,0,1,accepted,,68.91236758775702,1.0,0,29194625,-274.933,1.0,7.0,1,1,fixed_lag_waveform,1.0,850.2153599999999,29194625,0,0,169
3649,29744625,824.933,824.933,1,0,1,accepted,,70.93313724261616,1.0,0,29994623,-249.998,1.0,7.0,1,1,fixed_lag_waveform,1.0,838.9347200000001,29994623,0,0,169
3749,30540403,795.778,795.778,1,0,1,accepted,,71.77016322927457,1.0,1,30540403,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,825.55744,0,1,0,17
3844,31306625,766.222,766.222,1,0,1,accepted,,71.77016322927457,1.0,1,31306625,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,816.96064,0,1,0,17
3931,32002316,695.691,695.691,1,0,1,accepted,,72.73317954306592,1.0,0,31706625,295.691,1.0,7.0,1,1,fixed_lag_waveform,1.0,816.96064,31706625,0,0,169
