seq,source_t_us,t_us,rr_ms,hr_bpm,score,timing_shift_ms,timing_quality,timing_uncertainty_ms,timing_recovered,refined,correction_method,waveform_score,reference_rr_ms,matched_firmware_t_us,inserted_by_smoother,low_prominence_rescue,flags
1887,15906625,15645482,0.0,67.56756756756756,1.0,-261.143,1.0,7.0,1,1,fixed_lag_waveform,1.0,888.0,15906625,0,0,185
2005,0,16592804,947.322,63.336436818737454,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,880.0,0,1,0,17
2105,17018620,17392620,799.816,68.68375594829945,1.0,374.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,880.0,17018620,0,0,169
2221,18650625,18319763,927.143,64.71493609939351,1.0,-330.862,1.0,7.0,1,1,fixed_lag_waveform,1.0,880.0,18650625,0,0,185
2331,19490623,19197392,877.629,66.49039324634913,1.0,-293.231,1.0,7.0,1,1,fixed_lag_waveform,1.0,889.6457600000001,19490623,0,0,169
2435,20410625,20033698,836.306,68.36601798709933,1.0,-376.927,1.0,7.0,1,1,fixed_lag_waveform,1.0,887.1635200000001,20410625,0,0,169
2546,21298620,20922621,888.923,67.92893727441931,1.0,-375.999,1.0,7.0,1,1,fixed_lag_waveform,1.0,884.68128,21298620,0,0,185
2655,0,21793292,870.671,68.36601798709933,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,886.48832,0,1,0,17
2770,0,22707958,914.666,67.92893727441931,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,879.2412800000002,0,1,0,17
2871,23842625,23521625,813.667,68.36601798709933,1.0,-321.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,875.60832,23842625,0,0,169
2984,24698625,24423194,901.569,68.36601798709933,1.0,-275.431,1.0,7.0,1,1,fixed_lag_waveform,1.0,868.3612800000001,24698625,0,0,185
3089,0,25259196,836.002,68.36601798709933,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,868.3612800000001,0,1,0,17
3190,0,26069025,809.829,68.91236758775702,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,862.92128,0,1,0,17
3318,27386623,27096223,1027.198,68.91236758775702,1.0,-290.4,1.0,7.0,1,1,fixed_lag_waveform,1.0,855.25472,27386623,0,0,185
3440,28434625,28073825,977.602,67.49740978689942,1.0,-360.8,1.0,7.0,1,1,fixed_lag_waveform,1.0,849.8147200000001,28434625,0,0,169
3546,29194625,28919692,845.867,68.91236758775702,1.0,-274.933,1.0,7.0,1,1,fixed_lag_waveform,1.0,850.2153599999999,29194625,0,0,169
3649,29994623,29744625,824.933,70.93313724261616,1.0,-249.998,1.0,7.0,1,1,fixed_lag_waveform,1.0,838.9347200000001,29994623,0,0,169
3749,0,30540403,795.778,71.77016322927457,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,825.55744,0,1,0,17
3844,0,31306625,766.222,71.77016322927457,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,816.96064,0,1,0,17
3931,31706625,32002316,695.691,72.73317954306592,1.0,295.691,1.0,7.0,1,1,fixed_lag_waveform,1.0,816.96064,31706625,0,0,169
4020,32418620,32711158,708.842,74.0897152361795,1.0,292.538,1.0,7.0,1,1,fixed_lag_waveform,1.0,807.97856,32418620,0,0,185
4114,33122623,33463125,751.967,75.39791248312972,1.0,340.502,1.0,7.0,1,1,fixed_lag_waveform,1.0,797.7052800000001,33122623,0,0,169
4211,0,34239856,776.731,77.24682032775826,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,787.76896,0,1,0,17
4308,35346620,35016037,776.181,77.30155723987059,1.0,-330.583,1.0,7.0,1,1,fixed_lag_waveform,1.0,781.67392,35346620,0,0,169
4400,35986624,35752625,736.588,78.30628721180024,1.0,-233.999,1.0,7.0,1,1,fixed_lag_waveform,1.0,776.0579200000001,35986624,0,0,169
4496,36794625,36519091,766.466,78.30628721180024,1.0,-275.534,1.0,7.0,1,1,fixed_lag_waveform,1.0,767.4310399999999,36794625,0,0,185
4588,37546624,37254092,735.001,79.79073549770136,1.0,-292.532,1.0,7.0,1,1,fixed_lag_waveform,1.0,767.4310399999999,37546624,0,0,169
4680,0,37992336,738.244,81.2739419487324,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,762.8694399999999,0,1,0,17
4778,0,38775153,782.817,79.79073549770136,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,753.03808,0,1,0,17
4870,39202624,39512624,737.471,79.79073549770136,1.0,310.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,757.4294400000001,39202624,0,0,169
4959,39922625,40222625,710.001,81.2739419487324,1.0,300.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,751.9894400000001,39922625,0,0,169
5056,0,40999123,776.498,81.2739419487324,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,747.59808,0,1,0,17
5150,42018625,41751125,752.002,81.2739419487324,1.0,-267.5,1.0,7.0,1,1,fixed_lag_waveform,1.0,747.59808,42018625,0,0,169
5239,42210623,42464223,713.098,81.2739419487324,1.0,253.6,1.0,7.0,1,1,fixed_lag_waveform,1.0,747.59808,42210623,0,0,189
5331,43514625,43198153,733.93,81.35913140991306,1.0,-316.472,1.0,7.0,1,1,fixed_lag_waveform,1.0,753.03808,43514625,0,0,185
5427,0,43967158,769.005,81.2739419487324,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,752.7907200000001,0,1,0,17
5522,0,44728037,760.879,79.78702184302702,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,753.03808,0,1,0,17
5616,45706625,45480032,751.995,79.78776454630682,1.0,-226.593,1.0,7.0,1,1,fixed_lag_waveform,1.0,757.44064,45706625,0,0,169
5711,0,46235425,755.393,79.78702184302702,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,757.4384000000001,0,1,0,17
5808,47354625,47017915,782.49,79.428853590118,1.0,-336.71,1.0,7.0,1,1,fixed_lag_waveform,1.0,757.44064,47354625,0,0,169
5905,48098620,47794621,776.706,79.428853590118,1.0,-303.999,1.0,7.0,1,1,fixed_lag_waveform,1.0,753.08576,48098620,0,0,169
6007,0,48608625,814.004,78.85616504069635,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,753.08576,0,1,0,17
6098,48994625,49331768,723.143,78.85616504069635,1.0,337.143,1.0,7.0,1,1,fixed_lag_waveform,1.0,754.84128,48994625,0,0,169
6200,0,50150625,818.857,78.02289972106813,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,754.84128,0,1,0,17
6295,0,50909481,758.856,78.85616504069635,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,757.4416,0,1,0,17
6388,51386625,51657479,747.998,79.06638413612069,1.0,270.854,1.0,7.0,1,1,fixed_lag_waveform,1.0,760.28128,51386625,0,0,169
6474,52562623,52346623,689.144,79.06638413612069,1.0,-216.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,759.6339200000001,52562623,0,0,169
6567,53426625,53087958,741.335,79.06638413612069,1.0,-338.667,1.0,7.0,1,1,fixed_lag_waveform,1.0,759.6339200000001,53426625,0,0,169
6659,54082625,53823125,735.167,80.21411821956742,1.0,-259.5,1.0,7.0,1,1,fixed_lag_waveform,1.0,759.6339200000001,54082625,0,0,169
6749,54802625,54541392,718.267,80.93506984022068,1.0,-261.233,1.0,7.0,1,1,fixed_lag_waveform,1.0,756.1593600000001,54802625,0,0,169
6840,54994621,55270010,728.618,81.61410944724123,1.0,275.389,1.0,7.0,1,1,fixed_lag_waveform,1.0,754.0272000000001,54994621,0,0,189
6937,0,56043623,773.613,80.93506984022068,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,746.6134400000001,0,1,0,17
7035,57154624,56830150,786.527,80.93506984022068,1.0,-324.474,1.0,7.0,1,1,fixed_lag_waveform,1.0,754.0272000000001,57154624,0,0,169
7125,0,57546933,716.783,81.61410944724123,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,748.5872,0,1,0,17
7223,0,58334625,787.692,81.61410944724123,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,746.6134400000001,0,1,0,17
7320,59426625,59113292,778.667,80.93506984022068,1.0,-313.333,1.0,7.0,1,1,fixed_lag_waveform,1.0,746.6134400000001,59426625,0,0,169
7414,60122625,59861125,747.833,80.23181646169667,1.0,-261.5,1.0,7.0,1,1,fixed_lag_waveform,1.0,743.1472,60122625,0,0,169
7504,60850623,60578892,717.767,80.23181646169667,1.0,-271.731,1.0,7.0,1,1,fixed_lag_waveform,1.0,745.2265600000001,60850623,0,0,169
7600,61658624,61349362,770.47,77.8745441094397,1.0,-309.262,1.0,7.0,1,1,fixed_lag_waveform,1.0,745.2265600000001,61658624,0,0,185
7690,0,62072309,722.947,77.8745441094397,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,747.0304000000001,0,1,0,17
7778,62442623,62772403,700.094,80.23181646169667,1.0,329.78,1.0,7.0,1,1,fixed_lag_waveform,1.0,747.0304000000001,62442623,0,0,169
7875,0,63552223,779.82,80.23181646169667,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,739.78656,0,1,0,17
7968,0,64296505,744.282,80.23181646169667,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,739.78656,0,1,0,17
8058,0,65018414,721.909,80.61460575427056,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,739.78656,0,1,0,17
8146,0,65722624,704.21,82.9936357713636,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,738.65024,0,1,0,17
8238,0,66456225,733.601,82.9936357713636,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,737.26304,0,1,0,17
8323,67378625,67134626,678.401,82.9936357713636,1.0,-243.999,1.0,7.0,1,1,fixed_lag_waveform,1.0,731.82304,67378625,0,0,169
8411,68122625,67841625,706.999,83.1129685320449,1.0,-281.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,731.82304,68122625,0,0,169
8503,0,68578054,736.429,83.1129685320449,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,731.4908800000001,0,1,0,17
8591,69594625,69281477,703.423,83.1129685320449,1.0,-313.148,1.0,7.0,1,1,fixed_lag_waveform,1.0,731.4908800000001,69594625,0,0,169
8678,0,69975625,694.148,84.8657494565056,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,731.4908800000001,0,1,0,17
8771,71026625,70719096,743.471,84.8657494565056,1.0,-307.529,1.0,7.0,1,1,fixed_lag_waveform,1.0,726.71968,71026625,0,0,185
8858,71738625,71417292,698.196,85.20185740049132,1.0,-321.333,1.0,7.0,1,1,fixed_lag_waveform,1.0,726.71968,71738625,0,0,185
8952,0,72163514,746.222,84.8657494565056,1.0,0.0,1.0,7.0,1,1,fixed_lag_waveform,1.0,720.3872,0,1,0,17
