t_us,hr_bpm,time_status,time_validity_reason,rmssd_ms,rmssd_ci_low_ms,rmssd_ci_high_ms,sdnn_ms,pnn50_percent,fiducial_quality_mean,fiducial_uncertainty_p95_ms,fiducial_shift_p95_ms,fiducial_unstable_ratio,frequency_status,frequency_validity_reason,total_power_ms2,vlf_ms2,lf_ms2,hf_ms2,lf_nu,hf_nu,lf_hf,hf_lf,median_frequency_hz,thm_power_ms2,resonance_band_power_ms2,resonance_share,lf_peak_frequency_hz,lf_peak_prominence_ratio,spectral_agreement,spectral_agreement_raw,spectral_shape_agreement,band_power_agreement,interpolation_agreement,sqi,overall_status,detected_artifact_ratio,corrected_ratio,unresolved_suspect_ratio,max_consecutive_artifacts,protocol_error_ratio,protocol_crc_errors,protocol_format_errors,protocol_seq_gaps
37254092,79.79073549770136,INVALID,有效 NN 不足：26/40；连续有效 NN 对不足：25/30,nan,nan,nan,nan,nan,1.0,7.0,375.49925,0.0,LIMITED,频域窗口积累中：21/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.9833713366152343,INVALID,0.0,0.0,0.0,0,0.0008090614886731392,2,1,9
57546933,81.61410944724123,VALID,,62.095854770142395,41.6613187430674,75.85055397099461,74.21212225501716,30.76923076923077,1.0,7.0,366.08,0.0,LIMITED,频域窗口积累中：41/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.9972192261427426,LIMITED,0.0,0.0,0.0,0,0.00048115477145148355,2,1,9
78065822,81.55509250386368,VALID,,41.57319790808839,34.76181782481904,48.2618285527258,31.679814694657754,22.033898305084744,1.0,7.0,330.88935,0.0,LIMITED,频域窗口积累中：61/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.997925283286119,LIMITED,0.0,0.0,0.0,0,0.00033994334277620395,2,1,9
98213623,81.60145576997094,VALID,,39.350680617592836,32.891999595433965,46.00967512300066,42.37400247013139,18.64406779661017,1.0,7.0,318.64164999999997,0.0,LIMITED,频域窗口积累中：82/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.9983052745029034,LIMITED,0.0,0.0,0.0,0,0.0002639450994193208,2,1,9
119001825,82.2155444929973,VALID,,37.19818621717272,28.638719314809812,43.77556432183139,56.23063510328122,16.94915254237288,1.0,7.0,319.09535,0.0,LIMITED,频域窗口积累中：102/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.9985554812834225,LIMITED,0.0,0.0,0.0,0,0.000213903743315508,2,1,9
139545673,74.57538639372076,VALID,,58.57235079232336,44.28827141446986,73.98180471745276,66.05053045870893,35.59322033898305,1.0,7.0,342.73774999999995,0.0,LIMITED,频域窗口积累中：123/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.9988006655075246,LIMITED,0.0,0.0,0.0,0,0.0001798668984951136,2,1,9
159807825,69.29518710277978,VALID,,62.199153755892475,50.69254936906931,75.6995706283461,66.30078238585966,37.28813559322034,1.0,7.0,359.04035,0.0,LIMITED,频域窗口积累中：143/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.9989184243434766,LIMITED,0.0,0.0,0.0,0,0.0001563151313047103,2,1,9
180485168,82.93272221131811,VALID,,50.95683467073889,40.4936015307646,62.323242554351914,54.83138681956512,25.423728813559322,1.0,7.0,361.477,0.0,LIMITED,频域窗口积累中：164/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.9990113263853818,LIMITED,0.0,0.0,0.0,0,0.00013773472292364906,2,1,9
200858625,86.94329123828982,VALID,,37.223847156796445,32.001976503807015,41.490237629132636,58.51328501345018,18.64406779661017,1.0,7.0,360.51465,0.0,LIMITED,频域窗口积累中：184/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.999086352479136,LIMITED,0.0,0.0,0.0,0,0.00012272950417280314,2,1,9
221285534,77.81909395228911,VALID,,42.78368887056003,35.23921466759325,49.654855763647404,57.058692966805914,28.8135593220339,1.0,7.0,334.55335,0.0,LIMITED,频域窗口积累中：205/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.9991435376168571,LIMITED,0.0,0.0,0.0,0,0.00011129247662857991,2,1,9
241823046,73.52941176470588,VALID,,45.51669532197937,37.832983828317765,53.410934377694346,59.95766214160627,30.508474576271187,1.0,7.0,349.48834999999997,0.0,LIMITED,频域窗口积累中：225/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.9991184657076284,LIMITED,0.0,0.0,0.0,0,0.00010130685847431871,2,1,9
261920149,75.63438339068941,VALID,,45.60925902281432,38.066542482566035,53.99879629016862,46.964153255408085,27.11864406779661,1.0,7.0,350.68915,0.0,LIMITED,频域窗口积累中：245/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.9991580739299611,LIMITED,0.0,0.0,0.0,0,9.33852140077821e-05,2,1,9
282378388,78.84891103083125,VALID,,43.9363305193831,36.933007619624576,49.69315594686563,41.8828681791747,27.11864406779661,1.0,7.0,351.48715,0.0,LIMITED,频域窗口积累中：266/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.9992678603324595,LIMITED,0.0,0.0,0.0,0,8.642793350810982e-05,2,1,9
302892443,78.06909114566392,VALID,,41.457593356732644,35.92167116567277,47.800329801505306,38.12551887254211,25.423728813559322,1.0,7.0,335.21379999999994,0.0,LIMITED,频域窗口积累中：286/300 秒,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.9992978552278821,LIMITED,0.0,0.0,0.0,0,8.04289544235925e-05,2,1,9
323558625,76.5027043705995,VALID,,39.88052029075117,32.1531468133042,49.154150521849274,39.8183814028407,16.94915254237288,1.0,7.0,330.49985,0.0,VALID,,3696.5022237437443,1718.4623899380008,1518.431927966707,443.95268750800506,77.37687688707189,22.623123112928113,3.4202561910143356,0.2923757590519653,0.055492997655696104,558.336158184905,126.16046550825786,0.06405273671884582,0.0625,36.15985780982918,0.9660316863217233,0.8887945222838676,0.9806159000876398,0.9320018542012515,0.9999419526831399,0.9992495964411743,VALID,0.0,0.0,0.0,0,7.508071176514753e-05,2,1,9
343929554,84.87259209383514,VALID,,36.238177429195176,27.841055300525664,47.96629260517671,47.195332109562706,11.864406779661017,1.0,7.0,320.8082,0.0,VALID,,3507.941189497237,1797.1892628534063,1261.53159514845,431.0568229133408,74.5326850690051,25.4673149309949,2.926601617443988,0.3416932438086233,0.03558706575865481,479.06943667103144,136.5904644524769,0.0804629498556939,0.0625,25.863696235603324,0.9739490933746723,0.893338203115389,0.9842249556986592,0.9499720812853697,0.9999320130183851,0.9993474487037864,VALID,0.0,0.0,0.0,0,7.051025924271982e-05,2,1,9
364184077,93.12504365236421,VALID,,25.476803316024377,20.930702625758787,29.234665360395457,42.29239192884788,3.389830508474576,1.0,7.0,296.64425,0.0,VALID,,3224.7527447213292,1721.2230879773128,1051.7201721516278,428.9923206305623,71.02797992711565,28.972020072884348,2.4516060581358134,0.4078958757184643,0.03186660585808037,447.3442046089104,151.90104693229543,0.10234305308349188,0.0625,14.590115674526396,0.9757907966411895,0.9014697181898788,0.9705670744352091,0.9879794817884772,0.9999184914155069,0.9963679620118551,VALID,0.0,0.0,0.0,0,6.656755497370581e-05,2,1,9
384512865,76.96718504065791,VALID,,27.27408197370674,21.145678765460197,33.41227243103151,58.066815342035945,6.779661016949152,1.0,7.0,331.78635,0.0,VALID,,3014.3698012752934,1611.2596540079694,928.9328120997136,440.7843843809591,67.81931441661806,32.180685583381944,2.1074539956861535,0.4745062060889334,0.03288965358947237,456.99627294815843,167.57928860727583,0.12203481780108051,0.0625,8.873576065170342,0.9890474598134926,0.9557322247228592,0.9903849091891799,0.9859267446035556,0.9999236758650556,0.9963110176159857,VALID,0.0,0.0,0.0,0,6.295643414756988e-05,2,1,9
405007825,75.1503947274483,VALID,,43.19807827234596,35.73336796414201,50.67988105195413,66.64349043768277,22.033898305084744,1.0,7.0,344.66055,0.0,VALID,,2576.7901277365913,1222.9277429326903,849.0618103293868,454.3038036593418,65.14379397588813,34.856206024111856,1.8689295653928821,0.535065643198695,0.048013272215510105,460.8638719185595,184.71848525553978,0.1411245084969369,0.0625,6.081300099692415,0.9502846735487562,0.9192254640884742,0.9661307550167176,0.9133104834568468,0.9998989699560702,0.9994014271780888,VALID,0.0,0.0,0.0,0,5.971456438225283e-05,2,1,9
425184149,79.77694366551123,VALID,,43.65438432346763,37.52154230438753,51.943852457355405,47.96975877698106,23.728813559322035,1.0,7.0,335.8834999999999,0.0,INVALID,VLF/LF/HF 频带一致性 82% < 82%,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8995673139472358,0.8350675873571264,0.9355143925275344,0.8156907972598724,0.9998386479962513,0.9994160704145373,LIMITED,0.0,0.0,0.0,0,5.6785917092561044e-05,2,1,9
445629421,80.64657043738667,VALID,,33.85533010485165,27.250270730133142,39.82570105694931,33.07350300176302,13.559322033898304,1.0,7.0,338.0944,0.0,INVALID,VLF/LF/HF 频带一致性 80% < 82%,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8833834171884196,0.6688297688548778,0.9185358428394078,0.8013610906694474,0.9998001738922759,0.9994293395885963,LIMITED,0.0,0.0,0.0,0,5.413208228076507e-05,2,1,9
466314257,78.12174492729469,VALID,,31.95241144980497,26.937610047361446,37.63935893297177,30.483368591616856,15.254237288135593,1.0,7.0,338.0944,0.0,LIMITED,受限输出：频带一致性 85%,2135.8764070036304,845.0834949269972,781.5739011442715,422.58284514382626,64.90632582124634,35.093674178753645,1.8495163969049961,0.5406818786107614,0.05305599773787898,355.7437222765803,307.2126324098545,0.25159774641935867,0.05078125,3.5354687356974983,0.9206915117781167,0.7040183685743642,0.9503292460297434,0.8515367985243213,0.9998923523738709,0.9994414149772446,LIMITED,0.0,0.0,0.0,0,5.17170045510964e-05,2,1,9
