t_us,nn_ms,corrected,metric_eligible,source
16592804,947.322,0,1,raw
17392620,799.816,0,1,raw
18319763,927.143,0,1,raw
19197392,877.629,0,1,raw
20033698,836.306,0,1,raw
20922621,888.923,0,1,raw
21793292,870.671,0,1,raw
22707958,914.666,0,1,raw
23521625,813.667,0,1,raw
24423194,901.569,0,1,raw
25259196,836.002,0,1,raw
26069025,809.829,0,1,raw
27096223,1027.198,0,1,raw
28073825,977.602,0,1,raw
28919692,845.867,0,1,raw
29744625,824.933,0,1,raw
30540403,795.778,0,1,raw
31306625,766.222,0,1,raw
32002316,695.691,0,1,raw
32711158,708.842,0,1,raw
33463125,751.967,0,1,raw
34239856,776.731,0,1,raw
35016037,776.181,0,1,raw
35752625,736.588,0,1,raw
36519091,766.466,0,1,raw
37254092,735.001,0,1,raw
37992336,738.244,0,1,raw
38775153,782.817,0,1,raw
39512624,737.471,0,1,raw
40222625,710.001,0,1,raw
40999123,776.498,0,1,raw
41751125,752.002,0,1,raw
42464223,713.098,0,1,raw
43198153,733.93,0,1,raw
43967158,769.005,0,1,raw
44728037,760.879,0,1,raw
45480032,751.995,0,1,raw
46235425,755.393,0,1,raw
47017915,782.49,0,1,raw
47794621,776.706,0,1,raw
48608625,814.004,0,1,raw
49331768,723.143,0,1,raw
50150625,818.857,0,1,raw
50909481,758.856,0,1,raw
51657479,747.998,0,1,raw
52346623,689.144,0,1,raw
53087958,741.335,0,1,raw
53823125,735.167,0,1,raw
54541392,718.267,0,1,raw
55270010,728.618,0,1,raw
56043623,773.613,0,1,raw
56830150,786.527,0,1,raw
57546933,716.783,0,1,raw
58334625,787.692,0,1,raw
59113292,778.667,0,1,raw
59861125,747.833,0,1,raw
60578892,717.767,0,1,raw
61349362,770.47,0,1,raw
62072309,722.947,0,1,raw
62772403,700.094,0,1,raw
63552223,779.82,0,1,raw
64296505,744.282,0,1,raw
65018414,721.909,0,1,raw
65722624,704.21,0,1,raw
66456225,733.601,0,1,raw
67134626,678.401,0,1,raw
67841625,706.999,0,1,raw
68578054,736.429,0,1,raw
69281477,703.423,0,1,raw
69975625,694.148,0,1,raw
70719096,743.471,0,1,raw
71417292,698.196,0,1,raw
72163514,746.222,0,1,raw
72938858,775.344,0,1,raw
73672307,733.449,0,1,raw
74391956,719.649,0,1,raw
75177125,785.169,0,1,raw
75913732,736.607,0,1,raw
76600225,686.493,0,1,raw
77330123,729.898,0,1,raw
78065822,735.699,0,1,raw
78777126,711.304,0,1,raw
79467766,690.64,0,1,raw
80166090,698.324,0,1,raw
80857449,691.359,0,1,raw
81534125,676.676,0,1,raw
82179548,645.423,0,1,raw
82826933,647.385,0,1,raw
83506054,679.121,0,1,raw
84192506,686.452,0,1,raw
84839625,647.119,0,1,raw
85476270,636.645,0,1,raw
86130411,654.141,0,1,raw
86865572,735.161,0,1,raw
87663956,798.384,0,1,raw
88431125,767.169,0,1,raw
89178121,746.996,0,1,raw
89979678,801.557,0,1,raw
90777449,797.771,0,1,raw
91602623,825.174,0,1,raw
92324339,721.716,0,1,raw
93059620,735.281,0,1,raw
93797625,738.005,0,1,raw
94567125,769.5,0,1,raw
95288225,721.1,0,1,raw
96004741,716.516,0,1,raw
96722390,717.649,0,1,raw
97461556,739.166,0,1,raw
98213623,752.067,0,1,raw
98954623,741.0,0,1,raw
99685292,730.669,0,1,raw
100406624,721.332,0,1,raw
101140099,733.475,0,1,raw
101911124,771.025,0,1,raw
102639043,727.919,0,1,raw
103370054,731.011,0,1,raw
104152712,782.658,0,1,raw
104991386,838.674,0,1,raw
105853101,861.715,0,1,raw
106657023,803.922,0,1,raw
107550622,893.599,0,1,raw
108412625,862.003,0,1,raw
109194860,782.235,0,1,raw
109988272,793.412,0,1,raw
110778810,790.538,0,1,raw
111594054,815.244,0,1,raw
112389422,795.368,0,1,raw
113166620,777.198,0,1,raw
113930836,764.216,0,1,raw
114660625,729.789,0,1,raw
115342622,681.997,0,1,raw
116047069,704.447,0,1,raw
116757192,710.123,0,1,raw
117458625,701.433,0,1,raw
118206625,748.0,0,1,raw
119001825,795.2,0,1,raw
119845394,843.569,0,1,raw
120744712,899.318,0,1,raw
121644159,899.447,0,1,raw
122448730,804.571,0,1,raw
123412160,963.43,0,1,raw
124323825,911.665,0,1,raw
125107352,783.527,0,1,raw
125972520,865.168,0,1,raw
126856726,884.206,0,1,raw
127731958,875.232,0,1,raw
128481025,749.067,0,1,raw
129285288,804.263,0,1,raw
130001534,716.246,0,1,raw
130706860,705.326,0,1,raw
131464079,757.219,0,1,raw
132185989,721.91,0,1,raw
132913625,727.636,0,1,raw
133738625,825.0,0,1,raw
134530814,792.189,0,1,raw
135386625,855.811,0,1,raw
136167825,781.2,0,1,raw
137087290,919.465,0,1,raw
137870244,782.954,0,1,raw
138674799,804.555,0,1,raw
139545673,870.874,0,1,raw
140396065,850.392,0,1,raw
141229625,833.56,0,1,raw
142018835,789.21,0,1,raw
142848149,829.314,0,1,raw
143681170,833.021,0,1,raw
144475797,794.627,0,1,raw
145214623,738.826,0,1,raw
146038621,823.998,0,1,raw
146803713,765.092,0,1,raw
147519424,715.711,0,1,raw
148275678,756.254,0,1,raw
149001825,726.147,0,1,raw
149691625,689.8,0,1,raw
150499422,807.797,0,1,raw
151301425,802.003,0,1,raw
152109530,808.105,0,1,raw
152908625,799.095,0,1,raw
153790625,882.0,0,1,raw
154659577,868.952,0,1,raw
155483621,824.044,0,1,raw
156349482,865.861,0,1,raw
157241292,891.81,0,1,raw
158146815,905.523,0,1,raw
158965362,818.547,0,1,raw
159807825,842.463,0,1,raw
160654625,846.8,0,1,raw
161482386,827.761,0,1,raw
162237684,755.298,0,1,raw
163040843,803.159,0,1,raw
163811067,770.224,0,1,raw
